worker	erq_survey_2	erq_survey_3	erq_survey_4	erq_survey_5	erq_survey_6	erq_survey_7	erq_survey_8	erq_survey_9	erq_survey_10	erq_survey_11
s093	5.0	6.0	5.0	2.0	4.0	6.0	5.0	5.0	6.0	5.0
s094	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s096	6.0	4.0	6.0	2.0	6.0	4.0	6.0	6.0	4.0	6.0
s097	6.0	7.0	6.0	3.0	6.0	7.0	6.0	6.0	6.0	6.0
s098	5.0	5.0	6.0	1.0	7.0	4.0	7.0	5.0	4.0	6.0
s099	5.0	6.0	5.0	3.0	5.0	7.0	5.0	5.0	7.0	5.0
s102	5.0	2.0	3.0	2.0	5.0	5.0	6.0	4.0	6.0	2.0
s103	5.0	5.0	6.0	2.0	5.0	5.0	6.0	5.0	5.0	5.0
s105	7.0	1.0	7.0	1.0	1.0	1.0	7.0	7.0	3.0	7.0
s106	4.0	5.0	4.0	1.0	4.0	5.0	4.0	4.0	6.0	4.0
s107	5.0	5.0	6.0	3.0	4.0	4.0	5.0	5.0	3.0	5.0
s108	2.0	3.0	2.0	2.0	5.0	3.0	2.0	2.0	3.0	2.0
s109	5.0	6.0	6.0	3.0	6.0	6.0	6.0	5.0	7.0	5.0
s110	6.0	7.0	4.0	3.0	2.0	5.0	5.0	5.0	5.0	4.0
s111	5.0	5.0	5.0	2.0	5.0	5.0	4.0	4.0	3.0	4.0
s112	5.0	6.0	6.0	3.0	6.0	5.0	5.0	5.0	6.0	5.0
s114	5.0	2.0	6.0	1.0	6.0	3.0	6.0	6.0	3.0	6.0
s123	6.0	5.0	6.0	2.0	6.0	5.0	6.0	6.0	3.0	6.0
s128	2.0	2.0	5.0	2.0	3.0	2.0	3.0	3.0	2.0	5.0
s129	4.0	7.0	4.0	3.0	5.0	6.0	3.0	3.0	6.0	3.0
s131	5.0	7.0	5.0	6.0	5.0	7.0	5.0	5.0	7.0	5.0
s135	6.0	5.0	7.0	1.0	7.0	2.0	7.0	5.0	6.0	7.0
s140	6.0	2.0	6.0	2.0	6.0	2.0	6.0	6.0	2.0	6.0
s142	6.0	1.0	7.0	1.0	6.0	2.0	7.0	7.0	1.0	6.0
s145	2.0	4.0	2.0	2.0	3.0	5.0	2.0	3.0	5.0	2.0
s149	3.0	5.0	3.0	4.0	3.0	5.0	2.0	4.0	3.0	2.0
s155	3.0	1.0	7.0	1.0	7.0	1.0	4.0	5.0	1.0	5.0
s156	6.0	5.0	6.0	3.0	7.0	5.0	6.0	7.0	4.0	6.0
s161	5.0	6.0	3.0	3.0	5.0	6.0	5.0	5.0	6.0	3.0
s163	5.0	6.0	5.0	4.0	7.0	1.0	7.0	7.0	6.0	7.0
s165	6.0	5.0	6.0	3.0	6.0	2.0	7.0	6.0	3.0	6.0
s168	6.0	7.0	6.0	5.0	6.0	6.0	5.0	5.0	6.0	5.0
s170	4.0	5.0	3.0	1.0	3.0	2.0	4.0	4.0	6.0	5.0
s173	5.0	5.0	6.0	3.0	7.0	4.0	5.0	5.0	6.0	6.0
s179	7.0	6.0	7.0	2.0	5.0	6.0	4.0	6.0	7.0	5.0
s180	5.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0
s182	5.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	7.0	6.0
s184	6.0	3.0	6.0	2.0	6.0	3.0	6.0	6.0	3.0	6.0
s186	5.0	4.0	5.0	1.0	5.0	4.0	6.0	5.0	5.0	6.0
s187	5.0	4.0	5.0	6.0	4.0	5.0	4.0	5.0	4.0	5.0
s188	7.0	6.0	3.0	7.0	4.0	7.0	3.0	3.0	6.0	4.0
s190	5.0	5.0	6.0	4.0	5.0	5.0	6.0	5.0	5.0	5.0
s192	5.0	3.0	5.0	1.0	5.0	2.0	3.0	5.0	5.0	5.0
s196	6.0	2.0	4.0	2.0	6.0	2.0	5.0	5.0	2.0	4.0
s198	5.0	3.0	5.0	3.0	5.0	4.0	5.0	5.0	3.0	5.0
s202	4.0	7.0	4.0	5.0	7.0	7.0	4.0	4.0	6.0	4.0
s205	6.0	3.0	6.0	2.0	6.0	3.0	6.0	6.0	3.0	6.0
s206	7.0	2.0	7.0	1.0	6.0	2.0	7.0	5.0	6.0	7.0
s207	6.0	5.0	6.0	1.0	5.0	5.0	3.0	3.0	6.0	3.0
s208	5.0	6.0	5.0	5.0	4.0	5.0	5.0	5.0	6.0	5.0
s209	5.0	5.0	6.0	1.0	6.0	3.0	5.0	5.0	4.0	6.0
s210	7.0	4.0	7.0	4.0	7.0	4.0	7.0	7.0	4.0	7.0
s212	4.0	2.0	4.0	1.0	4.0	2.0	4.0	2.0	2.0	4.0
s216	3.0	6.0	6.0	5.0	3.0	5.0	3.0	5.0	7.0	6.0
s218	6.0	1.0	6.0	1.0	6.0	1.0	6.0	5.0	1.0	6.0
s226	6.0	5.0	7.0	2.0	3.0	4.0	7.0	6.0	7.0	6.0
s228	5.0	5.0	7.0	2.0	3.0	5.0	1.0	2.0	5.0	2.0
s233	3.0	1.0	4.0	1.0	5.0	1.0	2.0	2.0	1.0	2.0
s237	5.0	5.0	5.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0
s238	5.0	2.0	5.0	2.0	6.0	2.0	6.0	6.0	2.0	6.0
s244	3.0	5.0	3.0	3.0	5.0	5.0	3.0	5.0	3.0	3.0
s246	5.0	6.0	4.0	3.0	4.0	6.0	5.0	4.0	5.0	5.0
