worker	upps_impulsivity_survey_2	upps_impulsivity_survey_3	upps_impulsivity_survey_4	upps_impulsivity_survey_5	upps_impulsivity_survey_6	upps_impulsivity_survey_7	upps_impulsivity_survey_8	upps_impulsivity_survey_9	upps_impulsivity_survey_10	upps_impulsivity_survey_11	upps_impulsivity_survey_12	upps_impulsivity_survey_13	upps_impulsivity_survey_14	upps_impulsivity_survey_15	upps_impulsivity_survey_16	upps_impulsivity_survey_17	upps_impulsivity_survey_18	upps_impulsivity_survey_19	upps_impulsivity_survey_20	upps_impulsivity_survey_21	upps_impulsivity_survey_22	upps_impulsivity_survey_23	upps_impulsivity_survey_24	upps_impulsivity_survey_25	upps_impulsivity_survey_26	upps_impulsivity_survey_27	upps_impulsivity_survey_28	upps_impulsivity_survey_29	upps_impulsivity_survey_30	upps_impulsivity_survey_31	upps_impulsivity_survey_32	upps_impulsivity_survey_33	upps_impulsivity_survey_34	upps_impulsivity_survey_35	upps_impulsivity_survey_36	upps_impulsivity_survey_37	upps_impulsivity_survey_38	upps_impulsivity_survey_39	upps_impulsivity_survey_40	upps_impulsivity_survey_41	upps_impulsivity_survey_42	upps_impulsivity_survey_43	upps_impulsivity_survey_44	upps_impulsivity_survey_45	upps_impulsivity_survey_46	upps_impulsivity_survey_47	upps_impulsivity_survey_48	upps_impulsivity_survey_49	upps_impulsivity_survey_50	upps_impulsivity_survey_51	upps_impulsivity_survey_52	upps_impulsivity_survey_53	upps_impulsivity_survey_54	upps_impulsivity_survey_55	upps_impulsivity_survey_56	upps_impulsivity_survey_57	upps_impulsivity_survey_58	upps_impulsivity_survey_59	upps_impulsivity_survey_60
s065	2.0	4.0	3.0	3.0	3.0	3.0	4.0	2.0	3.0	2.0	2.0	4.0	1.0	2.0	2.0	2.0	3.0	1.0	3.0	1.0	2.0	3.0	2.0	4.0	3.0	2.0	4.0	2.0	3.0	3.0	1.0	4.0	2.0	3.0	3.0	1.0	2.0	2.0	3.0	2.0	3.0	4.0	2.0	3.0	3.0	1.0	4.0	2.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	1.0	3.0	4.0	3.0
s066	2.0	1.0	2.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	3.0	1.0	1.0	1.0	4.0	2.0	1.0
s071	2.0	2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	3.0	2.0	3.0	2.0	1.0	2.0	1.0	4.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	3.0	2.0	1.0	2.0	1.0	3.0	1.0	2.0	1.0	2.0	3.0	1.0	2.0	1.0	2.0	1.0	3.0	2.0	1.0
s077	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	2.0	2.0	1.0	1.0	1.0	3.0	3.0	1.0	4.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	3.0	2.0	1.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	4.0	1.0	4.0	1.0	1.0	1.0	1.0
s081	1.0	1.0	2.0	2.0	1.0	1.0	3.0	1.0	3.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0
s082	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	3.0	1.0	1.0
s083	2.0	4.0	2.0	1.0	1.0	2.0	4.0	2.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	3.0	1.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0
s084	2.0	2.0	2.0	1.0	1.0	2.0	3.0	2.0	1.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0
s085	1.0	1.0	4.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	4.0	2.0	1.0	2.0	1.0	4.0	3.0	1.0	4.0	1.0	1.0	1.0	1.0	4.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	4.0	2.0	2.0	1.0	1.0	4.0	2.0	2.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0
s086	2.0	2.0	3.0	1.0	2.0	2.0	4.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	2.0	3.0	2.0	2.0	3.0	2.0	1.0	3.0	2.0	3.0
s089	2.0	2.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	2.0	1.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0
s091	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	3.0	1.0	2.0	2.0	2.0	3.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	1.0	2.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	3.0	1.0	1.0	2.0	1.0	2.0	1.0	3.0	1.0	1.0
s092	2.0	2.0	2.0	2.0	1.0	1.0	3.0	1.0	3.0	2.0	1.0	3.0	2.0	2.0	2.0	1.0	2.0	3.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	3.0	1.0	3.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	3.0	1.0	2.0	3.0	4.0	2.0	2.0	1.0	1.0	2.0	3.0	3.0	2.0
s093	1.0	2.0	3.0	2.0	2.0	1.0	3.0	3.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	3.0	2.0	1.0	3.0	1.0	3.0	2.0	1.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	3.0	2.0	1.0	2.0	3.0	3.0	2.0	2.0	2.0	1.0	4.0	3.0	3.0	2.0
s094	3.0	2.0	3.0	1.0	2.0	1.0	2.0	3.0	1.0	2.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	1.0	1.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	3.0	2.0	2.0	2.0
s096	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	4.0	2.0	1.0	3.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	3.0	2.0	1.0	2.0	1.0	3.0	1.0	2.0	2.0	1.0	3.0	1.0	2.0	2.0	1.0	2.0	3.0	2.0	1.0	1.0	2.0	2.0	2.0
s097	2.0	2.0	3.0	1.0	1.0	2.0	3.0	3.0	2.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	3.0	3.0	3.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	3.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	4.0	2.0	3.0	1.0
s098	3.0	1.0	3.0	1.0	1.0	2.0	1.0	4.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	4.0	1.0	1.0	3.0	1.0	3.0	3.0	1.0	4.0	1.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	4.0	1.0	3.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	4.0	1.0	2.0	1.0	2.0	4.0	1.0	1.0	1.0
s099	2.0	3.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
s102	1.0	2.0	3.0	1.0	1.0	1.0	3.0	2.0	3.0	1.0	1.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	1.0	3.0	2.0	1.0	2.0	1.0	2.0	1.0	3.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	3.0	1.0	2.0	2.0	1.0	2.0	1.0	3.0	2.0	1.0
s103	2.0	4.0	3.0	2.0	4.0	3.0	3.0	4.0	2.0	4.0	3.0	4.0	2.0	2.0	4.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	2.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	2.0	4.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	4.0	3.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	4.0	3.0	4.0	2.0
s105	2.0	2.0	3.0	1.0	1.0	2.0	2.0	3.0	1.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	2.0	2.0	1.0	3.0	2.0	1.0	3.0	1.0	2.0	1.0	3.0	3.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	3.0	1.0	3.0	1.0	2.0	3.0	4.0	3.0	2.0	1.0	1.0	3.0	4.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0
s106	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0
s107	2.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	1.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	1.0	1.0	2.0	2.0	4.0	2.0	3.0	2.0	2.0	3.0	1.0	3.0	2.0	2.0	2.0	1.0	3.0	2.0	2.0	3.0	1.0	3.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0
s108	2.0	4.0	3.0	3.0	1.0	3.0	4.0	1.0	3.0	1.0	2.0	1.0	1.0	3.0	1.0	2.0	3.0	1.0	2.0	1.0	1.0	3.0	2.0	3.0	1.0	1.0	3.0	2.0	1.0	1.0	2.0	2.0	1.0	3.0	1.0	1.0	2.0	2.0	4.0	1.0	2.0	3.0	1.0	3.0	1.0	1.0	3.0	2.0	3.0	4.0	1.0	1.0	4.0	1.0	2.0	2.0	1.0	3.0	1.0
s109	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	1.0	1.0	2.0	3.0	3.0	2.0	2.0	2.0	1.0	3.0	1.0	1.0	3.0	3.0	2.0	2.0	2.0	3.0	2.0	1.0	2.0	1.0	3.0	2.0	1.0	2.0	1.0	3.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	1.0	3.0	3.0	2.0	2.0	1.0	3.0	2.0	2.0	2.0	1.0	3.0	1.0	1.0	1.0
s110	1.0	2.0	2.0	2.0	1.0	1.0	3.0	1.0	3.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	1.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	3.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	3.0	3.0	2.0	3.0	2.0	2.0	1.0	1.0	1.0	2.0
s111	3.0	4.0	4.0	2.0	2.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0	2.0	3.0	3.0	3.0	4.0	1.0	3.0	2.0	3.0	4.0	3.0	2.0	4.0	2.0	3.0	3.0	2.0	4.0	2.0	3.0	3.0	2.0	4.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	2.0	4.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	2.0
s112	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	3.0	1.0	2.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	3.0	3.0	2.0	2.0
s114	3.0	3.0	2.0	2.0	1.0	1.0	3.0	1.0	2.0	1.0	1.0	3.0	3.0	2.0	1.0	2.0	1.0	4.0	3.0	1.0	3.0	1.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	1.0	3.0	2.0	2.0	2.0	1.0	4.0	2.0	3.0	3.0	1.0	3.0	3.0	2.0	2.0	1.0	4.0	4.0	3.0	1.0	3.0	4.0	1.0	4.0	1.0	2.0	3.0	1.0	4.0	1.0
s123	2.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	4.0	1.0	2.0	1.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	1.0	1.0	2.0	2.0	3.0	3.0	1.0	2.0	3.0	2.0	2.0	2.0	2.0	1.0	4.0	3.0	3.0	2.0
s128	2.0	2.0	1.0	2.0	2.0	2.0	3.0	1.0	3.0	2.0	3.0	2.0	1.0	3.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	3.0	2.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	1.0	4.0	2.0	2.0	3.0	1.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0
s129	1.0	1.0	3.0	2.0	1.0	1.0	3.0	3.0	3.0	1.0	1.0	3.0	2.0	3.0	1.0	2.0	1.0	4.0	2.0	1.0	2.0	1.0	2.0	3.0	1.0	4.0	3.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	4.0	3.0	1.0	1.0	1.0	3.0	3.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0
s131	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	4.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s135	1.0	2.0	3.0	1.0	1.0	1.0	2.0	2.0	1.0	3.0	1.0	3.0	4.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	2.0	3.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	3.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	3.0	2.0	1.0	1.0	2.0	4.0	2.0	2.0	1.0	1.0	3.0	3.0	2.0	2.0
s140	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
s142	3.0	3.0	4.0	1.0	3.0	3.0	3.0	4.0	1.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	4.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	1.0	3.0	2.0	3.0	4.0	3.0	3.0	3.0	3.0	4.0	1.0	3.0	3.0	3.0	4.0	1.0	3.0	3.0	3.0	4.0	1.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0	3.0	3.0
s145	1.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	3.0	2.0	3.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	2.0
s149	2.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	2.0	2.0	3.0	2.0	3.0	3.0	2.0	2.0	2.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	4.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	3.0	2.0	3.0	4.0	3.0	2.0	4.0	3.0	2.0	2.0	3.0	4.0	3.0
s155	3.0	3.0	3.0	1.0	2.0	3.0	3.0	4.0	1.0	2.0	4.0	3.0	2.0	1.0	1.0	4.0	3.0	1.0	1.0	1.0	1.0	4.0	3.0	2.0	2.0	1.0	2.0	4.0	4.0	1.0	4.0	2.0	2.0	4.0	1.0	1.0	1.0	4.0	4.0	1.0	4.0	2.0	2.0	4.0	1.0	1.0	1.0	3.0	1.0	4.0	1.0	3.0	3.0	1.0	2.0	1.0	2.0	3.0	1.0
s156	2.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	3.0	1.0	3.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	4.0	2.0	2.0	2.0	1.0	3.0	1.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0	4.0	1.0	2.0	1.0	1.0	4.0	1.0	1.0	2.0
s161	1.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	1.0	3.0	1.0	1.0	3.0	1.0	2.0	2.0	2.0	3.0	2.0	2.0	1.0	3.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	4.0	2.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	3.0	3.0	2.0	2.0
s163	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
s165	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
s168	2.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0
s170	3.0	1.0	4.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	4.0	2.0	3.0	2.0	1.0	2.0	1.0	4.0	2.0	1.0	3.0	1.0	4.0	2.0	1.0	4.0	1.0	1.0	1.0	1.0	4.0	2.0	2.0	1.0	1.0	1.0	2.0	3.0	2.0	1.0	4.0	1.0	2.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	4.0	1.0	2.0	2.0	2.0	1.0	3.0	1.0	2.0
s173	2.0	2.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	3.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	1.0	3.0	1.0	2.0	1.0	1.0	3.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	4.0	1.0	2.0	1.0	1.0	2.0	1.0	3.0	1.0
s179	2.0	1.0	3.0	1.0	1.0	2.0	3.0	4.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	3.0	4.0	2.0	1.0	4.0	3.0	3.0	1.0	3.0	4.0	2.0	2.0	2.0	1.0	4.0	1.0	1.0	3.0	1.0	4.0	2.0	2.0	2.0	1.0	3.0	1.0	2.0	1.0	1.0	4.0	2.0	2.0	2.0	4.0	4.0	1.0	3.0	1.0	2.0	4.0	2.0	3.0	3.0
s180	3.0	2.0	3.0	2.0	2.0	1.0	2.0	3.0	2.0	1.0	2.0	2.0	3.0	2.0	3.0	1.0	2.0	1.0	2.0	1.0	2.0	2.0	3.0	2.0	2.0	4.0	2.0	1.0	2.0	1.0	3.0	2.0	1.0	2.0	1.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	1.0	2.0	2.0	4.0	1.0	3.0	1.0	1.0	4.0	1.0	3.0	1.0
s182	3.0	2.0	2.0	3.0	1.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0
s184	3.0	3.0	2.0	1.0	2.0	2.0	3.0	2.0	1.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	1.0	2.0	4.0	2.0	1.0	3.0	2.0	3.0	2.0	2.0	1.0	1.0	3.0	2.0	3.0	3.0	2.0	3.0	1.0	2.0	2.0	1.0	3.0	1.0	2.0	1.0	1.0	3.0	1.0	2.0	1.0	2.0	3.0	3.0	3.0	2.0
s186	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	3.0	1.0	3.0	2.0	1.0	2.0	1.0	1.0	3.0	3.0	2.0	2.0
s187	2.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0
s188	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	3.0	2.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0	4.0	1.0	2.0	2.0	1.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0
s190	1.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	3.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	4.0	1.0	3.0	1.0	1.0	3.0	2.0	1.0	2.0
