,adaptive_n_back.hddm_drift,adaptive_n_back.hddm_non_decision,adaptive_n_back.hddm_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_loss_percent,attention_network_task.alerting_hddm_drift,attention_network_task.conflict_hddm_drift,attention_network_task.hddm_drift,attention_network_task.hddm_non_decision,attention_network_task.hddm_thresh,attention_network_task.orienting_hddm_drift,bickel_titrator.auc_large,bickel_titrator.auc_medium.logTr,bickel_titrator.auc_small.logTr,bickel_titrator.hyp_discount_rate_large.logTr,bickel_titrator.hyp_discount_rate_medium.logTr,choice_reaction_time.hddm_drift,choice_reaction_time.hddm_non_decision,choice_reaction_time.hddm_thresh,cognitive_reflection_survey.correct_proportion,cognitive_reflection_survey.intuitive_proportion,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.hddm_drift,directed_forgetting.hddm_non_decision,directed_forgetting.hddm_thresh,directed_forgetting.proactive_interference_hddm_drift,discount_titrate.percent_patient,dot_pattern_expectancy.AY-BY_hddm_drift,dot_pattern_expectancy.BX-BY_hddm_drift,dot_pattern_expectancy.bias,dot_pattern_expectancy.dprime,dot_pattern_expectancy.hddm_drift,dot_pattern_expectancy.hddm_non_decision,dot_pattern_expectancy.hddm_thresh,go_nogo.bias,go_nogo.dprime,hierarchical_rule.score,holt_laury_survey.beta,holt_laury_survey.risk_aversion,holt_laury_survey.safe_choices,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.hyp_discount_rate_large.logTr,kirby.hyp_discount_rate_medium.logTr,kirby.hyp_discount_rate_small.logTr,local_global_letter.conflict_hddm_drift,local_global_letter.hddm_drift,local_global_letter.hddm_non_decision,local_global_letter.hddm_thresh,local_global_letter.switch_cost_hddm_drift,motor_selective_stop_signal.SSRT,motor_selective_stop_signal.hddm_drift,motor_selective_stop_signal.hddm_non_decision,motor_selective_stop_signal.hddm_thresh,motor_selective_stop_signal.reactive_control,motor_selective_stop_signal.selective_proactive_control,probabilistic_selection.positive_learning_bias,psychological_refractory_period_two_choices.PRP_slope,ravens.score,recent_probes.hddm_drift,recent_probes.hddm_non_decision,recent_probes.hddm_thresh,recent_probes.proactive_interference_hddm_drift,shape_matching.hddm_drift,shape_matching.hddm_non_decision,shape_matching.hddm_thresh,shape_matching.stimulus_interference_hddm_drift,shift_task.acc,shift_task.learning_rate,shift_task.learning_to_learn,shift_task.model_beta,shift_task.model_decay,shift_task.model_learning_rate,simon.hddm_drift,simon.hddm_non_decision,simon.hddm_thresh,simon.simon_hddm_drift,simple_reaction_time.avg_rt,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.SSRT,stim_selective_stop_signal.hddm_drift,stim_selective_stop_signal.hddm_non_decision,stim_selective_stop_signal.hddm_thresh.logTr,stop_signal.SSRT_high,stop_signal.hddm_drift,stop_signal.hddm_non_decision,stop_signal.hddm_thresh,stroop.hddm_drift,stroop.hddm_non_decision,stroop.hddm_thresh,stroop.stroop_hddm_drift,threebytwo.cue_switch_cost_hddm_drift_100.0,threebytwo.cue_switch_cost_hddm_drift_900.0,threebytwo.hddm_drift,threebytwo.hddm_non_decision,threebytwo.hddm_thresh,threebytwo.task_switch_cost_hddm_drift_100.0,threebytwo.task_switch_cost_hddm_drift_900.0,tower_of_london.avg_move_time,tower_of_london.num_extra_moves,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance,writing_task.neutral_probability,writing_task.positive_probability
s005,1.5142828456,0.2569391449,1.1158685656,1.9,23.2692307692,0.1333333333,22.2222222222,0.4,-0.5688061440000001,-1.4515944329,3.5210183185,0.4023489738,1.5394559099,-0.3375350914,0.1723433219,-1.8028013716727789,-2.1307636760622026,-6.8899584855557645,-6.342435901765761,4.6516243194,0.2977882043,1.2802884717,1.0,0.0,16.0833333333,0.2916666667,3.0,-0.028,-2.6666666667000003,16.9583333333,0.7415789474000001,3.0,-0.0172555431,-2.8244120941,0.33946628430000003,1.0081751988,9.1,7.1,3.4242513619,0.4603399158,1.8246081208,0.2871889106,0.33333333330000003,-1.0317344031,1.2508973441,0.33223158610000003,4.6556717651,3.0632838415,0.2295600515,1.5366234518000002,-0.7717910818,3.4406522452,143.0,59.8991114415,0.8568707964000001,6.0,0.7236789465,0.0009836497,0.9180419922,0.0013364966000000002,0.5833333333,-6.449609932071972,-6.449609932071972,-5.553730190361736,-0.9954979180000001,2.2037326652,0.5292332165,2.477882076,0.0440700512,308.8333333333,3.3880346482,0.2744021378,1.4827082072,27.0,100.5,26.1234717334,0.6566922334,15.0,1.8098018178,0.41559368690000004,2.1949660449,-0.31397727210000004,2.9362108866,0.41072436370000004,2.6637762537,-2.0799396649,0.5597014925,0.023848097800000002,0.0038276175000000003,7.8786844590000005,0.8442439861000001,0.21802374030000002,4.8134925535,0.3237651091,1.6803742528,-0.7963686932,275.0,6.7,6.1,365.3333333333,4.2597753606,0.3734325358,0.30002279406790466,242.0,5.7775225373,0.34788091200000004,1.8340792512,3.582559369,0.2918222693,2.3089247158,-0.9974234240000001,-0.7265400176,-1.1437047266,2.40620351,0.33580230980000003,1.9266946025,0.1094878277,-0.0156766714,1994.5166666667,4.0,10.0,3262.0833333333,-0.16567824180000001,-0.0084840798,-0.2238329067,0.2725698113,0.3393247426
s007,0.9259261439,0.2700195026,1.3906269279,1.9500000000000002,30.8636363636,0.2666666667,35.9523809524,0.30000000000000004,-0.11560243910000001,-1.005340705,3.9412606395000003,0.4003979662,2.3336831355,-1.0215647695,0.3031763699,-3.0996288679343085,-2.608468335679176,-5.128688168030713,-4.744922062913907,2.3158909162,0.3179600428,1.5445290424,0.5,0.1666666667,15.9166666667,-0.0083333333,1.0,0.0013333333,2.5,16.75,0.15,1.0,-0.0016666667,-0.4166666667,0.1917215995,0.8057487034,8.1,4.3,1.5058520326959999,0.4858112481079997,1.927708044531,-0.38428242044099997,0.0833333333,-1.6889438057400008,-0.6885935427629997,-0.41007497586700015,3.2527619599730015,1.9867218641230004,0.17508355153400004,2.080977087984,-1.0816155204,3.2951286846,195.0,59.8991114415,0.8568707964000001,6.0,0.6941823959,0.00130253,0.8349777222,0.0010820387,0.6111111111,-2.748384152235016,-2.067339257049917,-2.7545573065347257,-1.409770359,1.1140977136,0.4415820116,1.6100339252,-0.6697244830000001,366.5416666666751,2.510427951989999,0.3459147339440002,1.5407062848059994,17.75,93.9,6.105668427781998,0.538500946,11.0,1.3112977570099997,0.5550361337000004,1.8983794113260004,-0.2754089935,2.845802454,0.48760884390000003,2.5396417927,-1.4757910811000001,0.442408377,0.0018947688,0.0023166877000000002,16.4654649172,0.4277884817,0.0468729827,3.6102645647,0.32296375,2.0697144535,-0.1729597451,396.5,5.5,4.4,401.1666666667,2.0373819092,0.4104992369,0.6182749609743061,356.5,1.488911994,0.4405684923,1.3101542403,1.9553623470000001,0.6297483055,1.7397245636,-0.246906216,-0.1821120302,-0.1981653586,0.6494991358000001,0.1425558827,2.0821979235,-0.5418548188,-0.8559498269,2120.49,3.0,8.0,5704.1666666667,-0.43482381346199994,0.057814069513999984,-0.4018268669190002,0.445484729,0.4101464269
s009,1.2526526222,0.1329129155,1.57327044,2.55,48.1818181818,0.2666666667,30.5555555556,0.4,-0.5743673394000001,-0.7328141058000001,3.7182209541,0.3146281534,1.3665156136,-1.6930766997000002,0.8992166096,-0.8167146793115382,-2.622917728899187,-8.708832019487865,-7.178001968294995,5.2754955968,0.2260402096,1.6904301313999999,0.6666666667000001,0.1666666667,7.2916666667,0.2041666667,3.0,-0.0188333333,-3.7916666667000003,7.0833333333,0.1957525084,2.0,-0.0231973244,-3.9424749164,-0.0287443268,0.40015128590000004,7.7,4.9,1.899920232,0.3670108186,1.4158751398,-1.0387953743,0.8611111111,-1.0116575379,0.6356731638,0.0,5.3201349372,2.9002235156,0.1912791667,1.5509489654,-0.5402436899,4.8849203713,266.0,25.7627506452,0.3968411315,9.0,0.6760320663,0.0023875259,0.8853013992000001,0.0027768546000000002,0.5833333333,-5.553730190361736,-3.664674886451777,-5.553730190361736,-1.0477533679,1.9782074662,0.3136971398,2.0252897552,-0.1645152198,204.1666666667,3.7548955232,0.2906491216,2.0529225394,40.0,130.5,-0.7816201197,0.4760700667,13.0,1.0092232754,0.5193517802000001,2.0450043526,-0.7584526139000001,3.0093194515,0.3318571288,1.5438995181,-1.3266027104,0.6185819071,0.0656286403,0.0028259674,5.7362652875,0.6168453969000001,0.2653450865,3.2965547164,0.22605733460000002,1.4896946697,-0.0929115185,254.5,6.2,5.3,256.3333333333,4.3150242778,0.2405656649,0.358533020834208,160.3333333333,3.7674241425,0.25726090890000003,2.8042229797,2.6906641781,0.34225206210000003,1.5237538765,-2.2509997596,-0.3749246725,-0.0009177406,1.2779264553,0.2978560568,1.81592961,-0.2954422685,-1.2686940965,1241.8333333333,6.0,10.0,5413.0833333333,1.3077408289,-0.5791927331,0.30202277320000004,0.1314693092,0.1842408366
s011,1.8216797667,0.1908333273,1.6544438760000002,3.0,24.3043478261,0.2333333333,15.7692307692,0.1333333333,0.33818771540000003,-0.7265091714,2.8779651003,0.35687664960000004,1.593500917,-0.6182895466,0.9062517123,-0.6092436530520885,-2.889214893322106,-10.3341074050011,-8.134286283710965,3.9685751484000003,0.2505017569,1.5968205469,0.33333333330000003,0.33333333330000003,10.4583333333,0.0208333333,1.0,-0.0038333333,-2.2916666667,10.4166666667,0.2562656642,3.0,-0.0083308271,-2.9235588972,-0.2170173919,0.35044167,9.3,9.0,1.5999528867000001,0.4832965193,2.3175496418,-0.6520297124000001,0.4166666667,-1.1604835973,0.24583134110000002,0.0,5.3201349372,2.8042134749,0.1063443216,2.6100505270000003,-1.0170844173,3.9312389163,290.0,25.7627506452,0.3968411315,9.0,0.7266063690000001,0.0013082775,0.9,0.0019703727,0.75,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-0.9493522106000001,2.233908391,0.39020466600000003,1.6420615908,-0.2442438469,244.1666666667,2.415643598,0.1953111224,1.4168278852,17.0,32.0,-13.7549484408,0.3168698411,10.0,1.8472783232,0.6124753385,1.8831358161,0.0040303497,3.2554675742,0.4356363809,1.3398072436000001,-2.4607238653,0.5147783251,0.1149668476,-0.0050906105,9.4391038746,0.5327991817000001,0.2306625733,3.7154591385,0.3095086582,1.2678422704,-1.9668590303000002,387.0,6.3,7.9,301.6666666667,2.9934951776,0.3328737342,-0.15110831069582928,255.0,3.6815271291,0.3067391436,1.2076621741,2.4334858739,0.3471840438,1.591047775,-1.0805694095,0.3313436949,0.1681101693,2.6128365147,0.343121557,1.2476184893,-0.7395470082000001,-0.0436811835,1686.3416666667,19.0,4.0,2352.0,-0.9323890442,-0.1916268687,-0.7276952255,0.17973338400000002,0.4510978966
s012,2.1037673436,0.2760179414,1.5265094323000001,3.65,30.0769230769,0.1333333333,30.5454545455,0.2666666667,-0.17517184460000002,-0.2431306377,3.4037524221,0.3280120234,2.2193184704,-0.6939147757,0.1740916096,-2.193193330242399,-1.925087360046189,-6.888655741933243,-4.544551305364608,2.5825553107,0.2491587315,1.2011119727,1.0,0.0,8.625,0.2791666667,2.0,-0.0261666667,-4.7916666667,4.4166666667,0.2052600473,1.0,-0.0134751773,-2.2192671395,-0.18120101700000002,0.9406044403,9.0,6.5,2.0866955325,0.4669765858,1.8782944472,-0.48079958650000004,0.25,-0.0777069286,-0.5272081776,-0.9092231175000001,3.5016887022,1.8401861665,0.1600786321,1.989712418,-1.0816155204,3.2951286846,217.0,10.925098711,0.2565783653,8.0,0.5907514930000001,0.0013580401,0.9707031250000001,0.0020802717,0.7222222222,-3.664674886451777,-3.664674886451777,-3.664674886451777,-0.2941775285,1.6258521784000002,0.2937074511,2.4428541238,-0.44315017290000003,348.5,2.4831052143,0.2860772802,1.2805078917000001,6.0,112.0,-20.5666405171,0.5749289078,12.0,1.0421407803,0.4386390678,1.7376499563999999,-0.8171350042000001,3.0911455591,0.4026313917,1.8647816461,-1.2959175231,0.3665835411,-0.0082767607,0.0079091704,8.2255207299,0.6742025776,0.1496514705,2.5850903724,0.260031992,1.7114329529,0.0443908323,296.0,6.5,5.2,295.3333333333,3.8581927123,0.2864239507,0.4353472070804521,297.1666666667,2.1540908625,0.3103001302,1.3810311202,1.5472410579,0.34111319970000004,1.6995925761000001,-1.0625602482,0.032653077600000004,-0.1189578285,1.3569084564,0.3091898577,1.6798949258,0.0491835063,-0.3812189304,1787.9242424242,1.0,11.0,3688.25,0.8825150781000001,0.20350087900000002,1.5619455955000001,0.8229371665,0.3778537623
s014,0.7549122433000001,0.0357384568,1.3919384468,1.6,11.76,0.1666666667,12.75,0.0666666667,-0.2184134787,-1.2321064062,3.3961957206,0.37011476460000003,1.6747883918,-0.1284027909,0.5590325342,-1.8687255787370276,-2.5358395186103335,-7.494881841799583,-2.736799369475726,3.1314006912,0.2727737249,1.526952084,0.33333333330000003,0.6666666667000001,11.3333333333,0.09166666670000001,0.0,-0.0016666667,-1.8333333333000001,6.1666666667,0.2503735326,3.0,-0.0100149413,-2.4951974386,-0.0027181657,0.6590894145,6.9,6.3,1.1474129418,0.3959858358,1.5247931414,-1.5083588476,0.381388888891,0.08553429,-1.5153912327999999,-1.4200399192,2.4800550988,1.7121733342,0.0864820642,1.860161884,-0.8005189753,3.0881574643,125.0,59.8991114415,0.8568707964000001,6.0,0.6273424149,0.00134547,0.7109272003,0.0018064547000000001,0.47222222220000004,-1.3862943611198906,-1.3862943611198906,-2.748384152235016,-0.9433666683,1.7994053475,0.4838653859,1.3701975055,0.13936568770000002,348.62833333334015,2.6379480439470004,0.3297396474629999,1.6380159821950004,17.69,66.045,2.8797947322649997,0.2698720297,1.0,1.4305699221000001,0.3919524641,1.9362216841,-0.1397913087,1.5476595383,0.21091737470000002,2.2804883746,-0.4283147037,0.3656716418,0.018752158300000002,-0.0023346994,1.0,0.0,0.1,2.4557702075,0.3047299959,1.6068639375,-0.5878370851,349.0,6.5,4.9,389.0,2.802348913,0.3628625032,0.266588554117673,321.3333333333,1.7849415452000001,0.2179121117,1.6686877471,2.8890416931000003,0.3980907301,1.6789482599999999,-1.8940458937,-0.17834695220000002,0.26720816680000004,1.3227844892,0.3844382471,1.3381217890000001,-0.22228397300000002,-0.1235013905,2717.1904761905,16.0,5.0,4030.0833333333,-0.4142428826809999,0.102256220691,-0.504783010196,0.4370257158,0.34132697230000003
s015,1.5722458917000002,0.1887899391,1.3499507056,2.4,41.2352941176,0.4333333333,35.4666666667,0.5,-0.8004296858000001,-0.8207932898,3.9409223961,0.32837475320000004,1.8464549207,-2.2016508376,0.35908561640000003,-3.1833417596348754,-3.3579509326682366,-7.55314234950583,-4.209769386895026,2.475853945,0.27511238450000003,1.3730551644,0.6666666667000001,0.33333333330000003,14.625,-0.0041666667,1.0,-0.00016666670000000001,-5.375,10.2916666667,0.2323529412,2.0,0.0006176471000000001,-6.3455882353,-0.0259313203,0.8086626636,9.8,5.8,2.6736022520000002,0.3811988905,1.7638858810000002,-0.940910321,0.31916666667300025,-0.1788576398,0.1915126983,0.0,5.3201349372,3.2917398139,0.17179743660000002,2.8292419417,-1.327315884,3.310775983,167.0,10.925098711,0.2565783653,8.0,0.7067575455,0.0015690091000000001,0.9937500000000001,0.0018166595000000002,0.8055555556,-2.748384152235016,-2.067339257049917,-2.748384152235016,-1.4508796343,1.7205306921,0.40679551350000004,1.5427386961,-0.8859210157,325.16666666666293,2.909646797446001,0.31276654419600014,1.4671990947059996,26.505,62.76,6.3976894761,0.4968135329,13.0,1.6591613679,0.5560313796,1.4106644079000001,-0.6636133827,3.4967392734000002,0.3699571513,1.5197969041000001,-1.5578128866,0.4536585366,0.0647712227,-0.0022411557,7.4691279738,0.7524241659,0.22466185630000002,3.0142907943,0.2761744646,1.1812078486,-1.0785750591,299.5,6.7,5.4,309.1666666667,2.7473849862,0.32486845340000003,0.1344073398706923,261.8333333333,3.1941755880000002,0.3691814144,1.2128399258,2.2133783041,0.4470763961,1.5659030068000002,-1.2643151016,-0.4102877165,-0.6240805326000001,1.7360370998999999,0.3187418745,1.400460067,-0.12898786410000002,0.1599748211,1923.8316666667,9.0,9.0,3099.75,-0.4523090957,-0.0489741744,-0.6552395343,0.8784731181000001,0.3737064444
s017,0.9026273702000001,0.1758280424,1.9487345973,2.2,23.6363636364,0.2666666667,10.0,0.2,-0.8839589916,-0.6118808111,3.5573578519,0.4153677411,2.3008138578,-0.3237967666,0.8012517123,-0.5712068926638991,-1.4401504174203914,-9.45756147506945,-8.1552620853318,2.2272144099,0.27789349550000003,1.7231184347,0.6666666667000001,0.33333333330000003,5.0,0.075,0.0,-0.0033333333,-0.75,6.5,0.1383333333,1.0,-0.0122,-0.7833333333,-0.020950155800000002,0.8359813084000001,8.0,7.4,2.032875304,0.4448642699,2.1626694095,-0.8390363882,0.8333333333,-0.35975088110000003,-0.16761351430000002,-0.5542288687,2.8827508555,1.8217599063,0.23853898240000002,1.850374288,-0.9575666758,4.0502743994,235.0,59.8991114415,0.8568707964000001,6.0,0.8563354492,0.0019972663000000002,1.0,0.0020916368000000003,0.47222222220000004,-8.511264302067358,-8.511264302067358,-7.365900695568905,-1.4726568944,1.848865611,0.36253858850000004,2.1742139731,-0.6225453856000001,320.0,2.5762300008,0.3810433542,1.8496825542000002,-43.5,56.0,26.4892180955,0.5339308097000001,10.0,1.7250372079,0.503934267,2.1624563694,-0.6789466739000001,2.0865553324,0.4011497603,1.8298360701,-1.3633023773000001,0.469816273,0.0761059334,-0.0032818462000000002,6.7344035592000004,0.6317974221,0.2167872277,2.4819453868,0.303544723,1.7532122224000002,-0.4688989717,359.0,5.0,6.4,294.6666666667,3.3478329843,0.33535972080000004,0.6217771779521015,302.3333333333,3.140251696,0.22737215400000002,3.2989122309,2.1752233744,0.3739368638,2.123313724,-0.6532083255000001,-0.1856124129,0.4189023013,1.8065262235000001,0.3145502885,1.9018537334,-0.4253345693,-0.2002669866,1567.3343253968,5.0,10.0,4024.0,0.5694584114,-0.25630325600000003,0.07783284700000001,0.1271461984,0.2921138351
s026,1.3699224524,0.23336610600000002,1.0411009778,2.1,43.0869565217,0.2333333333,23.9130434783,0.2333333333,-0.5950253578,0.0222066897,3.3244856887,0.31896621340000003,1.9524976606000002,-0.0814158174,0.8312619863,-1.8405217230869833,-3.1680899368144737,-9.789667916336668,-6.341435044729682,4.1380094978,0.28416669240000003,1.194988183,1.0,0.0,10.0,1.665334537e-16,1.0,-1.474514955e-17,0.0,6.0416666667,-0.0035714286,0.0,-0.0001428571,0.0357142857,-0.4397196371,0.7318736961000001,7.5,6.8,2.6831739813,0.3425308139,2.3044382934,-0.15369818470000002,0.2777777778,-0.4940811728,-0.0742655204,0.1976700244,4.9247948884,3.6880553626,0.0532956182,5.6556309735,-1.1652624446,3.6348828618,175.0,25.7627506452,0.3968411315,9.0,0.7183802605,0.0023475321000000003,0.9771484375,0.0028280387,0.5,-4.625581180301964,-3.664674886451777,-3.664674886451777,-0.975027359,2.1134974153,0.4168104084,1.9091167462,0.1803168446,232.3333333333,3.040376507,0.34892670600000003,1.1086013965000001,-10.0,21.0,8.96839614869,0.7593680811,14.0,1.4931763329,0.5269068169000001,1.8050598923,-0.2806414474,3.1851582055,0.4116593886,1.7388281953,-3.6341487129,0.3842364532,0.0894928128,-0.0039914461000000005,8.6165476985,0.5809996352,0.1427304522,2.41502216,0.3003186695,1.3352735045,-1.084882682,304.0,7.5,6.3,263.3333333333,3.393284079,0.37110950800000003,0.2183175670424971,241.5,3.3526331509,0.3187336649,1.2900907936000001,2.301582088,0.3877030144,1.54743259,-0.6836352218,-1.0861085514,-1.4764235051,1.4401920607,0.3362083947,1.4725748338,-0.7981974144,-0.5913618338000001,1956.6166666667,7.0,8.0,2455.1666666667,-1.5372975842,0.4173329951,-0.8250892826,0.2006291395,0.14992088480000001
s027,1.5861007354,0.22027544000000002,1.6124725504000001,2.4,13.2,0.1666666667,33.125,0.4666666667,-1.1808476366,-0.6034593299000001,3.4339781775000002,0.37855818090000004,1.540938801,-1.2004884798,0.17235359590000002,-3.0984896359128404,-3.1939326583032446,-6.889865263876853,-3.268015933761146,3.7840646267,0.25121772270000003,1.6843729219,0.6666666667000001,0.1666666667,5.0833333333,0.0416666667,1.0,-0.019,0.25,8.5833333333,0.1848201136,2.0,0.00040311380000000003,-1.3611403324,-0.10806032460000001,1.1609934819,8.3,6.5,2.2849398676,0.3021934322,2.0248098846,-0.30318654230000003,0.3133333333340002,-0.308358931,-0.1403103826,-0.3884511935,3.7790742791,2.4511556622,0.0714655015,3.4540989655,-1.0170844173,3.9312389163,155.0,1.2928725743,0.0438060331,4.0,0.6938799858,0.0019379015,0.6649845123,0.0024244932000000003,0.7222222222,-3.664674886451777,-3.664674886451777,-2.748384152235016,-1.9359418212000001,2.3063594420999998,0.4328832528,1.4259253551,-0.28775916230000004,236.1666666667,3.2095363283,0.2115262575,2.70728872,0.5,144.5,4.037314231328999,0.3102803725,9.0,1.5900765644,0.415318936,2.4612563024,-0.2502881275,1.9835317403000001,0.38218520580000004,2.0216762218,-1.3089984976,0.473832314407,0.06502218396799998,-0.0006206183909999993,8.155057521867,0.5673444962270002,0.21620143440599995,3.1830911226,0.2576305125,1.8419778336000001,-0.2177715919,278.5,6.2,6.6,214.3333333333,3.9821451681,0.15869262720000002,1.087235695946867,168.0,3.4908847819,0.2189195847,2.1740765546,2.6042566153,0.2970615028,1.7257192472,-0.3128327323,-0.16859389360000002,-0.0899251606,1.8859344743,0.2990774913,1.6091669577,-0.8336902944,-0.8157957346,1350.6296296296,23.0,5.0,2417.5833333333,0.06816970235099999,-0.018085875034000005,0.061304946219000005,0.1688114436,0.1809482422
