,adaptive_n_back.hddm_drift,adaptive_n_back.hddm_non_decision,adaptive_n_back.hddm_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_loss_percent,attention_network_task.alerting_hddm_drift,attention_network_task.conflict_hddm_drift,attention_network_task.hddm_drift,attention_network_task.hddm_non_decision,attention_network_task.hddm_thresh,attention_network_task.orienting_hddm_drift,bickel_titrator.auc_large,bickel_titrator.auc_medium.logTr,bickel_titrator.auc_small.logTr,bickel_titrator.hyp_discount_rate_large.logTr,bickel_titrator.hyp_discount_rate_medium.logTr,choice_reaction_time.hddm_drift,choice_reaction_time.hddm_non_decision,choice_reaction_time.hddm_thresh,cognitive_reflection_survey.correct_proportion,cognitive_reflection_survey.intuitive_proportion,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.hddm_drift,directed_forgetting.hddm_non_decision,directed_forgetting.hddm_thresh,directed_forgetting.proactive_interference_hddm_drift,discount_titrate.percent_patient,dot_pattern_expectancy.AY-BY_hddm_drift,dot_pattern_expectancy.BX-BY_hddm_drift,dot_pattern_expectancy.bias,dot_pattern_expectancy.dprime,dot_pattern_expectancy.hddm_drift,dot_pattern_expectancy.hddm_non_decision,dot_pattern_expectancy.hddm_thresh,go_nogo.bias,go_nogo.dprime,hierarchical_rule.score,holt_laury_survey.beta,holt_laury_survey.risk_aversion,holt_laury_survey.safe_choices,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.hyp_discount_rate_large.logTr,kirby.hyp_discount_rate_medium.logTr,kirby.hyp_discount_rate_small.logTr,local_global_letter.conflict_hddm_drift,local_global_letter.hddm_drift,local_global_letter.hddm_non_decision,local_global_letter.hddm_thresh,local_global_letter.switch_cost_hddm_drift,motor_selective_stop_signal.SSRT,motor_selective_stop_signal.hddm_drift,motor_selective_stop_signal.hddm_non_decision,motor_selective_stop_signal.hddm_thresh,motor_selective_stop_signal.reactive_control,motor_selective_stop_signal.selective_proactive_control,probabilistic_selection.positive_learning_bias,psychological_refractory_period_two_choices.PRP_slope,ravens.score,recent_probes.hddm_drift,recent_probes.hddm_non_decision,recent_probes.hddm_thresh,recent_probes.proactive_interference_hddm_drift,shape_matching.hddm_drift,shape_matching.hddm_non_decision,shape_matching.hddm_thresh,shape_matching.stimulus_interference_hddm_drift,shift_task.acc,shift_task.learning_rate,shift_task.learning_to_learn,shift_task.model_beta,shift_task.model_decay,shift_task.model_learning_rate,simon.hddm_drift,simon.hddm_non_decision,simon.hddm_thresh,simon.simon_hddm_drift,simple_reaction_time.avg_rt,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.SSRT,stim_selective_stop_signal.hddm_drift,stim_selective_stop_signal.hddm_non_decision,stim_selective_stop_signal.hddm_thresh.logTr,stop_signal.SSRT_high,stop_signal.hddm_drift,stop_signal.hddm_non_decision,stop_signal.hddm_thresh,stroop.hddm_drift,stroop.hddm_non_decision,stroop.hddm_thresh,stroop.stroop_hddm_drift,threebytwo.cue_switch_cost_hddm_drift_100.0,threebytwo.cue_switch_cost_hddm_drift_900.0,threebytwo.hddm_drift,threebytwo.hddm_non_decision,threebytwo.hddm_thresh,threebytwo.task_switch_cost_hddm_drift_100.0,threebytwo.task_switch_cost_hddm_drift_900.0,tower_of_london.avg_move_time,tower_of_london.num_extra_moves,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance,writing_task.neutral_probability,writing_task.positive_probability
s110,0.7538256102,0.2070828322,1.168139306,1.4,29.7391304348,0.2333333333,17.0833333333,0.2,-0.0552928923,-0.7251470063000001,3.6359742788,0.2677700383,2.0319758888,-0.763318758,0.0484777397,-2.962688395908885,-3.423253916460579,-4.593403723123269,-3.2789127733047176,3.2439040404,0.25436718,1.0420070908,0.5,0.1666666667,9.9166666667,0.025,2.0,-0.0053333333000000005,-3.8333333333,20.7916666667,0.1693246371,1.0,0.0008950137000000001,-5.8169577109,0.2107388965,0.8631430465000001,5.1,4.3,1.7270478698,0.3527539635,1.3239137194000001,-0.2832552632,0.32611111111400004,-1.8794650463,-1.1603145254,-0.7431748626,3.0696269408,2.1002971345,0.0633574713,1.6573949275,-0.6529863250000001,2.9892151171,95.0,25.7627506452,0.3968411315,9.0,0.6178581238,0.002018817,0.6774986267,0.0017493105,0.4166666667,-3.664674886451777,-1.8444397271102142,-1.3862943611198906,-1.0896856896,0.3981471586,0.1965449842,1.4125557789,0.1160986866,339.9533333333391,2.765311970946001,0.31059233281000004,1.588565257282001,7.115,85.515,5.5347710963450005,0.5003159652,7.0,0.6109145671,0.3045931106,1.5096497061,-0.3003501247,2.6879118650000002,0.3220417762,1.396345534,-2.5299604327000003,0.48166259170000003,0.0711726062,-0.0061239651,3.3807943529,0.7267789534,0.35005644550000004,2.0005790118,0.2192963847,1.0501140071,-2.1995946811,286.5,5.3,5.1,306.188333333334,2.9713461920240007,0.315657640665,0.3897257522030346,269.26083333332997,2.456474762228001,0.3063077729489999,1.5646267742450004,2.022995001,0.3050520615,1.4477589554999999,-1.7670073089,-0.36210423938499986,-0.291777957534,1.2900262609760003,0.24992372895899986,1.702680230316,-0.38132575369600014,-0.3366335736430004,2326.287037037,0.0,9.0,5610.5,-0.37983955158500005,0.20317434876399992,-0.4193960438659999,0.8923197916000001,0.33001776920000003
s111,1.049175179,0.0543351864,2.1659866682,2.55,26.4,0.1666666667,19.3181818182,0.2666666667,-0.6400104427000001,-0.9507413314000001,2.9497572294000003,0.3667436975,1.7365881418,-0.31346574860000004,0.0335582192,-3.423989403669586,-3.209989909313958,-1.1150776529483766,-1.7822172509484262,4.5092738568,0.2645305465,2.0789736793,0.6666666667000001,0.33333333330000003,9.25,0.1833333333,0.0,0.0016666667,1.5833333333000001,15.3333333333,0.0352380952,0.0,0.0036238095,-0.48095238100000004,-0.0639244094,1.0682924593,8.5,10.6,2.9965118951000003,0.33753327710000003,2.0459489311,-0.3201076364,0.5277777778,-2.1117858881,-0.7411814998,-0.3536410916,3.775523272,1.7405348287,0.0066149741000000005,2.4564324243,0.31905308400000004,5.327301583,113.0,10.925098711,0.2565783653,8.0,0.6233879924,0.0008840755000000001,0.8870090485000001,0.0015282755000000001,0.5833333333,-3.664674886451777,-3.664674886451777,-4.625581180301964,-0.9631613226,0.5856203859,0.49857917430000004,1.804178506,-0.3480110066,328.9799999999999,2.9673134082679984,0.3042347928210001,1.7860699669829996,10.935,101.695,13.5430138153,0.76780885,12.0,1.2240509445,0.4734134978,2.0109151762,-0.1800431586,3.0175219215,0.008571266400000001,4.5347863765,-0.9451606774,0.5940594059000001,0.0673314084,-0.0008645869000000001,4.2045880649,0.536878563,0.3247785711,2.3712990192,0.3159668172,1.7950164487,-0.5839189395000001,307.5,6.1,5.5,205.8333333333,3.9160711064,0.2685007,1.184671903809423,350.6666666667,2.6771250459,0.2566947933,1.9529525842000002,2.3815518613,0.3167370619,1.9425875275000002,-1.1341230864,-0.0411092313,-0.8583283669,1.3927807389,0.3194108245,1.6634808266999999,-0.5256671837,-0.0730530866,1865.25,3.0,10.0,2895.5,-1.5838205555,0.3114051986,-0.9301934173,0.2073175136,0.25157822550000003
s112,1.0674001209,0.23848419310000002,1.6653402909000001,2.15,31.2272727273,0.2666666667,24.0,0.5333333333,-0.4087900538,-0.670300601,4.2818200374,0.282387104,2.3563331852,-0.8978275798,0.21968835620000002,-2.2401249285818237,-1.3072932915168196,-5.887811015518848,-2.7384062211274225,4.3237522515,0.19581234990000002,1.665320585,0.5,0.1666666667,6.2083333333,0.28750000000000003,3.0,-0.013166666700000001,-1.2083333333,9.125,0.3710526316,3.0,-0.0119298246,-3.149122807,0.0876522336,1.2536082727,8.2,7.6,2.5771823677,0.45674969740000004,1.9843194311,-1.5188508665,0.34833333333799993,-0.46125056140000004,0.3077778417,0.0,5.3201349372,3.4307609813,0.0858075694,4.2394162387,-1.070541321,3.8243251091,211.0,25.7627506452,0.3968411315,9.0,0.6868490219000001,0.0018928788,1.0,0.0026576173000000002,0.47222222220000004,-1.8444397271102142,-2.067339257049917,-1.3862943611198906,-0.7528245405,2.2483926794,0.30321246830000004,1.9751140637,-0.5638425393000001,253.6666666667,3.032966167,0.2855532831,1.1685241044999999,53.0,-4.0,-4.4643476582,0.4396209612,15.0,1.6024791858,0.40008949660000004,2.4296554975999998,0.2435196722,4.006142222,0.3933346169,1.9859121875999999,-1.3765039666,0.47549019610000004,0.0746374105,-0.0009913686,6.3426376367,0.4691922724,0.2577556525,3.3399439939,0.2132759187,1.6458442585,-0.1652879716,238.5,7.5,5.6,196.5,2.3753826749,0.2754563712,0.23227166661703233,182.3333333333,2.8033798465,0.235913636,1.4298010767,3.1967290912,0.2728068133,2.3907275284000002,-1.0774701844,-0.5560475772,-0.0566739889,1.8895619203,0.27003138050000003,1.9768712791,-0.49789749170000003,-0.5866383054000001,1093.7513257576,25.0,7.0,2776.6666666667,0.7151107724,-0.0704879881,-0.0129838665,0.4930716828,0.3385289674
s121,1.2547955412,0.37274243030000004,1.5839283712,2.95,33.5,0.33333333330000003,28.0,0.33333333330000003,0.1689696015,-0.8209940197000001,2.9138617159,0.43338654120000003,1.9174322364,-1.0514911691,0.5887517123,-1.2041668871587905,-0.7179171933806374,-8.341249848920626,-6.734813407557127,3.8128801990000003,0.2926341347,2.2763935354,1.0,0.0,8.0,2.359223927e-16,1.0,-0.0083333333,0.0833333333,17.25,0.1605633803,2.0,-0.0072676056,-1.9647887324000002,-0.035811909600000004,0.9684031065,7.7,8.5,1.6205776457,0.5482556726,1.9734474895,-0.10642418910000001,0.9444444444000001,-3.0990226636,-0.5260200328,-0.4424163399,3.1063759132,1.5502364668,0.0547250102,2.0533178953,-1.0082628,2.672669815,210.0,59.8991114415,0.8568707964000001,6.0,0.8113300324,0.0012032597,1.0,0.0015905436,0.5833333333,-6.449609932071972,-7.365900695568905,-7.824046010856292,-0.3871379702,0.9779749057,0.42521643330000003,2.0487777039,-0.2061269803,341.6666666667,2.1197166525,0.39435481250000004,1.1851657793,-46.0,44.0,4.130601657889996,0.7371513646000001,12.0,1.4905422539,0.5722922832,1.7281827068000002,-0.7657891336,2.3718517883,0.5147076373,1.7236081888,-0.8611852211000001,0.4151898734,0.0693913635,-0.0060887824,4.9972315777,0.5144469282,0.2366323851,2.5580768626,0.4015852626,1.8399343672000001,-0.3705141134,393.5,6.5,4.6,428.1666666667,2.3875800981,0.3744256213,0.2846909051930321,360.5,1.8332508555,0.2900787697,1.5711560231,1.5959042708,0.5347069043,1.4149396051,-0.5370564106,-0.0692598593,0.0481925641,1.3410850756000001,0.3072005927,1.6666024779000002,-0.6354404737,-0.6517907062,1770.3700396825,6.0,9.0,3042.75,-0.23083977830000002,-0.4546225567,-0.19657400260000002,0.185026834,0.1959866143
s128,1.596737019,0.2579180653,1.3552145514,2.55,28.6956521739,0.2333333333,21.8421052632,0.36666666670000003,-0.07489594000000001,-1.1102449011,2.9091516724,0.39713772540000003,1.6365967864000002,-0.7765847617,0.1252671233,-3.318473867179767,-2.278761551595203,-5.520247429437237,-2.6944420420293036,3.4466544594,0.3153150548,1.2349942519,0.6666666667000001,0.33333333330000003,7.25,0.1,3.0,-0.004,-2.25,8.875,0.2900175131,2.0,-0.0076392294,-1.4827370528000001,0.5305493840000001,0.4510560637,7.4,6.2,3.591317666,0.420004812,1.56622633,-0.8201991091,0.36999999999800004,-0.7388775512,-3.6546130118,-0.9389161248000001,0.1035391316,1.3213446292,0.33674980200000004,1.0712467975,-1.1652624446,3.6348828618,155.0,25.7627506452,0.3968411315,9.0,0.7680843353,0.0012677962000000001,0.8839675903,0.0015923411,0.5833333333,-2.748384152235016,-2.748384152235016,-1.8444397271102142,-1.5143309153,1.8081334503000002,0.5013329573,1.9272172346,-0.6153350147000001,380.1666666667,2.5405495063,0.36589707520000003,0.9324872477,30.0,14.0,-8.5778172494,0.6289838072,13.0,1.8003038664000002,0.439041114,1.6674247331,-0.8385049480000001,2.5207618189,0.4245216701,1.5211153469,-1.4620466658,0.4485294118,0.07972604920000001,-0.0052348001,5.7339013817,0.5300457435,0.19311485350000002,3.087500126,0.31801801090000004,1.5039192967,-1.4759661833,348.0,5.4,5.8,367.0,3.0504298697,0.3476436813,0.2136683017032751,312.6666666667,2.5922543419,0.3459610979,1.3464531213,2.6689942505,0.36911745900000004,1.9725556024,-1.8143499987,-0.6277267571,0.016918913,1.7556525181,0.41003986800000003,1.4247812539,0.043827273900000005,0.0570560328,1836.6759259259,1.0,8.0,7186.3333333333,-0.2722315269,0.0315648018,-0.5153969343,0.8630164529000001,0.27840498950000003
s129,1.2157643695,0.2407582459,1.1839780761,1.55,32.2380952381,0.30000000000000004,20.5263157895,0.36666666670000003,-0.7170300390000001,-0.6181967918,3.6317682373,0.3918286472,2.1467546613,-1.0601288625,0.1931284247,-1.4842961736797509,-1.1419122010050202,-6.9393431644213495,-7.982237552312426,4.2875719198,0.2992696307,1.3180629453,0.5,0.1666666667,3.75,0.033333333300000004,2.0,-0.0103333333,-1.25,4.5416666667,0.1070460705,2.0,-0.006723577200000001,-1.7357723577000002,0.1316481415,0.34871618660000003,6.1,5.8,1.8785263273,0.5471658782000001,1.6265243146000001,-1.141392508,0.6111111111,-0.9416857015000001,-0.38553276680000004,0.0,5.3201349372,3.0357877184,0.26717025380000003,3.0011094,-1.0170844173,3.9312389163,206.0,25.7627506452,0.3968411315,9.0,0.8792638779,0.0013619672,0.8770751953,0.0013185733,0.5555555556,-7.824046010856292,-5.553730190361736,-7.824046010856292,-1.4840021527,1.906426368,0.41559314410000003,1.4830067225,0.0616581838,308.6666666667,2.8363234824,0.3177011641,1.5489420665,19.0,68.5,3.241463809555,0.5055458483,10.0,1.6643892695,0.47510840990000003,1.9500023740999999,-0.3746131992,3.0309080855,0.4270318582,1.3295463127,-1.0166776509,0.4191176471,0.09185728800000001,0.0001249489,8.7860218863,0.59785928,0.13520988450000002,2.9747804853,0.3144966677,1.4443155038,-1.1690903953,366.0,5.9,5.6,347.8333333333,2.8403571493,0.2950087416,0.4208225921423054,281.5,2.6811188478,0.3552021121,1.2402413891,1.8209178136,0.3695218659,1.5872004456000002,-0.8575594834,-0.622821411,-0.5164420792000001,1.1126628393,0.3767108873,1.4421075196,-0.5601726875,-0.7511597172000001,1940.1,13.0,7.0,3584.75,-0.8669558357,0.1435223481,-0.6638107554,0.8635762622,0.3395718505
s142,1.2750411846,0.1611077679,1.7080399096,2.25,18.0909090909,0.2666666667,18.9583333333,0.2,-0.5491591561,-0.2765686035,3.8767039536,0.3480248306,2.3203789943,-0.1931835906,0.8296678082000001,-0.647959387621583,-1.9317067029585968,-10.019504648382483,-6.507154248007052,3.9822631678000002,0.2553334631,1.8336574746,0.5,0.5,7.5,0.45833333330000003,3.0,-0.006666666700000001,-2.5,5.7916666667,0.4375,1.0,0.0007142857000000001,-0.2916666667,-0.0966466601,0.6313096402,6.9,5.2,1.5892341315,0.3378067993,1.6559560493,-1.1661768282,0.4130555555589999,-1.1213792209,-0.9265981848,-0.5629734621,4.194188013,2.9032794266,0.010083330100000001,3.0752582068,-0.5400116798,3.2151644074,212.0,25.7627506452,0.3968411315,9.0,0.7684188843,0.0024697789,0.9909179688,0.0022422898,0.5277777778,-1.8444397271102142,-4.625581180301964,-1.8444397271102142,-1.1528135071,1.4019408202,0.0901297061,2.4710816243,-0.0840694224,259.8333333333,3.4586100583,0.26270042450000003,2.1261583968,33.5,32.0,0.7765825291800001,0.4560966407,7.0,1.5155471328,0.4517635185,1.7920948864000001,-0.3932090945,5.0368493034,0.3678747643,2.3623975934,-0.7097667163,0.3613861386,0.0598783271,-0.0032981225000000003,0.0682146517,0.0017914245,0.08713742990000001,1.9310297817,0.30881797650000004,1.6298959641000001,-0.031140929900000003,317.0,6.4,5.1,263.5,3.3695389093,0.3495370788,0.9437796436220902,232.0,3.2806681739,0.3686414381,1.9263818716,3.000790265,0.355489353,1.9151603970000002,-1.8237744326,-0.8714243626,-0.16756492150000002,1.1001556131,0.140657749,1.8441031732000002,-0.2763685249,-0.3041062094,1470.8263888889,4.0,9.0,3968.1666666667,-0.10156997071900004,-0.06449598697200001,0.03989705191100002,0.8598967579000001,0.3567945394
s145,1.1032689161,0.243243742,1.5126931012,1.9,32.380952381,0.30000000000000004,33.4210526316,0.36666666670000003,-0.4161104954,-1.0654400948,2.2717321023,0.31401088590000004,1.6431756441,-0.3997490335,0.1124606164,-2.7830265691255813,-3.4461481785935617,-6.551398205558884,-5.04979546708213,3.2711158152,0.2280528506,1.1501277944,0.8333333333,0.1666666667,8.0,0.058333333300000005,2.0,-0.0053333333000000005,-2.1666666667,15.2916666667,0.09781323880000001,1.0,-0.0039125296,-2.6052009456,0.0321160231,1.0251965752,7.2,6.9,1.8197528808999999,0.0349396911,2.5272881668,-0.1145267533,0.2222222222,-3.9954669632,0.6253723054,-0.0239686552,3.1161783991,2.2250826168,0.225413617,1.0171095294,-1.5092602536,2.9468872438,120.0,25.7627506452,0.3968411315,9.0,0.8040359497,0.0011578557,0.9466796875000001,0.0013565214,0.4444444444,-2.748384152235016,-3.664674886451777,-3.664674886451777,-0.7324661664000001,1.4013296853,0.4282263933,2.0315420604,-0.24344224420000002,343.1816666666731,2.7122874833569997,0.312227340409,1.498243728417,18.33,81.555,5.936138072731001,0.5746654042,8.0,1.497254742,0.6701494746000001,1.8934110799,-0.37845428810000004,2.287917085,0.1316216208,2.8560066109,-0.1722044852,0.43137254900000005,0.0519640553,-0.00046877480000000004,7.9566921099000005,0.5146985740000001,0.17905685600000001,2.8204909128,0.2538907956,0.9815114540000001,-1.6741969777999999,267.0,5.6,5.2,309.0,2.8351093442,0.2322193535,0.4316655435572092,285.894999999998,2.5179065652000006,0.29935770988599997,1.552664186757,1.4453690817,0.33125309280000004,1.4784896017,-1.2112127166,0.008067235800000001,-0.2449755831,1.2503760927,0.2045668404,2.0190874166,-0.6683105477,-0.7097776168000001,2264.2166666667,8.0,8.0,3378.3333333333,-1.1253289999,0.8315630555,-0.6997601676,0.7981536578,0.5753656030000001
s149,1.0527625572,0.3354904146,1.6986195348000002,2.4,2.0666666667,0.0,2.1034482759,0.033333333300000004,-0.7180299875,-1.2956263332,3.4853087642,0.4131695174,1.8663670799,-0.219357361,0.1512517123,-1.8405217230869833,-2.935962166378279,-6.822567797612691,-6.341435044729682,3.7877992226,0.23315359900000002,2.4045426548,0.8333333333,0.1666666667,13.0,0.058333333300000005,1.0,-0.005,-3.75,9.3333333333,0.0388095238,1.0,-0.0017809524,-4.6714285714,-0.0120842132,0.700048086,9.5,10.6,2.3354403491,0.3576884021,2.2107538989,-0.9733489788,0.6944444444,-1.9127770199,-0.2745940264,0.0,5.3201349372,3.8751334340000003,0.1164252624,3.5789787387,-0.6385135918,3.4121682313,111.0,7.6113128603,0.3752535483,7.0,0.8774719238,0.0012237025,0.99453125,0.0017994426,0.6666666667000001,-6.449609932071972,-6.449609932071972,-5.553730190361736,-0.6275846773,1.2953716086,0.3723283992,2.018282766,-0.7242651807,301.8333333333,3.4154794203,0.3263350928,2.0878297630000002,-27.0,52.5,5.211266932084,0.5103874254,10.0,1.9571113629,0.4952441527,2.395068143,-0.4157074404,2.9818289698,0.5017062285,2.1730506068,-1.5475485317,0.4938875306,0.0906136334,-0.0041094792,14.2536236386,0.3823243169,0.1459296119,2.7597077785,0.3150285568,1.8881768059000001,-0.2328582348,342.5,6.0,6.3,320.8333333333,3.6603171391,0.37954801060000004,0.7892282465642279,289.3333333333,4.1194713101,0.2980989579,2.3375709004,2.7161498759000002,0.4052196534,2.5038733418,-0.47235728180000003,-0.5669361959,-0.0080485984,2.0220777772,0.34340283400000005,1.8471840642,0.0459769524,-0.4599983936,2201.0648148148,8.0,8.0,3865.25,-0.6347735844,0.008401998,-0.5667805989,0.8186787320000001,0.1980654319
s161,1.1655038487,0.20491310540000002,1.4508123206999999,2.05,27.692307692299998,0.1333333333,15.2173913043,0.2333333333,-0.6094802374,-1.0587700391000001,3.3767217719,0.2920639862,1.7931247842,-1.3423201755,0.4898535959,-1.770130348046674,-2.554675261798129,-8.036620301606721,-5.5749442401902485,4.0108432216,0.22950895600000001,2.2156506121,1.0,0.0,9.3333333333,0.125,2.0,-0.0116666667,-4.5833333333,10.1666666667,0.27372185990000003,3.0,-0.0212127078,-1.7423732379999999,-0.2206835762,1.0034187048,9.0,8.5,2.3213277632000002,0.41729653110000003,2.1425330095,-0.17028152670000002,0.47222222220000004,-1.982609846,0.2715647753,0.4181320954,4.4838707464,2.5552100408,0.18475282680000002,2.1003113705,-1.2494826612,3.4664424285,209.0,10.925098711,0.2565783653,8.0,0.8344177246000001,0.0010259156,1.0,0.0016173992000000001,0.4166666667,-4.625581180301964,-4.625581180301964,-3.664674886451777,-0.9937941942,1.494824621,0.3638806562,2.3269917159,-0.47110235840000003,400.3333333333,3.1858515507,0.2926838742,1.6324382399,5.0,75.0,8.4523597064,0.48609942800000006,15.0,1.9092136397,0.5355309973,2.3231643871,-0.407678184,3.0355596007,0.4195077397,1.4431660366,-0.8784413828000001,0.5452322738000001,0.051469189500000005,0.0044240188,9.1901941642,0.7264042974,0.20648775930000002,2.6779219277,0.2351077822,1.9500810835000002,-0.4444052746,258.5,6.9,5.4,243.8333333333,4.0759553419,0.3447508555,0.4837389951095982,230.1666666667,2.9696355068,0.295529131,1.603601141,1.9601575647,0.3527354944,1.8984647854,-0.4192682608,0.0955243868,-0.5296580188000001,1.3837635997,0.32123494080000004,1.6140082952,-0.62179557,-0.24534276100000002,1962.5470899471,19.0,5.0,3346.6666666667,0.3607559622,-0.32615953270000003,0.060125986400000005,0.17463895940000002,0.17774387060000002
s163,0.7712412564000001,0.038875287700000004,1.4714249168,1.4,31.8181818182,0.2666666667,31.0,0.33333333330000003,-0.36605980860000004,-1.3790605772,2.9027811179,0.3632220277,1.7850872032,0.1431813808,0.9625017123,-0.3129881723336707,-0.03173986057298802,-12.343015565086535,-9.774148435230646,3.7679015658,0.1124273184,3.0169818627,0.5,0.5,8.75,-0.0083333333,0.0,0.0003333333,0.25,7.9583333333,-0.0038585209,0.0,-0.00015434080000000002,0.040192926000000004,0.2996226365,0.5530397989,7.7,5.5,1.9331393688,0.44218121930000004,2.2353410552,-0.5689894598,0.5561111111159999,-0.2226550397,-5.1877230111,-0.32828376801000014,3.2294033759660024,1.7081577397,0.3074191519,1.2362130658,-1.2989724053,2.0912506043,225.0,7.6113128603,0.3752535483,7.0,0.7493646622,0.0017475993,1.0,0.0020383547000000003,0.6111111111,-6.449609932071972,-6.449609932071972,-7.365900695568905,-0.9334754929,1.5365413179,0.2081596007,2.180805105,-0.5176941028000001,261.0,2.5121041196,0.2970184481,1.3693123758,11.0,64.5,12.7711622326,0.5804353491,12.0,1.3599245347,0.46224832130000004,1.9351528558000002,-0.49116962680000004,2.2463271637,0.4572105627,1.6500582238,-1.8275109443000002,0.49264705880000004,-0.0238835288,0.0006857495,3.4200341681,0.5269336036,0.4010917946,2.7980741509,0.22867676750000002,1.766412833,-0.6037288229000001,320.0,5.9,5.1,298.5,2.215887592,0.3553431819,0.3211268218441841,243.3333333333,3.2101479063,0.3809206919,1.4700268751,2.5691142765,0.31912147420000003,1.7925487291,-0.897578406,-0.1306368278,-0.6105028254,1.7148956547,0.3539770902,1.4186178012,-0.5624713567,-0.7241339629,2022.7592592593,18.0,7.0,3007.3333333333,0.1950825646,-0.4269794288,-0.6724763797000001,0.2082347581,0.2604800138
s165,1.2214576511,0.40712906990000003,1.2669062377,1.45,43.1818181818,0.2666666667,27.5,0.33333333330000003,-0.5707833237000001,-1.1312040732,4.1578156778,0.42156953950000003,2.1577337768,-0.4205462649,0.07584931510000001,-2.1956291041806733,-2.8460435890670706,-5.246414205167172,-4.203337152551348,4.0575939338,0.2860148011,2.0545918157,0.5,0.1666666667,9.7083333333,0.1375,2.0,-0.0071666667,-3.5416666667,4.0,0.045114942500000005,2.0,-0.0058866995,-1.117816092,0.2260862012,0.9701466607,8.4,7.9,2.6532337318,0.4760244972,2.4241040104,-0.4150361442,0.1388888889,-0.8164887980000001,-1.0774211599,-0.797358023,2.9436955465,1.8945397823999999,0.23053071890000001,2.9858216448,-1.070541321,3.8243251091,181.0,7.6113128603,0.3752535483,7.0,0.7208445072,0.0012282976000000001,0.9286346436,0.0017354671000000001,0.5833333333,-2.748384152235016,-1.8444397271102142,-1.8444397271102142,-1.3384136012,1.9997659566000001,0.4626103641,1.5929279029,-0.6097317138,439.6666666667,2.9562803839000003,0.39130002480000003,1.4700894319,28.5,4.5,11.3272656863,0.5820801933,4.0,1.6574768149999999,0.5533018389000001,2.1100285279,-0.4633380868,3.7605272987,0.3733032287,3.0342947852,-1.8727743464,0.4962962963,0.034881820200000004,0.0051608145,5.4193518484,0.5427478134,0.2470654046,2.9770451946,0.3278783812,1.5611302455,-0.15804386750000002,336.5,4.9,4.6,403.1666666667,3.2922505538999998,0.3931739537,0.4588190734508439,247.6666666667,3.8578632757999998,0.3733967244,1.7477339328000001,2.0830390083,0.45894106100000004,1.8428353182000001,-1.4229455691,-0.30376193630000003,-0.0731904985,1.2413034377,0.3424074066,2.1623597696,0.0604848806,-0.3521042028,2022.1916666667,11.0,10.0,4515.9166666667,-0.4035655239,0.0926741424,-0.1919368407,0.8495511125,0.3953050295
