,NBHD,NBHN,NBHT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTRCLCK,ARTRLPC,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,ANTZHT,ANTORTHD,bickel_titrator.auc_large,bickel_titrator.auc_medium.logTr,bickel_titrator.auc_small.logTr,BITIHDLL,BITIHDML,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPEAYBHD,DPEBXBHD,DPBIAS,DPEDPRIM,DPEHD,DPEHN,DPEHT,GNGBIAS,GNGDRPIM,HIRSCOR,holt_laury_survey.beta,holt_laury_survey.risk_aversion,HLTSFCH,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRLL,KRBHDRML,KRBHDRSL,LOGCONHD,LOGHD,LOGHN,LOGHT,LOGSWCHD,MOSSSRT,MOSHD,MOSHN,MOSHT,MOSREC,MOSSPC,PRSPLB,PRPSLOPE,RPMSCOR,REPHD,REPHN,REPHT,REPPINHD,SMHD,SMHN,SMHT,SMSIHD,SHFTAC,SHFTLR,shift_task.learning_to_learn,shift_task.model_beta,shift_task.model_decay,shift_task.model_learning_rate,SIMHD,SIMHN,SIMHT,SIMSIMHD,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHTL,SSSSRTHI,SSSSRTLO,SSHD,SSHN,SSHT,SSPASS,SSPAS,STRHD,STRHN,STRHT,STRSTRHD,32CSCHD1,32CSCHD9,32HD,32HN,32HT,32TSCHD1,32TSCHD9,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,TSTPRSV,WRTNEUPR,WRTPOSPR
s005,1.5142828456,0.25693914489999997,1.1158685656,1.9,23.2692307692,0.1333333333,22.2222222222,0.4,-0.5688061440000001,-1.4515944329,3.5210183185000004,0.4023489738,1.5394559099,-0.3375350914,0.1723433219,-1.8028013716727789,-2.130763676062202,-6.8899584855557645,-6.342435901765762,4.6516243194,0.29778820429999997,1.2802884717,1.0,0.0,16.0833333333,0.2916666667,3,-0.027999999999999997,-2.6666666667000003,16.9583333333,0.7415789474000001,3,-0.0172555431,-2.8244120941000004,0.33946628430000003,1.0081751988,9.1,7.1,3.4242513619,0.4603399158,1.8246081208000002,0.2871889106,0.33333333330000003,-1.0317344031,1.2508973441,0.33223158610000003,4.6556717651,3.0632838414999997,0.22956005149999997,1.5366234518000002,-0.7717910818000001,3.4406522452,143.0,59.8991114415,0.8568707964000001,6,0.7236789465000001,0.0009836497,0.9180419921999999,0.0013364966000000002,0.5833333333,-6.449609932071973,-6.449609932071973,-5.553730190361736,-0.995497918,2.2037326652,0.5292332165,2.4778820759999998,0.0440700512,308.8333333333,3.3880346482,0.2744021378,1.4827082072,27.0,100.5,26.123471733400002,0.6566922334,15,1.8098018178,0.4155936869,2.1949660449,-0.31397727210000004,2.9362108866,0.4107243637,2.6637762537,-2.0799396649,0.5597014925,0.057892993,0.0022924945,7.878684459,0.8442439861000001,0.2180237403,4.813492553500001,0.3237651091,1.6803742528,-0.7963686931999999,275.0,6.7,6.1,365.3333333333,4.2597753606,0.37343253579999997,0.30002279406790466,242.0,242.3333333333,5.7775225373,0.34788091200000004,1.8340792512000001,0.33333333330000003,62.07683866560001,3.5825593689999997,0.2918222693,2.3089247158,-0.997423424,-0.7265400176000001,-1.1437047266,2.40620351,0.33580230980000003,1.9266946025,0.1094878277,-0.015676671399999998,1994.5166666667,4,10,3262.0833333333003,-0.1656782418,-0.0084840798,-0.22383290670000003,0.27256981129999996,0.3393247426
s007,0.9259261439,0.2700195026,1.3906269278999999,1.95,30.8636363636,0.2666666667,35.9523809524,0.30000000000000004,-0.1156024391,-1.005340705,3.9412606395,0.40039796619999996,2.3336831355000003,-1.0215647695,0.30317636989999996,-3.0996288679343085,-2.608468335679176,-5.128688168030712,-4.744922062913907,2.3158909162,0.3179600428,1.5445290424,0.5,0.1666666667,15.916666666700001,-0.008333333299999999,1,0.0013333332999999998,2.5,16.75,0.15,1,-0.0016666667,-0.4166666667,0.1917215995,0.8057487034,8.1,4.3,,,,,0.0833333333,,,,,,,,-1.0816155204,3.2951286846,195.0,59.8991114415,0.8568707964000001,6,0.6941823959000001,0.00130253,0.8349777222,0.0010820387,0.6111111111,-2.7483841522350163,-2.067339257049917,-2.7545573065347257,-1.4097703590000001,1.1140977136,0.4415820116,1.6100339252000002,-0.6697244830000001,,,,,,,,0.538500946,11,,,,,2.8458024539999998,0.4876088439,2.5396417927,-1.4757910811,0.442408377,0.0257691031,-0.0002524327,16.465464917200002,0.4277884817,0.046872982699999996,3.6102645647000005,0.32296375,2.0697144535,-0.1729597451,396.5,5.5,4.4,401.1666666667,2.0373819092,0.41049923689999995,0.6182749609743061,356.5,356.8333333333,1.488911994,0.44056849229999995,1.3101542403,0.33333333330000003,13.2490016831,1.955362347,0.6297483054999999,1.7397245636,-0.246906216,-0.1821120302,-0.1981653586,0.6494991358000001,0.1425558827,2.0821979235,-0.5418548188000001,-0.8559498269,2120.49,3,8,5704.166666666701,,,,0.44548472899999997,0.41014642689999997
s009,1.2526526222,0.1329129155,1.57327044,2.55,48.181818181800004,0.2666666667,30.555555555599998,0.4,-0.5743673394000001,-0.7328141058000001,3.7182209541000004,0.3146281534,1.3665156136,-1.6930766997000002,0.8992166095999999,-0.8167146793115382,-2.622917728899187,-8.708832019487865,-7.1780019682949945,5.2754955968,0.2260402096,1.6904301314,0.6666666667000001,0.1666666667,7.291666666699999,0.20416666670000003,3,-0.0188333333,-3.7916666667,7.083333333300001,0.1957525084,2,-0.0231973244,-3.9424749163999997,-0.0287443268,0.4001512859,7.7,4.9,1.899920232,0.3670108186,1.4158751397999998,-1.0387953743,0.8611111111,-1.0116575379000001,0.6356731638,0.0,5.320134937200001,2.9002235156,0.19127916670000003,1.5509489654,-0.5402436899,4.8849203713,266.0,25.7627506452,0.3968411315,9,0.6760320662999999,0.0023875259,0.8853013992000001,0.0027768546,0.5833333333,-5.553730190361736,-3.6646748864517766,-5.553730190361736,-1.0477533679000002,1.9782074662,0.3136971398,2.0252897552,-0.1645152198,204.1666666667,3.7548955232,0.2906491216,2.0529225394,40.0,130.5,-0.7816201197,0.4760700667,13,1.0092232754000001,0.5193517802000001,2.0450043526,-0.7584526139000001,3.0093194514999997,0.3318571288,1.5438995181,-1.3266027104,0.6185819071,0.0942853347,0.0018678579,5.7362652875,0.6168453969000001,0.2653450865,3.2965547163999998,0.2260573346,1.4896946697,-0.0929115185,254.5,6.2,5.3,256.3333333333,4.3150242778,0.24056566489999998,0.35853302083420796,160.3333333333,231.6666666667,3.7674241425,0.25726090890000003,2.8042229797000005,71.3333333333,63.8797848029,2.6906641781,0.34225206210000003,1.5237538765,-2.2509997596,-0.3749246725,-0.0009177406,1.2779264553,0.2978560568,1.81592961,-0.2954422685,-1.2686940965,1241.8333333333,6,10,5413.0833333333,1.3077408289,-0.5791927331000001,0.30202277320000004,0.1314693092,0.1842408366
s011,1.8216797666999998,0.1908333273,1.6544438760000002,3.0,24.304347826100003,0.23333333329999997,15.7692307692,0.1333333333,0.33818771540000003,-0.7265091714,2.8779651002999995,0.35687664960000004,1.5935009169999999,-0.6182895466,0.9062517123,-0.6092436530520885,-2.8892148933221065,-10.334107405001099,-8.134286283710965,3.9685751484,0.25050175690000004,1.5968205469,0.33333333330000003,0.33333333330000003,10.4583333333,0.0208333333,1,-0.0038333333,-2.2916666667,10.4166666667,0.2562656642,3,-0.0083308271,-2.9235588972000004,-0.21701739190000002,0.35044167,9.3,9.0,1.5999528867,0.4832965193,2.3175496418,-0.6520297124000001,0.4166666667,-1.1604835973,0.2458313411,0.0,5.320134937200001,2.8042134749,0.1063443216,2.6100505270000003,-1.0170844173,3.9312389163,290.0,25.7627506452,0.3968411315,9,0.7266063690000001,0.0013082775,0.9,0.0019703727,0.75,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,-0.9493522106,2.233908391,0.390204666,1.6420615908,-0.2442438469,244.1666666667,2.415643598,0.19531112239999998,1.4168278852,17.0,32.0,-13.7549484408,0.3168698411,10,1.8472783231999998,0.6124753385,1.8831358161000002,0.0040303497,3.2554675742000003,0.4356363809,1.3398072436,-2.4607238653,0.5147783251,0.0545601618,7.56313e-05,9.4391038746,0.5327991817000001,0.23066257329999998,3.7154591385000004,0.3095086582,1.2678422704,-1.9668590303,387.0,6.3,7.9,301.6666666667,2.9934951776,0.3328737342,-0.15110831069582928,255.0,237.1666666667,3.6815271291000005,0.3067391436,1.2076621741,-17.8333333333,-15.122923504200001,2.4334858739,0.3471840438,1.591047775,-1.0805694095,0.3313436949,0.1681101693,2.6128365147,0.343121557,1.2476184893,-0.7395470082000001,-0.0436811835,1686.3416666667001,19,4,2352.0,-0.9323890442,-0.1916268687,-0.7276952255,0.17973338400000002,0.45109789659999994
s012,2.1037673436,0.2760179414,1.5265094323,3.65,30.0769230769,0.1333333333,30.5454545455,0.2666666667,-0.17517184460000002,-0.24313063769999999,3.4037524220999997,0.3280120234,2.2193184703999997,-0.6939147756999999,0.1740916096,-2.193193330242399,-1.9250873600461889,-6.888655741933242,-4.5445513053646085,2.5825553107,0.24915873149999998,1.2011119727,1.0,0.0,8.625,0.2791666667,2,-0.0261666667,-4.7916666667,4.4166666667,0.2052600473,1,-0.0134751773,-2.2192671395,-0.181201017,0.9406044403,9.0,6.5,2.0866955325,0.46697658579999995,1.8782944472,-0.4807995865,0.25,-0.0777069286,-0.5272081775999999,-0.9092231175,3.5016887022000005,1.8401861665,0.1600786321,1.989712418,-1.0816155204,3.2951286846,217.0,10.925098710999999,0.2565783653,8,0.5907514930000001,0.0013580401,0.970703125,0.0020802717,0.7222222222,-3.6646748864517766,-3.6646748864517766,-3.6646748864517766,-0.2941775285,1.6258521784000002,0.2937074511,2.4428541238,-0.4431501729,348.5,2.4831052143,0.2860772802,1.2805078917,6.0,112.0,-20.5666405171,0.5749289078,12,1.0421407803,0.4386390678,1.7376499564,-0.8171350042000001,3.0911455591,0.4026313917,1.8647816461000002,-1.2959175231,0.3665835411,0.0689772045,0.00028917490000000004,8.2255207299,0.6742025776,0.1496514705,2.5850903724000003,0.260031992,1.7114329528999999,0.0443908323,296.0,6.5,5.2,295.3333333333,3.8581927123,0.2864239507,0.4353472070804521,297.1666666667,306.0,2.1540908625,0.31030013019999997,1.3810311202,8.8333333333,9.3470426632,1.5472410579,0.34111319970000004,1.6995925761,-1.0625602481999998,0.032653077600000004,-0.1189578285,1.3569084563999998,0.3091898577,1.6798949258000002,0.0491835063,-0.3812189304,1787.9242424242002,1,11,3688.25,0.8825150781000001,0.203500879,1.5619455955,0.8229371665,0.37785376229999995
s014,0.7549122433000001,0.0357384568,1.3919384468,1.6,11.76,0.1666666667,12.75,0.0666666667,-0.2184134787,-1.2321064062,3.3961957206,0.3701147646,1.6747883918000002,-0.1284027909,0.5590325342,-1.868725578737028,-2.535839518610333,-7.494881841799582,-2.736799369475726,3.1314006912,0.27277372489999996,1.5269520840000002,0.33333333330000003,0.6666666667000001,11.333333333299999,0.0916666667,0,-0.0016666667,-1.8333333333,6.166666666699999,0.2503735326,3,-0.0100149413,-2.4951974386,-0.0027181657,0.6590894145,6.9,6.3,1.1474129418,0.39598583579999996,1.5247931413999998,-1.5083588475999998,,0.08553429,-1.5153912328,-1.4200399192,2.4800550988,1.7121733341999998,0.0864820642,1.860161884,-0.8005189753,3.0881574643,125.0,59.8991114415,0.8568707964000001,6,0.6273424149,0.00134547,0.7109272003,0.0018064547,0.4722222222,-1.3862943611198906,-1.3862943611198906,-2.7483841522350163,-0.9433666682999999,1.7994053475,0.48386538590000006,1.3701975055000002,0.13936568770000002,,,,,,,,0.2698720297,1,1.4305699221,0.39195246409999995,1.9362216841,-0.1397913087,1.5476595383,0.2109173747,2.2804883746,-0.42831470369999997,0.3656716418,-0.0030216815,-0.0015332032,1.0,0.0,0.1,2.4557702075,0.3047299959,1.6068639375,-0.5878370851,349.0,6.5,4.9,389.0,2.8023489130000003,0.3628625032,0.266588554117673,321.3333333333,336.3333333333,1.7849415452,0.21791211170000002,1.6686877471000001,15.0,32.2303225806,2.8890416931000003,0.39809073009999996,1.67894826,-1.8940458937,-0.17834695220000002,0.26720816680000004,1.3227844892,0.3844382471,1.338121789,-0.222283973,-0.1235013905,2717.1904761905,16,5,4030.0833333333003,,,,0.4370257158,0.34132697230000003
s015,1.5722458917000002,0.1887899391,1.3499507056,2.4,41.2352941176,0.43333333329999996,35.4666666667,0.5,-0.8004296858000001,-0.8207932898,3.9409223961,0.32837475320000004,1.8464549206999998,-2.2016508376,0.35908561640000003,-3.1833417596348754,-3.3579509326682366,-7.55314234950583,-4.209769386895027,2.475853945,0.27511238450000003,1.3730551644,0.6666666667000001,0.33333333330000003,14.625,-0.0041666667,1,-0.0001666667,-5.375,10.2916666667,0.23235294120000002,2,0.0006176471000000001,-6.3455882353,-0.025931320299999998,0.8086626635999999,9.8,5.8,2.673602252,0.38119889049999994,1.7638858810000002,-0.9409103209999999,,-0.1788576398,0.19151269829999998,0.0,5.320134937200001,3.2917398139,0.17179743660000002,2.8292419417000003,-1.3273158840000001,3.310775983,167.0,10.925098710999999,0.2565783653,8,0.7067575454999999,0.0015690091,0.99375,0.0018166595,0.8055555556,-2.7483841522350163,-2.067339257049917,-2.7483841522350163,-1.4508796343,1.7205306921,0.4067955135,1.5427386961000003,-0.8859210156999999,,,,,,,6.3976894761,0.49681353289999997,13,1.6591613679,0.5560313796,1.4106644079,-0.6636133827,3.4967392734,0.3699571513,1.5197969041,-1.5578128866,0.45365853659999994,0.044598705599999997,-0.004174328000000001,7.4691279738,0.7524241659,0.2246618563,3.0142907943,0.2761744646,1.1812078486,-1.0785750591,299.5,6.7,5.4,309.1666666667,2.7473849862,0.32486845340000003,0.1344073398706923,261.8333333333,276.0,3.194175588,0.36918141439999996,1.2128399258,14.166666666700001,11.6861494402,2.2133783041,0.4470763961,1.5659030068000002,-1.2643151016,-0.4102877165,-0.6240805326000001,1.7360370999,0.31874187449999997,1.4004600669999998,-0.12898786410000002,0.1599748211,1923.8316666667001,9,9,3099.75,-0.4523090957,-0.0489741744,-0.6552395343,0.8784731181000001,0.37370644439999995
s017,0.9026273702,0.1758280424,1.9487345972999999,2.2,23.6363636364,0.2666666667,10.0,0.2,-0.8839589915999999,-0.6118808111,3.5573578519,0.4153677411,2.3008138578,-0.3237967666,0.8012517123,-0.5712068926638991,-1.4401504174203914,-9.457561475069449,-8.1552620853318,2.2272144099,0.27789349550000003,1.7231184347,0.6666666667000001,0.33333333330000003,5.0,0.075,0,-0.0033333333,-0.75,6.5,0.1383333333,1,-0.0122,-0.7833333333,-0.0209501558,0.8359813084000001,8.0,7.4,2.032875304,0.4448642699,2.1626694095,-0.8390363881999999,0.8333333333,-0.35975088110000003,-0.16761351430000002,-0.5542288687,2.8827508555000003,1.8217599062999998,0.2385389824,1.850374288,-0.9575666758,4.0502743994,235.0,59.8991114415,0.8568707964000001,6,0.8563354492,0.0019972663,1.0,0.0020916368000000003,0.4722222222,-8.511264302067357,-8.511264302067357,-7.365900695568905,-1.4726568944,1.848865611,0.3625385885,2.1742139731,-0.6225453856000001,320.0,2.5762300008000003,0.3810433542,1.8496825542,-43.5,56.0,26.489218095500004,0.5339308097000001,10,1.7250372078999998,0.503934267,2.1624563694,-0.6789466739000001,2.0865553324,0.4011497603,1.8298360700999998,-1.3633023773,0.46981627299999995,0.0501078383,-0.0027053245,6.7344035592,0.6317974221,0.2167872277,2.4819453868,0.303544723,1.7532122224000002,-0.4688989717,359.0,5.0,6.4,294.6666666667,3.3478329843,0.33535972080000004,0.6217771779521015,302.3333333333,281.0,3.1402516960000004,0.227372154,3.2989122308999996,-21.3333333333,-37.4745762712,2.1752233744,0.3739368638,2.123313724,-0.6532083255000001,-0.1856124129,0.4189023013,1.8065262235,0.3145502885,1.9018537334,-0.4253345693,-0.2002669866,1567.3343253967998,5,10,4024.0,0.5694584114,-0.25630325600000003,0.07783284700000001,0.1271461984,0.2921138351
s026,1.3699224524,0.233366106,1.0411009778,2.1,43.0869565217,0.23333333329999997,23.9130434783,0.23333333329999997,-0.5950253578,0.0222066897,3.3244856887,0.31896621340000003,1.9524976606,-0.0814158174,0.8312619862999999,-1.8405217230869837,-3.1680899368144737,-9.789667916336667,-6.341435044729682,4.1380094978,0.28416669240000003,1.194988183,1.0,0.0,10.0,1.6653345369999998e-16,1,-1.474514955e-17,0.0,6.041666666699999,-0.0035714286,0,-0.00014285709999999998,0.0357142857,-0.4397196371,0.7318736961000001,7.5,6.8,2.6831739813,0.3425308139,2.3044382934,-0.15369818470000002,0.2777777778,-0.4940811728,-0.0742655204,0.1976700244,4.9247948884,3.6880553626,0.053295618200000006,5.6556309735,-1.1652624446,3.6348828618,175.0,25.7627506452,0.3968411315,9,0.7183802604999999,0.0023475321000000003,0.9771484375,0.0028280387,0.5,-4.625581180301964,-3.6646748864517766,-3.6646748864517766,-0.975027359,2.1134974153,0.41681040840000005,1.9091167462,0.1803168446,232.3333333333,3.040376507,0.34892670600000003,1.1086013965,-10.0,21.0,,0.7593680811,14,1.4931763328999998,0.5269068169000001,1.8050598922999999,-0.28064144739999997,3.1851582055,0.4116593886,1.7388281953,-3.6341487129,0.3842364532,0.0445900695,0.00030292460000000003,8.6165476985,0.5809996352000001,0.1427304522,2.41502216,0.30031866949999997,1.3352735045,-1.084882682,304.0,7.5,6.3,263.3333333333,3.393284079,0.371109508,0.2183175670424971,241.5,288.1666666667,3.3526331508999996,0.3187336649,1.2900907936,46.6666666667,73.9608305446,2.301582088,0.3877030144,1.54743259,-0.6836352218,-1.0861085514,-1.4764235050999999,1.4401920606999998,0.33620839469999997,1.4725748338,-0.7981974144,-0.5913618338000001,1956.6166666667002,7,8,2455.1666666667,-1.5372975841999998,0.4173329951,-0.8250892826,0.2006291395,0.1499208848
s027,1.5861007353999999,0.22027544,1.6124725504,2.4,13.2,0.1666666667,33.125,0.4666666667,-1.1808476366,-0.6034593299000001,3.4339781775,0.3785581809,1.540938801,-1.2004884798,0.17235359590000002,-3.0984896359128404,-3.193932658303245,-6.889865263876853,-3.2680159337611467,3.7840646267,0.25121772270000003,1.6843729218999999,0.6666666667000001,0.1666666667,5.0833333333,0.0416666667,1,-0.019,0.25,8.5833333333,0.1848201136,2,0.0004031138,-1.3611403324,-0.1080603246,1.1609934819,8.3,6.5,2.2849398676,0.3021934322,2.0248098846,-0.30318654230000003,,-0.308358931,-0.1403103826,-0.3884511935,3.7790742791,2.4511556622,0.0714655015,3.4540989655,-1.0170844173,3.9312389163,155.0,1.2928725743,0.043806033099999996,4,0.6938799858,0.0019379014999999999,0.6649845123,0.0024244932000000003,0.7222222222,-3.6646748864517766,-3.6646748864517766,-2.7483841522350163,-1.9359418212,2.3063594421,0.4328832528,1.4259253551,-0.28775916230000004,236.1666666667,3.2095363283,0.2115262575,2.70728872,0.5,144.5,,0.3102803725,9,1.5900765644,0.415318936,2.4612563024000003,-0.2502881275,1.9835317403,0.3821852058,2.0216762218,-1.3089984976,,,,,,,3.1830911226,0.2576305125,1.8419778336,-0.2177715919,278.5,6.2,6.6,214.3333333333,3.9821451681,0.15869262720000002,1.087235695946867,168.0,201.5,3.4908847819,0.21891958469999998,2.1740765546,33.5,116.3699367387,2.6042566153,0.2970615028,1.7257192472,-0.3128327323,-0.16859389360000002,-0.08992516060000001,1.8859344743000002,0.2990774913,1.6091669577,-0.8336902944,-0.8157957346,1350.6296296296,23,5,2417.5833333333,,,,0.1688114436,0.1809482422
