"X","adaptive_n_back.hddm_drift","adaptive_n_back.hddm_non_decision","adaptive_n_back.hddm_thresh","adaptive_n_back.mean_load","angling_risk_task_always_sunny.keep_adjusted_clicks","angling_risk_task_always_sunny.keep_loss_percent","angling_risk_task_always_sunny.release_adjusted_clicks","angling_risk_task_always_sunny.release_loss_percent","attention_network_task.alerting_hddm_drift","attention_network_task.conflict_hddm_drift","attention_network_task.hddm_drift","attention_network_task.hddm_non_decision","attention_network_task.hddm_thresh","attention_network_task.orienting_hddm_drift","bickel_titrator.auc_large","bickel_titrator.auc_medium.logTr","bickel_titrator.auc_small.logTr","bickel_titrator.hyp_discount_rate_large.logTr","bickel_titrator.hyp_discount_rate_medium.logTr","choice_reaction_time.hddm_drift","choice_reaction_time.hddm_non_decision","choice_reaction_time.hddm_thresh","cognitive_reflection_survey.correct_proportion","cognitive_reflection_survey.intuitive_proportion","columbia_card_task_cold.avg_cards_chosen","columbia_card_task_cold.gain_sensitivity","columbia_card_task_cold.information_use","columbia_card_task_cold.loss_sensitivity","columbia_card_task_cold.probability_sensitivity","columbia_card_task_hot.avg_cards_chosen","columbia_card_task_hot.gain_sensitivity","columbia_card_task_hot.information_use","columbia_card_task_hot.loss_sensitivity","columbia_card_task_hot.probability_sensitivity","dietary_decision.health_sensitivity","dietary_decision.prop_healthy_choice","dietary_decision.taste_sensitivity","digit_span.forward_span","digit_span.reverse_span","directed_forgetting.hddm_drift","directed_forgetting.hddm_non_decision","directed_forgetting.hddm_thresh","directed_forgetting.proactive_interference_hddm_drift","discount_titrate.hyp_discount_rate_glm.logTr","discount_titrate.hyp_discount_rate_nm","discount_titrate.percent_patient","dot_pattern_expectancy.AY.BY_hddm_drift","dot_pattern_expectancy.BX.BY_hddm_drift","dot_pattern_expectancy.bias","dot_pattern_expectancy.dprime","dot_pattern_expectancy.hddm_drift","dot_pattern_expectancy.hddm_non_decision","dot_pattern_expectancy.hddm_thresh","go_nogo.bias","go_nogo.commission_errors","go_nogo.dprime","hierarchical_rule.score","holt_laury_survey.beta","holt_laury_survey.risk_aversion","holt_laury_survey.safe_choices","information_sampling_task.Decreasing_Win_P_correct","information_sampling_task.Decreasing_Win_motivation","information_sampling_task.Fixed_Win_P_correct","information_sampling_task.Fixed_Win_motivation","keep_track.score","kirby.percent_patient","local_global_letter.conflict_hddm_drift","local_global_letter.global_error_cost","local_global_letter.global_incongruent_errors","local_global_letter.hddm_drift","local_global_letter.hddm_non_decision","local_global_letter.hddm_thresh","local_global_letter.local_error_cost","local_global_letter.local_incongruent_errors","local_global_letter.switch_cost_hddm_drift","motor_selective_stop_signal.SSRT","motor_selective_stop_signal.hddm_drift","motor_selective_stop_signal.hddm_non_decision","motor_selective_stop_signal.hddm_thresh","motor_selective_stop_signal.reactive_control","motor_selective_stop_signal.selective_proactive_control","probabilistic_selection.positive_learning_bias","psychological_refractory_period_two_choices.PRP_slope","ravens.score","recent_probes.hddm_drift","recent_probes.hddm_non_decision","recent_probes.hddm_thresh","recent_probes.proactive_interference_hddm_drift","shape_matching.hddm_drift","shape_matching.hddm_non_decision","shape_matching.hddm_thresh","shape_matching.negative_priming","shape_matching.prime_trials","shape_matching.stimulus_interference_hddm_drift","shift_task.conceptual_responses","shift_task.learning_rate","shift_task.learning_to_learn","shift_task.num_cat_achieved.ReflogTr","shift_task.perseverative_errors","shift_task.perseverative_responses","shift_task.trials_pre_first_cat","simon.hddm_drift","simon.hddm_non_decision","simon.hddm_thresh","simon.simon_hddm_drift","spatial_span.forward_span","spatial_span.reverse_span","stim_selective_stop_signal.SSRT","stim_selective_stop_signal.hddm_drift","stim_selective_stop_signal.hddm_non_decision","stim_selective_stop_signal.hddm_thresh.logTr","stop_signal.SSRT","stop_signal.commission_errors","stop_signal.hddm_drift","stop_signal.hddm_non_decision","stop_signal.hddm_thresh","stop_signal.inhibition_slope","stop_signal.omission_errors","stop_signal.proactive_SSRT_speeding","stop_signal.proactive_slowing","stroop.congruent_errors","stroop.hddm_drift","stroop.hddm_non_decision","stroop.hddm_thresh","stroop.stroop_hddm_drift","threebytwo.cue_switch_cost_hddm_drift_100.0","threebytwo.cue_switch_cost_hddm_drift_900.0","threebytwo.hddm_drift","threebytwo.hddm_non_decision","threebytwo.hddm_thresh","threebytwo.task_switch_cost_hddm_drift_100.0","threebytwo.task_switch_cost_hddm_drift_900.0","tower_of_london.avg_move_time","tower_of_london.num_extra_moves","tower_of_london.num_optimal_solutions","tower_of_london.planning_time","writing_task.neutral_probability","writing_task.positive_probability"
"s111",1.22305993,0.2493021892,1.6817690997,2.35,22.9545454545,0.2666666667,13.6363636364,0.2666666667,-0.9600012823,-1.5932673798,2.965849199,0.383578837,2.2574700363,-0.6411374818,0.2172148973,-3.3117809376662,-3.28227344508081,-6.98313874115059,-5.03119349858444,3.5821943917,0.2879346766,1.755768749,0.8333333333,0.1666666667,14.9166666667,-0.125,0,0.0006666667,-0.5,20.4583333333,0.1291666667,1,-0.0031176471,-4.2549019608,0.1778842246,0.0816326531,0.9441226354,10.5,10.9,0.5846256263,0.409957044,1.8032325073,-0.563555385818,-2.53920083937174,-0.009882356,0.0833333333,-1.893235119714,-0.863937818112,-0.42354069104,3.418327799271,2.258286757366,0.152867631266,2.005838011456,-0.7717910818,0.1714285714,3.4406522452,160,2.8450011804,0.1342500019,5,0.7748316765,0.0015883648,0.9517501831,0.0019421936,0.6111111111,0.2962962963,-1.0761648868,-84.435,0,2.0496861427,0.4626400039,1.8135126842,68.5,0.1428571429,0.0239049133,346.690000000004,2.813439858737,0.318355258301,1.576092759181,21.61,63.925,-8.6357489967,0.6066099114,11,1.54923477,0.3879247366,1.9966254973,-0.7866708125,2.2392378959,0.4836819797,1.8006505681,27,0.083032491,-0.8487944205,146,0.0461780116,0.1894736842,0,107,182,16,3.1138070578,0.3344707307,1.7783870678,-0.2917662598,6.3,6.5,306,3.2066154425,0.3526118171,0.520963592875386,303.25,0.5222222222,2.2463699447,0.312418426179,2.415022731,0.0049002237,0.0666666667,75.5,90.9652358241,0,1.8343023846,0.3205606894,1.8099745504,-1.0010382718,-0.1649139208,-0.0326579845,1.6113619113,0.3281557363,1.3957891923,-0.9519023382,-0.9378812868,2836.81,6,7,4958.9166666667,0.1935873171,0.3772382368
"s112",1.2762357937,0.226315641,1.3848900805,2.25,31.7083333333,0.2,27.4545454545,0.2666666667,-0.7104792491,-0.351707725,4.4570440203,0.2417043733,2.5722628049,-1.1122472977,0.1064828767,-2.27577311029497,-2.62764665192442,-5.31816254594954,-3.7507133012487,5.132602898,0.2514260382,1.2821676505,0.3333333333,0.5,7.6666666667,0.1333333333,2,-0.009,-0.5,15.1304347826,0.144601828113,3,-0.006759186737,-3.1652076038,-0.1133747349,0.2857142857,0.4516055741,7.5,9.5,2.3165861679,0.3645388725,2.0619639587,-0.5549218428,-2.24547081269216,-0.0225903072,0.0277777778,-1.8536872684,-1.2570812819,-0.5629734621,4.194188013,2.9773041635,0.1639174784,2.0157543377,-0.8893284577,0.1142857143,4.1867508355,161,2.3916188301,0.3492235958,5,0.6882799149,0.0018032989,0.95,0.0026627253,0.6388888889,0.1481481481,-0.3306061851,-73,0.0909090909,1.9286893822,0.3512604531,2.2988500467,-123.26,0,-0.2051254569,304.3333333333,2.8613022266,0.2834880092,1.3435809662,42,53,2.261339314,0.4629805634,12,1.7794273188,0.3508978052,2.5738132903,-0.0280113352,3.8599461147,0.3432679717,2.041547882,-15,0.1,-2.6576588988,158,0.0986026031,-0.1245614035,0,77,117,25,4.2422668841,0.2280122372,1.4927366521,-0.5609753951,6.8,6.1,254.6666666667,3.1730207676,0.3226203495,0.422272138767875,207,0.5166666667,3.4228816398,0.3246658712,1.5501357639,0.0187734999,0.0261904762,-5.3333333333,24.2765223771,0,3.0894694428,0.3076840991,2.4978431008,-1.1381817878,-0.7050629672,-0.3615778996,1.6872402817,0.2793369928,1.8943674574,-0.4209687744,-0.3704090331,1095.1261423761,25,7,3092.0833333333,0.2244849429,0.4926384454
"s121",1.2315991586,0.2629942588,1.3914798262,2.2,25.2380952381,0.3,27.1052631579,0.3666666667,-0.1445473144,-0.3601904233,3.1909560099,0.3552670093,2.2077684779,-0.2115020899,0.8312517123,-0.52129403976376,-1.35583159204552,-9.37206079683425,-8.11397761160067,2.6964774126,0.2680370935,1.2185215295,0.8333333333,0.1666666667,13.2916666667,0.10904166667,3,-0.0135,-3.4583333333,17.7083333333,0.0770935961,0,-0.0027758621,-1.9439655172,0.0069683718,0.2448979592,0.9973275024,8.2,7.9,1.8882053503,0.4582790546,1.9244779559,-0.1048587027,-7.24470350887017,0.0003242595,0.9166666667,-1.8819955437,-1.8717974697,-0.6505874502,2.6501544007,2.3369310736,0.3198949792,1.4951227473,-1.2281502863,0.4857142857,2.527933836,147,7.6113128603,0.3752535483,7,0.7005129814,0.0012941679,0.9036437988,0.0016637537,0.5,0.8888888889,-0.1487001929,-10.5,0.1666666667,1.2485340013,0.5569002805,1.7789564229,-148.5,0.0714285714,-0.5360843712,349.111666666671,2.682202516756,0.305916065493,1.450229679479,15.945,56.03,-4.8112669,0.7069009184,12,1.7292716651,0.5077539739,1.6946251241,-0.3726241073,3.1226054432,0.4526688814,1.8441077622,-30.5,0.1142857143,-1.8513590194,123,0.07504776,0.1909184727,0.693147180559945,115,174,15,2.0393814334,0.2797121939,1.5971784106,-0.2805608579,6.3,6.3,330.588333333335,2.868435433944,0.334103703236,0.407455700997001,401.9166666667,0.5111111111,2.0586300084,0.2781493742,1.5968834703,0.0032034161,0.0904761905,32.82333333333,22.341595878,0,2.1683599626,0.4582926018,1.4337972299,-1.9354183667,-0.3527450352,-0.3309279127,1.2617990235,0.2978153573,1.7009217566,-0.0822578933,-0.2647296692,1940.5,13,9,2887.8333333333,0.5924475333,0.2381674601
"s128",1.185237015809,0.185536529051,1.514343262822,2.1665,16.875,0.2,14.1666666667,0.2,0.3290004445,-1.5005548121,2.9915420115,0.397393133,1.4251405426,-0.9048151474,0.0843202055,-2.4463447420609,-1.80810813678464,-6.7615552813129,-3.86866516488494,4.5619747084,0.2612751633,2.0395959995,0.1666666667,0.6666666667,5.0833333333,0.05,3,-0.0066666667,-0.75,10.875,0.0435777006,2,-0.0073253012,-2.2627118644,0.6402580971,0.2857142857,0.4527921196,7.3,7.2,3.0567060466,0.3315335105,1.9106646539,-0.6787300836,-3.20876183661556,-0.0175516016,0.2222222222,-3.7738967645,-2.3414513571,0.3322315861,4.6556717651,2.8560468491,0.185401297,1.7433900787,-1.2083775268,0.2857142857,3.5486526974,212,46.0626954627,0.8291899447,10,0.6460633516,0.0009903153,0.90440979,0.0019969699,0.6111111111,0.2962962963,-0.8157436625,74.5,0.1538461538,1.1825244713,0.4202126226,1.8571500374,-177,0.2631578947,-0.827049609,344.1666666667,2.5122563478,0.3152791784,1.2799203534,28,27,2.67926429089,0.5370140674,13,2.3626768934,0.3234124676,2.1918567438,0.2746498758,2.9760874206,0.4015226705,1.1751357533,33,0.1182795699,-2.6209285396,163,0.057497588,-0.150877193,0,70,127,16,3.1044386023,0.2873430694,1.3421732338,-0.8762323066,5.8,5.7,375.5,2.7179188025,0.3483733547,-0.0917086479132522,309.4166666667,0.5555555556,2.7475569909,0.3225710336,1.2956335943,0.0083557831,0.0738095238,44.1666666667,19.9111888112,0,2.361924324,0.3271889906,1.5825193051,-1.5928130578,-0.2078967629,0.1114487109,1.619640276,0.2993487578,1.6944160169,-0.2298779267,-0.3373846185,1992.3074074074,6,6,4085,0.5120689884,0.404661714
"s129",0.8097012282,0.0424275115,1.5605601326,1.55,27.5714285714,0.3,37.7,0.3333333333,-0.0503980305,-1.1151055818,3.3608897297,0.3721393081,1.776298163,-0.5899054388,0.8037517123,-1.31553592569197,-3.40534982613881,-9.17866245741671,-7.39167983627928,4.7244473443,0.2959101774,1.3527306009,0.5,0.1666666667,11.625,-0.0958333333,1,0.0001666667,-6.9583333333,6.9166666667,-0.0326832151,1,-0.0010260047,-1.0780141844,0.3131532952,0.1632653061,0.5796377532,6.3,4.9,1.8325629911,0.5063275532,1.5060742265,0.0599198759,-3.92318923638834,0.0150329374,0.3611111111,-0.8318965061,2.40223773,0.1910395678,4.9380558016,3.8647704338,0.2240085484,1.864321988,-1.0170844173,0.1714285714,3.9312389163,197,10.925098711,0.2565783653,8,0.5,0.001123164144,0.9959472656,0.001198879,0.3611111111,0.4814814815,-1.1738949751,39,0.1875,1.5540108743,0.4734249336,1.6517187792,-162,0.2,-0.451120185,344.911666666669,2.746506292272,0.330309870496,1.385644750628,23.42,68.86,32.2421398658,0.4510691251,12,1.0882438391,0.6407250903,1.5145095242,-0.2628801199,3.0026473053,0.4121761291,1.2070697247,2,0.1178571429,-1.7503568464,100,-0.0193792504,-0.201754386,0,111,174,24,3.3463660631,0.2827671816,0.9640592533,-1.0527982204,5.8,4,329.009999999998,3.04503149508,0.34426634037,0.434043699648376,305.3333333333,0.5111111111,2.5813251126,0.349151344,1.2969668445,0.0054526123,0.0785714286,10.3333333333,21.407778865,0.77,1.9338723823,0.3322093708,1.8091871852,-0.693904358,-0.2809590164,-0.0609582749,1.5110074751,0.386578906,1.427910196,-0.4943127427,-0.5987601344,2180.1018518519,9,8,3577.8333333333,0.8072834293,0.2695655895
"s142",0.93862697,0.0243366658,2.0194464931,2.25,23.0833333333,0.2,13,0.2666666667,0.063147787,-0.2346617467,3.8623331074,0.3651031385,2.0957960466,0.2675091704,0.9062585616,-3.3182137958438,-2.71333813008755,-8.7285718463263,-5.40872440886428,3.7641241409,0.285385031,1.4959742526,0.3333333333,0.6666666667,4.7916666667,0.0458333333,2,-0.0101666667,-1.125,7.3333333333,0.035950582,2,-0.004645832594,-1.4745762712,-0.3134343747,0.0204081633,0.7277996259,6.6,5.7,1.999376986,0.3337143202,1.9958173966,-0.9504870479,-1.18202303737955,-0.0237342113,0.0833333333,-0.5467901551,-0.1148161304,0.3298219498,4.6604910377,3.1936655049,0.2095035807,2.4166515619,-0.8893284577,0.1142857143,4.1867508355,109,10.925098711,0.2565783653,8,0.7695135117,0.0021706898,0.8,0.0025718289,0.4444444444,0.1481481481,-1.7596060001,110,0.7142857143,1.5201831248,0.3692335371,1.3099794597,-242,0.1111111111,-0.612492391,281.8333333333,3.0946996845,0.3375691175,1.5516834147,33,34.5,3.111621061156,0.5690094626,9,1.765090406,0.4362154581,1.9182189403,-0.2022717475,3.4944154725,0.4185147684,1.6591530945,-10.5,0.1357142857,-1.4515325563,126,0.0762286152,-0.1052631579,0,118,156,25,3.2206504573,0.3081575126,1.5264324195,-0.6066493002,6,5.6,275,4.3063599541,0.3898105637,0.346782391061085,307.3333333333,0.5,2.2978638447,0.316181312868,2.3979554793,0.0018083409,0.0547619048,78.3333333333,-7.6883363707,0,2.9482893558,0.3354877708,1.8625632378,-1.6450895518,-0.433990765521,-0.240065017782,1.477804404571,0.278237699768,1.710563954321,-0.437554808575,-0.278188859791,1923.7097402597,3,9,2994.8333333333,0.6321433967,0.4058560122
"s145",0.9291879744,0.0948442612,1.6007618277,1.75,30.1923076923,0.1333333333,22.6666666667,0.4,0.13616198,-1.6335363561,1.0254166973,0.364172657861,2.0102425319,-0.1969406361,0.2214229452,-3.04729597291872,-3.33410700396939,-5.76383344791544,-3.88644354230355,1.9254011859,0.180379672,1.3267983506,0.3333333333,0.3333333333,6.2083333333,0.0125,2,-0.0041666667,-1.9583333333,21.2916666667,-0.1552380952,3,-0.0097428571,-2.5642857143,-0.4054906247,0.0204081633,0.6374337846,6.1,5.5,1.5344659716,0.493907346,1.8084011582,-0.5532820381,-1.1211127466511,-0.0235781299,0.0555555556,-1.735011097,0.5581924127,-0.1369984129,3.3422379144,2.0644574517,0.2398287568,1.3281985116,-0.9149312012,0.4285714286,2.189887142,118,7.6113128603,0.3752535483,7,0.7779518127,0.0010220871,0.854989624,0.0014857978,0.6666666667,0.2592592593,-0.7455894226,-123,0.5,0.9485062136,0.3177877754,1.4340348553,-44,0.2173913043,-0.7532159374,337.070000000005,2.402517149967,0.305338939288,1.419831835973,18.515,65.555,1.2419181292,0.4278465461,10,1.7477066131,0.5624452608,2.1997607329,0.0571020544,2.3656592063,0.4514657904,1.7870704054,23.5,0.082437276,-1.4763331376,135,0.0184443957,-0.0736842105,0,72,108,24,1.3415553113,0.2483272823,1.015149156,-2.2200323058,4.4,5,388.6666666667,2.8342952061,0.3005383216,0.503323674621063,261,0.55,1.9976134044,0.2409003398,1.5053717022,0.0057764998,0.1142857143,16.3333333333,53.2887971698,1,1.5804780254,0.3075471741,1.7303912595,-1.1281407463,-0.1958572111,-0.4755325215,0.7029449879,0.0187000155,2.1585045107,-0.4844116028,-0.5187395408,3116.4851851852,1,6,4876,0.7632798057,0.3830170567
"s149",1.0168015771,0.0947253437,2.0008780837,2.35,51.0454545455,0.2666666667,33.8461538462,0.5666666667,-0.7274376954,-0.532200909,3.8376105288,0.4335338418,2.1844270891,0.0111325891,0.5185933219,-1.6755164315601,-2.95332249894395,-7.57142230116959,-6.14382443136722,4.1486815644,0.2689023224,1.5739925013,0.5,0.3333333333,7.75,0.0916666667,2,-0.0046666667,-4,4.4166666667,0.0668674699,2,-0.0033416377,-2.9745762712,0.4124048525,0.2040816327,0.6450999049,8.5,9.4,1.9383032025,0.3763942092,2.3764436786,-0.4325943374,-3.67995080936075,0.0193668143,0.25,-1.6485826088,-1.3851999932,-0.3719338943,3.8121088774,2.8353961289,0.236088784,1.9737560654,-1.070541321,0.2,3.8243251091,124,10.925098711,0.2565783653,8,0.6545940399,0.0018414176,0.7896682739,0.0019780252,0.4166666667,0.3703703704,-0.866634504,-180.5,0.2222222222,1.3089106889,0.4339306347,1.7132101791,-2.5,0.0909090909,-0.459704864,342.826666666668,2.990959375523,0.313698189684,1.670317943771,27.595,83.315,-2.0702605419,0.5244258821,9,1.5960656448,0.6121483173,2.1554037642,0.0669910187,3.2221916886,0.4790505122,2.2620487668,-61,0.0722021661,-0.9610794812,132,0.0155649446,-0.1320949432,0.693147180559945,109,176,20,4.589742435,0.3170726639,2.0747692243,-0.1773405962,6.3,5.8,392,3.4804733679,0.2975347024,0.638702730861861,332.25,0.5222222222,4.6427641324,0.3139242044,2.3804153971,0.0147566872,0.0071428571,34.8333333333,6.7960838701,0,3.3983780383,0.3385138155,2.214306506869,-0.7209826291,0.181398724,-0.5309078421,2.1273670279,0.0512964468,2.9332270123,-1.416448595,-0.2711277124,2311.6518518519,-5,8,6297.375,0.182304558,0.7134658071
"s161",1.1376781917,0.1224364467,1.9884930125,2.5,25.08,0.1666666667,18.8,0.1666666667,-0.3878929174,-1.3148102317,3.2929672646,0.3462060832,1.7865217051,-0.760412244,0.5795667808,-0.971466824840469,-2.65761022433661,-8.45055235045243,-6.4965641956046,4.15420488,0.2695112146,1.7306701783,1,0,5.875,0.3208333333,3,-0.0165,-4.0416666667,8.0416666667,0.4014100269,3,-0.0153706356,-3.283572068,0.0226290063,0.2857142857,1.1993555376,8,7.7,2.5623739437,0.4745878455,2.0244927114,-0.4793145854,-3.9503511642266,0.0148117119,0.3333333333,-1.6750877494,-0.1434495422,-0.4250370944,3.1507729495,2.4557670335,0.1926881546,1.7335685922,-0.8893284577,0.1142857143,4.1867508355,214,7.6113128603,0.3752535483,7,0.7877197266,0.00102094,1,0.0015991465,0.4166666667,0.3703703704,-0.7611720165,-126,0.3846153846,1.2094780552,0.4424297772,2.0486184873,-143.5,0.1333333333,-0.3947000584,358,2.7339489942,0.2763357149,1.4636040592,23,105,5.5292220488,0.4669794415,14,2.2524892022,0.49026438,2.1417170285,0.2185983252,2.3636267986,0.3613892178,2.1438970707,37,0.1,-0.683713847,154,0.0410267282,-0.0771929825,0,81,163,24,1.9508388044,0.2415584542,1.4300636522,-0.6289212281,6.2,5.7,231.3333333333,3.5310568878,0.3597371897,0.71096903506737,268.4166666667,0.5222222222,2.463535333,0.3348010352,1.5291689816,0.0089178644,0.069047619,12.1666666667,62.4709349704,0.58,1.8020166856,0.3085303142,2.0169583243,-0.314261639,-0.4097063935,-0.374984787,1.5418660024,0.2887734693,2.0687336107,-0.4037563529,-0.2225891023,1792.630952381,16,7,2559.6666666667,0.8711101844,0.3617688944
"s163",0.9237830629,0.1736272385,1.5106991918,1.55,28.0869565217,0.2333333333,20.1818181818,0.2666666667,-0.6536471402,-1.7518940463,2.7498965979,0.3510664241,1.3476814138,-0.9890702314,0.7312517123,-0.545300084005206,-2.29221100837283,-9.28313904778641,-8.25911424968849,2.715092809,0.2445673503,1.8344723369,0.6666666667,0,7.5,1.526556659e-16,2,-2.602085214e-18,-2.5,4,-2.081668171e-17,0,-1.101549407e-16,4.996003611e-16,-0.0330134872,0.1020408163,0.7615916258,8.2,7.7,1.9373614585,0.46298997,1.743599689,-1.2763879591,-6.61621279252625,0.0008844955,0.8888888889,-2.3910984263,0.3974612664,-0.1422625242,3.3527661372,1.9078930297,0.0460361835,1.8509846323,-1.2890129855,0.3428571429,3.38738178,187,7.6113128603,0.3752535483,7,0.6195231438,0.0016746128,0.7696991444,0.0017931877,0.5277777778,0.6296296296,-0.3099204614,-129,0.0666666667,2.2870262851,0.3899470369,1.713141661,100,0.0555555556,-0.8886382987,276.8333333333,2.2979114394,0.3078535725,1.3333797934,5.5,138.5,12.0793055776,0.5548022683,10,1.6916183516,0.5437816437,1.7721595055,-0.4469381098,2.0726442864,0.3664605713,1.6182295368,-18,0.1035714286,-1.0830805901,197,0.1175088097,0.0070175439,0,74,127,17,2.9555241903,0.2663657058,1.7906877757,-1.0621156006,6.3,5.5,305.628333333336,2.955007857355,0.326405382767,0.491679218262533,229.75,0.5444444444,2.2623188745,0.3647509515,1.367196137,0.0084224266,0.0857142857,-1.8333333333,44.9983972588,0.62,1.926759955,0.345887635151,2.3735939051,-0.1013643705,-0.1728716736,-0.5057241449,1.5621310882,0.0922148092,2.1815446234,-0.7040173596,-0.1909087216,2436.0222222222,1,11,3140.6666666667,0.1515648788,0.529170145
"s165",1.1282074355,0.237833826,1.4437412878,1.85,19.2307692308,0.1333333333,17.5,0.2,-0.4290789003,-0.2948652768,5.0763821666,0.3801542893,3.1522219304,-0.2347077175,0.0715719178,-3.0434271468735,-3.44948510362681,-5.68299483264634,-4.79799168711685,5.0626199298,0.2988440135,2.0457261999,0.5,0.3333333333,10.2916666667,-0.0458333333,1,0.0015,-6.0416666667,9.2083333333,0.0281690141,0,-0.006084507,-1.5281690141,0.1608233,0.306122449,0.6283703578,8.1,6.5,1.6337704877,0.4485224651,2.6947059311,-0.2317685421,-1.54044504088048,-0.0126520173,0,1.0410435386,1.4230554449,0.2069349665,4.9062650043,1.9296918467,0.0048683814,2.373238718171,-0.8075379761,0.0857142857,4.3503317988,206,59.8991114415,0.8568707964,6,0.807019043,0.0016292124,0.89765625,0.0019741832,0.5833333333,0.1111111111,-0.9612900256,-365.5,0.15,1.6582412803,0.4929801327,2.0298961832,-133,0.1538461538,-0.2714372532,262.1666666667,4.1718513408,0.3407801312,2.0911128784,14,50,33.638482138,0.8071910569,4,1.2968328668,0.4536634633,2.3417445061,0.2067937563,3.2543595925,0.4325709906,2.6490736833,61,0.1071428571,-1.922921778,155,0.0635596685,0.2992776058,0.693147180559945,104,151,16,3.5198139676,0.3260724,1.8454217662,-0.3436153886,5.3,4.3,286.5,4.6682948177,0.3735481258,0.759667434626416,249,0.5111111111,4.6435507759,0.3932236046,1.9571557058,0.0131428089,0.0071428571,18.6666666667,15.2483757062,1,2.7706954835,0.4839345836,2.2907365814,-0.9804172617,-0.2088082369,-0.0842912013,1.7301746669,0.275087022,1.931463741806,0.5645478531,0.0579073228,2652.9314814815,17,5,2705.25,0.4989153437,0.1914306723
"s168",1.6066740042,0.443832081,1.9871912509,3.65,1,0,0.9333333333,0,-0.1720388603,-1.1087013243,3.3205410058,0.3131986589,1.5432461016,-0.955503031224001,0.6705993151,-3.16914839530733,-2.01862999107685,-7.92685229135188,-4.32617441041713,7.4819732301,0.2657545456,1.6287609898,0.8333333333,0.1666666667,7.25,0.0666666667,2,-0.0013333333,-1.3333333333,21.9166666667,0.2271428571,2,-0.0025142857,-3.0833333333,-0.0124748458,0.25,1.0463428282,7.5,7.7,2.7118232761,0.3591366547,2.267053172,-0.5836866108,-4.31770138627732,0.0098499551,0.5,0.8740001689,2.4074272454,0,5.3201349372,3.4177200027,0.217612871,2.0476215505,-0.9575666758,0.1428571429,4.0502743994,186,59.8991114415,0.8568707964,6,0.6925447464,0.0016239511,0.9984375,0.0022941762,0.7222222222,0.3333333333,-1.175513402,-314,0.2941176471,2.0719015726,0.4226316495,1.3160907329,-209.5,0.0714285714,-0.3067695668,259.3333333333,4.3492114176,0.2849046347,1.8349007359,2,-7.5,-5.5606805381,0.3966477785,15,1.7591569701,0.5237184897,1.8977538188,-0.0380547562,4.4741629185,0.3936070098,1.9283575353,-13.5,0.1142857143,-1.506801361,130,0.0821625508,-0.0280701754,0,101,140,25,4.4457506785,0.2592071657,1.3063073459,-1.6940411789,7.6,7.1,312.8333333333,3.7859927442,0.310705589,0.284383849689988,256.4166666667,0.5055555556,3.9566356839,0.2925425633,1.4720501332,0.0170057339,0.0285714286,13.1666666667,20.3863837312,0,3.1711223106,0.3681632041,1.6030860833,-2.0799367789,-0.6174828275,-0.7421251756,1.7746214743,0.2343246411,2.0285127035,-0.6720408156,0.1947943871,1549.9833333333,1,11,3285,0.6636948689,0.162081627
"s170",0.9067038853,0.2245875194,1.1852857117,1.85,32.3684210526,0.3666666667,18.9473684211,0.3666666667,-0.9546681899,-0.5359164742,2.6959834207,0.3156921141,1.5012651161,-1.0606068129,0.3785753425,-1.0092804040401,-1.19570513521903,-7.96081807736822,-7.62114843310169,2.2887822343,0.2437630475,1.368715671,0.5,0.1666666667,15.9583333333,0.2708333333,2,-0.00715833334,-7.375,12.375,0.2050287356,3,-0.0078678161,-4.4088669951,0.1383089246,0.2857142857,0.4023593284,8,7.8,1.4625820562,0.3404395433,1.8219524384,-0.1938959977,-3.74159820187232,0.012817069,0.3888888889,-1.7804259177,-1.0913455612,-0.3367269487,2.9741526582,2.0472320229,0.0136558057,1.9545585957,-1.0385004382,0.2571428571,3.3813588491,142,0.0020298306,-0.5075187793,3,0.6391280413,0.0012768053,0.944140625,0.0024660852,0.5,0.6666666667,-1.7260930213,-119.5,0.3157894737,1.5717048145,0.4431343511,1.3075003798,-58.5,0.3636363636,-0.1665413575,460.6666666667,2.2517623558,0.3132860869,1.3575274844,51.5,92.5,5.63388186853,0.4794762317,8,1.4142565903,0.4577665613,1.8157987009,-0.1782007008,3.02095196,0.3430578117,2.2327377097,16,0.1107142857,-0.8895495795,120,-0.0134877658,0.0140350877,0,97,150,17,2.4656449564,0.2829238743,1.1356882457,-1.6724420651,6.2,5.1,318.276666666661,2.766173872894,0.330769753511,0.462048162333604,290.015416666671,0.536333333328,2.3571917026,0.2699944186,1.8132418824,0.000136838,0.1333333333,33.3333333333,32.3698113208,0,1.7537877459,0.3051436976,2.0223036135,-1.3030354032,0.0530998804,0.7334008361,1.0808479977,0.2250234865,1.6184075387,-0.519477416,-0.5458654914,1563.119047619,20,6,2055.0833333333,0.3444379439,0.2784116774
