,NBHD,NBHN,NBHT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTRCLCK,ARTRLPC,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,ANTZHT,ANTORTHD,BITIHDLL,BITIHDML,BISATTII,BISMOTII,BISNPLII,BBASDRIV,BBASFUNS,BBASRWRD,BBASBIS,BSCSSCON,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DIIFUNC,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPTEEB,DPTFEB,dospert_eb_survey.health_safety.logTr,DPTREB,DPTSEB,DPTERP,DPTFRP,DPTHRP,DPTRRP,DPTSRP,DPTERT,DPTFRT,DPTHRT,DPTRRT,DPTSRT,DPEAYBHD,DPEBXBHD,dot_pattern_expectancy.bias,DPEDPRIM,DPEHD,DPEHN,DPEHT,TFEQCGRS,TFEQEEAT,TFEQUEAT,ERQREAP,ERQSUPP,FFMQAWAR,FFMQDESC,FFMQNJUD,FFMQNREA,FFMQOBSV,FTPSFTP,go_nogo.bias,GNGDRPIM,GRTSGRIT,HIRSCOR,HLTSFCH,IMVVNTUR,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRLL,KRBHDRML,KRBHDRSL,LCATACTL,LOGCONHD,LOGHD,LOGHN,LOGHT,LOGSWCHD,MAASMIND,MOSSSRT,MOSHD,MOSHN,MOSHT,MOSREC,MOSSPC,mpq_control_survey.control.ReflogTr,PRSPLB,PRPSLOPE,RPMSCOR,REPHD,REPHN,REPHT,REPPINHD,SOCSCOM,SOCSELSE,SOCSLBSE,selection_optimization_compensation_survey.optimization.ReflogTr,SSRQCOTR,SSSBORED,SSSDISIN,SSSEXPSK,SSSTHRIL,SMHD,SMHN,SMHT,SMSIHD,SHFTAC,SHFTLR,SIMHD,SIMHN,SIMHT,SIMSIMHD,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHTL,SSSSRTHI,SSHD,SSHN,SSHT,STRHD,STRHN,STRHT,STRSTRHD,TIPIAGRE,TIPICONS,TIPIEMST,TIPIEXTR,TIPIOPEN,TWILLELR,32CSCHD1,32CSCHD9,32HD,32HN,32HT,32TSCHD1,32TSCHD9,ZTPIFUTR,ZTPIPNEG,ZTPIPPOS,ZTPIPRFA,ZTPIPRHE,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,two_stage_decision.perseverance,UPPLPERS,UPPLPREM,UPPNEGUR,UPPPOSUR,UPPSENSE,WRTNEUPR,WRTPOSPR
s313,0.7843508991,0.201945758,1.4811933163,1.6,35.8,0.1666666667,19.1,0.33333333330000003,-0.3078190762,-0.6380094453,3.1753439180000003,0.4144899829,1.712706372,-1.8965809261000002,-9.283090650828095,-7.571270844417479,3.8,3.3928571429,2.9333333333,2.75,2.0,1.6,2.2857142857,57.0,2.9419647281,0.31175295989999996,1.8907136834,0.5,0.33333333330000003,11.666666666700001,0.075,2.0,0.001,-3.6666666667,12.541666666700001,0.2801204819,2.0,0.0011325301,-2.6987951807,1.0909090909,0.9642729731999999,0.0031661563,4.9,5.1,1.7454337152000001,0.5310991589,1.6062123053,-0.2587660641,0.6944444444,1.5,3.1666666667000003,0.0,1.0,1.8333333333,3.8333333332999997,5.3333333333,4.6666666667,4.5,2.0,3.0,2.3333333333,3.0,3.5,5.3333333333,-1.2038959122,1.5460307627,0.1910395678,4.9380558016,2.8317272343,0.2999288646,2.1669172299,94.4444444444,44.4444444444,22.2222222222,1.0,7.0,3.25,1.0,2.25,3.5714285714000003,3.5,28.0,-0.4134816835,4.6313963585,37.0,138.0,6.0,1.3333333333,0.7602663040000001,0.0017898468000000004,0.8416503906,0.0017969284,0.4722222222,-8.511264302067357,-8.511264302067357,-6.449609932071973,2.0,-1.0779224134,1.5864535273,0.4769857813,2.181859998,-0.3226034739,2.8666666667,403.1666666667,2.483309362,0.3837530674,1.5450589825,65.0,96.0,0.0,7.8689190962,0.755455313,11.0,1.4297121365,0.6139766422,1.5577025144,-0.0969413019,0.6666666667000001,0.9166666667,1.0,0.08004270764276712,139.5,0.5,0.1,0.5,0.2,3.3393696751,0.4345319857,2.1175119241,-1.0343139472,0.382133995,0.0171154325,2.9964548114999996,0.3866841767,1.2654984364,-0.9246552779,406.5,5.0,4.5,348.8333333333,2.9867417479,0.1167260233,1.1821923530042522,375.6666666667,2.8526623888,0.4116648851,1.6258073555,2.6655697497,0.36353234450000005,2.5018678618,-0.623202928,1.0,6.5,2.0,1.0,5.5,20.0,-0.7639693805000001,-0.0466997052,1.6231928266,0.2700118647,2.5528460791,0.29450685109999997,-0.4051740178,4.8461538462,3.6,1.8888888889,1.2222222222,1.5333333333,1873.9866071429,31.0,6.0,2747.4166666667,-0.3932870336,-0.29134236950000003,-0.7495873206999999,1.2,1.0,1.25,1.0,1.5833333333,0.8048773842,0.2268562068
s314,0.5800739521,0.0154850951,1.6055431321,1.15,44.1176470588,0.43333333329999996,27.2727272727,0.2666666667,0.0396672341,-1.2317721103,3.5374426619,0.4753835284,1.9534420105,0.13027159430000002,-5.485370941701852,-9.055918586044363,5.2,5.2857142857,4.5333333333,3.0,2.75,3.0,2.2857142857,38.0,2.4113459028,0.09323029039999998,2.4070761426,0.33333333330000003,0.1666666667,14.583333333299999,-0.0416666667,0.0,0.0016666667,4.440892099e-16,6.375,0.005932203400000001,2.0,-0.01125097,2.9753930977999996,1.2727272726999999,0.11702101179999999,-0.0613236905,6.3,3.9,1.0861389542,0.3387455736,1.8580750968000002,-0.646430986,0.5833333333,2.6666666667000003,2.3333333333,1.0414538748163964,2.3333333333,2.5,4.8333333333,4.0,3.8333333332999997,4.1666666667,3.6666666667,2.1666666667,2.5,3.5,2.5,4.1666666667,-1.9195358883000002,-0.7602568136000001,-0.4201855406,3.141069842,1.4224967191,0.013064203799999998,1.8966879788,33.3333333333,66.6666666667,59.2592592593,4.1666666667,5.0,3.375,3.0,3.5,2.8571428571,2.625,43.0,-0.8903224109000001,3.6777149035,24.0,120.0,6.0,1.1333333333,0.5851873397999999,0.0019741478,0.5823532104,0.0019965752,0.5555555556,-2.7483841522350163,-4.625581180301964,-3.6646748864517766,3.0,-0.5361329561,1.2433098651,0.5466672307,1.7978248227000002,-0.0896472417,4.0,429.6666666667,2.5535010375,0.33228480990000003,1.2694881811,56.0,-6.5,0.6931471805599453,4.533637062888999,0.5152832418000001,6.0,0.8786754893000001,0.46798008770000005,1.7408189896,-1.045617022,0.5833333333,0.5833333333,0.574999999995,0.34830669429174504,109.0,0.1,0.6000000000000001,0.4,0.30000000000000004,2.7794759233999997,0.4696502122,1.7098380448,-1.9771564902,0.31265508680000004,0.0252880704,3.2090222448000003,0.3202289021,1.4274242293,-1.0794656941,380.5,6.0,6.3,338.44333333332696,2.8529750457060006,0.3357519743499999,0.5061515113995352,349.1666666667,2.6215137396,0.2313685643,1.9862046888999998,2.1233547899,0.4052537817,1.7442047887,-1.611599267,1.5,5.5,6.0,2.0,1.5,37.0,0.0644251376,0.2125323811,0.9348378068,0.2949515256,1.6847408075,0.0331553651,-0.29332735800000004,3.2307692308,3.2,2.7777777778,3.2222222222,3.2,1794.8590909091001,6.0,6.0,3021.8333333333003,0.260006859653,-0.06456072022399999,0.17317566363500006,1.3,1.7272727273,2.1666666667,2.0,2.1666666667,0.7258887961,0.43741217909999996
s326,0.9615813729000001,0.0209546998,2.5478719622,2.15,34.2608695652,0.23333333329999997,32.7368421053,0.3666666667,-0.1732131812,-1.2689140215,2.7420441587,0.3585357889,2.0951560321,-0.8958081637,-8.226189516598566,-4.404344139866206,3.5333333333,3.3928571429,3.8,3.75,1.75,3.6,1.7142857143,51.0,2.7663238551,0.3205390321,1.954333123,0.8333333333,0.0,8.5,0.35000000000000003,2.0,-0.011333333300000002,-0.1666666667,6.166666666699999,0.2257326821,3.0,-0.012072824199999999,-1.8756660746,1.1818181818,-0.17000263370000002,0.7465981916000001,6.9,6.2,1.83491441,0.40083162969999997,2.1899399298,-0.1433374964,0.22222222219999999,2.3333333333,2.8333333332999997,0.6061358035521338,2.6666666667000003,4.1666666667,4.1666666667,4.8333333333,2.1666666667,2.1666666667,1.3333333333,2.0,1.3333333333,4.8333333333,4.5,7.0,-1.1189954498,-0.9619658918999999,-0.9342144304,3.4517060764,1.8870216353,0.013251913,2.6852090146,33.3333333333,0.0,40.740740740700005,5.5,7.0,4.125,3.75,3.0,3.1428571429,2.625,47.0,-0.7122733402,3.5596877282,35.0,243.0,4.0,1.4,0.6009450912000001,0.0014539508,1.0,0.0015858775,0.5,-3.6646748864517766,-3.6646748864517766,-2.7483841522350163,3.0,-1.0009437824,1.6214536366999999,0.4179708102,2.2957529491999997,-0.4860559343,4.8,242.6666666667,3.3713477009,0.4705991689,1.2840042741,-29.0,31.5,1.0986122886681098,-3.7211716929,0.5476535495,12.0,0.8754120751000001,0.6290973026000001,2.2667405792,-0.1404827504,0.6666666667000001,0.5833333333,0.5,0.22314355131420974,125.0,0.1,0.5,0.4,0.6000000000000001,2.1980159423,0.41453289579999997,2.1177365271,-0.4688821465,0.5570652174,0.0927157039,0.9673849287,0.0754103473,1.9709647044999998,-0.1357000354,304.0,7.1,6.6,359.3333333333,2.9518656119,0.3982876982,0.5612786367499852,293.0,2.3868072688999997,0.3906994906,1.7267444372999998,2.6602714669000003,0.352012596,2.3489203621,-1.1649093375,5.0,6.0,6.0,1.5,5.5,46.0,-0.4521205617,-0.0491076589,1.7339544321,0.0255023988,3.1381140321,0.4387892824,0.0141141243,4.6153846154,3.5,2.7777777778,1.5555555556,2.4666666666999997,2276.1979166667,-2.0,6.0,4871.9090909091,-0.0959270624,-0.2105248545,0.1600393182,1.7000000000000002,1.9090909091,2.0833333333,2.0714285714,2.4166666667,0.460401486,0.4004562781
s328,1.160673791,0.34420467479999994,1.9603033326,2.6,45.2173913043,0.23333333329999997,32.0,0.5,-1.4783648178,-0.7077676378000001,2.7267718519,0.29688252379999996,1.5050548397999999,-0.8135697226,-5.153228766471501,-3.1209390362593252,2.8666666667,2.75,2.7333333332999996,3.0,2.0,3.6,1.2857142857,58.0,3.2837543125,0.2341942161,1.6779986095,0.5,0.33333333330000003,13.875,0.1041666667,1.0,-0.0171666667,-0.7916666667000001,19.6666666667,0.0079196217,1.0,-0.0050165485,-3.4208037825,1.5454545455000002,0.1073485774,0.8386280328,11.5,11.5,1.7210517436000001,0.35063260009999997,1.7398790544,-0.106143824,0.055555555599999994,2.8333333332999997,3.1666666667000003,0.2876820724267811,3.5,4.6666666667,5.833333333300001,6.0,6.166666666699999,4.5,3.0,2.0,1.6666666666999999,1.8333333333,3.3333333332999997,5.1666666667,-0.35070758100000005,0.1691530054,-0.3719338943,3.8121088774,2.3274221259,0.1454286657,2.6308939113000003,0.0,0.0,3.7037037037,5.833333333300001,2.75,5.0,4.375,4.625,4.0,3.625,40.0,-1.2494826612,3.4664424285,35.0,279.0,8.0,1.5333333333,0.9,0.0031285626000000003,1.0,0.0026114347,0.5,-1.3862943611198906,-1.3862943611198906,-1.3862943611198906,3.0,-1.515258239,1.4258434344,0.3952630354,1.3132233078,-0.176762008,5.6,270.8333333333,3.9278134987,0.3164046111,1.5791920575,-5.5,24.0,0.6931471805599453,-0.1492815015,0.4412296886,9.0,1.4527737862,0.3587350908,2.1621398319,-0.08672138119999999,0.6808333333259998,0.8333333333,0.8333333333,0.08004270764276712,126.5,0.0,0.1,0.5,0.5,2.821600019,0.4048708363,1.6362909744,-1.3934746269,0.42857142859999997,0.0201300304,3.4701181764999998,0.2292183215,1.7432285089,-0.8642584612,273.5,6.1,6.7,329.8333333333,2.3762032709,0.3096936907,0.19828386426367786,237.6666666667,3.39217427,0.3472522247,1.6490208885,2.7274828217000002,0.379460227,1.76070676,-1.5975617938000002,6.5,6.5,6.0,6.5,6.0,36.0,-0.2785360616,-0.5807405840000001,1.3093957809,0.3000398748,1.7355456373,-0.5172563831,0.280222433,3.6923076923,2.1,4.3333333333,1.3333333333,2.8,1564.4393939394001,20.0,7.0,1948.1666666667002,-0.2410846857,0.5803868219,0.35905748730000003,1.6,2.0909090909,1.25,1.0714285714,2.8333333332999997,0.8702555623,0.47843884979999995
s329,1.4538040638999998,0.1967786787,1.1622661871,2.05,22.962962963000003,0.1,23.380952381,0.30000000000000004,-0.1088998023,-0.9177286619,2.2762005803,0.33889765689999996,1.011944463,-2.2706096791,-4.36568740193222,-2.3594345014046194,2.8,2.9642857143,3.9666666667,3.0,2.25,3.2,2.2857142857,53.0,4.3188303026,0.2142385975,1.1957681797,0.5,0.33333333330000003,22.5,8.326672684999999e-17,2.0,-7.979727989000001e-17,-2.5,25.625,0.0349358974,1.0,-0.002021978,-1.483974359,1.1818181818,0.08868307539999999,1.2726696039,8.5,9.1,2.4855918131,0.4545308219,1.7111352961,-0.305797296,0.0,1.5,2.6666666667000003,0.6061358035521338,3.5,4.0,5.1666666667,4.8333333333,5.3333333333,5.1666666667,2.8333333332999997,1.0,2.5,1.5,2.8333333332999997,6.333333333300001,-3.0452296185,0.1086114411,-0.1448413667,3.3579238220999996,2.3347007752,0.08584377859999999,1.4719037736000002,72.2222222222,0.0,18.5185185185,5.833333333300001,2.75,4.0,4.0,4.0,4.1428571429000005,3.5,47.0,-1.3646783862,3.2360509786000002,38.0,117.0,6.0,1.5333333333,0.6138065338,0.0018209004,0.934375,0.0021590645,0.7222222222,-3.6646748864517766,-3.6646748864517766,-3.6646748864517766,1.0,-3.5178374506,1.0632445527,0.33551301580000004,0.95961816,-0.0223972325,5.466666666699999,315.8166666666599,2.9220275194810004,0.289209691169,1.4213316941129994,19.65,50.915,0.0,-5.001493818,0.3267903837,11.0,1.9561550028,0.3781035613,1.9947098858,-0.6440064021999999,0.9166666667,0.9166666667,0.9166666667,0.1541506798558296,150.0,0.1,0.1,0.7000000000000001,0.6000000000000001,3.0608819292000002,0.36467905219999996,1.2222404801,-2.2328557149,0.5,0.030180552500000006,3.7112564006,0.2206835253,1.5551444120000002,-0.8684157293000001,237.5,5.8,6.3,303.32833333333093,3.129650046437001,0.30628688379899993,0.2861754723411583,227.5,2.4393416534,0.2367970423,1.1360393705,1.8985048427000002,0.3131449237,1.4463567699000002,-1.481262108,6.5,6.0,6.0,4.0,6.0,18.0,-0.2184242214,-1.2810315807,1.1272285406,0.2485661135,1.3249428589,-0.0994848983,1.0500570068000001,3.9230769231,2.8,3.8888888889,2.1111111111,2.6,1172.1319444444,0.0,12.0,4660.5833333333,-0.1056797232,-0.2489377764,-0.34248446829999996,1.1,1.5454545455000002,1.25,1.0714285714,2.4166666667,0.1297352548,0.17902497609999998
s334,1.2083862746969998,0.20073144843200008,1.5824009611359997,2.1188947368420004,29.090909090900002,0.2666666667,26.565217391300003,0.23333333329999997,-0.1858764255,-1.5906091406,2.5347616831,0.39112573479999996,1.5209419513,-0.9883554473,-9.302546673797467,-4.9202045585320535,3.2666666667000004,3.5,4.0333333333,3.25,2.25,3.2,2.2857142857,48.0,3.2930249889999996,0.2642183982,1.3868470512,0.1666666667,0.33333333330000003,14.958333333299999,0.1625,2.0,-0.0031666666999999996,-3.375,13.166666666700001,0.0608333333,1.0,-0.0029,-1.6916666666999998,1.9090909091,0.15937007520000002,0.6457734909,8.7,6.1,0.6857610679999999,0.26117458379999997,1.6821631469,-1.026660748,0.33333333330000003,2.5,2.6666666667000003,0.847297860372918,3.8333333332999997,3.1666666667000003,4.6666666667,4.5,4.8333333333,3.8333333332999997,2.1666666667,1.3333333333,2.5,3.3333333332999997,5.0,5.0,-1.5333488808000002,0.3578437008,0.0,5.320134937200001,2.83226258,0.0285158833,2.8807064187,5.5555555556,0.0,3.7037037037,6.0,4.25,3.75,4.0,4.0,4.0,4.0,48.0,-1.1195720593,3.7262636324,39.0,221.0,7.0,1.7333333333,0.6412079214999999,0.0016730231,0.7213916779,0.0019438672,0.5,-7.824046010856294,-5.553730190361736,-5.553730190361736,3.0,-0.7990112370999999,1.6201849513000002,0.414066914,2.0036539497,-0.0720514592,3.8666666667,361.5,2.6343424653,0.31274221879999997,1.7148185447,58.0,126.5,1.6094379124341005,8.951655182231999,0.5700085364999999,7.0,1.5361006343909995,0.514833253777,1.9261684370650007,-0.396992076432,0.8333333333,0.6666666667000001,0.5,0.08004270764276712,134.0,0.1,0.4,0.6000000000000001,0.8,3.3818942592,0.35914117729999995,2.0445332744,-1.946869049,0.570719603,0.1320977562,2.7152760951999997,0.2483475434,1.6838440301,-0.3131939414,334.5,5.5,5.7,334.5,4.3522792952,0.2802280035,0.8981230935004503,308.3333333333,2.5343569791,0.3207715618,1.6141139524,1.9397052652,0.3066759269,2.1181416536,-0.9788263545999999,6.5,6.0,6.5,2.5,5.0,37.0,-0.4623485124,-0.1727158422,1.3964204869999999,0.207749899,2.0771073478,-0.1080080774,-0.4600366631,3.6923076923,1.4,4.1111111111000005,1.4444444444,3.0,1574.1208333333,-1.0,7.0,6936.583333333299,-0.0249462693,0.3176060189,0.5395857759,1.7000000000000002,1.6363636363999998,1.75,1.0714285714,2.9166666667000003,0.8237506081999999,0.7231050189
s336,1.4081579757,0.045325345700000005,1.5101631571,2.15,45.5555555556,0.4,33.3333333333,0.30000000000000004,-0.6882404872,-0.450617511,2.4503432026,0.2828428676,1.4356057532,-1.4656229472,-7.964026439597858,-8.263636833693832,3.7333333332999996,3.7142857143,6.2,2.0,2.5,3.0,2.8571428571,41.0,1.7039050447,0.2938964945,1.5106104702,0.6666666667000001,0.33333333330000003,17.5,0.0916666667,2.0,0.001,-2.5833333333,18.4166666667,0.26089347079999997,3.0,-0.0086423826,-3.1243986254,1.5454545455000002,-0.2163964041,0.6929760420000001,5.5,4.1,1.267295876,0.2576201487,1.5218814243,-0.7510101081,0.0,3.0,2.5,0.9162907318741552,2.8333333332999997,3.6666666667,3.5,3.5,4.1666666667,3.1666666667000003,2.1666666667,2.8333333332999997,2.8333333332999997,2.1666666667,1.8333333333,4.1666666667,-0.042546002900000005,-0.3979637204,-1.0856455288,3.1488438797,1.879599876,0.0472728861,2.5134117049,27.7777777778,66.6666666667,77.7777777778,5.1666666667,5.75,3.375,2.75,4.0,3.2857142857,1.75,38.0,-1.4184071275,2.6215454703,22.0,168.0,5.0,1.2666666667,0.6340867996,0.002702227,0.8225616455,0.0035750197000000007,0.5833333333,-2.7483841522350163,-1.3862943611198906,-1.3862943611198906,1.0,-1.7961520207,1.8047978306999999,0.3321673509,1.2811775493000002,0.028911844000000006,3.8666666667,265.1666666667,3.6340464789999998,0.3513898025,1.286555769,25.0,71.5,2.7080502011022096,2.439709176039001,0.4267267717,4.0,1.1555399178,0.37856194159999995,1.204681937,-0.6063528707,0.0,0.33333333330000003,0.5,0.5596157879354227,90.5,0.1,0.2,0.1,0.0,2.6905920525,0.3558119545,1.3151893045999998,-0.6885459974,0.3447432763,-0.0206946378,2.3761850613999997,0.2789121182,1.9269720138,-0.42449894759999995,363.5,7.5,5.2,275.6666666667,2.3149193705,0.2997764687,0.04286043238936624,249.5,3.0843902116,0.3208914044,1.3282863522,1.8921232531999999,0.3174747738,1.5811944994,-0.5029882335,3.0,4.5,6.0,2.0,3.5,52.0,-0.3112718834,0.0478893763,1.8268188656,0.32450403629999997,1.9048117989,-0.2798358617,-0.1060229269,2.3076923077,2.8,3.0,3.7777777778,3.0666666667,1429.1984848485001,18.0,6.0,2846.25,0.23863535741300002,0.08516581948100001,0.3073597178750001,2.2,1.9090909091,1.9166666666999999,1.9285714286,2.1666666667,0.1622214628,0.2831216916
s339,0.7162649723000001,0.031731339000000004,1.5886460697999998,1.7894736841999999,34.4583333333,0.2,26.434782608699997,0.23333333329999997,-0.7564916649000001,-0.9922655051,3.4995942573,0.394066783,1.8433061297,-2.2751360737,-8.00702248205988,-5.970055367870482,2.8666666667,3.8571428571,2.7333333332999996,2.75,3.0,3.6,3.0,53.0,1.9581194474,0.2925004516,1.3681995381999998,0.8333333333,0.1666666667,10.916666666700001,0.0166666667,1.0,0.0003333333,-0.5833333333,14.75,-0.0830508475,1.0,-0.001465387,-0.8915662651,1.7272727273,-0.24501983239999997,0.3432985746,7.3,4.4,1.0475397264,0.4633797434,2.3909163741,-0.9289644976000001,0.9444444444,1.5,2.0,0.0,2.8333333332999997,4.6666666667,5.3333333333,6.333333333300001,6.333333333300001,4.8333333333,2.1666666667,1.0,1.0,1.5,2.0,6.166666666699999,-1.6223472758000002,0.0611924361,-0.7548590440999999,3.8104168489999997,2.7765595208,0.2529665718,1.3977272121000002,33.3333333333,22.2222222222,25.925925925900003,5.666666666699999,1.5,3.75,5.0,4.25,3.0,3.25,45.0,-0.7458764829000001,2.9788724794999997,35.0,105.0,9.0,1.2,0.7411956787,0.0012560480999999999,0.8970016479999999,0.0011747586,0.75,-8.511264302067357,-8.511264302067357,-8.511264302067357,2.0,-0.9419966123000001,1.7358742958000002,0.3280451049,2.1228942032,-0.4424369512,6.0,331.95666666666494,2.9875129414390007,0.3314653834860002,1.5306411033069995,23.93,69.74,1.9459101490553128,7.167898428529002,0.4675669965,16.0,1.6067540361000001,0.4591865481,2.0774540082,-0.4455085251,0.9166666667,0.33333333330000003,0.9166666667,0.0,134.0,0.0,0.30000000000000004,0.30000000000000004,0.5,2.0433327161,0.0552599625,2.9248141438,-0.7319069137,0.4218362283,0.0775575377,2.4482825696,0.25946198649999996,1.5502870897999999,-0.6372902919,313.5,5.5,4.5,389.0,2.0355784191,0.25649741670000004,0.2446042992466874,286.6666666667,4.6659327681,0.11687605460000002,3.6976516282,1.732414273,0.3050828175,1.7501739826,-0.7597264701,3.5,6.5,4.0,6.0,5.5,28.0,-0.4281315779,-0.40351246770000004,1.3136574519,0.12276325,1.9254786766999998,0.4055639577,0.24435773379999998,3.6923076923,1.4,3.8888888889,1.7777777778,3.4,2504.4621212121,-3.0,11.0,4934.9166666667,1.7951042301,-0.040587802799999996,0.5514438848000001,1.9,1.7272727273,1.5833333333,1.0,2.1666666667,0.8811110506000001,0.5132530579
