,adaptive_n_back.hddm_drift,adaptive_n_back.hddm_non_decision,adaptive_n_back.hddm_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_loss_percent,attention_network_task.alerting_hddm_drift,attention_network_task.conflict_hddm_drift,attention_network_task.hddm_drift,attention_network_task.hddm_non_decision,attention_network_task.hddm_thresh,attention_network_task.orienting_hddm_drift,bickel_titrator.hyp_discount_rate_large.logTr,bickel_titrator.hyp_discount_rate_medium.logTr,choice_reaction_time.hddm_drift,choice_reaction_time.hddm_non_decision,choice_reaction_time.hddm_thresh,cognitive_reflection_survey.correct_proportion,cognitive_reflection_survey.intuitive_proportion,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.hddm_drift,directed_forgetting.hddm_non_decision,directed_forgetting.hddm_thresh,directed_forgetting.proactive_interference_hddm_drift,discount_titrate.percent_patient,dot_pattern_expectancy.AY-BY_hddm_drift,dot_pattern_expectancy.BX-BY_hddm_drift,dot_pattern_expectancy.bias,dot_pattern_expectancy.dprime,dot_pattern_expectancy.hddm_drift,dot_pattern_expectancy.hddm_non_decision,dot_pattern_expectancy.hddm_thresh,go_nogo.bias,go_nogo.dprime,hierarchical_rule.score,holt_laury_survey.safe_choices,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.hyp_discount_rate_large.logTr,kirby.hyp_discount_rate_medium.logTr,kirby.hyp_discount_rate_small.logTr,local_global_letter.conflict_hddm_drift,local_global_letter.hddm_drift,local_global_letter.hddm_non_decision,local_global_letter.hddm_thresh,local_global_letter.switch_cost_hddm_drift,motor_selective_stop_signal.SSRT,motor_selective_stop_signal.hddm_drift,motor_selective_stop_signal.hddm_non_decision,motor_selective_stop_signal.hddm_thresh,motor_selective_stop_signal.reactive_control,motor_selective_stop_signal.selective_proactive_control,probabilistic_selection.positive_learning_bias,psychological_refractory_period_two_choices.PRP_slope,ravens.score,recent_probes.hddm_drift,recent_probes.hddm_non_decision,recent_probes.hddm_thresh,recent_probes.proactive_interference_hddm_drift,shape_matching.hddm_drift,shape_matching.hddm_non_decision,shape_matching.hddm_thresh,shape_matching.stimulus_interference_hddm_drift,shift_task.acc,shift_task.learning_rate,simon.hddm_drift,simon.hddm_non_decision,simon.hddm_thresh,simon.simon_hddm_drift,simple_reaction_time.avg_rt,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.SSRT,stim_selective_stop_signal.hddm_drift,stim_selective_stop_signal.hddm_non_decision,stim_selective_stop_signal.hddm_thresh.logTr,stop_signal.SSRT_high,stop_signal.SSRT_low,stop_signal.hddm_drift,stop_signal.hddm_non_decision,stop_signal.hddm_thresh,stop_signal.proactive_SSRT_speeding,stop_signal.proactive_slowing,stroop.hddm_drift,stroop.hddm_non_decision,stroop.hddm_thresh,stroop.stroop_hddm_drift,threebytwo.cue_switch_cost_hddm_drift_100.0,threebytwo.cue_switch_cost_hddm_drift_900.0,threebytwo.hddm_drift,threebytwo.hddm_non_decision,threebytwo.hddm_thresh,threebytwo.task_switch_cost_hddm_drift_100.0,threebytwo.task_switch_cost_hddm_drift_900.0,tower_of_london.avg_move_time,tower_of_london.num_extra_moves,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance,writing_task.neutral_probability,writing_task.positive_probability
s091,1.1010889909000001,0.2060065032,1.2075936767,1.75,30.0,0.2333333333,16.1111111111,0.4,-0.026023053900000002,-1.9386051591000002,3.6789462702,0.3933891512,1.5567976176,-0.3876284398,-7.72202521586231,-7.772484689891074,6.5306953389,0.287447037,1.3858364213,0.5,0.5,17.2916666667,0.0208333333,1,-0.0025,-1.875,22.125,-0.1802992519,3,-0.0033482959,-1.150872818,0.1909782682,0.6738977768000001,8.3,5.0,3.1395124745,0.3991048172,1.5148856364999999,-0.6103542245,0.3888888889,-6.1430268686,-1.4041108888,0.0,5.3201349372,4.1763994396,0.2249514703,1.8022766387,-0.8075379761,4.3503317988,215.0,8,0.7233007431,0.001270222,0.996875,0.0016166175,0.75,-5.553730190361736,-4.625581180301964,-3.664674886451777,-1.8696652785999999,1.4036213354,0.32695596930000004,1.5644944669,-0.4452470671,236.8333333333,4.3151997899,0.3608012527,1.5598791249000001,-10.0,59.5,-15.0390125273,0.4840365278,16,2.4081342666,0.4124894575,1.4758414942,-0.5065678534,4.0070327672,0.3703689779,1.264081593,-2.6548136298,0.46829268290000003,0.0563554557,3.9304280722,0.3089760858,1.0553327005,-0.9594283812000001,290.0,4.9,5.2,293.6666666667,6.2336049542,0.29540847,1.0017685635239886,241.8333333333,248.8333333333,4.2054003141,0.31687449900000003,1.7036417376,7.0,60.3969718646,3.1980538223,0.2560341827,1.767697038,-1.3051883605999999,-0.18009327390000002,-0.1412988454,2.179930217,0.3212848218,1.4034403207000001,-0.7054616357,-0.0600112634,2056.1166666667,14,7,3212.8333333333,-0.20794261390000002,-0.195362012,-0.5420270933,0.16509251700000002,0.1449663884
s092,2.3694097099,0.3424138165,1.894547838,3.05,43.0416666667,0.2,22.1052631579,0.36666666670000003,-0.4617603642,-1.2664875029,4.2766723819,0.4293565211,1.4781304184000001,-0.40698826800000004,-7.966252062634941,-5.82762323634185,3.0753776165,0.3427999053,1.2003957655,0.33333333330000003,0.6666666667000001,14.5833333333,0.1083333333,1,-0.0033333333,-4.5833333333,14.75,0.0445035461,2,-0.0075531915000000005,-3.4716312057,-0.12724946010000002,0.5963768696,7.3,7.1,2.1091759351,0.4717230127,1.5506098169,0.2528540828,0.6666666667000001,-2.0074736655,0.6739916245,0.4847229195,4.3506890982,2.6056781412000003,0.29649417780000004,1.4868482589,-0.9575666758,4.0502743994,185.0,5,0.8592514038,0.001904969,0.9630950928,0.0019618544,0.5277777778,-5.553730190361736,-4.625581180301964,-4.625581180301964,-1.1390631154,1.5413995655,0.4767686474,1.7606318704000001,0.058192886400000005,288.1666666667,3.0894194301,0.3523065781,1.286181614,-4.0,84.0,-1.0250489764,0.5877764856000001,13,2.1102011499,0.5240867529000001,1.9632959441,-0.4321076286,2.8778528651,0.4174784503,1.5914190138,-2.2581750305,0.5882352941,0.09814874400000001,3.6769848036,0.3417929061,1.7978738332000002,-0.9439089921,374.5,7.3,6.6,258.6666666667,6.5221943001,0.3706135453,0.9983191038201059,256.5,261.6666666667,5.2208021709,0.38680819590000004,2.03668158,5.1666666667,21.7760801091,2.5064577238,0.3896414346,1.8805552987,-0.9271907157,-0.1817246528,0.3240445167,1.3484084619,0.06766629290000001,2.4413085587,-0.0586445149,-0.5451322192,2210.0722222222,2,8,4115.8333333333,0.0628492404,-0.5966989249,-0.4677842646,0.7039546765,0.3638711436
s093,0.8738919297000001,0.10821942100000001,1.9934895502,2.05,25.0,0.2666666667,25.0,0.4,-0.7264517293,-0.0233026162,2.5407885331999998,0.3365858751,3.0478460776,-0.5071107046000001,-7.591315561059092,-6.277146647504485,2.9601522889,0.3005705083,2.0162527929,0.8333333333,0.1666666667,8.9583333333,0.1125,2,-0.0208333333,-4.2916666667,12.5416666667,0.0943890274,2,-0.019104738200000002,-3.6209476309,0.9477560414,-1.0788645953,8.5,6.5,1.6586478511,0.4195298543,1.6124715281,-0.3786807796,0.0277777778,-1.1649590665,-0.8457129377,-0.40637727020000003,3.7432221257,2.7463323557,0.1584162717,2.3566487271,-0.8125734455,2.2812911061,163.0,7,0.8276702881,0.0021511661,0.99609375,0.0018323263000000001,0.5,-2.067339257049917,-2.067339257049917,-1.8444397271102142,-1.2276524209,2.0480094442,0.46210717910000004,1.5961365945,-0.5469163357,446.5,2.9560805019,0.3382807356,1.6015130529000001,22.5,22.5,,0.3769994142,13,1.9908733146,0.5599812789,2.1263100085,-0.169023835,2.9185243147,0.4026495082,1.6585017103,-1.1737206243,0.6203473945,0.08561700130000001,3.0852576741,0.349880538,1.5603182419000001,-0.5671839391,380.0,6.6,7.0,302.0,4.8882531349,0.3344112952,0.786660818776679,268.1666666667,390.5,4.4952678939,0.34517776380000004,2.076247216,122.3333333333,50.0773298083,3.1601516556,0.3832225765,2.0537816796,-0.9688645543000001,-0.5768289175,-0.3519154566,1.0976889168,0.35762559600000005,1.7243248979999999,-0.3542905612,-0.1061709056,1382.125,0,12,6619.5833333333,-0.257949172,0.29417711080000003,0.8713158473,0.8315085483,0.19344126020000002
s094,1.0506714356,0.2561103443,1.9599256392000002,2.2,41.6666666667,0.4,17.9545454545,0.2666666667,-0.3493008053,-0.2737617797,4.1761575392,0.42009053230000004,1.5191845998,-1.3677816316,-5.79871105927723,-6.010457863584529,5.3371912175,0.3109803399,1.5339227244,0.33333333330000003,0.5,6.3333333333,-0.033333333300000004,1,-0.006666666700000001,-0.33333333330000003,7.9583333333,-0.0512132274,2,-0.0095413356,-1.2413570968,0.1154326039,0.6904356226,8.4,7.6,2.7659801495,0.5146100385,1.6709209206,-0.7784105253,0.6666666667000001,-2.0387154239,0.7358433549000001,0.0,5.3201349372,3.2443670902,0.2887255267,2.0655086841,-1.2083775268,3.5486526974,234.0,9,0.9,0.0010704169000000001,1.0,0.0015756915000000001,0.4444444444,-5.553730190361736,-5.553730190361736,-5.553730190361736,-0.8261155831,2.2185218999,0.5490054183,1.781270981,-0.47167423,296.6666666667,2.9985955826,0.3590301903,1.1500880899,66.5,-12.0,9.5269927035,0.5923730384,11,2.0677201174,0.610603419,2.0499752414,-0.7285303614,3.7461178513,0.4702488999,1.5319438754,-2.5608920678000002,0.6157635468,0.1066524442,3.3270077975,0.3032377712,1.8939108134,0.0983610538,332.5,6.5,6.3,249.1666666667,5.5124396721,0.3088509772,0.952723439765483,250.1666666667,269.3333333333,3.3031405638,0.3538149433,1.2978278707,19.1666666667,7.4034067727,3.5743527709,0.3503882822,1.8222102127,-1.1842611392,-0.2495969022,0.14878330310000001,1.987284649,0.3202555421,1.5834796083,-0.4867755781,-1.0351837531,2745.7148148148,4,8,3494.0833333333,-1.3178598776000001,0.009929695,-0.666086116,0.1269596185,0.2549240604
s097,1.3448053281,0.2215695319,1.3098938878,2.05,43.2380952381,0.30000000000000004,30.4210526316,0.36666666670000003,-0.3510202072,-0.45372357,4.5655205461,0.2932125883,3.8442429477,0.09419115600000001,-6.48260768151302,-4.066546069581842,4.6349419602,0.3037765747,1.3367026988,0.5,0.1666666667,14.8333333333,0.033333333300000004,2,-0.0086666667,-2.5833333333,24.4166666667,0.0727380952,1,0.0005761905,-3.0726190476,0.1403486036,0.6988855051,8.5,7.0,3.1364869721,0.49275265910000005,1.7149956511000002,-0.6404568890000001,0.0,-3.5239206956,0.9569528696,0.1910395678,4.9380558016,3.3301958158,0.2746530612,1.5408143391,-0.9575666758,4.0502743994,221.0,4,0.734727478,0.0021284996,0.9691406250000001,0.0020974717,0.6111111111,-1.3862943611198906,-2.748384152235016,-1.8444397271102142,-2.0051376603,1.4306051936,0.4419596309,1.4122759668,-0.0212282647,364.3333333333,2.1574096746,0.30867329790000003,1.1375300477999999,1.0,13.5,-3.7405872785,0.41957060090000003,10,2.0519092341,0.5364213628,1.8265549539000001,-0.044558039,3.1216697849,0.4179429705,1.8364328568000001,-1.7045041999000001,0.4609756098,0.041448297700000004,3.2950564357,0.2905789297,1.3492132558,-1.3367347363,312.0,4.7,5.0,363.3333333333,3.0306750189,0.31695807470000004,0.2263998635301427,286.3333333333,319.3333333333,2.6252806531,0.31155818750000003,1.4056577802999999,33.0,-0.168936616,3.3106463655000002,0.2597798519,2.783154656,-0.816951278,-0.24167974720000002,0.2820221094,2.5518033391,0.3658031795,1.5396520407,0.0151940921,-0.6102353481,2085.5333333333,17,7,2302.1666666667,-0.5260551619,-0.106566643,-0.9106463833,0.7853965402,0.3031602779
s098,1.0908715249,0.0957091957,2.0849560695,2.35,45.0,0.33333333330000003,23.1111111111,0.4,-0.583716458,-1.9460901852,2.473279759,0.3738045921,1.5724124058,-1.3383054726,-9.324935619033996,-6.8843795330802235,1.5832648752,0.1940455696,2.0899006968,0.6666666667000001,0.0,11.5416666667,0.2541666667,2,-0.0011666667,-2.375,10.625,0.1536764706,3,-0.0095,-2.4705882353,0.2446860022,0.9221629209000001,7.7,8.0,1.1365476747,0.4039339961,1.6824905212,-0.900227333,0.25,-0.18875138530000002,0.2528497312,0.1910395678,4.9380558016,2.6279877143,0.1841205139,2.3283805854,-1.1227206548,3.2129184158,110.0,7,0.6902178764,0.0014242013,0.9259521484000001,0.0020035892,0.5277777778,-5.553730190361736,-5.553730190361736,-3.6869826661541367,-1.1473870153,1.5391748194,0.37882841170000003,2.0276745557,-0.30246887310000004,,,,,,,,0.49499529810000004,9,1.4684093377,0.4898255998,1.7759005486000001,-0.5019537847000001,1.5614736325,0.45100127570000004,1.7058815201000002,-0.5421449267,0.5,0.0236644144,2.3535949473,0.2745579776,1.4860824952,-0.1638429609,351.5,6.0,6.9,,,,,152.5833333333,487.3333333333,1.4153089502,0.3450846388,1.1179170218,334.75,19.1050420168,2.2125991854000002,0.31649180450000003,1.7623984647,-1.2888992855999999,-0.4520585059,-0.08188500650000001,0.6047797029,0.024469170000000002,2.0120403417,0.0266715094,-0.4346466285,2169.7333333333,-6,9,7836.3636363636,-0.6630903373,0.19413725110000002,-0.4275595975,0.8338835774000001,0.45102095600000003
s103,1.568768949,0.0140754893,2.6858363528,2.4,19.36,0.1666666667,13.4583333333,0.2,-0.2779383073,-0.4111188939,3.4190912332,0.4534879016,2.6208263296,-0.655030891,-5.757468798477121,-5.30335935604134,3.5464465676,0.2880151286,1.5921665585,0.1666666667,0.5,9.25,0.05,2,-0.0106666667,-5.5,8.7916666667,-0.0016030223,2,-0.0089491525,-1.6365121503,0.2451536923,0.5319895844,7.1,8.0,1.9997093634,0.4960881532,1.7491343883,-0.6015410946,0.33333333330000003,-1.1315436577,-0.6934018168,-0.4424163399,3.1063759132,1.9827916399,0.21277537840000002,1.8803372345,-1.0170844173,3.9312389163,244.0,6,0.7076599121,0.0008614946000000001,0.7538421631000001,0.0009394664,0.5833333333,-4.625581180301964,-4.625581180301964,-2.748384152235016,-1.9207903134,2.2238753001,0.45428159160000003,1.5012787794,0.2467930734,,,,,,,6.1525019921,0.6033998589,6,1.4085692246,0.6445988213,1.8325186132,-0.055883323000000006,2.6628482356000003,0.4242560953,1.9495923447,-2.1257303,0.4088669951,0.039326447300000004,3.1971048027,0.3544432689,1.639325778,-0.9480959432,361.0,4.9,4.3,277.5,2.7918874948,0.36752067920000003,0.48632990743327875,284.6666666667,290.0,2.7111268827,0.3557121312,1.2942182105,5.3333333333,6.8412581913,2.7412975582,0.3742900715,2.1276692326,-0.8790221534,-0.43166669420000003,-0.3715068324,1.532483048,0.386580813,1.9100256381,0.0581579964,0.2681167023,3068.1515151515,2,11,3547.4166666667,1.514849039,-0.4170518005,0.8796662933,0.24636359100000002,0.6217034564
s106,1.1985886772,0.1280362529,1.1553543407,1.6,20.8333333333,0.2,20.5,0.33333333330000003,-0.8428616938,-1.0894852988000001,2.0784586025,0.30669791300000004,1.1256978814,-0.9763413517,-11.530244578740696,-10.220219516746363,4.8311179319,0.21170193380000002,1.3170833791,0.33333333330000003,0.6666666667000001,11.2083333333,0.0291666667,1,0.0011666667,-3.2083333333,6.25,0.001875,2,-0.010125,-0.46875000000000006,0.1513521529,-0.3523164789,8.2,5.9,2.4053557929,0.3356828642,1.4545598889,-0.8800718712000001,0.7777777778,-7.3193567714,-1.2149692385,-0.2331515124,3.5345441135,2.5692344778000002,0.1989550837,0.9192806585000001,-1.1652624446,3.6348828618,166.0,9,0.7038806438,0.0014609558,0.8626464844,0.0021918064000000003,0.7222222222,-8.511264302067358,-8.511264302067358,-7.365900695568905,-1.8268287446,2.3536133022,0.3501344107,1.1760829130000001,-0.5404336014000001,,,,,,,26.8696014973,0.3012906551,11,1.9822957739,0.4218197255,1.5970577253,-0.6714600261,3.3287993147,0.3858978917,0.9864157096,-3.4081631365,0.4731707317,0.052887890400000005,3.9666058072,0.20217558600000002,1.2254868759,-1.7053779530000002,264.0,6.1,5.4,,,,,201.3333333333,223.6666666667,3.3884406669000002,0.31320452320000003,1.1064386304,22.3333333333,8.624702114,2.8038285659,0.31498152760000003,1.7777496502,-1.676293974,-0.8281955663,0.8655303036,0.8917700726000001,0.2589728239,1.1179951457,0.19588741610000002,-1.3474635178,1634.9848484848,8,9,3150.75,-0.9713961333000001,0.0754917279,-0.8569170389,0.8595945988,0.8621889839
s108,1.0833552282,0.2619823868,1.8977572044,3.1,31.25,0.2,26.0909090909,0.2666666667,-0.36915298830000004,-0.5581121361,3.3033078657,0.36176522980000003,2.0168119324,0.0535906881,-7.047880017159735,-6.104244563761163,4.7430728842,0.3079733907,1.1601414912,0.8333333333,0.1666666667,2.3333333333,0.025,2,-0.002,-0.33333333330000003,2.2083333333,0.0476190476,2,-0.0032380952,-1.1011904762,-0.1790646454,0.9422794555,7.5,5.9,2.0894955097,0.6048890981,1.9779804108999999,-0.5328146532,0.2222222222,-2.9737266347,-0.49906381980000003,0.3298219498,4.6604910377,2.9737796362,0.0594678443,2.9599391172000002,-1.2083775268,3.5486526974,170.0,6,0.6493670463,0.0011092367,0.9980468750000001,0.0011553137,0.6944444444,-5.553730190361736,-3.664674886451777,-3.664674886451777,-0.572065197,1.6472847412,0.4522452603,2.0033226786,0.0670746447,,,,,,,1.5710347008,0.7158632512,13,1.4494438079,0.6232976702,2.1069502834,-0.22524224140000002,3.0562142464,0.4451059458,2.1680332108,-1.9103570423,0.5693069307,0.11335566100000001,3.1313952733,0.307917638,1.5091674476999999,-1.2585730931999999,330.0,5.9,6.3,328.8333333333,4.2123114049,0.35418440430000003,0.7679872094483096,270.3333333333,246.5,3.8226458882000003,0.3626380075,1.752929352,-23.8333333333,-6.8764315853,3.8080345948,0.362925492,2.4322319929000003,-1.0094086507,0.2675000555,0.2690383572,2.0928949387,0.4025449263,1.5997020578,-0.2613464296,-0.4896309801,2886.8645833333,-6,8,6098.4166666667,1.679243843,-0.6703675656,0.5560133761,0.9997495085,0.3749106204
s110,0.7532391067,0.2071285931,1.1681297707,1.4,29.7391304348,0.2333333333,17.0833333333,0.2,-0.0572417592,-0.7250346661,3.6243579001,0.2681117109,2.0246982321,-0.7670721733,-4.593403723123269,-3.2789127733047176,3.2434281811,0.25419239660000004,1.0451584718,0.5,0.1666666667,9.9166666667,0.025,2,-0.0053333333000000005,-3.8333333333,20.7916666667,0.1693246371,1,0.0008950137000000001,-5.8169577109,0.2107388965,0.8631430465000001,5.1,4.3,1.7268043548,0.3529450599,1.3210116702999999,-0.2771553133,0.0277777778,-1.8983567058,-1.1840763378,-0.7431748626,3.0696269408,2.1023599374,0.0634109387,1.6572603469,-0.6529863250000001,2.9892151171,95.0,9,0.6178581238,0.002018817,0.6774986267,0.0017493105,0.4166666667,-3.664674886451777,-1.8444397271102142,-1.3862943611198906,-1.0884100394,0.3991287538,0.19625051640000002,1.4123415171,0.11852154820000001,,,,,,,,0.5003159652,7,0.6088518276,0.3044450409,1.5118800603,-0.3181987664,2.6893042528,0.3221839284,1.3971912036,-2.5357106421999998,0.48166259170000003,0.0040683235,2.0066623475,0.2193792987,1.0494258056,-2.1972400544,286.5,5.3,5.1,,,,,,,,,,,,2.0233210569,0.3047619321,1.4496697631,-1.764295892,,,,,,,,2326.287037037,0,9,5610.5,,,,0.8923197916000001,0.33001776920000003
s111,1.0488555172,0.054474810400000004,2.1641811925,2.55,26.4,0.1666666667,19.3181818182,0.2666666667,-0.6480466135,-0.9587499981000001,2.9516821973000003,0.3667118065,1.7375864785,-0.3268179785,-1.1150776529483766,-1.7822172509484262,4.5227808422999995,0.2637773554,2.0915178537,0.6666666667000001,0.33333333330000003,9.25,0.1833333333,0,0.0016666667,1.5833333333000001,15.3333333333,0.0352380952,0,0.0036238095,-0.48095238100000004,-0.0639244094,1.0682924593,8.5,10.6,2.9960901102,0.3384864775,2.0366507269,-0.3203285682,0.5277777778,-2.1146265437,-0.7452249687,-0.3536410916,3.775523272,1.7397479451,0.0066878922,2.458320646,0.31905308400000004,5.327301583,113.0,8,0.6233879924,0.0008840755000000001,0.8870090485000001,0.0015282755000000001,0.5833333333,-3.664674886451777,-3.664674886451777,-4.625581180301964,-0.9606573299000001,0.5830842431000001,0.4981541578,1.8024000384,-0.3474279436,354.1666666667,2.7293792177,0.2872994884,1.553459076,-16.0,-23.0,13.5430138153,0.76780885,12,1.2241657271,0.4739039236,2.0111760007,-0.1866068583,3.0199208865,0.008531926300000001,4.5400936971,-0.9451468457000001,0.5940594059000001,0.058355268200000004,2.3726642454,0.3157043006,1.7964270443,-0.5797717809,307.5,6.1,5.5,205.8333333333,3.9126144512,0.2684181713,1.1842002643303289,350.6666666667,275.5,2.682502842,0.2566166751,1.9564293555,-75.1666666667,-18.2033392652,2.3830618362,0.3168606992,1.9419179166,-1.1335630415,-0.038001612000000004,-0.8609563339,1.3925127003,0.3192504863,1.6639124541,-0.6023321549,0.5189292793,1865.25,3,10,2895.5,-0.5374294032,0.36320727680000003,-0.47843632090000004,0.2073175136,0.25157822550000003
s112,1.0682741207,0.2384935494,1.6659645043,2.15,31.2272727273,0.2666666667,24.0,0.5333333333,-0.4110696675,-0.6670092095,4.2768266137,0.2828252981,2.3470325702,-0.8973163425,-5.887811015518848,-2.7384062211274225,4.3148697355,0.1957364256,1.6634170241000001,0.5,0.1666666667,6.2083333333,0.28750000000000003,3,-0.013166666700000001,-1.2083333333,9.125,0.3710526316,3,-0.0119298246,-3.149122807,0.0876522336,1.2536082727,8.2,7.6,2.5872500892,0.4562207706,1.9949992875,-1.515171294,0.0,-0.4711396787,0.2976757078,0.0,5.3201349372,3.4286386093,0.0859737367,4.2356605907,-1.070541321,3.8243251091,211.0,9,0.6868490219000001,0.0018928788,1.0,0.0026576173000000002,0.47222222220000004,-1.8444397271102142,-2.067339257049917,-1.3862943611198906,-0.7539217626,2.2494241476,0.30261037620000003,1.9805679945999999,-0.5652777512,253.6666666667,3.0426191828,0.2855127514,1.1703916399,53.0,-4.0,-4.4643476582,0.4396209612,15,1.6053086609,0.3986317936,2.4355598802,0.22929328770000001,4.0033206986,0.3934275319,1.9840984577,-1.3778665532,0.47549019610000004,0.0643448087,3.3290002807,0.2135531554,1.6398848702,-0.1712810548,238.5,7.5,5.6,196.5,2.3776126958,0.2754917856,0.23350533786430738,182.3333333333,198.8333333333,2.8020909022,0.2359272382,1.4286069367,16.5,-72.4875774766,3.1978622091,0.2726387583,2.3915691552,-1.0709676378,-0.5552363045,-0.0548210546,1.8918479159000001,0.2696455101,1.9803360598,-0.40240947720000003,-0.695617287,1093.7513257576,25,7,2776.6666666667,-0.6354814947,-0.3841093933,-0.8071671944000001,0.4930716828,0.3385289674
s121,1.2581297866,0.37305366630000003,1.5845973667000002,2.95,33.5,0.33333333330000003,28.0,0.33333333330000003,0.1758481473,-0.8284040043,2.9149002433,0.43338798580000004,1.9179754418,-1.0592766946,-8.341249848920626,-6.734813407557127,3.8209634466,0.29247092550000003,2.2811622315,1.0,0.0,8.0,2.359223927e-16,1,-0.0083333333,0.0833333333,17.25,0.1605633803,2,-0.0072676056,-1.9647887324000002,-0.035811909600000004,0.9684031065,7.7,8.5,1.6230663807,0.5484524372,1.9722944376,-0.10168802760000001,0.9444444444000001,-3.0949048334,-0.523303315,-0.4424163399,3.1063759132,1.5552271158000002,0.0546007384,2.0555703075,-1.0082628,2.672669815,210.0,6,0.8113300324,0.0012032597,1.0,0.0015905436,0.5833333333,-6.449609932071972,-7.365900695568905,-7.824046010856292,-0.3877329724,0.9777385712000001,0.4256803119,2.0474725399,-0.20498308340000002,341.6666666667,2.1185065118,0.3942626631,1.1858566156,-46.0,44.0,,0.7371513646000001,12,1.4897071558000001,0.5724630452,1.7288321295,-0.7791249872,2.3712770018000002,0.5145876107,1.7234703764,-0.8637384287000001,0.4151898734,0.02236787,2.5607882158,0.40111735330000003,1.8447440658,-0.37169676100000004,393.5,6.5,4.6,428.1666666667,2.3847579179,0.37440047800000004,0.2854466006204866,360.5,416.3333333333,1.8318788625,0.2901048303,1.5710591539,55.8333333333,42.6439982666,1.6021550662,0.5348721587,1.4150745544,-0.5405813035,-0.0709744769,0.051079801700000003,1.341885626,0.30729195670000004,1.6665423349,-0.38764364970000004,-0.548101728,1770.3700396825,6,9,3042.75,0.7674447812,-0.1112677484,0.3260955244,0.185026834,0.1959866143
s128,1.599719517,0.2579386273,1.3552724714,2.55,28.6956521739,0.2333333333,21.8421052632,0.36666666670000003,-0.076728077,-1.1116730048,2.9132239085,0.39696883120000004,1.6387447545,-0.7698007144,-5.520247429437237,-2.6944420420293036,3.4355361306,0.3155098851,1.2303695415,0.6666666667000001,0.33333333330000003,7.25,0.1,3,-0.004,-2.25,8.875,0.2900175131,2,-0.0076392294,-1.4827370528000001,0.5305493840000001,0.4510560637,7.4,6.2,3.5869833482,0.4201266869,1.5618263106999999,-0.8240222569000001,0.0555555556,-0.7189422401000001,-3.6463749963,-0.9389161248000001,0.1035391316,1.3216592241,0.3367824894,1.0714018557,-1.1652624446,3.6348828618,155.0,9,0.7680843353,0.0012677962000000001,0.8839675903,0.0015923411,0.5833333333,-2.748384152235016,-2.748384152235016,-1.8444397271102142,-1.5139416761,1.8092067147000002,0.5015321639,1.9273295397,-0.6187045375,380.1666666667,2.5318617199,0.3658471868,0.9333619023,30.0,14.0,-8.5778172494,0.6289838072,13,1.8006161535,0.43905919060000004,1.6672766795,-0.8605408756,2.5193089884,0.4244082046,1.5212034369,-1.4612144177,0.4485294118,0.0258807634,3.0922323579,0.3179000899,1.506781477,-1.4662346783,348.0,5.4,5.8,367.0,3.0496647947,0.3474103277,0.21663724956248512,312.6666666667,372.0,2.5923272416,0.3459621445,1.3457324501,59.3333333333,-21.2576500693,2.673358357,0.3688017256,1.9766075074,-1.8145852625,-0.6311384295,0.0185624471,1.7589674444,0.41012603070000003,1.4256875367,0.27797507860000004,-0.00323355,1836.6759259259,1,8,7186.3333333333,-1.564134024,0.44338645670000004,-0.7926156416,0.8630164529000001,0.27840498950000003
