"","acc","avg_rt_error","std_rt_error","avg_rt","std_rt","missed_percent","cue_switch_cost_rt_100","cue_switch_cost_rt_900","task_switch_cost_rt_100","task_switch_cost_rt_900","cue_switch_cost_acc_100","cue_switch_cost_acc_900","task_switch_cost_acc_100","task_switch_cost_acc_900","breaks","sub_id"
"1",0.5,674,135.800589100342,630,376.78154590337,0,NA,NA,NA,NA,NA,NA,NA,NA,"1","s005"
"2",0.55,817,133.34302048143,630,250.883771230159,0,NA,NA,NA,NA,NA,0,NA,0,"2","s005"
"3",0.633333333333333,817,137.010948467632,659,202.926916236692,0,95,144,-213.5,20,0.5,0,-0.615384615384615,-0.25,"3","s005"
"4",0.725,817,137.010948467632,665,179.117864787871,0,95,75.5,-126,44,0.5,0,-0.5,-0.142857142857143,"4","s005"
"5",0.7,774,145.054505355089,665,167.858516261408,0,156,75.5,-146,44,0.0666666666666667,0,-0.144927536231884,-0.142857142857143,"5","s005"
"6",0.733333333333333,791.5,140.306554254128,694.5,159.977449391236,0,156,40,-112,68,0.0666666666666667,0,-0.0595238095238095,-0.181818181818182,"6","s005"
"7",0.742857142857143,813,141.131376240286,694.5,156.347392211326,0,98,40,-85,20,0.0833333333333334,0,-0.143939393939394,-0.142857142857143,"7","s005"
"8",0.75,813,134.887711585756,710.5,174.127106664535,0,-58,6,19.5,54,0.119047619047619,0,-0.201754385964912,-0.2,"8","s005"
"9",0.752808988764045,813,134.501717911751,716.5,168.896936331127,0.0111111111111111,-58,40,19.5,20,0.19047619047619,0,-0.225563909774436,-0.2,"9","s005"
"10",0.757575757575758,827.5,134.739516545224,706,175.122654832517,0.01,-58,-1.5,19.5,89,0.19047619047619,0,-0.222996515679442,-0.227272727272727,"10","s005"
"11",0.777777777777778,827.5,134.739516545224,701,179.786999194505,0.0181818181818182,-58,-45,27,73,0.19047619047619,0,-0.198051948051948,-0.2,"11","s005"
"12",0.779661016949153,827.5,135.515681749383,701,184.214599403903,0.0166666666666667,-58,-1.5,25,73,0.157142857142857,0,-0.17629179331307,-0.233333333333333,"12","s005"
"13",0.7890625,817,132.88492976408,716.5,182.442649015575,0.0153846153846154,-58,-45,27,64.5,0.107142857142857,0,-0.164835164835165,-0.225806451612903,"13","s005"
"14",0.797101449275362,814,139.12515776742,715,176.040182034769,0.0142857142857143,-72,-41.5,39,69.5,0.103174603174603,0,-0.185185185185185,-0.235294117647059,"14","s005"
"15",0.804054054054054,811,136.687446856245,703.5,171.506304190343,0.0133333333333333,-71.5,2,88.5,77,0.116666666666667,0,-0.220238095238095,-0.216216216216216,"15","s005"
"16",0.816455696202532,811,136.687446856245,703.5,174.785300656595,0.0125,-127,-38,96,73.5,0.104166666666667,0,-0.204802259887006,-0.195121951219512,"16","s005"
"17",0.821428571428571,814,134.776784385128,706,180.771556724521,0.0117647058823529,-127,-41.5,96,80,0.104166666666667,0,-0.206989247311828,-0.177777777777778,"17","s005"
"18",0.813559322033898,838,152.586848096817,703.5,179.183126447772,0.0166666666666667,-127,-41.5,96,83.5,0.151960784313726,0,-0.208974358974359,-0.18,"18","s005"
"19",0.805405405405405,827.5,147.927062679605,708,178.924484348906,0.0263157894736842,-127,-38,104,80,0.194444444444444,0.0526315789473685,-0.21078431372549,-0.176470588235294,"19","s005"
