"","breaks","acc_icc","avg_rt_error_icc","std_rt_error_icc","avg_rt_icc","std_rt_icc","missed_percent_icc","cue_switch_cost_rt_100_icc","cue_switch_cost_rt_900_icc","task_switch_cost_rt_100_icc","task_switch_cost_rt_900_icc","cue_switch_cost_acc_100_icc","cue_switch_cost_acc_900_icc","task_switch_cost_acc_100_icc","task_switch_cost_acc_900_icc","trial_switch_cost_rt_100_icc","trial_switch_cost_rt_900_icc","trial_switch_cost_acc_100_icc","trial_switch_cost_acc_900_icc"
"1",1,0.248172246463997,0.47549858577272,-0.846461419056752,0.373254354155994,0.135754536715296,-0.0936318348238421,0.49640846920518,-2.74868743747068,NA,NA,0.0626828249059752,-0.85856243789334,NA,NA,0.560779000868671,0.428621805034137,0.0838248795323739,-0.281989195673213
"2",2,0.468089130825995,0.512233944343958,0.341643154971243,0.567754502473415,0.399735762902566,-0.0716180371352812,-0.779345967988113,0.34224412249419,NA,NA,-0.748350987885688,-0.114224100086567,NA,NA,-0.0320522105738744,0.167591297535602,-0.0181096479825919,0.034249136887495
"3",3,0.575269070799001,0.550830913426787,0.234967566187908,0.628098684537806,0.424518484638094,-0.120279069767445,-0.246202312041778,0.0260843433257654,NA,NA,-0.222631510353652,-0.0940213470760755,NA,NA,-0.0759620539581669,-0.0553823154741686,0.243139355425653,-0.0730599453619577
"4",4,0.6370577424888,0.5496573321145,0.182734786416462,0.639452327029527,0.442851486333504,-0.0915325592449278,-0.0850819593564834,0.0373736457251118,NA,NA,-0.122330790010629,-0.066389096172094,NA,NA,-0.383572637395644,-0.365363098329286,0.111629585679545,-0.018085093168361
"5",5,0.664682733753964,0.534000407862339,0.128935856708339,0.602930354109852,0.44567210000872,-0.0482440095116205,-0.127120455183611,0.116219075944186,NA,NA,-0.282663293958533,-0.192730109778285,NA,NA,-0.548108381759059,-0.501662448634868,0.130807927960817,-0.024130908968659
"6",6,0.663416224361935,0.553337389018373,0.111501165939052,0.638101901011846,0.403731581145172,-0.0106030483764122,-0.168953081350598,-0.0535900969497281,NA,NA,-0.0749381250507448,-0.142325460843861,NA,NA,-0.129542198982033,-0.38683917242276,0.202857133153655,0.00125924556125363
"7",7,0.681060788322886,0.54215720679531,0.078649009901218,0.666791091987875,0.453475735440686,0.00376088948454882,-0.144412603659087,0.117681032795613,NA,NA,-0.0549536707291816,-0.0661480664172541,NA,NA,0.00880491429991498,-0.1885475468596,0.12224313374174,-0.0099301429369521
"8",8,0.687179114669484,0.516138215006802,-0.0322212548265229,0.671618918169548,0.444932422414624,0.000640334681587468,-0.102465315624785,0.127058117542144,NA,NA,-0.0223789056220293,-0.143609291941281,NA,NA,-0.00579568597768771,0.0792054002628211,0.129852226822003,-0.0154319937425327
"9",9,0.705700383401477,0.516627609610274,0.0163055219486922,0.677315001793101,0.483366804947856,0.0470671400224981,-0.0300594898564417,0.156808941535208,NA,NA,-0.0574699036299297,-0.0830044713704478,NA,NA,0.0369799220758503,-0.0864755434413223,0.189296629291328,-0.054751505310749
"10",10,0.708376154327967,0.520266829402225,0.104827956029641,0.686002574861208,0.503271887742519,0.0471552245131766,0.0102956077824386,0.0422004068280421,NA,NA,-0.117990846545791,-0.0406175328708327,NA,NA,-0.0534924449011562,-0.200947780999272,0.213725415827815,-0.142846414442694
