worker	brief_self_control_survey_2	brief_self_control_survey_3	brief_self_control_survey_4	brief_self_control_survey_5	brief_self_control_survey_6	brief_self_control_survey_7	brief_self_control_survey_8	brief_self_control_survey_9	brief_self_control_survey_10	brief_self_control_survey_11	brief_self_control_survey_12	brief_self_control_survey_13	brief_self_control_survey_14
s065	2.0	1.0	3.0	4.0	3.0	1.0	1.0	1.0	2.0	3.0	2.0	2.0	2.0
s066	3.0	4.0	5.0	5.0	3.0	3.0	1.0	1.0	5.0	5.0	5.0	4.0	4.0
s071	3.0	4.0	4.0	4.0	3.0	3.0	2.0	3.0	4.0	4.0	4.0	3.0	4.0
s077	4.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0
s081	3.0	2.0	4.0	5.0	5.0	3.0	1.0	2.0	5.0	5.0	4.0	5.0	5.0
s082	5.0	3.0	2.0	5.0	4.0	3.0	3.0	1.0	5.0	5.0	4.0	3.0	5.0
s083	2.0	1.0	3.0	3.0	4.0	3.0	1.0	1.0	3.0	4.0	5.0	2.0	4.0
s084	3.0	3.0	4.0	2.0	3.0	3.0	3.0	2.0	4.0	4.0	4.0	4.0	4.0
s085	5.0	5.0	3.0	2.0	4.0	4.0	3.0	3.0	4.0	1.0	4.0	5.0	5.0
s086	3.0	4.0	3.0	4.0	4.0	2.0	3.0	2.0	5.0	4.0	4.0	4.0	2.0
s089	3.0	2.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	4.0	4.0	3.0	5.0
s091	4.0	3.0	5.0	5.0	4.0	4.0	3.0	3.0	4.0	2.0	4.0	4.0	4.0
s092	3.0	2.0	3.0	5.0	4.0	3.0	1.0	2.0	2.0	4.0	3.0	4.0	4.0
s093	4.0	3.0	4.0	3.0	4.0	3.0	2.0	2.0	4.0	5.0	4.0	3.0	4.0
s094	3.0	4.0	3.0	3.0	3.0	2.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0
s096	3.0	4.0	2.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	4.0	4.0
s097	3.0	3.0	2.0	5.0	2.0	2.0	2.0	2.0	3.0	4.0	5.0	2.0	5.0
s098	5.0	4.0	5.0	5.0	4.0	4.0	3.0	4.0	4.0	2.0	5.0	5.0	5.0
s099	3.0	4.0	4.0	5.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0
s102	4.0	3.0	5.0	5.0	5.0	3.0	2.0	3.0	4.0	2.0	4.0	5.0	5.0
s103	2.0	2.0	4.0	3.0	2.0	3.0	1.0	2.0	2.0	3.0	3.0	2.0	2.0
