worker	theories_of_willpower_survey_2	theories_of_willpower_survey_3	theories_of_willpower_survey_4	theories_of_willpower_survey_5	theories_of_willpower_survey_6	theories_of_willpower_survey_7	theories_of_willpower_survey_8	theories_of_willpower_survey_9	theories_of_willpower_survey_10	theories_of_willpower_survey_11	theories_of_willpower_survey_12	theories_of_willpower_survey_13
s002	4.0	5.0	4.0	2.0	5.0	3.0	2.0	4.0	2.0	3.0	2.0	2.0
s005	3.0	5.0	3.0	3.0	3.0	4.0	2.0	4.0	2.0	1.0	2.0	1.0
s006	3.0	6.0	1.0	4.0	5.0	2.0	4.0	4.0	3.0	4.0	3.0	3.0
s007	5.0	6.0	2.0	5.0	5.0	4.0	2.0	4.0	5.0	5.0	2.0	3.0
s009	6.0	6.0	6.0	5.0	6.0	5.0	6.0	6.0	5.0	6.0	5.0	5.0
s011	1.0	4.0	2.0	2.0	1.0	2.0	1.0	1.0	3.0	1.0	3.0	3.0
s012	4.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0
s017	6.0	6.0	6.0	4.0	5.0	5.0	6.0	4.0	3.0	4.0	2.0	2.0
s020	5.0	6.0	2.0	4.0	5.0	2.0	4.0	5.0	5.0	4.0	1.0	3.0
s026	5.0	5.0	5.0	5.0	5.0	5.0	3.0	4.0	3.0	3.0	3.0	3.0
s027	5.0	5.0	5.0	5.0	5.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0
s028	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	2.0	2.0
s029	5.0	6.0	5.0	6.0	5.0	4.0	4.0	5.0	5.0	4.0	2.0	2.0
s032	4.0	4.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
s034	5.0	5.0	4.0	3.0	5.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0
s042	4.0	4.0	5.0	4.0	4.0	4.0	2.0	3.0	3.0	2.0	3.0	4.0
s047	3.0	3.0	2.0	2.0	3.0	3.0	2.0	2.0	1.0	2.0	1.0	1.0
s049	4.0	4.0	4.0	4.0	5.0	4.0	3.0	4.0	5.0	2.0	2.0	2.0
s056	2.0	2.0	5.0	4.0	2.0	5.0	1.0	4.0	1.0	1.0	1.0	1.0
s060	4.0	4.0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	3.0	4.0	2.0
s062	4.0	4.0	2.0	2.0	5.0	3.0	3.0	4.0	2.0	3.0	2.0	3.0
s063	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0
s065	5.0	5.0	4.0	3.0	5.0	4.0	2.0	2.0	2.0	2.0	2.0	4.0
s066	6.0	6.0	5.0	5.0	6.0	5.0	4.0	5.0	5.0	5.0	1.0	3.0
s071	4.0	4.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0
s077	4.0	4.0	3.0	3.0	4.0	3.0	1.0	1.0	1.0	4.0	3.0	3.0
s081	5.0	5.0	5.0	6.0	5.0	5.0	2.0	6.0	3.0	4.0	6.0	3.0
s082	5.0	5.0	5.0	5.0	5.0	5.0	1.0	2.0	3.0	2.0	3.0	2.0
s083	6.0	6.0	6.0	6.0	6.0	6.0	2.0	2.0	1.0	1.0	1.0	1.0
s084	4.0	4.0	4.0	3.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0
s085	6.0	6.0	5.0	4.0	6.0	5.0	2.0	2.0	2.0	2.0	1.0	1.0
s086	3.0	5.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0
s089	2.0	3.0	3.0	3.0	2.0	3.0	2.0	4.0	2.0	2.0	2.0	2.0
s091	5.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s092	6.0	6.0	6.0	6.0	6.0	6.0	5.0	5.0	4.0	4.0	4.0	4.0
s093	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0
s094	6.0	6.0	5.0	5.0	4.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0
s096	3.0	3.0	3.0	3.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0
s097	6.0	6.0	6.0	6.0	6.0	6.0	1.0	6.0	2.0	2.0	2.0	2.0
s098	5.0	5.0	5.0	4.0	5.0	5.0	1.0	1.0	2.0	1.0	2.0	1.0
s099	5.0	5.0	5.0	5.0	5.0	5.0	2.0	2.0	1.0	2.0	1.0	1.0
s102	5.0	4.0	5.0	5.0	5.0	5.0	3.0	3.0	3.0	3.0	2.0	2.0
s103	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	3.0
s105	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0
s106	3.0	3.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s107	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0
s108	5.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	4.0	5.0	4.0	4.0
s109	4.0	5.0	4.0	4.0	4.0	4.0	2.0	4.0	2.0	3.0	2.0	2.0
s110	6.0	6.0	6.0	5.0	1.0	6.0	3.0	5.0	1.0	2.0	3.0	4.0
s111	6.0	6.0	5.0	4.0	5.0	4.0	3.0	3.0	2.0	3.0	3.0	2.0
s112	4.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	3.0	3.0	3.0	3.0
s114	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0
s123	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	3.0
s128	4.0	3.0	5.0	4.0	4.0	4.0	3.0	3.0	2.0	2.0	3.0	3.0
s129	5.0	4.0	1.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	5.0	2.0
s131	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0
s135	6.0	5.0	5.0	4.0	5.0	3.0	2.0	5.0	3.0	4.0	2.0	1.0
s140	4.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	4.0	2.0	4.0	3.0
s142	6.0	5.0	5.0	5.0	5.0	6.0	4.0	4.0	5.0	5.0	5.0	5.0
s145	5.0	5.0	5.0	5.0	6.0	5.0	3.0	3.0	3.0	3.0	2.0	2.0
s149	4.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0
s155	4.0	4.0	5.0	4.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0
s156	4.0	4.0	4.0	4.0	4.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0
s161	6.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0
s163	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s165	5.0	5.0	5.0	6.0	6.0	6.0	2.0	3.0	2.0	3.0	1.0	1.0
s168	4.0	4.0	4.0	3.0	3.0	4.0	2.0	2.0	3.0	1.0	3.0	3.0
s170	4.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	6.0	1.0	3.0	3.0
s173	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	2.0	1.0	1.0	1.0
s179	4.0	6.0	3.0	2.0	3.0	3.0	2.0	5.0	3.0	4.0	3.0	5.0
s180	4.0	5.0	5.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	3.0
s182	5.0	5.0	5.0	4.0	5.0	4.0	3.0	5.0	3.0	2.0	2.0	2.0
s184	5.0	5.0	4.0	4.0	5.0	3.0	3.0	6.0	2.0	5.0	2.0	2.0
s186	6.0	6.0	4.0	3.0	5.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0
s187	5.0	4.0	3.0	2.0	4.0	2.0	4.0	5.0	3.0	5.0	4.0	2.0
s188	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0
s190	5.0	4.0	5.0	5.0	5.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0
s192	5.0	5.0	4.0	4.0	5.0	4.0	1.0	2.0	2.0	2.0	3.0	1.0
s196	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	4.0	3.0	2.0	2.0
s198	4.0	4.0	3.0	3.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0
s202	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s205	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0
s206	4.0	4.0	5.0	5.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0
s207	6.0	6.0	5.0	5.0	6.0	5.0	1.0	3.0	1.0	1.0	1.0	1.0
s208	5.0	4.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0
s209	4.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	2.0	1.0	2.0	2.0
s210	6.0	6.0	5.0	5.0	6.0	5.0	3.0	4.0	3.0	3.0	3.0	4.0
s212	6.0	6.0	6.0	6.0	6.0	6.0	2.0	2.0	2.0	2.0	2.0	2.0
s216	6.0	6.0	6.0	6.0	6.0	6.0	2.0	4.0	3.0	3.0	3.0	4.0
s218	5.0	5.0	4.0	4.0	5.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0
s226	2.0	3.0	2.0	1.0	3.0	2.0	3.0	4.0	3.0	2.0	3.0	3.0
s228	6.0	6.0	6.0	5.0	6.0	6.0	4.0	4.0	4.0	4.0	4.0	4.0
s233	6.0	5.0	5.0	5.0	5.0	4.0	2.0	3.0	2.0	2.0	2.0	3.0
s237	4.0	4.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
s238	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
s244	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0
s246	5.0	6.0	6.0	5.0	4.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0
s249	5.0	4.0	2.0	2.0	3.0	2.0	5.0	4.0	2.0	5.0	3.0	1.0
s252	4.0	4.0	4.0	4.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0
s254	5.0	5.0	5.0	5.0	5.0	5.0	6.0	2.0	1.0	2.0	1.0	1.0
s259	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0
s262	4.0	4.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	2.0
s264	5.0	5.0	4.0	4.0	4.0	4.0	2.0	3.0	2.0	2.0	2.0	2.0
s265	5.0	5.0	4.0	3.0	4.0	4.0	5.0	5.0	2.0	6.0	4.0	1.0
s269	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	6.0	2.0	2.0
s273	3.0	3.0	3.0	2.0	3.0	3.0	2.0	1.0	2.0	2.0	1.0	2.0
s275	6.0	5.0	5.0	5.0	5.0	5.0	6.0	6.0	6.0	6.0	6.0	6.0
s277	4.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	5.0	2.0	2.0
s284	5.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0
s285	4.0	4.0	5.0	5.0	4.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0
