,Age,HighestEducation,HeightInches,WeightPounds,DivorceCount,LongestRelationship,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtAmount,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount
s526,28,4,63,118,0,18,5,0,0,0.0,,1.0,1.0,3.0,1.0,,0,0,0,0,0,1,0
s546,18,3,70,135,0,0,0,0,100000,0.0,,,,,,,0,0,0,-8,3,0,0
s548,24,6,67,160,0,75,1,0,13,0.0,,,,,,,0,0,0,0,0,2,0
s549,40,5,65,140,0,60,5,0,119999,1.0,20,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,1
s553,30,3,63,97,1,64,2,0,0,0.0,,1.0,1.0,1.0,1.0,1.0,2,3,0,0,0,0,0
s554,23,4,62,115,0,0,0,0,16000,0.0,,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,2,0
s555,34,4,65,140,0,157,3,0,190000,1.0,,1.0,1.0,1.0,1.0,,1,1,0,0,0,1,0
s558,23,3,61,125,0,24,1,0,100000,0.0,,1.0,1.0,5.0,1.0,3.0,3,0,0,0,0,2,0
s561,23,2,67,175,0,64,2,0,63000,0.0,,,1.0,4.0,2.0,1.0,3,0,1,100,0,0,0
s568,18,3,69,180,0,12,1,0,4000,0.0,,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,1,0
s573,28,5,68,125,0,18,4,0,90000,1.0,0,1.0,1.0,1.0,3.0,3.0,0,1,0,0,1,2,0
s574,22,3,70,125,0,1,1,0,60000,0.0,,1.0,1.0,1.0,2.0,1.0,1,0,0,30,0,2,1
