adaptive_n_back_mturk.EZ_drift,1.0
adaptive_n_back_mturk.EZ_non_decision,-1.0
adaptive_n_back_mturk.EZ_thresh,1.0
adaptive_n_back_mturk.acc,1.0
adaptive_n_back_mturk.avg_rt,-1.0
adaptive_n_back_mturk.avg_rt_error,1.0
adaptive_n_back_mturk.hddm_drift,1.0
adaptive_n_back_mturk.hddm_non_decision,1.0
adaptive_n_back_mturk.hddm_thresh,1.0
adaptive_n_back_mturk.mean_load,1.0
adaptive_n_back_mturk.missed_percent,-1.0
adaptive_n_back_mturk.post_error_slowing,1.0
adaptive_n_back_mturk.std_rt,1.0
adaptive_n_back_mturk.std_rt_error,1.0
angling_risk_task_always_sunny_mturk.keep_adjusted_clicks,-1.0
angling_risk_task_always_sunny_mturk.keep_loss_percent,-1.0
angling_risk_task_always_sunny_mturk.keep_score,1.0
angling_risk_task_always_sunny_mturk.release_adjusted_clicks,-1.0
angling_risk_task_always_sunny_mturk.release_loss_percent,-1.0
angling_risk_task_always_sunny_mturk.release_score,1.0
bickel_titrator_mturk.auc_large,1.0
bickel_titrator_mturk.auc_medium,1.0
bickel_titrator_mturk.auc_small,1.0
bickel_titrator_mturk.hyp_discount_rate_large,-1.0
bickel_titrator_mturk.hyp_discount_rate_medium,-1.0
bickel_titrator_mturk.hyp_discount_rate_small,-1.0
bickel_titrator_mturk.warnings,1.0
bis11_survey_mturk.Attentional,-1.0
bis11_survey_mturk.Motor,-1.0
bis11_survey_mturk.Nonplanning,-1.0
bis11_survey_mturk.first_order_attention,-1.0
bis11_survey_mturk.first_order_cognitive_complexity,-1.0
bis11_survey_mturk.first_order_cognitive_stability,-1.0
bis11_survey_mturk.first_order_motor,-1.0
bis11_survey_mturk.first_order_perseverance,-1.0
bis11_survey_mturk.first_order_self_control,-1.0
bis11_survey_mturk.total,-1.0
bis_bas_survey_mturk.BAS_drive,1.0
bis_bas_survey_mturk.BAS_fun_seeking,1.0
bis_bas_survey_mturk.BAS_reward_responsiveness,1.0
bis_bas_survey_mturk.BAS_total,1.0
bis_bas_survey_mturk.BIS,1.0
brief_self_control_survey_mturk.self_control,1.0
choice_reaction_time_mturk.EZ_drift,1.0
choice_reaction_time_mturk.EZ_non_decision,-1.0
choice_reaction_time_mturk.EZ_thresh,1.0
choice_reaction_time_mturk.acc,1.0
choice_reaction_time_mturk.avg_rt,-1.0
choice_reaction_time_mturk.avg_rt_error,1.0
choice_reaction_time_mturk.hddm_drift,1.0
choice_reaction_time_mturk.hddm_non_decision,1.0
choice_reaction_time_mturk.hddm_thresh,1.0
choice_reaction_time_mturk.missed_percent,-1.0
choice_reaction_time_mturk.post_error_slowing,1.0
choice_reaction_time_mturk.std_rt,1.0
choice_reaction_time_mturk.std_rt_error,1.0
cognitive_reflection_survey_mturk.correct_proportion,1.0
cognitive_reflection_survey_mturk.intuitive_proportion,-1.0
columbia_card_task_cold_mturk.avg_cards_chosen,1.0
columbia_card_task_cold_mturk.gain_sensitivity,1.0
columbia_card_task_cold_mturk.information_use,1.0
columbia_card_task_cold_mturk.loss_sensitivity,1.0
columbia_card_task_cold_mturk.probability_sensitivity,1.0
columbia_card_task_hot_mturk.avg_cards_chosen,1.0
columbia_card_task_hot_mturk.gain_sensitivity,1.0
columbia_card_task_hot_mturk.information_use,1.0
columbia_card_task_hot_mturk.loss_sensitivity,1.0
columbia_card_task_hot_mturk.probability_sensitivity,1.0
demographics_survey_mturk.BMI,-1.0
demographics_survey_mturk.age,1.0
demographics_survey_mturk.arrest_count,-1.0
demographics_survey_mturk.caffeine_intake,1.0
demographics_survey_mturk.car_debt,1.0
demographics_survey_mturk.children_count,1.0
demographics_survey_mturk.credit_card_debt,1.0
demographics_survey_mturk.divoce_count,1.0
demographics_survey_mturk.education,1.0
demographics_survey_mturk.education_debt,1.0
demographics_survey_mturk.gambling_problem?,-1.0
demographics_survey_mturk.height(inches),1.0
