,NBAC,NBAVRT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTKSCOR,ARTRCLCK,ARTRLPC,ARTRSCOR,ANTAC,ANTALTAC,ANTALTRT,ANTAVRT,ANTCONAC,ANTCONRT,ANTORTAC,ANTORTRT,BITIHDL,BITIHDM,BITIHDS,BISATTII,BISMOTII,BISNPLII,BBASDRIV,BBASFUNS,BBASRWRD,BBASBIS,BSCSSCON,CRTAC,CRTAVRT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DIIDYSF,DIIFUNC,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFAC,DRFAVRT,DRFPINAC,DRFPINRT,DSTPCTP,DPTEEB,DPTFEB,DPTHEB,DPTREB,DPTSEB,DPTERP,DPTFRP,DPTHRP,DPTRRP,DPTSRP,DPTERT,DPTFRT,DPTHRT,DPTRRT,DPTSRT,DPEAYBAC,DPEAYBRT,DPEBXBAC,DPEBXBRT,DPEAC,DPEAVRT,DPBIAS,DPEDPRIM,TFEQCGRS,TFEQEEAT,TFEQUEAT,ERQREAP,ERQSUPP,FFMQAWAR,FFMQDESC,FFMQNJUD,FFMQNREA,FFMQOBSV,FTPSFTP,GNGAC,GNGBIAS,GNGDRPIM,GRTSGRIT,HIRAC,HIRAVRT,HIRSCOR,HLTSFCH,IMVIMPLS,IMVVNTUR,ISTDECPC,ISTDECAC,ISTDECMV,ISTFXDPC,ISTFXDAC,ISTFXDMV,KTTSCOR,KRBHDRL,KRBHDRM,KRBHDRS,LCATACTL,LOGAC,LOGAVRT,LOGCONAC,LOGCONRT,LOGCFCAC,LOGCFCRT,LOGICHAC,LOGICHRT,LOGSWCAC,LOGSWCRT,MAASMIND,MOSSSRT,MOSREC,MOSSPC,MPQCOTR,PRSOVTAC,PRSPLB,PRSRVS,PRPSLOPE,PRPTAOAC,PRPTATAC,RPMSCOR,REPAC,REPAVRT,REPPINAC,REPPINRT,SOCSCOM,SOCSELSE,SOCSLBSE,SOCSOPT,SSRQCOTR,SSSBORED,SSSDISIN,SSSEXPSK,SSSTHRIL,SMAC,SMAVRT,SHFTAC,SHFTAVRT,SHFTLR,SIMAC,SIMAVRT,SIMSIMAC,SIMSIMRT,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,SSSSRTHI,SSSSRTLO,SSPASS,SSPAS,STRAC,STRAVRT,STRSTRAC,STRSTRRT,TIPIAGRE,TIPICONS,TIPIEMST,TIPIEXTR,TIPIOPEN,TWILLELR,32AC,32AVRT,32CSCRT1,32CSCRT9,32TSCRT1,32TSCRT9,ZTPIFUTR,ZTPIPNEG,ZTPIPPOS,ZTPIPRFA,ZTPIPRHE,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTAVRT,TSTMODBA,TSTMODFR,TSTPRSV,UPPLPERS,UPPLPREM,UPPNEGUR,UPPPOSUR,UPPSENSE,WRTNEUPR,WRTPOSPR
s145,0.8120649651999999,493.5,1.75,30.1923076923,0.1333333333,760,22.6666666667,0.4,390,0.8321678322,0.10793650789999999,49.5,670.0,-0.4166666667,233.5,0.0,112.0,0.0031390551,0.0205181885,0.4559423828,3.7333333332999996,3.8214285714,4.2333333333,2.25,2.25,3.2,4.0,33,0.8926174497,403.0,0.33333333330000003,0.33333333330000003,6.208333333300001,0.0125,2,-0.0041666667,-1.9583333333,21.2916666667,-0.1552380952,3,-0.0097428571,-2.5642857143,1.0,1.0909090909,-0.40549062469999997,0.6374337846,6.1,5.5,0.9154929576999999,891.0,-0.1176470588,-41.5,0.055555555599999994,2.3333333333,4.1666666667,1.6666666666999999,3.0,3.8333333332999997,5.3333333333,5.1666666667,6.0,6.0,4.3333333333,1.8333333333,3.5,2.5,2.0,3.8333333332999997,-0.3571428571,130.0,-0.0625,-30.0,0.9268292683,472.5,-0.13699841289999998,3.3422379144,44.4444444444,33.3333333333,40.740740740700005,2.3333333333,4.0,3.25,2.0,2.0,2.1428571429,3.75,46,0.9371428570999999,-0.9149312012,2.189887142,20,0.352238806,505.0,118.0,7,1.0625,1.0,0.7779518126999999,0.9,0.0010220871,0.8549896240000001,1.0,0.0014857978,0.6666666667000001,0.06403124240000001,0.06403124240000001,0.0256124969,1,0.7473684211,672.0,-0.16432432430000002,16.0,-0.0824242424,-37.0,-0.0819000819,53.0,-0.2069498069,-16.0,4.0666666667,265.6666666667,-15.5,2.5,43,0.4888888889,1.2419181292,-1.3412774059,0.4278465461,0.9481865285,0.9378238342,10,0.9714285714,1091.5,0.0,70.5,,0.5833333333,,0.5833333333,101.0,0.1,0.30000000000000004,0.30000000000000004,0.0,0.9677419355,766.5,0.46305418719999997,432.5,0.0184443957,0.7676767676999999,404.5,-0.3885714286,71.5,271.0,4.4,5.0,388.6666666667,252.8333333333,269.1666666667,16.3333333333,53.2887971698,0.8829787234,675.0,-0.19148936170000003,61.0,6.5,5.5,2.0,1.0,4.5,47,0.7747524752,786.5,70.0,63.0,54.0,10.0,4.1538461538,4.1,4.5555555556,3.7777777778,3.2,3116.4851851852004,1,6,4876.0,558.6944444444,1.2275588773000001,-0.5033354925,0.5933248966,2.0,1.0,2.25,1.0714285714,1.25,0.7632798057,0.3830170567
s149,0.8261904762000001,714.0,2.35,51.0454545455,0.2666666667,1073,33.8461538462,0.5666666667,408,0.9930555556,0.0,87.5,707.0,-0.0208333333,43.0,-0.027777777799999997,-56.0,0.0005149595,0.0021466980000000003,0.0318183594,5.466666666699999,4.1071428570999995,4.6666666667,1.5,2.75,2.8,3.4285714286,30,0.9933333333,452.0,0.5,0.33333333330000003,7.75,0.0916666667,2,-0.0046666667000000005,-4.0,4.4166666667,0.0668674699,2,-0.0033416377,-2.9745762712,1.4166666666999999,1.0909090909,0.4124048525,0.6450999049,8.5,9.4,0.9859154929999999,947.0,0.0,148.5,0.25,3.6666666667,4.8333333333,2.6666666667000003,4.3333333333,3.8333333332999997,3.8333333332999997,3.6666666667,4.0,3.1666666667000003,3.5,3.1666666667000003,2.8333333332999997,5.1666666667,3.5,5.0,0.0,202.5,-0.0625,169.5,0.984375,511.5,-0.3719338943,3.8121088774,38.8888888889,66.6666666667,62.962962963,2.8333333332999997,4.25,1.75,2.875,1.875,2.0,3.5,36,0.98,-1.0705413209999999,3.8243251091,18,0.3492957746,569.0,124.0,8,1.4375,1.6,0.6545940399,0.6000000000000001,0.0018414176,0.7896682739,0.7000000000000001,0.0019780252,0.4166666667,0.0250474647,0.0256124969,0.009797959,2,0.875,871.0,-0.0756395996,316.5,-0.0143369176,1.0,-0.061302682,315.5,-0.0929152149,167.0,2.5333333333000003,,,,35,0.7752808989000001,-2.0702605419,6.6927874602,0.5244258821000001,0.9684210526,0.9894736842,9,0.9565217390999999,1166.5,0.0,7.5,,0.5833333333,0.4166666667,0.33333333330000003,74.0,0.6000000000000001,1.0,0.8,0.7000000000000001,0.9963898917,785.0,0.4611528822,506.0,0.0155649446,1.0,531.0,0.0,11.0,298.5,6.3,5.8,392.0,314.8333333333,349.6666666667,34.8333333333,6.7960838700999995,1.0,793.5,0.0,106.0,3.5,3.0,2.0,2.5,4.0,48,0.9544419134,654.0,-15.5,11.0,105.5,-34.5,2.5384615385,3.9,2.1111111111,2.2222222222,2.9333333333,2311.6518518519,-5,8,6297.375,658.0125628141001,-0.5229761321999999,-0.2006165632,-0.42446725,2.9,2.1818181818,3.4166666667000003,2.7857142857,2.6666666667000003,0.182304558,0.7134658071000001
s155,0.75,489.0,1.2,29.44,0.1666666667,693,27.1,0.33333333330000003,506,0.9718309859,0.0833333333,109.5,689.5,-0.08510638300000001,122.0,-0.028571428599999997,10.5,0.0003147264,0.018987793000000003,0.0148496094,3.2666666667000004,4.1071428570999995,4.7666666667,3.0,3.25,3.4,2.7142857143,31,0.9727891156,552.0,0.33333333330000003,0.33333333330000003,6.25,0.0166666667,0,0.0016666667,0.4166666667,10.5,0.0472689076,1,0.0036823528999999997,-1.6155462185,1.75,1.7272727273,0.0380324688,0.8886701475000001,7.1,5.7,,,,,0.6944444444,1.5,1.0,1.3333333333,2.5,6.0,4.0,7.0,5.0,4.1666666667,1.3333333333,2.5,1.0,2.5,2.0,7.0,,,,,,,,,88.8888888889,22.2222222222,11.1111111111,5.1666666667,1.0,4.625,4.5,5.0,4.1428571429000005,5.0,46,0.88,0.0161141151,2.3758656898,34,0.3194888179,865.0,100.0,0,1.5625,1.4,0.6578575015,0.6000000000000001,0.0011338843,0.5,0.9,,0.6111111111,0.009797959,0.009797959,0.009797959,4,0.7419354839000001,707.0,-0.5297805643,-14.0,-0.0058651026,-81.5,-0.5239154615999999,67.5,-0.0909090909,102.5,5.4,,,,34,0.5294117647000001,-2.260212023,2.0772529858,0.7765839543999999,0.9297297297,0.8972972973000001,6,0.9014084507,908.0,-0.055555555599999994,173.0,0.5,0.5833333333,0.9166666667,0.9166666667,128.0,0.30000000000000004,0.5,0.7000000000000001,0.30000000000000004,0.9555555556,623.5,0.2719546742,416.0,0.0069910956,0.99,581.0,0.02,-10.5,374.0,4.7,5.1,,297.1666666667,364.5,67.3333333333,35.6108206529,0.9473684211,706.5,0.0199468085,9.0,2.5,7.0,7.0,1.0,7.0,33,0.6639784946,625.0,21.0,8.5,74.0,15.5,4.0,3.3,1.4444444444,1.7777777778,4.0,2955.9383333333003,8,6,3780.25,434.2558823529,-0.027315122400000003,-0.1309617454,0.6810664354000001,1.4,2.9090909091,3.5,1.4285714286000002,2.1666666667,0.1987360592,0.4114155234
s156,0.7925407925,462.0,1.55,31.814814814800002,0.1,817,58.5384615385,0.5666666667,710,0.9652777778,-0.027777777799999997,33.0,591.0,-0.1041666667,63.0,-0.11111111109999999,53.5,0.0007683147,0.0042330321999999995,0.1834521484,3.4,3.1785714286,2.9,3.25,3.0,3.2,1.5714285713999998,58,0.8866666667,402.0,0.33333333330000003,0.5,15.666666666700001,-0.0666666667,1,0.0006666667,-3.8333333332999997,9.1666666667,0.1356330014,1,0.0011038407,-5.0581182686,1.0,1.9090909091,0.4181227143,0.47907354729999996,7.3,6.6,0.9583333333,998.0,-0.11111111109999999,146.0,0.1666666667,1.6666666666999999,3.1666666667000003,2.3333333333,5.833333333300001,5.3333333333,4.8333333333,4.3333333333,4.5,3.1666666667000003,3.0,1.3333333333,3.1666666667000003,3.0,6.333333333300001,6.0,-0.1875,-21.0,0.0,-252.0,0.9609375,394.0,0.3298219498,4.6604910377,27.7777777778,0.0,18.5185185185,6.333333333300001,4.25,4.125,3.5,4.5,4.0,3.625,46,0.9628571429,-1.3273158840000001,3.310775983,34,0.3882681564,699.0,139.0,4,1.0,1.9333333333000002,0.6525222778,0.8,0.0012222583999999999,0.8285911441,1.0,0.0013580352,0.4722222222,0.009797959,0.009797959,0.06403124240000001,5,0.8437500000000001,757.0,-0.1904761905,90.0,-0.0201465201,109.5,-0.1703296703,-19.5,-0.0487804878,105.5,4.4666666667,436.0,71.5,47.0,47,0.6067415730000001,27.209957333600002,-25.145373151799998,0.5230898820000001,0.9949494949,0.9191919192,7,0.8732394365999999,859.5,-0.055555555599999994,105.0,0.9166666667,0.5833333333,0.5833333333,1.0,136.0,0.2,0.4,0.8,1.0,0.9357142856999999,584.5,0.38083538079999996,481.0,0.046343496399999996,0.96,450.5,-0.08,51.0,315.0,6.0,5.3,225.1666666667,281.5,350.8333333333,69.3333333333,29.8799247721,0.9166666667,681.5,-0.125,159.0,4.5,7.0,7.0,2.0,6.0,31,0.8914549654,684.0,7.5,-63.0,27.5,57.0,4.3076923077,2.8,3.1111111111,1.6666666666999999,2.8,2499.5273809524,4,8,5963.083333333299,568.5125628141001,-0.037025431,-0.206153981,-0.19886139,1.1,1.4545454544999998,1.25,1.0714285714,3.5,0.2339155232,0.17040895829999997
s161,0.8266666667,651.0,2.5,25.08,0.1666666667,602,18.8,0.1666666667,450,0.9791666667,0.055555555599999994,33.5,614.0,-0.0625,66.0,0.027777777799999997,63.5,0.0002137823,0.0015086135999999998,0.017527343799999998,4.6,3.4285714286,4.1666666667,2.75,2.0,3.0,3.7142857143,34,1.0,458.0,1.0,0.0,5.875,0.32083333329999997,3,-0.0165,-4.0416666667,8.0416666667,0.4014100269,3,-0.0153706356,-3.2835720680000002,1.0,1.0909090909,0.022629006299999997,1.1993555376,8.0,7.7,0.9861111111,819.0,0.0,65.0,0.33333333330000003,1.8333333333,3.6666666667,1.0,2.0,3.0,4.5,4.6666666667,5.3333333333,5.0,3.1666666667000003,2.0,1.8333333333,2.3333333333,1.8333333333,4.8333333333,0.0,392.5,-0.125,48.0,0.96875,467.0,-0.4250370944,3.1507729495,77.7777777778,33.3333333333,44.4444444444,4.3333333333,5.25,3.0,1.25,2.25,2.2857142857,3.25,46,0.9885714286,-0.8893284576999999,4.1867508355,24,0.5944444444,1234.5,214.0,7,1.125,1.2,0.7877197266,0.8,0.00102094,1.0,1.0,0.0015991466,0.4166666667,0.009797959,0.0250474647,0.0256124969,4,0.8936170213,1132.0,-0.1759259259,-35.0,0.048433048400000005,76.0,-0.2243589744,-111.0,-0.0713414634,157.0,3.6666666667,358.0,23.0,105.0,45,0.8222222222000001,5.5292220488,1.9296181931,0.4669794415,0.9895833333,0.890625,14,0.9859154929999999,927.5,0.05882352940000001,-17.0,0.6666666667000001,0.25,0.9166666667,1.0,120.0,0.2,0.30000000000000004,0.8,0.2,0.9678571429,745.0,0.5476772616,432.0,0.0410267282,0.91,543.0,-0.06,88.0,259.0,6.2,5.7,231.3333333333,262.3333333333,274.5,12.166666666700001,62.4709349704,0.9468085106,749.0,0.021276595699999998,51.5,6.5,6.0,3.0,1.0,4.5,58,0.9407744875,861.0,126.0,81.0,28.0,-93.5,4.0,4.0,3.7777777778,2.1111111111,2.6666666667000003,1792.630952381,16,7,2559.6666666667,705.59,-0.6575865942,-0.6516645644,-0.5954832597999999,1.7000000000000002,1.3636363636000002,2.5,2.5,1.75,0.8711101844,0.3617688944
s163,0.8093023256,514.0,1.55,28.0869565217,0.23333333329999997,615,20.1818181818,0.2666666667,424,0.9440559440999999,-0.055555555599999994,-6.0,561.0,-0.17021276600000002,84.0,-0.0015873016000000002,73.0,9.297879999999999e-05,0.0002588882,0.0110595703,2.0,2.4285714286,3.0,1.0,1.0,2.0,1.2857142857,65,0.98,527.0,0.6666666667000001,0.0,7.5,1.526556659e-16,2,-2.6020852140000003e-18,-2.5,4.0,-2.081668171e-17,0,-1.101549407e-16,4.996003611e-16,1.1666666667,1.5454545455000002,-0.033013487200000004,0.7615916258000001,8.2,7.7,0.9577464789,803.5,0.0,273.0,0.8888888889000001,1.5,1.5,1.0,1.0,3.5,6.166666666699999,6.5,7.0,6.166666666699999,3.1666666667000003,1.0,2.0,1.0,1.6666666666999999,4.1666666667,-0.375,446.0,-0.0625,39.5,0.9212598425,451.0,-0.14226252420000002,3.3527661372,38.8888888889,0.0,11.1111111111,6.333333333300001,4.25,5.0,4.625,5.0,5.0,2.75,50,0.9657142857,-1.2890129855,3.38738178,39,0.5194444443999999,745.0,187.0,7,1.0625,1.3333333333,0.6195231438000001,0.9,0.0016746128,0.7696991444,0.8,0.0017931877,0.5277777778,0.0038729833,0.0038729833,0.0015811388,3,0.9583333333,696.5,-0.0034632035,73.0,0.0571428571,-28.5,-0.0606060606,101.5,-0.0909090909,88.0,5.8666666667000005,276.8333333333,5.5,138.5,46,0.7865168539,12.0793055776,-6.4196109716,0.5548022683,0.94,0.94,10,0.9295774648,927.5,0.055555555599999994,252.0,0.5833333333,0.4166666667,0.75,0.6666666667000001,149.0,0.1,0.2,0.5,0.2,0.9321428570999999,691.0,0.5916870416000001,449.0,0.1175088097,0.97,543.0,0.02,97.0,397.0,6.3,5.5,,230.6666666667,228.8333333333,-1.8333333333,44.998397258800004,0.9438202247,1237.0,0.0162107396,31.5,6.0,5.5,7.0,2.5,4.5,12,0.9,631.0,50.5,22.0,0.0,-21.0,3.6923076923,1.0,2.4444444444,1.0,1.8,2436.0222222222,1,11,3140.6666666666997,1086.1218274112,0.4312348471,0.24885810670000003,0.4591905407,1.5,1.1818181818,1.0,1.0,1.5,0.1515648788,0.529170145
s165,0.8237986270000001,570.0,1.85,19.2307692308,0.1333333333,475,17.5,0.2,400,1.0,0.0,36.0,684.5,0.0,21.5,0.0,3.0,0.0034033507,0.0567158203,0.34380566409999996,2.2,2.75,3.3,2.75,2.25,3.0,1.2857142857,58,1.0,493.0,0.5,0.33333333330000003,10.2916666667,-0.0458333333,1,0.0015,-6.041666666699999,9.2083333333,0.0281690141,0,-0.006084506999999999,-1.5281690141,1.0,1.5454545455000002,0.1608233,0.6283703578000001,8.1,6.5,0.9718309859,1167.0,0.0,182.0,0.0,1.6666666666999999,3.0,1.0,1.8333333333,4.1666666667,4.5,5.5,5.833333333300001,5.3333333333,3.3333333332999997,1.1666666667,3.3333333332999997,1.3333333333,1.5,5.0,0.0,218.5,0.0,92.0,0.9916666667,1066.0,0.20693496649999998,4.9062650043,38.8888888889,0.0,11.1111111111,6.166666666699999,3.25,4.125,4.125,3.625,2.8571428571,3.625,45,0.9914285714,-0.8075379761,4.3503317988,32,0.573816156,739.0,206.0,6,1.0,1.1333333333,0.8070190429999999,0.9,0.0016292125,0.89765625,0.9,0.0019741832,0.5833333333,0.158113883,0.158113883,0.158113883,5,0.9479166667,1027.0,-0.1515151515,202.0,0.0,-204.0,-0.1515151515,406.0,0.0231884058,178.0,5.0666666667,262.1666666667,14.0,50.0,47,0.7000000000000001,33.638482138,-28.165970084,0.8071910568999999,0.9949494949,0.9797979798,4,0.9295774648,1243.0,0.05882352940000001,52.0,0.9166666667,1.0,1.0,1.0,142.0,0.30000000000000004,0.0,0.1,0.0,1.0,808.0,0.49257425740000005,573.5,0.0635596685,0.99,565.0,0.02,46.5,364.5,5.3,4.3,286.5,239.6666666667,258.3333333333,18.6666666667,15.2483757062,0.9895833333,862.0,0.0208333333,134.0,6.5,6.5,7.0,1.5,2.5,45,0.9789719626,1486.0,139.0,-2.0,-145.5,-48.0,4.3076923077,2.6,4.2222222222,2.3333333333,2.4,2652.9314814814998,17,5,2705.25,,,,,1.7000000000000002,1.0909090909,1.0,1.1428571429,1.6666666666999999,0.49891534369999996,0.1914306723
s168,0.8361702128,843.0,3.65,1.0,0.0,29,0.9333333333,0.0,27,0.9791666667,0.027777777799999997,1.0,536.0,-0.0625,92.0,0.0,150.0,0.0003609207,0.0132180176,0.0044687500000000005,4.5333333333,3.2142857143,4.8666666667000005,2.5,2.25,2.8,2.5714285714000003,44,1.0,369.0,0.8333333333,0.1666666667,7.25,0.0666666667,2,-0.0013333332999999998,-1.3333333333,21.9166666667,0.2271428571,2,-0.0025142857,-3.0833333332999997,1.0833333333,1.8181818182,-0.0124748458,1.0463428282,7.5,7.7,0.9861111111,732.0,0.0,106.5,0.5,2.8333333332999997,2.1666666667,2.1666666667,3.1666666667000003,4.5,4.3333333333,5.5,4.6666666667,3.8333333332999997,2.6666666667000003,1.5,2.0,2.1666666667,3.0,5.833333333300001,0.0,350.5,0.0,163.0,1.0,457.5,0.0,5.320134937200001,16.6666666667,11.1111111111,48.148148148100006,5.5,6.0,3.375,3.25,4.25,3.0,3.375,45,0.9857142857,-0.9575666758,4.0502743994,27,0.5166666667,1039.0,186.0,6,1.0,1.3333333333,0.6925447464000001,0.7000000000000001,0.0016239510999999998,0.9984375,1.0,0.0022941762000000003,0.7222222222,0.06403124240000001,0.0256124969,0.0099597577,2,0.9270833333,630.0,-0.16324535680000002,80.0,0.0303030303,-35.5,-0.1935483871,115.5,-0.0350609756,4.0,4.2,259.3333333333,2.0,-7.5,46,0.8333333333,-5.5606805381,13.035763344100001,0.3966477785,0.99,0.99,15,0.9436619718000001,940.0,0.0,31.5,0.5,0.33333333330000003,0.75,0.5833333333,121.0,0.2,0.4,0.4,0.4,0.9964285714,585.0,0.4170731707,417.0,0.0821625508,0.99,399.0,-0.02,51.5,285.0,7.6,7.1,312.8333333333,249.8333333333,263.0,13.166666666700001,20.3863837312,0.9791666667,590.0,-0.0416666667,109.5,3.5,5.5,5.5,1.0,5.5,36,0.9293849658,660.0,-23.0,7.0,140.0,18.5,3.5384615385000004,2.4,2.2222222222,2.6666666667000003,2.6666666667000003,1549.9833333333,1,11,3285.0,501.3225,0.9572438133,0.46780923659999996,1.7308214651,2.1,1.9090909091,2.0833333333,1.7857142857,2.5,0.6636948689000001,0.162081627
s170,0.7752293578,453.0,1.85,32.368421052600006,0.3666666667,558,18.9473684211,0.3666666667,339,0.9444444444,-0.1388888889,-6.5,574.0,-0.0625,24.5,-0.0833333333,64.5,0.00034886760000000003,0.0004899788,0.0008208008000000001,3.6,3.3571428571,3.9666666667,2.75,3.75,3.6,1.5714285713999998,52,0.9333333333,468.5,0.5,0.1666666667,15.958333333299999,0.27083333330000003,2,-0.0245,-7.375,12.375,0.20502873559999998,3,-0.007867816100000001,-4.4088669950999995,1.0833333333,1.8181818182,0.13830892460000002,0.40235932840000005,8.0,7.8,0.9166666667,774.0,-0.11111111109999999,-202.5,0.3888888889,3.0,1.6666666666999999,1.5,4.3333333333,5.0,3.3333333332999997,4.5,3.6666666667,4.0,1.3333333333,1.5,2.0,2.5,5.5,7.0,-0.125,215.0,-0.125,-93.0,0.9453125,410.0,-0.33672694870000003,2.9741526582,22.2222222222,11.1111111111,7.4074074074,3.8333333332999997,3.5,4.125,3.375,4.0,4.1428571429000005,5.0,44,0.9714285714,-1.0385004381999998,3.3813588491,35,0.4011299435,667.5,142.0,3,1.25,1.8666666666999998,0.6391280413,0.7000000000000001,0.0012768052999999999,0.944140625,1.0,0.0024660852,0.5,0.0006324555,0.0015811388,0.0099597577,6,0.8645833333,679.0,-0.2476190476,234.5,0.0857142857,21.0,-0.33333333330000003,213.5,-0.0587544066,-18.0,5.9333333333,460.6666666667,51.5,92.5,40,,,,0.4794762317,0.9497487437,0.9296482412,8,0.9154929576999999,958.0,0.0,-113.5,0.5833333333,0.33333333330000003,,0.8333333333,138.0,0.4,0.4,0.8,0.9,0.9821428570999999,658.0,0.4558823529,493.5,-0.0134877658,0.91,463.0,-0.18,46.0,272.5,6.2,5.1,,419.0,452.3333333333,33.3333333333,32.3698113208,0.9473684211,768.5,-0.10638297869999999,283.0,5.5,6.0,6.5,2.0,6.5,39,0.8073394495,664.0,1.0,-2.0,13.5,8.0,2.0,2.1,3.6666666667,2.0,4.2,1563.119047619,20,6,2055.0833333333,480.74371859300004,-0.5719537485,-0.06307230180000001,-0.3180310702,1.5,2.2727272727,1.3333333333,1.2857142857,3.3333333332999997,0.3444379439,0.2784116774
s173,0.8376623377,397.0,3.1,42.35,0.33333333330000003,804,29.2777777778,0.4,497,0.9861111111,-0.027777777799999997,19.5,551.5,-0.0416666667,61.5,0.027777777799999997,71.5,0.0009083027,0.0004213715,0.006569335900000001,2.3333333333,3.3571428571,3.6333333333,3.25,2.5,3.6,2.2857142857,47,0.98,510.0,1.0,0.0,13.375,-0.0041666667,1,-0.0015,-4.4583333333,13.125,0.1250151668,3,-0.0042006067,-5.5748230536,1.0833333333,1.4545454544999998,0.2313260514,0.1962742911,8.1,8.6,0.9722222222,662.0,0.0,21.0,0.44444444439999997,3.0,3.5,1.0,2.3333333333,4.1666666667,4.5,5.3333333333,5.1666666667,2.8333333332999997,3.1666666667000003,2.6666666667000003,2.5,1.8333333333,2.5,5.666666666699999,-0.1333333333,262.5,0.0,-12.0,0.968503937,419.0,0.3298219498,4.6604910377,38.8888888889,0.0,22.2222222222,5.666666666699999,4.5,4.375,4.5,3.375,3.1428571429,2.625,45,0.9857142857,-0.9575666758,4.0502743994,33,0.7966573816,826.0,286.0,6,1.0625,1.4666666667,0.6947055817000001,0.5,0.0016899769,0.9779907227,1.0,0.0029563763,0.6388888889000001,0.009797959,0.0099597577,0.0256124969,2,1.0,862.0,0.0,316.0,0.0,-58.0,0.0,374.0,0.0,-24.0,4.8,233.3333333333,-39.0,40.0,46,,,,0.4556050162,0.9849246231,0.9748743718999999,14,0.9154929576999999,912.0,-0.055555555599999994,80.5,0.75,0.8333333333,0.6666666667000001,1.0,137.0,0.1,0.2,0.30000000000000004,0.30000000000000004,0.9714285714,552.5,0.617866005,475.0,0.1204663841,0.98,471.0,-0.04,-3.5,298.5,8.5,6.9,236.6666666667,252.5,252.8333333333,0.33333333330000003,5.4006968640999995,0.9791666667,588.5,0.0,88.0,5.0,5.0,7.0,1.5,4.0,27,0.9409090909,704.5,55.5,-12.5,44.5,118.0,4.2307692308,2.4,3.5555555556,1.3333333333,2.5333333333000003,2668.455,7,7,2426.1666666667,631.3494897959,0.5007019578,0.5524651054999999,0.919782588,1.2,1.4545454544999998,1.5833333333,1.0,2.75,0.7791509464,0.1882187386
s179,0.8221709006999999,474.0,2.0,24.3333333333,0.30000000000000004,504,13.777777777799999,0.1,357,1.0,0.0,32.0,679.0,0.0,70.0,0.0,45.5,0.0028329412,0.0215196533,0.06325,4.4,3.25,3.3,3.5,2.75,3.4,3.2857142857,45,0.98,442.0,0.6666666667000001,0.0,7.666666666699999,0.3666666667,1,-0.0076666667000000015,-1.9166666666999999,13.041666666700001,0.2724279402,0,-0.006053439900000001,-1.1051967179,1.0,1.5454545455000002,0.1310675324,0.8224533663,8.2,6.7,0.9577464789,905.0,0.0,1.5,0.055555555599999994,3.3333333332999997,2.6666666667000003,1.0,5.833333333300001,4.3333333333,4.6666666667,3.8333333332999997,6.333333333300001,2.0,1.6666666666999999,3.3333333332999997,2.8333333332999997,1.1666666667,5.1666666667,4.6666666667,-0.0625,256.5,0.0,-19.0,0.9921875,439.0,0.0,5.320134937200001,22.2222222222,77.7777777778,55.5555555556,5.666666666699999,5.25,4.5,4.875,2.5,3.4285714286,2.75,51,0.98,-0.7122733402,3.5596877282,24,0.4887640449,829.0,174.0,4,1.0625,1.6,0.7517391205,0.8,0.0012560644,0.9310546875,0.8,0.0029635782,0.6111111111,0.158113883,0.1265219767,0.25,2,0.9791666667,864.0,-0.0740740741,269.0,0.0,0.0,-0.0740740741,269.0,-0.043478260899999996,135.0,2.7333333332999996,284.0,-3.5,12.5,43,,,,0.6245385897,0.9898989898999999,0.9747474747,9,0.9859154929999999,918.0,-0.055555555599999994,20.0,0.5,0.5833333333,0.75,0.9166666667,122.5,0.0,0.30000000000000004,0.4,0.9,0.9928571429,684.0,0.595,564.0,0.0903093978,0.97,536.0,-0.06,32.5,354.0,5.5,6.1,215.3333333333,256.5,275.0,18.5,-22.437737743000003,0.9578947368,645.0,-0.042996453899999995,16.5,4.5,5.5,1.5,1.0,3.5,43,0.8993135011000001,590.0,72.0,-1.5,0.5,44.5,4.0769230769,2.8,4.1111111111000005,1.7777777778,3.0666666667,3027.1666666666997,8,7,4603.6666666667,784.2325,-0.2556167654,-0.5580868483,-0.6330574991,1.4,2.0,2.5,1.4285714286000002,3.5833333332999997,0.8434666487000001,0.1892791984
