,NBHD,NBHN,NBHT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTRCLCK,ARTRLPC,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,ANTZHT,ANTORTHD,BITIHDLL,BITIHDML,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPEAYBHD,DPEBXBHD,DPBIAS,DPEDPRIM,DPEHD,DPEHN,DPEHT,GNGBIAS,GNGDRPIM,HIRSCOR,HLTSFCH,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRLL,KRBHDRML,KRBHDRSL,LOGCONHD,LOGHD,LOGHN,LOGHT,LOGSWCHD,MOSSSRT,MOSHD,MOSHN,MOSHT,MOSREC,MOSSPC,PRSPLB,PRPSLOPE,RPMSCOR,REPHD,REPHN,REPHT,REPPINHD,SMHD,SMHN,SMHT,SMSIHD,SHFTAC,SHFTLR,SIMHD,SIMHN,SIMHT,SIMSIMHD,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHTL,SSSSRTHI,SSSSRTLO,SSHD,SSHN,SSHT,SSPASS,SSPAS,STRHD,STRHN,STRHT,STRSTRHD,32CSCHD1,32CSCHD9,32HD,32HN,32HT,32TSCHD1,32TSCHD9,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,TSTPRSV,WRTNEUPR,WRTPOSPR
s231,0.9991303473,0.1333222188,1.6769327506,1.9,53.4375,0.4666666667,50.0,0.6666666667000001,-0.43009076287200015,-1.1011436600929998,3.3489387444359995,0.3727323676759999,1.9686215156699995,-0.6699244305050002,-10.694128495181904,-5.447653803461679,4.0367725842,0.2966458517,1.3932195855,0.6666666667000001,0.33333333330000003,3.5416666667000003,0.1791666667,2.0,-0.0038333333,-1.4583333333,16.1666666667,0.2978766431,2.0,-0.013915065700000001,-1.7027300303,-0.011119559,0.4012545144,5.7,5.0,1.3699367702,0.39543956049999995,1.7803551656,-1.2879812674,0.8333333333,-2.2460550315,-1.8076297159,-0.2674148576,2.8355284759,2.328412061,0.2691588393,1.2874144732,-0.7017421781000001,4.5619233948,145.0,6.0,0.7667724609000001,0.0007870502,0.8359786987000001,0.0012045314,0.4722222222,-4.625581180301964,-4.625581180301964,-3.6646748864517766,-0.9424442917210004,1.572501550324,0.4246114653409998,1.7927391109410007,-0.34788202459300005,346.86666666667116,3.005901183258,0.320864120199,1.4491988402520002,24.4,68.44,1.138283849138,0.598925202,17.0,1.4912859334550004,0.5127480749029999,1.8207964111539998,-0.2839172990000001,3.0146090463,0.4401973143,1.6250775509,-2.0225032942,0.5246305419,0.0653957283,3.6700556392,0.2866068845,1.105660715,-0.8370179189,322.0,4.9,4.6,318.781666666663,3.169834252559,0.33246714964099977,0.5073287533007642,276.735833333333,292.896666666665,3.1307333910220017,0.321626398837,1.589355595809001,25.094166666667,30.22259852238101,2.8962802372000005,0.32218115350000004,2.6273602082,-0.6499348379000001,0.1048025151,0.1134988222,0.8005533542000001,0.180421635,1.9913453306,-0.7942354007,-0.5645984558,2250.6380952381,10.0,8.0,3605.5833333333003,0.0507248946,-0.2171073214,-0.6522040964,0.8345521551,0.3911848348
s232,0.778235525,0.0184947746,1.923515206,1.4,37.3913043478,0.23333333329999997,10.652173913,0.23333333329999997,-0.3612276775630001,-1.064371538148,2.9260944366539987,0.37852276463600015,1.8688310088890003,-0.5973164050490001,-8.696776899540605,-6.314446665914807,2.4289992533,0.1507002715,2.1455316303,1.0,0.0,7.5,1.110223025e-16,1.0,-0.01,0.0,16.9166666667,0.15170879680000002,1.0,0.0006430737999999999,-3.2633973711,0.2292360401,0.6756860672,5.7,5.2,1.4049003805000002,0.5440932402,1.9740119213,-0.3694255735,0.4722222222,-1.0438767813,-2.4148365837,-1.2939225801,1.9505664322999998,1.8071843049,0.2723976006,1.1807888729,-1.4184071275,2.6215454703,219.0,4.0,0.7256418228,0.0019058214,0.6530343056,0.0018882251,0.6111111111,-6.449609932071973,-5.537595558952301,-4.625581180301964,-1.1402113544419998,1.38164763428,0.4199510800429999,1.6782665644669998,-0.382962228786,365.381666666667,2.4676899997070008,0.3319460571420001,1.4825918811900003,25.07,55.6,4.635792723786002,0.5842465817,13.0,1.227236389824,0.5362478106189998,1.906063108005001,-0.3627613630690002,2.0445705662,0.44467307990000005,1.5949507056999999,-0.9625207620999999,0.30174563590000003,-0.0122149897,2.0425490134,0.2630382451,1.6004008052,-1.1510882524,411.5,7.0,5.9,379.6666666667,3.1223852905,0.33313429380000004,0.5160334803491654,281.5,327.1666666667,2.32958679,0.31153300640000003,1.3156940745999999,45.6666666667,44.990891456499995,2.3040545453,0.35402938850000004,1.8137808003,-0.3772938158,-1.0743730003,-0.0178537819,1.2467372678,0.3793612753,1.517533763,0.3839259067,0.2805676305,1472.3848484848002,-2.0,9.0,4134.1818181818,-0.230992276968,0.05588555445899999,-0.2640506261669999,0.2221015243,0.35611578270000005
s234,0.5530138839000001,0.1189318995,1.504188861,1.1,20.7272727273,0.2666666667,15.9411764706,0.43333333329999996,-0.30561597011099984,-0.980841150513,2.643390570525999,0.3644159801989999,1.8974257605379992,-0.5857159915310001,-8.481819290845015,-5.634619341664562,2.8123564552,0.21751535579999998,1.7805065485,0.0,0.5,12.791666666700001,0.12916666670000002,1.0,-0.0048333333,-5.625,21.5416666667,0.403817734,2.0,-0.0032955665000000004,-4.4468390805,-0.0249611237,0.4969446533,6.7,4.6,0.7348310301000001,0.5031377807,1.5205857105,-1.4468478143999999,0.19444444440000003,-1.2700059837,-0.1510840032,-0.2130060317,2.7267108241000004,1.70004039,0.20471668699999998,1.7634902087,-0.6651343888,2.8173882914,102.0,5.0,0.7980497360000001,0.0007323075,0.9696716309,0.0011497106,0.5,-4.625581180301964,-4.625581180301964,-2.7483841522350163,-1.271548738936,1.296443873937,0.4114107978980001,1.6684201861450003,-0.4217329228390001,507.6666666667,1.2668066711,0.2219200927,1.5474922933000002,23.735,33.0,-5.2696385243,0.6891750918999999,7.0,1.050953437743,0.4761000270949999,1.9103999832670004,-0.29670174324899995,1.7089178796000002,0.40385787619999997,1.6294130881000002,-1.3087095892,0.35162094759999996,0.048117161000000006,0.8947742504999999,0.2341313598,1.5623013629,-0.9399705719,307.0,5.4,5.2,337.0,1.6145101950999998,0.2930626444,0.3509761350797844,281.1666666667,307.3333333333,1.328965977,0.271627622813,2.0114069493,26.1666666667,-33.1246804265,0.99570003,0.3107311339,1.5623514336000002,-1.6100594812,-0.0151462525,0.049540322000000005,0.3415814176,0.0482901917,1.9174338675,-0.3193422211,-0.6362622125,3662.6683333333003,7.0,5.0,2808.8333333333003,-0.559726987,0.1577079274,-0.7107640053000001,0.8464505183000001,0.20392960850000003
s235,0.9320882309999999,0.1106242878,1.8075961641,2.1,20.0833333333,0.2,18.2272727273,0.2666666667,-0.2745125019110001,-0.9526928625260004,2.8043586319409983,0.3855038792199999,1.9991752294669989,-0.548079919411,-7.915068147472839,-4.470329681874056,2.5758204337,0.2563365452,1.6210491157,0.8333333333,0.1666666667,8.75,0.0833333333,0.0,-0.0016666667,-0.8333333333,15.041666666700001,0.04651493599999999,0.0,0.00046128839999999994,-0.9182076814,0.20899331989999997,0.6121539628,7.0,5.1,1.4333641110239994,0.435055644323,1.925762455248,-0.6549907129300001,0.25,-0.5990472387,-0.8138530493,0.14960993150000002,2.7690212256,1.8841104047,0.1841691929,1.9986135959,-0.4428242374,3.0207895225,121.0,7.0,0.7689060211000001,0.0016758428,0.8187515259,0.0017989563,0.5277777778,-3.6869826661541367,-3.6646748864517766,-2.7483841522350163,-0.982780261221,1.4213945992359995,0.428472794134,1.7838789641070003,-0.3509965806890001,403.3333333333,2.5014265309,0.3400868124,1.6716525672,34.5,24.0,-12.743716448199999,0.5345520152000001,11.0,1.3362503280609994,0.5336454217049998,1.9410586107450003,-0.4072435475269999,1.9440149689,0.3502583244,2.0156478921,-2.7410369677999995,0.26954177900000004,0.0441557571,2.1070870843000002,0.31453559680000004,1.8649457728999999,0.1166836803,413.5,6.3,5.4,416.6666666667,2.4174858599,0.35044767909999996,0.5794641732323081,311.0,379.3333333333,2.3634680626,0.3640875328,1.9075687893000002,68.3333333333,95.237590799,1.5979407156,0.41679853590000004,1.6370545749,-0.8090360868,-0.9946291573999999,0.2431044189,0.8018674779,0.013015258799999999,2.3401458113999998,-0.0498103453,-0.3050264796,1927.1296296296,17.0,5.0,3138.5,0.5494955948,0.1421693292,1.5335550207000002,0.8519063385000001,0.1838004686
s236,0.7242877312999999,0.09430084890000001,1.9549844188999999,1.75,30.9523809524,0.30000000000000004,18.75,0.33333333330000003,-0.4105036036890002,-0.8321260582519997,3.4298213486499987,0.36070890758699997,2.1853734412059995,-0.8675929415820001,-6.992503364603596,-7.113349720656958,1.6426015913,0.2781867159,0.9542043791,0.5,0.33333333330000003,8.25,0.05833333330000001,2.0,-0.0076666667000000015,-4.3333333333,4.2083333333,0.018794326200000003,2.0,-0.0039148936,-1.7553191489,-0.09065951609999999,0.7273830045,8.5,6.1,2.1597968714259994,0.433044283312,2.0489482977540003,-0.3901613304030002,0.5,-4.9843054142000005,-1.1021405888,0.0,5.320134937200001,2.7088844119999997,0.2515846921,1.4956681719,-0.8742787237,3.2356769612000003,184.0,5.0,0.7683563231999999,0.0005557959,0.959765625,0.0006800644,0.6388888889000001,-4.625581180301964,-5.553730190361736,-4.609202534990781,-0.9401616050110002,1.6528847086379996,0.43270077713000016,1.922774084966,-0.3575379122230001,220.0,3.7289592295,0.28895447690000003,1.8748264134,-6.0,38.0,4.7353003046,0.40189889009999996,12.0,1.616551332612001,0.494258997231,1.9414543916710003,-0.3637185803670003,2.6607648135,0.4044762662,2.5606220337,-1.0883645687999999,0.5421994885,0.036692253800000005,2.9753379646,0.2940461925,1.5127460695,-0.5947668466,264.0,5.8,5.4,241.8333333333,3.8876688329,0.3021448403,0.4697942417632066,217.8333333333,305.5,3.7082505763999998,0.2802220388,1.6483409978999999,87.6666666667,5.5341044107,2.1222120664,0.2732083441,2.0022478415,-0.7750582028,-0.109130775,-0.5145172266,1.6523883913,0.3111579626,1.7253745574000001,-0.5734968217,0.34087625270000005,4110.7333333333,-3.0,5.0,6523.0,0.8476096458,0.0720033486,-0.110623082,0.19893669719999998,0.2441577431
s239,0.8290351914,0.0985896557,1.7230631683000002,1.75,28.35,0.33333333330000003,42.4666666667,0.5,-0.33729281393800004,-0.9878415003980006,3.1674642163299995,0.35863736312999994,1.9235565354520008,-0.7581321822599999,-10.407135663054696,-4.307519052660529,4.287221944,0.2575089122,1.4482117498,0.1666666667,0.6666666667000001,18.125,-0.0958333333,1.0,0.0008333333,-2.7916666667000003,22.1666666667,-0.1047193609,1.0,-0.0004048770000000001,-0.12182047509999999,0.3288871231,0.6962926331,6.3,4.8,0.9930230118,0.3224385086,1.5811588315,-0.675381187,0.7777777778,-0.3009565771,-0.2020794312,-0.5629734621,4.194188013,2.43122177,0.22042165989999998,1.5856116307,-1.0439630473310002,3.4660734605979986,106.0,4.0,0.6303457737,0.0017157582999999998,0.9654785156,0.0014362063,0.4166666667,-5.553730190361736,-3.6646748864517766,-3.6646748864517766,-1.2034625421670002,1.6088049428529996,0.404859511459,1.6689042474450009,-0.321738951732,320.32333333333304,2.7689231950849997,0.3053970716830001,1.4173882618520008,14.92,53.62,-1.4031251591,0.5770441327,3.0,1.4659197110190008,0.48971611850599994,1.841555085387,-0.3999191895340002,3.4108845138999997,0.39305999630000005,2.4470679752,-2.1535244521,0.3777777778,0.0359295834,3.4696583646,0.3005149774,1.4808080388999998,-0.7143647597,320.0,6.8,5.5,413.8333333333,2.7628224306,0.2765069237,0.4263017333239361,267.8333333333,265.3333333333,3.260065825,0.2906383871,1.2265081423,-2.5,-2.0393958463999997,2.3108191380000003,0.39045212240000005,1.6456931590000001,-2.0180350091,0.034021175099999995,-0.4895492257,1.9508238974,0.2987589889,1.5088475999000002,-0.1582155986,-0.325087234,1483.7507575757998,14.0,6.0,2812.9166666666997,-0.4947009056,0.2417058808,-0.9449258278,0.2134281086,0.1766132218
s240,1.1372333852,0.029572056099999997,1.4798190383,1.95,51.3157894737,0.3666666667,40.9090909091,0.6333333333,-0.3744149011400002,-0.934321249668,2.877154857587998,0.3155851744539999,1.7722627621720002,-0.8265062143769998,-10.200826772156947,-7.032950995799999,2.3283350334,0.2526404866,1.1234931525,0.1666666667,0.5,16.7916666667,0.12916666670000002,3.0,-0.0041666667,-1.7083333333,20.0,0.0294466,1.0,-0.0003643047,-3.3012048193,-0.06628372269999999,0.3009552085,8.6,6.8,1.9773651078,0.32920953420000004,1.6358066638,-1.262961853,0.2777777778,-1.370129671,0.758177249,-0.33672694870000003,2.9741526582,1.8564332487,0.014436953999999998,1.6072023995,-1.0820225484000001,2.8201893119,206.0,4.0,0.6774168015,0.0015770303,0.8531234741,0.0025652648999999997,0.5833333333,-5.537595558952301,-5.553730190361736,-4.625581180301964,-1.1287488225289994,1.429049771657,0.38794781287,1.7031042692760008,-0.381000313864,311.3333333333,1.6966216740000002,0.2488276482,0.9690813595,41.5,2.5,6.373111149762001,0.4629416567990002,15.0,1.3672846379240005,0.4597986595579999,1.8755774477220009,-0.309077156675,2.4273085555000002,0.3422360949,1.5251529259,-1.0110658181,0.4963144963,0.0372168125,1.9515627234000001,0.264315498035,1.8199815139,-0.6872709297,223.0,6.6,5.9,273.3333333333,1.9928065002000002,0.2362978495,-0.02490062219786988,258.0,293.0,1.5857934122,0.27915820870900004,1.5234056559,35.0,44.0466666667,2.2071216804,0.2600783389,1.4717044309,-1.0423903801999999,-0.3121630097,-0.1064436303,0.43971778,0.0059193645000000005,1.7245482108,-0.3196271314,-0.2381406652,1508.3393939394,11.0,8.0,2181.6666666667,0.06400197469999999,0.32726122760000004,-0.3199186631,0.2981411373,0.35918809869999996
s241,1.6057649035,0.2633868425,1.7705328028,2.8,44.3125,0.4666666667,30.2,0.33333333330000003,-0.4030266982000002,-1.0148327489560005,3.342441564452,0.351167855329,1.8979517089020004,-0.8648224455649999,-7.863533219516348,-5.847153904902128,4.0871102960000005,0.2664645711,1.6469561998,0.8333333333,0.0,12.125,0.0375,1.0,-0.0015,-2.875,11.75,0.0633501259,1.0,-0.0022510495,-2.0205709488,0.0708814603,0.6935733104999999,9.0,7.0,3.0289112992000002,0.3908202019,2.1027202468,0.2032203842,0.1388888889,-1.4156930467,0.4225926378,0.0,5.320134937200001,3.0582738022000004,0.2020112271,2.1603703239,-1.0705413209999999,3.8243251091,237.0,5.0,0.6456787109000001,0.001216428,0.9321578979,0.0020604176,0.6666666667000001,-4.625581180301964,-3.6869826661541367,-2.7483841522350163,-1.073799395907,1.6871008614009997,0.42410248068499995,1.7026676987080012,-0.3370304144640001,276.1666666667,2.675801319,0.31912433219999997,1.0543816909,9.0,54.5,12.827688291,0.5183559407,16.0,1.7477303352769995,0.4631010623060001,1.8441394576310008,-0.32813014560900017,4.0089295851,0.4048811103,1.7755411199000002,-0.7562531119,0.3604938272,0.0450793571,3.272248957,0.3216469462,1.0743660299,-0.4855030614,328.5,6.7,6.7,322.3333333333,2.6699470636,0.3190153543,-0.06286264023743562,269.6666666667,337.0,1.8752473725999999,0.3085651511080001,1.9327728386,67.3333333333,40.189964788699996,2.5101735066999997,0.34643127960000003,1.7993859747999998,-1.3609181781,0.2076499317,0.3460769168,2.0140023968,0.3526256814,1.4289172884,-0.3633257211,-0.8853722520999999,1695.0433333332999,4.0,9.0,3869.9166666666997,0.7312956686000001,-0.27645971059999996,1.0218619168,0.1709229863,0.31665951940000003
s242,0.8230367615,0.031611117700000003,1.6891414481,2.0,47.058823529399994,0.43333333329999996,18.1764705882,0.43333333329999996,-0.401068457838,-0.974066485468,3.4684895116149987,0.3566644777500001,1.8869949890299995,-0.8603672423469998,-11.074993166724562,-7.449222429257437,3.8794476422,0.3003462703,1.5650634013999998,0.5,0.1666666667,9.875,0.1791666667,2.0,-0.0108333333,-0.7916666667000001,26.391304347800002,-0.0040592168,1.0,-0.0007965616000000001,-2.823782235,0.044252994,0.8001805258,7.5,7.7,1.7222315947,0.34079847010000003,1.7524537631,0.33417000280000003,0.0833333333,-2.041140354,-0.8786505557000001,0.2325714847,4.8549919679,2.9932469538,0.0036983685,2.6363233575,-1.0170844173,3.9312389163,126.0,6.0,0.7067312001999999,0.0019359356,0.999609375,0.0021234891,0.5277777778,-6.449609932071973,-6.449609932071973,-5.553730190361736,-1.030463838782,1.6152359309600002,0.4150915306310001,1.710431886082,-0.311049938552,335.96500000000407,2.7087044132919997,0.302952066082,1.3904276111619998,21.74,71.62,7.2865229484,0.31865510469999997,10.0,1.565467193877,0.48230165081,1.872606855271001,-0.3928313690570003,2.8289327948,0.3718263494,1.9863723435,-0.7194164721999999,0.568627451,0.1077552424,3.7682988394,0.31470984360000004,1.0044228275,-1.4281405193,332.0,7.0,5.9,314.336666666668,3.3277665960709983,0.3288982859759998,0.3764297822239854,248.5833333333,320.6666666667,3.0402075546,0.2491240276,1.5540540896,72.0833333333,28.174964438099998,1.6556916024,0.3639875936,1.4745574419999998,-0.4630697764,-0.1804787409,-0.0822330314,1.8599635230000002,0.3249551277,1.6572192741999998,-0.1318822968,-0.80683611,1741.6019230769,33.0,6.0,3143.4166666666997,0.333310625282,0.001812349726999994,0.2639440450860001,0.4298874154,0.3999344404
