,NBHD,NBHN,NBHT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTKSCOR,ARTRCLCK,ARTRLPC,ARTRSCOR,ANTALTHD,ANTALTHT,ANTCONHD,ANTCONHT,ANTNTRHD,ANTNTRHT,ANTORTHD,ANTORTHT,BITIHDL,BITIHDM,BITIHDS,BISATTII,BISMOTII,BISNPLII,BBASDRIV,BBASFUNS,BBASRWRD,BBASBIS,BSCSSCON,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DIIDYSF,DIIFUNC,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFPSHD,DRFPSHT,DRFPINHD,DRFPINHT,DSTPCTP,DPTEEB,DPTFEB,DPTHEB,DPTREB,DPTSEB,DPTERP,DPTFRP,DPTHRP,DPTRRP,DPTSRP,DPTERT,DPTFRT,DPTHRT,DPTRRT,DPTSRT,DPEAYBHD,DPEAYBHT,DPEBXBHD,DPEBXBHT,DPEDPRIM,DPEAXHD,DPEAXHT,TFEQCGRS,TFEQEEAT,TFEQUEAT,ERQREAP,ERQSUPP,FFMQAWAR,FFMQDESC,FFMQNJUD,FFMQNREA,FFMQOBSV,FTPSFTP,GNGDRPIM,GRTSGRIT,HIRSCOR,HLTSFCH,IMVIMPLS,IMVVNTUR,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRL,KRBHDRM,KRBHDRS,LCATACTL,MAASMIND,MOSSSRT,MOSHD,MOSHN,MOSHT,MOSREC,MOSSPC,MPQCOTR,PRSPLB,PRSRVS,PRPSLOPE,RPMSCOR,REPXHD,REPXHT,REPPINHD,REPPINHT,SOCSCOM,SOCSELSE,SOCSLBSE,SOCSOPT,SSRQCOTR,SSSBORED,SSSDISIN,SSSEXPSK,SSSTHRIL,SMHDSNN,SMHTSNN,SMSIHD,SMSIHT,SHFTLR,SIMCGHD,SIMCGHT,SIMSIMHD,SIMSIMHT,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHT,SSSSRTHI,SSSSRTLO,SSHD,SSHN,SSHT,SSPASS,SSPAS,STRCGHD,STRCGHT,STRSTRHD,STRSTRHT,TIPIAGRE,TIPICONS,TIPIEMST,TIPIEXTR,TIPIOPEN,TWILLELR,TXTCSCHD,TXTCSCHT,TXTCSTHD,TXTCSTHT,TXTTAIOR,TXTTSCHD,TXTTSCHT,ZTPIFUTR,ZTPIPNEG,ZTPIPPOS,ZTPIPRFA,ZTPIPRHE,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,UPPLPERS,UPPLPREM,UPPNEGUR,UPPPOSUR,UPPSENSE,WRTNEUPR,WRTPOSPR
s114,0.899195018,0.14987755830000002,2.0816097933,2.15,-733.9333333333,-0.5,710.0,-1611.5714285714002,-0.5333333333,400.0,0.1495884945,0.3189107061,-1.3324405326,-0.18647130690000002,3.2551855662,1.8557817425,0.8072328632,1.3785365861,-0.0001369792,-0.00032802010000000003,-0.0009274902,-9.0,-18.0,-19.0,7.0,8.0,11.0,18.0,41.0,3.2084797266000002,0.30238213080000004,1.2567473432,1.0,-0.0,11.333333333299999,-0.0666666667,1.0,-0.0026666666999999996,-3.3333333332999997,12.083333333299999,-0.0926041667,2.0,0.0014958333,-3.3177083332999997,-11.0,15.0,-0.14285714289999998,-1.0919080919,8.1,7.8,1.9486040535,2.0686799645,-0.8140261338,0.3938051202,0.8888888889000001,12.0,14.0,11.0,17.0,14.0,19.0,22.0,17.0,17.0,14.0,5.0,15.0,19.0,22.0,23.0,-2.3463096487,0.5007093118,-1.7306298974,-0.32786171750000004,0.9261363636,4.9632846142,4.4956739367,27.7777777778,-0.0,-18.5185185185,6.0,2.3333333333,28.0,27.0,21.0,23.0,27.0,49.0,0.9142857143,28.0,191.0,7.0,-15.0,22.0,0.8469238281,0.0010305459,1.0,0.0007238719,0.6666666667000001,-0.0004,-0.0006324555,-0.0015811388,1.0,5.1333333332999995,-386.5,3.1391408192,0.31735408,1.4396997883000002,-39.0,90.5,42.0,-2.7351233054,17.403841203699997,0.40501084979999996,16.0,1.8552504923,1.7956910225999998,-0.2986272256,0.027035779500000003,0.8181818181999999,0.7272727273,1.0,0.9090909091,121.0,0.22222222219999999,0.44444444439999997,0.5555555556,0.8888888889000001,2.7691299685,1.5665593969999998,0.7026166929000001,1.2615501595999998,0.0556798686,3.4842673781,1.5346640986000002,0.3658019918,0.6718164429000001,272.0,6.6,5.4,-390.1666666667,2.8287306650999997,0.32565744890000003,2.0218153957,-279.3333333333,-274.3333333333,3.9711071125,0.3338955314,1.8285503269999999,-5.0,15.7986111111,3.8695651702,1.9197257447999998,-0.6395996204000001,0.3816600884,4.0,6.0,6.0,4.0,5.0,-52.0,-0.10742691789999999,0.1349228238,2.140115503,2.0446264138,0.33333333330000003,-0.5353941862,-0.9032610967,3.9090909091,3.0,3.75,2.375,2.7142857143,2805.53125,2.0,8.0,5532.666666666701,-1.8490146369999998,1.2359101640999999,-21.0,-21.0,-28.0,-13.0,-34.0,0.5121754442,0.6783154804000001
s123,1.1749898258,0.2547245212,1.0296098253000001,1.3,-1535.5714285714002,-0.30000000000000004,532.0,-726.4,-0.1666666667,704.0,-0.7866879901,0.025020369,-0.33830142080000003,0.1697622986,3.0624873623,1.1445438264,-0.8293237753,-0.059061506000000014,-0.0002673607,-0.0045248108,-0.1168076172,-13.0,-15.0,-20.0,9.0,6.0,12.0,18.0,40.0,2.0087412173,0.2642629614,0.9043885889,0.0,-0.1666666667,14.958333333299999,-0.2208333333,1.0,-0.0011666667,-3.375,22.0869565217,-0.0346674877,2.0,-0.0071482759000000015,-3.4895320197000004,-11.0,15.0,-0.4880753786,-0.6414462781,9.2,6.8,1.0502423649,1.3728741913999998,-0.7344347554999999,-0.08262973850000001,0.055555555599999994,13.0,15.0,9.0,12.0,14.0,14.0,18.0,12.0,20.0,13.0,13.0,12.0,30.0,14.0,27.0,-0.7636178229999999,0.1001546488,-1.0841802177,-0.1292291335,0.6439393939,3.7609423831,1.3361415647,55.5555555556,-22.2222222222,-33.3333333333,6.0,3.3333333332999997,22.0,28.0,22.0,17.0,23.0,49.0,0.8,26.0,147.0,5.0,-15.0,22.0,0.63859272,0.0016944567999999998,0.7497940062999999,0.0021338437,0.3888888889,-0.0636371852,-0.06403124240000001,-0.06403124240000001,6.0,4.5333333333,-257.8333333333,1.9704606969999998,0.29488251520000003,1.1728356771,-7.0,18.0,45.0,,,0.3752646685,4.0,0.47836998799999997,1.4536138624,0.3306859059,0.1836391864,0.5454545454999999,1.0,0.5454545454999999,0.9090909091,122.0,0.22222222219999999,0.22222222219999999,0.33333333330000003,0.6666666667000001,3.5996778114,0.8432977876000001,-1.3870776387,0.2847137294,0.0358547295,2.8355498776,1.0640191173,-2.2969912974,-0.0924115745,306.0,4.9,4.4,-370.0,1.4010581406,0.002806062,1.8709766694999999,-246.3333333333,-253.6666666667,2.2219242429,0.2728997183,1.3282079336,7.333333333300001,7.2458333333,3.9616012631,2.0098534844,-2.3317265828,-0.32719022340000004,5.0,5.0,5.0,2.0,2.0,-53.0,-0.1048974889,0.16058612,1.0030154976999999,1.6762961904,-5.0,-0.20616795559999998,-0.09609699,3.8181818182,3.8888888889,4.25,2.0,3.1428571429,2438.8729166667003,-13.0,5.0,4646.0,0.2267194672,-0.1959478085,-16.0,-16.0,-25.0,-27.0,-29.0,0.3547658628,0.1683752471
s128,,,,,-308.0,-0.2,385.0,-756.9166666666999,-0.2,320.0,1.3552920835,0.5532545094,-2.49663536,-0.5423762275,4.0896283881999995,1.6915189078,0.2854866175,0.5061017976000001,-0.231593071,-0.0208862305,-0.0189853516,-17.0,-17.0,-26.0,9.0,7.0,13.0,22.0,33.0,4.5828228239,0.264023877,1.9806710316,0.1666666667,-0.6666666667000001,5.0833333333,0.05,3.0,-0.006666666700000001,-0.75,10.875,0.043577700600000005,2.0,-0.0073253012,-2.2627118644,-12.0,11.0,0.6402580971,-0.4527921196,7.3,7.2,2.8573091136,1.5287093596999999,-0.5966636537000001,0.26637049700000004,0.22222222219999999,11.0,21.0,9.0,6.0,17.0,27.0,27.0,29.0,28.0,24.0,8.0,9.0,19.0,7.0,18.0,-0.3630369003,0.35733628240000004,0.8693187116000001,0.4101561717,0.9770114943000001,4.287682348,2.324138806,55.5555555556,-33.3333333333,-40.740740740700005,3.8,2.0,20.0,26.0,30.0,21.0,9.0,45.0,0.7142857143000001,23.0,212.0,10.0,-16.0,14.0,0.6460633516000001,0.0009903153,0.90440979,0.0019969699,0.6111111111,-0.06403124240000001,-0.06403124240000001,-0.0099597577,3.0,3.8666666667,-343.6666666667,2.4956287758,0.3154357305,1.2749931482999999,-28.0,27.0,42.0,,,0.5370140674,13.0,2.0221468648,2.0767510395,0.23852048829999997,-0.0692830194,0.1818181818,0.6363636364,0.3636363636,0.2727272727,105.0,0.11111111109999999,0.44444444439999997,0.44444444439999997,0.0,4.4923900148,1.2248618052,-2.4911930094,0.08548940199999999,0.057497587999999995,3.9538317529,1.5275533345,-1.3182286508,-0.2157987874,330.0,5.8,5.7,-366.5,2.6315910590000002,0.347743585,0.9554609936,-288.8333333333,-330.0,2.7433834338,0.3225916775,1.2945947587,41.1666666667,22.2972222222,3.3733816863999997,1.6301583447,-1.3765252091,0.1596660651,6.0,3.0,3.0,2.0,3.0,-40.0,0.19521035,0.142847038,1.6933289331999999,1.6950597364000002,17.0,-0.3352477122,0.006907794,2.9090909091,2.6666666667000003,4.0,2.75,2.7857142857,1992.3074074074,-6.0,6.0,4085.0,0.1717073556,-0.15822400520000002,-26.0,-20.0,-28.0,-26.0,-15.0,0.5120689884,0.404661714
s129,0.8055634034,0.0418884533,1.5634399069999998,1.55,-1462.1428571429,-0.30000000000000004,552.0,-642.85,-0.33333333330000003,711.0,1.0070836269,0.6664421839,-1.0238163266,0.060011952,3.5861247214999996,1.8551657169,1.6209449694999998,1.0655846168,-0.0001032185,-0.0006163597,-0.2560898438,-12.0,-17.0,-16.0,5.0,6.0,14.0,24.0,42.0,4.3695770234,0.29805903100000003,1.3082867778,0.5,-0.1666666667,11.625,-0.0958333333,1.0,0.0001666667,-6.958333333300001,6.916666666699999,-0.032683215099999996,1.0,-0.0010260047,-1.0780141844,-12.0,15.0,0.3131532952,-0.5796377532,6.3,4.9,1.1601715039,1.3472835494,0.0407135878,-0.08076720600000001,0.3611111111,14.0,14.0,6.0,16.0,17.0,24.0,24.0,29.0,18.0,10.0,8.0,15.0,11.0,21.0,27.0,-1.9366444597999999,-0.477788706,0.5857506064,0.4883008986,0.9886363636,5.2288922518000005,4.7722376155,50.0,-11.1111111111,-37.037037037,3.6,5.0,24.0,12.0,20.0,18.0,31.0,43.0,0.8285714286,19.0,197.0,8.0,-17.0,23.0,0.5,,0.9959472656,0.001198879,0.3611111111,-0.0015811388,-0.022315642200000003,-0.0099597577,2.0,4.0666666667,-340.1666666667,2.6358361229,0.3313647818,1.1921913070999999,24.5,8.0,43.0,32.2421398659,-25.219965304699997,0.45106912509999997,12.0,1.4440276677000001,1.5614653362,-0.6544351943000001,-0.4073717196,0.45454545450000006,0.7272727273,0.9090909091,0.6363636364,117.0,0.44444444439999997,0.44444444439999997,0.7777777778,0.5555555556,3.8387700262,1.0928250307,-1.5867741485,-0.0258314006,-0.0193792504,3.80898529,0.9431128431999999,-0.6607365878,0.1209439813,344.5,5.8,4.0,,,,,-288.1666666667,-309.0,2.5804353509,0.34904404710000003,1.2984707028,20.8333333333,15.1319444444,2.2834063097999997,1.7670029288,-0.4442946767,0.2243042479,5.0,3.0,5.0,2.0,7.0,-34.0,-0.0044755934,0.043895707199999995,1.9608682362999998,1.5431617286000001,49.5,-0.588093077,-0.1069511351,3.8181818182,3.8888888889,3.375,2.375,2.0714285714,2180.1018518519,-9.0,8.0,3577.8333333333003,1.324124281,0.0779184371,-26.0,-14.0,-17.0,-13.0,-33.0,0.8072834293000001,0.26956558950000004
s131,1.3442163449000002,0.048060843799999996,1.5668971414,2.05,-607.12,-0.1666666667,640.0,-1226.8571428571001,-0.30000000000000004,479.0,-0.0394941892,0.1491263574,-1.4334981122,-0.3483719114,3.2629914234,1.5523261041999998,0.3490572168,0.6280025564,-0.0012670715,-0.0802512207,-0.3208642578,-10.0,-14.0,-10.0,6.0,3.0,8.0,11.0,55.0,5.9704660575999995,0.2858850899,2.8671215978,0.0,-0.33333333330000003,5.0,-0.05,2.0,-0.01,-1.8333333333,11.875,0.4274810765,2.0,-0.0063498738,-1.3113961312,-11.0,11.0,0.033347436099999996,-0.7412209987,7.9,7.3,3.381352405,1.8140640566,-0.8538282585,0.0526398538,0.0833333333,5.0,8.0,5.0,5.0,16.0,35.0,28.0,26.0,32.0,17.0,5.0,7.0,17.0,5.0,22.0,2.2471305607,1.24182127,3.1733143472000003,2.0185879705,0.9886363636,4.274972132699999,3.3724653624000003,22.2222222222,11.1111111111,-3.7037037037,5.0,6.666666666699999,26.0,24.0,30.0,23.0,25.0,57.0,0.7111111111,17.0,199.0,4.0,-18.0,14.0,0.8737045287999999,0.0008780447,0.9306152343999999,0.0009876406,0.5277777778,-0.06403124240000001,-0.25,-0.25,3.0,5.2666666667,,,,,,,47.0,6.8550300053,-4.4895453369,0.5521626271,8.0,1.4048638107,1.6675396756,-0.22106636429999998,0.0335041445,0.45454545450000006,0.9090909091,0.9090909091,0.9090909091,132.0,0.33333333330000003,0.0,0.22222222219999999,0.11111111109999999,4.673434304100001,2.230280525,-0.588603369,0.7909140956999999,0.016891993600000002,5.7298757916,1.7842260716,-0.7531526096000001,-0.17172487739999998,295.5,5.4,5.5,-422.8333333333,4.3045593968,0.3565304892,1.9754034926,-337.9166666667,-365.3333333333,3.1123542729,0.0416228119,3.8239735461,27.4166666667,-14.3222222222,1.5973408318,1.4396423328999999,0.4013699923,0.9776854201999999,1.0,7.0,6.0,1.0,5.0,-54.0,-0.2705571077,0.0266527669,1.0980942049,1.3350065806,-37.0,0.08559440789999999,-0.1457607057,3.6363636364,1.8888888889,3.375,1.5,1.4285714286000002,2163.2,-23.0,6.0,3259.0,0.5667592977,0.6372135066,-25.0,-13.0,-12.0,-13.0,-12.0,0.6995827156000001,0.4404997832
s135,0.6308769797,0.0004766483,1.6286391560000002,1.3,-208.3333333333,-0.0,244.0,-391.4,-0.1666666667,143.0,-0.4286318567,0.0100579162,-0.2275051128,0.4445681602,4.3790186832,2.0807859154,0.9901441253,0.5534040347,-0.0001173005,-0.028821167,-2.2216799999999997e-05,-12.0,-15.0,-16.0,10.0,6.0,14.0,16.0,57.0,2.5821613428,0.31558924990000004,1.9580648075,0.5,-0.5,10.375,0.07083333330000001,0.0,0.0051666667,0.2916666667,7.875,-0.012487361,0.0,-0.0009929221,0.2290192113,-18.0,17.0,0.8146497351,-0.2106034576,7.6,2.8,3.063987156,2.7179805225,0.06295422390000001,0.12921498539999998,0.0,9.0,10.0,6.0,17.0,18.0,28.0,26.0,28.0,27.0,19.0,12.0,20.0,12.0,12.0,24.0,-0.7275517139000001,0.8423001945999999,-1.1271809279,-0.4785758506,0.8873563218000001,2.3091585046,2.2153507328999997,27.7777777778,11.1111111111,-51.851851851899994,6.6,3.0,29.0,29.0,29.0,24.0,33.0,51.0,0.7650793651000001,32.0,107.0,8.0,-21.0,20.0,0.6998468399000001,0.0011921025,0.7828738212999999,0.001180926,0.33333333330000003,-0.158113883,-0.1265219767,-0.158113883,6.0,4.4666666667,,,,,,,46.0,2.3738483490999998,-1.3750494328,0.6569096418,2.0,1.413709471,2.0028192284,-0.011436576100000002,0.0548682629,0.6363636364,0.7272727273,0.6363636364,0.7272727273,133.0,0.22222222219999999,0.33333333330000003,0.33333333330000003,0.33333333330000003,2.7403657451,3.0061134856000002,-0.18905676989999998,0.0028971493,0.07470942080000001,1.9035701727,1.955731888,-0.2534586944,-0.1259882462,342.0,5.4,5.6,-369.0,2.3885318958,0.4533089474,1.8111352034,-210.3333333333,-361.0,1.2298850353,0.0059019579,2.1688867166,150.6666666667,74.5472222222,2.7343308768,1.8222081234,-0.6787052015999999,-0.028173624100000006,5.0,7.0,7.0,2.0,6.0,-45.0,-0.025863197400000003,0.2439125834,0.3900023581,1.6828567066,-128.6666666667,-0.09464493380000001,-0.1546801307,4.3636363636,3.5555555556,3.625,3.0,3.2142857143,2198.2037037037,-11.0,7.0,3121.8333333333003,,,-12.0,-13.0,-19.0,-21.0,-33.0,0.8962352025,0.20416923190000003
s140,0.8485992245999999,0.2010975593,1.4146383776,1.6,-415.14814814809995,-0.1,550.0,-1057.52,-0.1666666667,575.0,0.8124439521,0.2787615626,-1.6294562075,-0.1939127669,4.1115723883,1.8560842105,-0.713243307,0.2833086228,-0.0005415142000000001,-0.0063910521999999996,-0.0314169922,-12.0,-16.0,-17.0,6.0,6.0,11.0,17.0,48.0,3.5734095501,0.2798282525,1.5782352834,0.1666666667,-0.5,7.916666666699999,-0.0416666667,2.0,-0.0183333333,-1.6666666666999999,6.375,-0.029170879700000006,2.0,-0.0106309403,-2.8159757331,-11.0,13.0,0.2701149425,-0.6048214831000001,6.0,5.0,1.4262876482,1.9477478094999998,0.106692757,0.4823539408,0.1388888889,9.0,17.0,6.0,9.0,14.0,21.0,18.0,27.0,25.0,14.0,9.0,18.0,8.0,9.0,18.0,1.7897777768,3.1260017564,0.38601657799999994,0.4714035351,1.0,3.9480783635,3.6502932102999996,22.2222222222,-11.1111111111,-25.925925925900003,6.0,2.0,28.0,27.0,28.0,24.0,27.0,44.0,0.9142857143,23.0,166.0,7.0,-15.0,16.0,0.7277178287999999,0.0014794007,1.0,0.0023555868,0.3888888889,-0.0015811388,-0.009797959,-0.0256124969,2.0,4.4,-328.8333333333,3.0228419727999998,0.3240776501,1.4092180216999999,-33.5,54.0,46.0,4.63996475,-4.2366130235,0.4440443933,6.0,1.1793807433,1.614793914,-0.7223651189,0.0696289794,0.45454545450000006,0.2727272727,0.1818181818,0.1818181818,120.0,0.22222222219999999,0.11111111109999999,0.22222222219999999,0.22222222219999999,2.5423237882,1.5622903358000002,0.4511836039,1.0964276084,0.0589092645,3.7889934947,1.7848577988999998,-0.7367221009999999,-0.2152023299,291.5,6.4,6.1,-334.3333333333,2.5764730245000003,0.3368403178,1.4572696459,-239.1666666667,-257.3333333333,2.5182758815,0.34202305320000004,1.2399075705,18.1666666667,58.7722222222,3.3058788401999997,2.0311584693999998,-1.2120665786,0.0208527774,6.0,5.0,6.0,2.0,5.0,-41.0,-0.6898457767,0.07366902639999999,2.095504301,1.8079610701,-35.0,0.0244648915,0.1554196916,2.9090909091,2.4444444444,2.5,2.5,2.2857142857,1434.9479797979998,-38.0,6.0,2556.25,-0.8367289090000001,0.3522205936,-19.0,-20.0,-22.0,-26.0,-21.0,0.1401508039,0.1936424316
s142,0.9375251309,0.0212052317,2.0292853837,2.25,-465.3333333333,-0.2,534.0,-958.8181818182001,-0.2666666667,271.0,-0.5984456003999999,-0.4237547581,-0.4275100422,-0.13453711289999998,4.7224113098,2.3439887768000003,0.5836586381000001,0.1186990278,-0.0001618935,-0.0484897461,-0.030354492200000003,-18.0,-25.0,-29.0,12.0,9.0,16.0,10.0,36.0,3.2056335071,0.2887392643,1.3784662916,0.33333333330000003,-0.6666666667000001,4.7916666667,0.0458333333,2.0,-0.0101666667,-1.125,7.333333333300001,0.035950582,2.0,-0.0226583623,-1.4745762712,-11.0,12.0,-0.31343437469999996,-0.7277996259,6.6,5.7,2.1661984781,1.7174796938999999,-1.8014463111,-0.6945156351999999,0.0833333333,15.0,9.0,7.0,26.0,16.0,20.0,29.0,24.0,17.0,14.0,13.0,11.0,22.0,33.0,28.0,1.6434216279,2.1461378655,-0.05731591370000001,0.4799519362,0.9772727273,3.5198653945,2.4167127213,-5.5555555556,11.1111111111,-62.962962963,6.6,1.3333333333,35.0,31.0,31.0,25.0,34.0,51.0,0.8857142856999999,37.0,109.0,8.0,-26.0,28.0,0.7695135117,0.0021706898,0.8,0.0025718289000000003,0.44444444439999997,-0.06403124240000001,-0.158113883,-0.158113883,4.0,5.666666666699999,-287.3333333333,3.0894120749000002,0.33745208050000003,1.5505241394999998,-33.0,34.5,27.0,,,0.5690094626000001,9.0,1.8709072179,2.0369954685,-0.3868118879,-0.2748522292,0.9090909091,0.2727272727,0.5454545454999999,0.9090909091,132.0,0.7777777778,0.8888888889000001,1.0,1.0,3.8143318247000004,1.2875436107,-0.9093549659000001,0.1283036845,0.0762286152,3.164519213,1.3098073581,0.3155330704,0.4607187216,282.0,6.0,5.6,-278.5,3.8753782454000003,0.3947597958,1.2687652579000002,-276.6666666667,-296.5,2.2936592157,0.1316458687,2.3945721075,19.8333333333,-5.1458333333,3.9701172985000004,1.9118525194999998,-1.4159565033000001,0.13502196260000002,6.0,3.0,3.0,7.0,7.0,-60.0,,,,,,,,2.3636363636,1.6666666666999999,4.125,2.375,4.0714285714,1923.7097402597,-3.0,9.0,2994.8333333333003,-0.6248784107,0.1881607591,-14.0,-31.0,-33.0,-39.0,-43.0,0.6321433967,0.4058560122
s145,0.9249654243,0.09476200189999999,1.6012052337,1.75,-1190.6153846154,-0.1333333333,760.0,-470.8333333333,-0.4,390.0,0.5746960608,0.8559054753,-2.1847534861,-1.387281871,3.5484706366000003,4.7244472957,0.0627605703,0.4148295394,-0.0031390551,-0.0205181885,-0.4559423828,-10.0,-18.0,-21.0,7.0,7.0,13.0,24.0,33.0,1.9466707925,0.18024556649999998,1.3620329233,0.33333333330000003,-0.33333333330000003,6.208333333300001,0.0125,2.0,-0.0041666667,-1.9583333333,21.2916666667,-0.1552380952,3.0,-0.0097428571,-2.5642857143,-11.0,11.0,-0.40549062469999997,-0.6374337846,6.1,5.5,1.4071499411,1.630605548,-1.0306676332,-0.4356193331,0.055555555599999994,9.0,22.0,8.0,12.0,19.0,27.0,25.0,32.0,33.0,23.0,7.0,20.0,9.0,5.0,19.0,-2.2397677003,-0.7615689973,-0.36890771009999995,-0.8016601490999999,0.9022058824,2.4809088863,1.5596431639,27.7777777778,-22.2222222222,-33.3333333333,2.4,4.0,23.0,14.0,15.0,13.0,27.0,46.0,0.5492063492,20.0,118.0,7.0,-15.0,14.0,0.7779518126999999,0.0010220871,0.8549896240000001,0.0014857978,0.6666666667000001,-0.06403124240000001,-0.06403124240000001,-0.0256124969,1.0,4.0666666667,-251.1666666667,1.9610232699,0.2285213435,1.307237306,15.5,2.5,43.0,1.2419181292,-1.3412774059,0.4278465461,10.0,1.5969619746,2.1464794862,0.3897656261,0.32280823070000003,0.8,0.5454545454999999,1.0,0.5454545454999999,101.0,0.11111111109999999,0.33333333330000003,0.33333333330000003,0.0,2.6753277098,1.2604638375,-0.4068287483,0.600568434,0.0184443957,3.0655338419,1.2743570814,-2.5968136108,-0.2331803344,271.0,4.4,5.0,-382.1666666667,2.5963468115,0.3003583193,1.640672458,-252.8333333333,-266.6666666667,2.0003204199,0.24079532539999998,1.5066862874,13.833333333299999,45.3819444444,2.5527000563,2.1087573387000003,-1.4322952215,-0.37695005950000005,7.0,7.0,3.0,1.0,7.0,-47.0,-0.2675043762,0.0434497167,1.2739084295,1.660177037,-17.6666666667,-0.144838094,-0.1819734441,4.1818181818,4.0,4.5,3.75,3.2142857143,3116.4851851852004,-1.0,6.0,4876.0,-0.11370971029999999,-0.1274523465,-18.0,-10.0,-25.0,-14.0,-14.0,0.7632798057,0.3830170567
s149,1.0186390848,0.0939100164,2.0082825818,2.35,-747.5909090908999,-0.2666666667,1073.0,-1819.7692307692,-0.5666666667,408.0,-0.3190786132,0.2914862887,-0.8318755943,-0.16529812900000002,3.715490594,1.7780418997999998,-0.0610163466,-0.1234144249,-0.0005149595,-0.0021466980000000003,-0.0318183594,-17.0,-17.0,-22.0,5.0,9.0,10.0,20.0,30.0,3.9568205364999995,0.2685143326,1.5810273449,0.5,-0.33333333330000003,7.75,0.0916666667,2.0,-0.0046666667000000005,-4.0,4.4166666667,0.0668674699,2.0,-0.0033416377,-2.9745762712,-15.0,11.0,0.4124048525,-0.6450999049,8.5,9.4,1.813022853,1.7882859709,-0.3238627723,0.3669777815,0.25,17.0,25.0,14.0,21.0,21.0,19.0,19.0,21.0,18.0,20.0,14.0,15.0,25.0,15.0,24.0,4.9933823967,2.1666287946,2.5309720266,-0.6287463878,0.9261363636,4.1565292976,2.2993531368999998,33.3333333333,-33.3333333333,-51.851851851899994,2.8,4.0,13.0,20.0,13.0,12.0,25.0,36.0,0.8,18.0,124.0,8.0,-22.0,22.0,0.6545940399,0.0018414176,0.7896682739,0.0019780252,0.4166666667,-0.0250474647,-0.0256124969,-0.009797959,2.0,2.5333333333000003,,,,,,,35.0,-2.0702605419,6.6927874602,0.5244258821000001,9.0,1.5688054519,2.1271640804,-0.037036571,-0.1479250634,0.45454545450000006,0.5454545454999999,0.3636363636,0.3636363636,74.0,0.6666666667000001,1.0,0.7777777778,0.7777777778,3.6719128983,2.1662037899,-0.23708206920000002,0.5839453464000001,0.0155649446,4.4906738937,1.8977426583,-0.444898696,-0.12989074450000002,298.5,6.3,5.8,-392.0,2.6645751951000003,0.3078414217,1.4094454328,-314.8333333333,-345.1666666667,4.5905043758,0.3161710609,2.3339904971000003,30.3333333333,6.5166666667,3.2466440639,2.5555560867,-0.1063417673,0.5441341677,4.0,3.0,3.0,3.0,5.0,-48.0,0.3937551365,0.3889579356,2.8403260031,1.8609906547,-48.1666666667,-2.2450722527,-2.1870333367,2.7272727273000004,3.7777777778,2.0,2.25,2.9285714286,2311.6518518519,5.0,8.0,6297.375,0.035207156600000004,0.6446947972,-26.0,-22.0,-38.0,-36.0,-30.0,0.182304558,0.7134658071000001
