"X","adaptive_n_back.hddm_drift","adaptive_n_back.hddm_drift_load","adaptive_n_back.hddm_non_decision","adaptive_n_back.hddm_thresh","adaptive_n_back.hddm_thresh_load","adaptive_n_back.mean_load","angling_risk_task_always_sunny.keep_adjusted_clicks","angling_risk_task_always_sunny.keep_loss_percent","angling_risk_task_always_sunny.release_adjusted_clicks","angling_risk_task_always_sunny.release_loss_percent","attention_network_task.alerting_hddm_drift","attention_network_task.conflict_hddm_drift","attention_network_task.hddm_drift","attention_network_task.hddm_non_decision","attention_network_task.hddm_thresh","attention_network_task.orienting_hddm_drift","bickel_titrator.hyp_discount_rate_large.logTr","bickel_titrator.hyp_discount_rate_medium.logTr","choice_reaction_time.hddm_drift","choice_reaction_time.hddm_non_decision","choice_reaction_time.hddm_thresh","cognitive_reflection_survey.correct_proportion","cognitive_reflection_survey.intuitive_proportion","columbia_card_task_cold.avg_cards_chosen","columbia_card_task_cold.gain_sensitivity","columbia_card_task_cold.information_use","columbia_card_task_cold.loss_sensitivity","columbia_card_task_cold.probability_sensitivity","columbia_card_task_hot.avg_cards_chosen","columbia_card_task_hot.gain_sensitivity","columbia_card_task_hot.information_use","columbia_card_task_hot.loss_sensitivity","columbia_card_task_hot.probability_sensitivity","dietary_decision.health_sensitivity","dietary_decision.taste_sensitivity","digit_span.forward_span","digit_span.reverse_span","directed_forgetting.hddm_drift","directed_forgetting.hddm_non_decision","directed_forgetting.hddm_thresh","directed_forgetting.proactive_interference_hddm_drift","discount_titrate.percent_patient","dot_pattern_expectancy.AY.BY_hddm_drift","dot_pattern_expectancy.BX.BY_hddm_drift","dot_pattern_expectancy.bias","dot_pattern_expectancy.dprime","dot_pattern_expectancy.hddm_drift","dot_pattern_expectancy.hddm_non_decision","dot_pattern_expectancy.hddm_thresh","go_nogo.bias","go_nogo.dprime","hierarchical_rule.score","holt_laury_survey.beta","holt_laury_survey.risk_aversion","holt_laury_survey.safe_choices","information_sampling_task.Decreasing_Win_P_correct","information_sampling_task.Decreasing_Win_motivation","information_sampling_task.Fixed_Win_P_correct","information_sampling_task.Fixed_Win_motivation","keep_track.score","kirby.hyp_discount_rate_large.logTr","kirby.hyp_discount_rate_medium.logTr","kirby.hyp_discount_rate_small.logTr","kirby.percent_patient","local_global_letter.conflict_hddm_drift","local_global_letter.global_bias_hddm_drift","local_global_letter.hddm_drift","local_global_letter.hddm_non_decision","local_global_letter.hddm_thresh","local_global_letter.switch_cost_hddm_drift","motor_selective_stop_signal.SSRT","motor_selective_stop_signal.condition_sensitivity_hddm_drift","motor_selective_stop_signal.hddm_drift","motor_selective_stop_signal.hddm_non_decision","motor_selective_stop_signal.hddm_thresh","motor_selective_stop_signal.reactive_control","motor_selective_stop_signal.selective_proactive_control","probabilistic_selection.positive_learning_bias","psychological_refractory_period_two_choices.PRP_slope","ravens.score","recent_probes.hddm_drift","recent_probes.hddm_non_decision","recent_probes.hddm_thresh","recent_probes.proactive_interference_hddm_drift","shape_matching.hddm_drift","shape_matching.hddm_non_decision","shape_matching.hddm_thresh","shape_matching.stimulus_interference_hddm_drift","shift_task.acc","shift_task.learning_rate","shift_task.learning_to_learn","shift_task.model_beta","shift_task.model_decay","shift_task.model_learning_rate","simon.hddm_drift","simon.hddm_non_decision","simon.hddm_thresh","simon.simon_hddm_drift","simple_reaction_time.avg_rt","spatial_span.forward_span","spatial_span.reverse_span","stim_selective_stop_signal.SSRT","stim_selective_stop_signal.condition_sensitivity_hddm_drift","stim_selective_stop_signal.hddm_drift","stim_selective_stop_signal.hddm_non_decision","stim_selective_stop_signal.hddm_thresh.logTr","stop_signal.SSRT_high","stop_signal.condition_sensitivity_hddm_drift","stop_signal.condition_sensitivity_hddm_thresh","stop_signal.hddm_drift","stop_signal.hddm_non_decision","stop_signal.hddm_thresh","stroop.hddm_drift","stroop.hddm_non_decision","stroop.hddm_thresh","stroop.stroop_hddm_drift","threebytwo.cue_switch_cost_hddm_drift","threebytwo.hddm_drift","threebytwo.hddm_non_decision","threebytwo.hddm_thresh","threebytwo.task_switch_cost_hddm_drift","tower_of_london.avg_move_time","tower_of_london.num_extra_moves","tower_of_london.num_optimal_solutions","tower_of_london.planning_time","two_stage_decision.model_based","two_stage_decision.model_free","two_stage_decision.perseverance","writing_task.neutral_probability","writing_task.positive_probability"
"s005",3.2219459607,-1.2353535205,0.2858001018,1.5802757936,-0.1048211075,1.65,36.3636363636,0.2666666667,30.5,0.3333333333,-0.2386050452,-0.8756574645,4.6880815201,0.3156260652,2.8005005807,-0.6367930052,-7.55021885097517,-5.48118350359891,4.6432531832,0.2898753245,1.8530296186,0.8333333333,0.1666666667,13.4166666667,0.275,3,-0.00689,-2.9166666667,13.0416666667,0.146789064557,3,-0.006314534372,-3.7905236908,0.2518581217,1.2169609029,9.2,8,0.9225084846,0.508567431,1.4877112641,-0.8384178166,0.1666666667,0.823035159,1.3286853978,-0.3884511935,3.7790742791,2.2421697068,0.2772592012,1.4078431576,-0.5306698657,2.958409813,174,59.8991114415,0.8568707964,6,0.7475608826,0.0009119887,0.9208297729,0.001067059,0.5555555556,-3.66467488645178,-3.66467488645178,-2.74838415223502,0.2962962963,-1.0230279236,-0.3427065898,2.6380349743,0.4417713786,2.2031196901,-0.4071852548,344.1666666667,-1.6635020625,3.1641535645,0.339144801,1.3163141256,7,114,1.140189779172,0.6320956121,14,1.8841434459,0.4898497802,1.9390455588,-0.4071405012,3.4031935044,0.3600632252,1.895510832654,-0.7920240361,0.4711779449,0.0444949349,-0.0003892653,3.7528587483,0.649612197,0.3390780764,3.4125995319,0.2732492438,2.1606167319,-0.3263593706,302.5,6.5,5.1,432.6666666667,-0.6135537459,2.5455063204,0.3125890902,0.503775640350149,249.6666666667,-0.5274789548,0.2012714635,3.3537088563,0.3666391086,1.5525369579,4.6454388612,0.2855291085,2.7520885405,-0.861271144,-0.1833372782,1.8635204883,0.3476234429,1.5102835265,-0.1113034501,1915.6111111111,19,7,2585.75,0.6655376583,0.1035568902,1.3551677416,0.8868519986,0.4059011843
"s007",2.048628942456,-0.579942042264,0.11050509283,2.244724932091,-0.234997931726,1.814,19.0769230769,0.1333333333,14.8,0.1666666667,-0.1569554055,-0.7406774934,1.9849355572,0.3583669581,1.8619335275,-0.3276179807,-7.46093827674933,-7.0738052588364,2.957418047,0.3365638448,1.5006737105,0.1666666667,0.6666666667,4.8333333333,0.0333333333,0,0.0013333333,-0.4166666667,13.0416666667,0.2115478865,1,-0.0035254237,0.8082499489,0.429502064,0.5991357069,9.6,6.4,1.382056542502,0.464606750352,1.935029649779,-0.451770021668,0.3611111111,-0.7224910561,-0.6916750664,-0.5694639092,2.4879073189,1.4183035434,0.0073039587,2.4547944503,-0.7539398563,2.6397773564,98,25.7627506452,0.3968411315,9,0.8018417358,0.0007886168,0.8767990112,0.0012070223,0.7777777778,-2.74838415223502,-2.74838415223502,-3.66467488645178,0.2592592593,-1.2969105727,-0.0654630269,1.0036962042,0.4219556757,1.6280367989,-0.2494007905,391.196666666672,-0.727493221668,2.367125047859,0.335784960586,1.548921261166,28.275,45.09,8.6329234757,0.5112262406,10,1.1088650771,0.6256111094,2.3448289382,-0.3709801145,2.1878737224,0.5067662782,1.7725488565,-1.4090511478,0.3291457286,0.0048551336,0.0016277797,5.612316094266,0.3407597433,0.017106545,3.099471623,0.3406360844,1.519400982,-0.6504755013,388.185,5.1,5.4,395.8333333333,-0.3857202127,1.5043430639,0.36150136094,0.427332416991437,357.1666666667,-0.0651687148,0.0390432528,1.8862597221,0.3968554838,1.4531623678,1.8524860688,0.5140717127,2.0241798015,-0.6720965806,-0.1601749503,0.4417057924,0.0123059416,2.0461499936,-0.0938494931,2282.5555555556,-5,8,6112.1666666667,-0.300552597288,-0.062055138413,-0.357729185314,0.8621573749,0.6821860019
"s009",3.0970605446,-0.5486772344,0.2299023514,1.3427282396,-0.0738163,2.7,28.2608695652,0.2333333333,19.1304347826,0.2333333333,-0.2779446461,-0.5728704276,3.3015766522,0.292945196,1.7459494047,-0.7537080181,-7.57231461396333,-6.21923071627597,3.1284280599,0.2597757354,1.189790614,0.8333333333,0,13.7083333333,0.064999999998,2,-0.0118333333,-6.4583333333,5.25,0.1141843972,2,-0.0049527187,-2.4048463357,0.1593423691,1.1747285803,6.8,4.8,2.293007241,0.4373571403,1.8944338549,-0.0538824145,0.7222222222,-3.5513894085,-1.6405406377,-0.5814270014,3.384397236,3.163338477,0.1864257216,1.302895473,-0.7017421781,4.5619233948,222,25.7627506452,0.3968411315,9,0.6171309948,0.0017705286,0.985546875,0.0028862039,0.7222222222,-5.55373019036174,-7.82404601085629,-4.62558118030196,0.5925925926,-1.2292233558,0.1387597893,2.478378635,0.3817798647,2.1013699178,-0.2050791238,199.3333333333,-0.5926739334,2.5884572388,0.3393187487,1.6731062272,-8.5,73,-8.3796570589,0.6676807246,6,1.2948427386,0.4862638407,2.01770054,-0.5137264593,3.300868631,0.3462925324,1.5985183881,-1.3978101498,0.6073170732,0.1462469851,-1.30054e-05,6.9375245997,0.696987179,0.2420927697,5.1818480578,0.2494191042,1.5807747326,-0.4686010787,268,6.8,6.4,225.1666666667,-0.3631147912,1.1274627297,0.3644068809,0.412547186815855,186.5,0.1853209948,-0.0784144692,3.347957322,0.3142717439,2.7181765261,3.1034274968,0.3401108224,2.8683643143,-0.8221880878,-0.2985729378,2.5852188173,0.3182228233,1.7448687731,-0.0212802727,1251.3159722222,5,11,3222.6666666667,-0.8205932872,0.1293611142,-0.4664523296,0.1779068063,0.4556380051
"s011",1.6352025531,-0.0568993132,0.0921451162,1.5034728373,0.0227164293,3.2,40.5555555556,0.4,18.3333333333,0.3,-0.5195280193,-1.1461871939,4.0051822669,0.3494933714,2.0902480367,-1.0811644297,-7.51379353381679,-5.2771501609086,4.5490469247,0.2592689327,1.3708681514,0.3333333333,0.3333333333,5.3333333333,0.0583333333,1,-0.0026666667,-1.75,6.9130434783,0.130866426,3,-0.0025487365,-3.7931923672,0.1939300298,0.9515309845,7.9,9.8,2.1911026072,0.3178231849,2.4823382877,-0.5789731372,0.370277777776,-4.6298022586,-3.2555459986,-0.7548590441,3.810416849,4.2544761131,0.2158525689,1.7324960915,-0.7625664513,3.9332268227,265,1.2928725743,0.0438060331,4,0.7708899498,0.0016033788,0.8675750732,0.0018161934,0.5833333333,-3.91155684205299,-3.73771782524775,-3.20385211639936,0,-1.0157548629,-0.0165419054,3.0535484848,0.3451473786,2.8744329676,-0.4007144205,259.5,-1.4707110221,4.269200989,0.3002630453,1.8550538991,-8,84,1.0782063195,0.2325498095,12,1.7204366773,0.3767910015,2.4647612029,-0.4583250792,3.8941944104,0.4141121497,1.5708540299,-2.0534656912,0.539408867,0.0906142665,0.0006971993,6.536819127,0.5234334218,0.2339434556,3.8319011279,0.3195805826,1.2419639643,-1.2912564443,316,5.7,6.3,193.3333333333,-0.4457807703,3.591950742,0.3294772356,0.859267822758909,240,-0.1371744593,0.7301968434,4.2277519395,0.3246885949,2.1397221782,3.4694053618,0.3405149925,2.011238806,-1.579930104,-0.1616499476,3.5986378192,0.3461173554,1.4654196284,-0.0751798239,1371.7153679654,11,8,2094.9166666667,-0.1869713624,-0.697036806,-0.5990588585,0.1925341667,0.2404360379
"s012",2.5648458999,-0.3556323376,0.2442352326,2.410488954,-0.3558080779,3.25,44.1578947368,0.3666666667,24.5652173913,0.2333333333,-0.5759323524,-1.0304346091,3.7746984739,0.2882410864,2.6320223541,-1.4140814244,-6.74499250421704,-4.59119963024749,3.1001139172,0.263110112,1.4723011738,0.8333333333,0.1666666667,5.6666666667,0.0583333333,2,-0.0086666667,-2.9166666667,3.9583333333,0.1687969925,3,-0.0115213033,-1.9323308271,-0.3553490939,0.7137797811,8.4,8.6,2.0294991603,0.4980838417,1.9007781359,-0.4041254576,0.1666666667,-0.0322700361,0.3472228413,0,5.3201349372,3.8606987847,0.0461279477,2.529235088365,-1.0820225484,2.8201893119,190,10.925098711,0.2565783653,8,0.6499261856,0.0010140799,1,0.0020015881,0.6666666667,-3.70208381247154,-2.74838415223502,-2.74838415223502,0.1851851852,-0.8258457159,-0.2864298291,1.5045668181,0.3616912997,1.9943143119,-0.3529055515,347.1666666667,-0.9295614498,2.54732241,0.2865284966,1.5183274183,-7.5,81,27.3376402867,0.6264483412,15,1.6912145367,0.5060721869,1.6264422517,-0.2979546896,3.217508828,0.4498867571,2.2113612713,-1.6656109169,0.4617283951,0.0663494216,-0.0025325419,11.4537029351,0.7105333401,0.175437976,2.4540620736,0.2844571863,1.5534267475,-0.6845615609,338,5.9,6,303,-0.6959054875,2.9907453766,0.3121216338,0.37882951270194,275.6666666667,-0.3250218167,-0.0565604632,2.1724389472,0.3161649163,1.4172115882,2.5147206809,0.365503314,2.4463435848,-0.9946418625,-0.0700734492,2.1542748575,0.3139852058,1.6506309526,-0.0201445406,2230.165,3,8,4731.5,-0.0919935404,-0.1003198587,-0.1073000616,0.2365442544,0.1860625235
"s014",2.6823143969,-0.9140736568,0.0497211325,2.3813001651,-0.4867880488,1.5,16.1481481481,0.1,12.1538461538,0.1333333333,0.0532525388,-1.3775873145,0.9505425072,0.367866262194,2.1204276863,-0.1114031876,-6.67541891137926,-4.76695696004767,2.9980456922,0.3124251999,1.33518981,0.3333333333,0.5,8.0416666667,0.0291666667,1,-0.0078333333,-3.125,4.25,0.1512254902,3,-0.0077058824,-2.6666666667,-0.1140992804,0.7487803391,7.2,5.7,1.6373662967,0.3350488213,1.945578279,-0.5816564557,0.218333333339,-1.3547708466,-0.6869358149,-0.3446865999,2.6242163319,1.6830017792,0.0650863438,2.0218046777,-0.3258414813,3.0597768827,168,46.0626954627,0.8291899447,10,0.7172293186,0.0011741687,0.5847579479,0.0008385868,0.5277777778,-1.84443972711021,-3.36393993325758,-2.94507945463784,0.037037037,-1.0694978013,0.4931824886,1.3094434755,0.3507378949,1.6498064145,-0.3224034506,348.1666666667,-0.8049672017,2.2056955869,0.2260460476,1.4166668371,46.5,24,0.879115874940999,0.2956460299,6,1.0482283428,0.3992553642,2.0402497582,-0.3751815184,0.8224128196,0.4352545958,1.6978728551,-0.7189824996,0.3282828283,-0.022379082,-0.0005876646,4.769002841738,0.3315461544,0.0099754924,1.9393576759,0.3187141422,1.7693211198,-0.8659533693,315.5,6,4.7,322.896666666667,-0.625130286955,2.206046690566,0.315566602997,0.464390419177467,224.8333333333,0.2935131246,0.2726999378,2.9449342238,0.2749222179,2.056288519,2.5584888106,0.335603041,1.9787536354,-1.0720477616,-0.1667390594,0.8570701789,0.0851349918,2.0309029179,-0.0624997992,2810.0145833333,9,5,4402.6666666667,-0.5053968396,-0.2140226029,-0.7849978324,0.7998899836,0.3405855003
"s015",2.6684115662,-0.575550655,0.0837123978,2.2040498984,-0.2522561277,2.55,44.0666666667,0.5,24.5,0.3333333333,-0.6102391887,-0.8684694725,4.4932150488,0.3025261822,2.5530471355,-1.2556574172,-6.76135109737498,-4.7762888580882,3.4938112692,0.2852792745,1.4059313375,0.5,0.3333333333,8.375,0.1625,2,-0.0025,-7.2083333333,6.25,0.1385714286,1,-0.0017428571,-3.6142857143,0.0795053811,0.7646721157,6,5.5,1.3836953595,0.3895570682,1.7777862035,-0.2890229054,0.1111111111,-1.2141491289,-0.3972294725,-0.6385366708,4.0430615957,2.7479383582,0.0205818697,2.9968133939,-0.9928100529,3.4727396196,218,7.6113128603,0.3752535483,7,0.6677876472,0.0014048019,0.9998046875,0.0016761451,0.5833333333,-2.74838415223502,-2.06733925704992,-1.84443972711021,0.1481481481,-1.221292514,-0.4643658168,1.9913234464,0.3732107239,1.6665590856,-0.3644057561,298,-1.9980664469,4.102823059,0.3097917104,1.6468052681,0,84,1.544843004528,0.5386307889,8,1.2673114453,0.449363332,1.9965959121,-0.1396429958,3.1698983906,0.4042988355,1.5430229359,-1.3360103779,0.512254902,0.0757545751,-0.0039892364,7.4255555812,0.6590349803,0.2210203987,1.8011813172,0.2759115679,1.334443884,-0.6495698478,288.5,6.8,6.6,287.5,-0.7291960219,3.1708918868,0.3573290747,0.192077105642036,230.6666666667,0.1752637835,0.3164851212,3.4149056331,0.3234072297,1.4770757483,2.1223584749,0.3154242528,1.9567317627,-0.8213758903,-0.2245791628,1.4695143696,0.3264845785,1.503143944,-0.0601994616,1979.000617284,21,7,3214.75,0.2061693243,0.6995693651,-0.4913984703,0.185847204,0.3486871557
"s017",2.5150619015,-0.6861022303,0.0305980239,2.4538931059,-0.3476992789,2,37.5,0.2666666667,21.3333333333,0.1,-0.7829517895,-0.8316416485,4.1351727494,0.326280245,2.3293010204,-1.5459861748,-9.09292629326493,-8.53418676779281,5.4899196032,0.2445175724,2.2259081635,0.6666666667,0.1666666667,9.7083333333,0.1041666667,3,-0.0111666667,-2.125,7.9583333333,0.1894025605,3,-0.0077980085,-1.8536882747,0.1836432283,1.3700064956,9.3,7.6,2.376438607,0.4437598449,2.0158039548,-0.4833576209,0.8333333333,-0.3234661455,0.0568083574,-0.7548590441,3.810416849,1.731368265,0.1242157686,2.4069903433,-0.7625664513,3.9332268227,246,0.0331595576,-0.6040336065,3,0.767848587,0.0024491452,0.98984375,0.0027049545,0.5833333333,-8.51126430206736,-8.51126430206736,-8.51126430206736,0.962962963,-0.9256563694,0.192103516,1.8203911163,0.4337782148,1.9892642171,-0.2817044012,282.6666666667,-1.4974487872,3.5176906261,0.2107626086,2.5468367071,-14.5,160,4.323689636037,0.58484855,10,2.1278965136,0.5215742733,2.0519751304,-0.431513435,3.213385385,0.4143675178,1.6984202829,-1.7929572448,0.4513715711,0.0684406925,0.0022073499,7.7285297787,0.4600803279,0.2211130595,3.4380124575,0.2901340895,1.7275534541,-0.5386650206,310,6.5,5.6,251,-0.8268537956,3.4464522071,0.3002726444,1.01325717789385,246.8333333333,-0.1988326132,0.5963395283,3.2594139201,0.3372369636,1.7830277046,2.8754247073,0.4142243153,1.9755402873,-1.5089069025,-0.063121043,2.5524576196,0.3389625792,1.956496326,-0.0635907121,1481.6893939394,1,10,3958.5,1.2207520206,-0.1697443685,0.8160758892,0.185612246,0.1743021071
"s026",2.54905278,-0.5814408779,0.0758642148,2.2340419904,-0.3020448046,2,11.375,0.2,21.2083333333,0.2,-0.2059321111,-0.7528145994,4.1114747082,0.3263967478,2.1537347517,-0.5935874987,-8.68637071079016,-6.90505054008841,5.8130493965,0.292121731,1.367221419,0.6666666667,0.1666666667,13.25,0.025,1,0.001,-2.75,10.0833333333,0.0009003215,0,-0.0002593783,-0.0739549839,-0.2888881723,0.9523625263,9.8,7.1,2.08039672,0.4070692169,2.0238878988,-0.3293883239,0.8888888889,-0.7592488054,-0.5151992825,0.1910395678,4.9380558016,5.1563495069,0.4038723739,4.1870624852,-0.6433888409,3.1838477634,206,10.925098711,0.2565783653,8,0.5657946467,0.0019503946,1,0.0027379268,0.4444444444,-7.3659006955689,-7.3659006955689,-6.44960993207197,0.7407407407,-0.9224298773,-0.1962309249,2.1253426823,0.3727987333,1.6453479135,-0.2387689533,307.434999999997,-1.296123331253,3.263792487261,0.313271507016,1.532380755921,16.39,78.95,1.9133373883,0.57614781,13,1.2792134494,0.480176833,1.7246488418,-0.2507047458,2.7531093576,0.4215034503,1.8612245849,-1.4551522484,0.4791154791,0.0409216468,0.000895127,5.9550452579,0.788995314,0.2572453449,4.3575659429,0.279458516,1.3646151089,-1.0008217899,272.5,6.1,4.5,324.1666666667,-1.2052412675,3.0723163063,0.319901273,0.15778016159674,191.1666666667,-1.3791147822,-0.3864050546,3.4422423066,0.3363943714,1.5125399898,2.9799179546,0.3189273806,1.8470071813,-0.7870600608,-0.2465459213,1.9532359005,0.3317311904,1.7324772518,-0.1056189653,1949.3041666667,15,7,2732.1666666667,0.233660593,-0.0859267864,0.215783027,0.1857878768,0.1482208463
"s027",3.1133139564,-0.4751292383,0.2401609812,1.6040867137,-0.1128546831,3.25,31.1904761905,0.3,24.4444444444,0.4,-0.342719247,-0.9978654551,4.4991392511,0.323860152,2.54573902,-0.8995664706,-5.10629544413302,-4.68246056549829,4.9164151825,0.2732613093,1.5932298217,0.6666666667,0.1666666667,15.9583333333,0.059500000003,2,-0.005501666671,-1.2083333333,12.0416666667,0.1848506401,1,-0.0021463117,0.1062792115,-0.1627840879,0.6051033191,8.3,7.1,1.8662358462,0.4119379467,1.8944654836,-0.4819748837,0.240833333332,-0.1603298942,0.1642908686,0.2022392566,4.9156564241,3.211620336,0.0809584949,2.423114219176,-0.8075379761,4.3503317988,162,59.8991114415,0.8568707964,6,0.6397562981,0.0015567866,0.712187767,0.0018455326,0.6111111111,-2.06733925704992,-2.74838415223502,-1.84443972711021,0.1481481481,-1.0713147352,-0.2734022129,2.408898064,0.3394453685,2.4419025367,-0.3258218933,232.6666666667,-1.0787028693,2.4562047865,0.1936814398,2.3839086915,-37,129,11.5278362607,0.3198007084,10,1.690129554,0.5580540955,1.9030610555,-0.278486894,2.8234619457,0.3971735739,2.1869031762,-1.9816866948,0.5195121951,0.1219484205,0.0003666032,4.2432722364,0.4280876224,0.3095563608,2.6357543694,0.2867529114,1.4658111685,-0.552433107,302.5,6.5,5.5,278.136666666663,-0.733787351147,2.923138706148,0.319523798452,0.631111649409724,247.008333333333,-0.16407596454,0.207622865536,3.165743301132,0.313756008056,1.810661953132,2.9436440904,0.2976529285,2.1658712291,-1.0592360656,-0.2630544668,1.6167529924,0.2387700701,1.9854480792,-0.0166364527,1881.7376190476,15,6,2627.5,-0.7785218353,0.2722093521,-0.5017748945,0.1994604062,0.3939701676
