,adaptive_n_back.hddm_drift,adaptive_n_back.hddm_non_decision,adaptive_n_back.hddm_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_loss_percent,attention_network_task.alerting_hddm_drift,attention_network_task.conflict_hddm_drift,attention_network_task.hddm_drift,attention_network_task.hddm_non_decision,attention_network_task.hddm_thresh,attention_network_task.orienting_hddm_drift,bickel_titrator.hyp_discount_rate_large.logTr,bickel_titrator.hyp_discount_rate_medium.logTr,choice_reaction_time.hddm_drift,choice_reaction_time.hddm_non_decision,choice_reaction_time.hddm_thresh,cognitive_reflection_survey.correct_proportion,cognitive_reflection_survey.intuitive_proportion,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.hddm_drift,directed_forgetting.hddm_non_decision,directed_forgetting.hddm_thresh,directed_forgetting.proactive_interference_hddm_drift,discount_titrate.percent_patient,dot_pattern_expectancy.AY-BY_hddm_drift,dot_pattern_expectancy.BX-BY_hddm_drift,dot_pattern_expectancy.bias,dot_pattern_expectancy.dprime,dot_pattern_expectancy.hddm_drift,dot_pattern_expectancy.hddm_non_decision,dot_pattern_expectancy.hddm_thresh,go_nogo.bias,go_nogo.dprime,hierarchical_rule.score,holt_laury_survey.safe_choices,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.hyp_discount_rate_large.logTr,kirby.hyp_discount_rate_medium.logTr,kirby.hyp_discount_rate_small.logTr,local_global_letter.conflict_hddm_drift,local_global_letter.hddm_drift,local_global_letter.hddm_non_decision,local_global_letter.hddm_thresh,local_global_letter.switch_cost_hddm_drift,motor_selective_stop_signal.SSRT,motor_selective_stop_signal.hddm_drift,motor_selective_stop_signal.hddm_non_decision,motor_selective_stop_signal.hddm_thresh,motor_selective_stop_signal.reactive_control,motor_selective_stop_signal.selective_proactive_control,probabilistic_selection.positive_learning_bias,psychological_refractory_period_two_choices.PRP_slope,ravens.score,recent_probes.hddm_drift,recent_probes.hddm_non_decision,recent_probes.hddm_thresh,recent_probes.proactive_interference_hddm_drift,shape_matching.hddm_drift,shape_matching.hddm_non_decision,shape_matching.hddm_thresh,shape_matching.stimulus_interference_hddm_drift,shift_task.acc,shift_task.learning_rate,simon.hddm_drift,simon.hddm_non_decision,simon.hddm_thresh,simon.simon_hddm_drift,simple_reaction_time.avg_rt,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.SSRT,stim_selective_stop_signal.hddm_drift,stim_selective_stop_signal.hddm_non_decision,stim_selective_stop_signal.hddm_thresh.logTr,stop_signal.SSRT_high,stop_signal.SSRT_low,stop_signal.hddm_drift,stop_signal.hddm_non_decision,stop_signal.hddm_thresh,stop_signal.proactive_SSRT_speeding,stop_signal.proactive_slowing,stroop.hddm_drift,stroop.hddm_non_decision,stroop.hddm_thresh,stroop.stroop_hddm_drift,threebytwo.cue_switch_cost_hddm_drift_100.0,threebytwo.cue_switch_cost_hddm_drift_900.0,threebytwo.hddm_drift,threebytwo.hddm_non_decision,threebytwo.hddm_thresh,threebytwo.task_switch_cost_hddm_drift_100.0,threebytwo.task_switch_cost_hddm_drift_900.0,tower_of_london.avg_move_time,tower_of_london.num_extra_moves,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,writing_task.neutral_probability,writing_task.positive_probability
s110,0.7493598009,0.2070594339,1.1678508593,1.4,29.7391304348,0.2333333333,17.0833333333,0.2,-0.0518920643,-0.7308988853,3.6326011365,0.2676881954,2.0322610932,-0.7779650137,-4.593403723123269,-3.2789127733047176,3.2417723674,0.25418258720000003,1.0448390698,0.5,0.1666666667,9.9166666667,0.025,2,-0.0053333333000000005,-3.8333333333,20.7916666667,0.1693246371,1,0.0008950137000000001,-5.8169577109,0.2107388965,0.8631430465000001,5.1,4.3,1.7275829274999999,0.3530280202,1.3228192569,-0.277309902,0.0277777778,-1.8829931160000002,-1.1746564036,-0.7431748626,3.0696269408,2.1024771343,0.0635533056,1.658324734,-0.6529863250000001,2.9892151171,95.0,9,0.6178581238,0.002018817,0.6774986267,0.0017493105,0.4166666667,-3.664674886451777,-1.8444397271102142,-1.3862943611198906,-1.0887254124,0.3971720574,0.1963315504,1.4123463177,0.11779000810000001,,,,,,,,0.5003159652,7,0.6077442045,0.3048108999,1.5090831452,-0.3011766481,2.6846289038,0.3220830571,1.3959493424,-2.5310647152,0.48166259170000003,0.0040683235,2.0078560166,0.2194381468,1.0489332193,-2.2030877784,286.5,5.3,5.1,,,,,,,,,,,,2.0257315035,0.3048479804,1.4496269475,-1.7638837937,,,,,,,,2326.287037037,0,9,5610.5,0.8923197916000001,0.33001776920000003
s111,1.0458972603,0.0541562181,2.1648316433,2.55,26.4,0.1666666667,19.3181818182,0.2666666667,-0.6480279066,-0.9539280871,2.9496076768,0.3669940271,1.7348574146,-0.315947433,-1.1150776529483766,-1.7822172509484262,4.5091635535,0.2642840078,2.0808639462,0.6666666667000001,0.33333333330000003,9.25,0.1833333333,0,0.0016666667,1.5833333333000001,15.3333333333,0.0352380952,0,0.0036238095,-0.48095238100000004,-0.0639244094,1.0682924593,8.5,10.6,2.9987045698,0.3381246217,2.0438023578,-0.3219323868,0.5277777778,-2.1206367413,-0.749301133,-0.3536410916,3.775523272,1.739223948,0.0067151706000000005,2.4547052766,0.31905308400000004,5.327301583,113.0,8,0.6233879924,0.0008840755000000001,0.8870090485000001,0.0015282755000000001,0.5833333333,-3.664674886451777,-3.664674886451777,-4.625581180301964,-0.9631330426,0.5843706546,0.49832645270000003,1.8002668265000001,-0.3469228238,,,,,,,13.5430138153,0.76780885,12,1.2215645914,0.4736811936,2.0091531653,-0.1843952336,3.0154270405,0.008580938100000001,4.5330953038,-0.9462276988,0.5940594059000001,0.058355268200000004,2.3690736451,0.31581514450000003,1.797108686,-0.5870314268,307.5,6.1,5.5,205.8333333333,3.9160711064,0.2685007,1.184671903809423,350.6666666667,275.5,2.6771937912,0.2565500852,1.9526318277999999,-75.1666666667,-18.2033392652,2.3840488483,0.3164098716,1.9472731345,-1.1330684557,-0.0444792377,-0.8580028428,1.3920132719,0.31926037820000003,1.66417955,-0.5258344781000001,-0.0686449175,1865.25,3,10,2895.5,0.2073175136,0.25157822550000003
s112,1.0673616376,0.2386338865,1.6658359967,2.15,31.2272727273,0.2666666667,24.0,0.5333333333,-0.4132014316,-0.6700578353000001,4.2769427645,0.2827601101,2.3493384387000003,-0.8838158977,-5.887811015518848,-2.7384062211274225,4.3311949396,0.1954962604,1.6703112802,0.5,0.1666666667,6.2083333333,0.28750000000000003,3,-0.013166666700000001,-1.2083333333,9.125,0.3710526316,3,-0.0119298246,-3.149122807,0.0876522336,1.2536082727,8.2,7.6,2.5844758464,0.4568802558,1.9882997535,-1.5136133988,0.0,-0.4600153429,0.3017927416,0.0,5.3201349372,3.4385820211,0.0847368656,4.2560038198,-1.070541321,3.8243251091,211.0,9,0.6868490219000001,0.0018928788,1.0,0.0026576173000000002,0.47222222220000004,-1.8444397271102142,-2.067339257049917,-1.3862943611198906,-0.7550110453000001,2.2441532182,0.3029486617,1.9763338921,-0.5750475844,253.6666666667,3.045153576,0.2855447378,1.1699012844,53.0,-4.0,-4.4643476582,0.4396209612,15,1.6074817009,0.39882093750000003,2.4355623118,0.2437948336,4.0035616809,0.3936035915,1.9820581011,-1.3783188633,0.47549019610000004,0.0643448087,3.3380042592,0.213200671,1.6453665046000001,-0.1696148073,238.5,7.5,5.6,196.5,2.3753826749,0.2754563712,0.23227166661703233,182.3333333333,198.8333333333,2.8034243232,0.2358477783,1.4294272942,16.5,-72.4875774766,3.2006884309,0.27254488520000003,2.3967696275,-1.0661360173,-0.5559979418000001,-0.0604155605,1.8900655629,0.2699279661,1.977025339,-0.5105618759,-0.5792676513,1093.7513257576,25,7,2776.6666666667,0.4930716828,0.3385289674
s121,1.2574738388,0.37300093710000004,1.5858144053,2.95,33.5,0.33333333330000003,28.0,0.33333333330000003,0.1711107849,-0.8249730936,2.9136684203,0.4331512688,1.9186144325,-1.0590164805,-8.341249848920626,-6.734813407557127,3.8157961537,0.2928933664,2.2742731844,1.0,0.0,8.0,2.359223927e-16,1,-0.0083333333,0.0833333333,17.25,0.1605633803,2,-0.0072676056,-1.9647887324000002,-0.035811909600000004,0.9684031065,7.7,8.5,1.6227734185,0.5483697338,1.9732144291,-0.11137076080000001,0.9444444444000001,-3.1158160664,-0.5367126950000001,-0.4424163399,3.1063759132,1.5555193761,0.0547503445,2.0527593095,-1.0082628,2.672669815,210.0,6,0.8113300324,0.0012032597,1.0,0.0015905436,0.5833333333,-6.449609932071972,-7.365900695568905,-7.824046010856292,-0.3790025332,0.9781250161,0.42562440560000003,2.0472241502,-0.2037597226,341.6666666667,2.122151031,0.3942916234,1.185864658,-46.0,44.0,,0.7371513646000001,12,1.4855540978000001,0.5728102434,1.7270766417,-0.7587083484,2.3732323225,0.5148393688,1.7226704810000002,-0.8584620937,0.4151898734,0.02236787,2.5549823841,0.4014772603,1.8387144757,-0.3679242965,393.5,6.5,4.6,428.1666666667,2.3875800981,0.3744256213,0.2846909051930321,360.5,416.3333333333,1.8288500875,0.2901297988,1.5707864274,55.8333333333,42.6439982666,1.5925959127,0.5350225602,1.4128137155,-0.5413439164,-0.07174398750000001,0.040373902600000004,1.3425191733,0.3072583092,1.6669343768,-0.6298312751,-0.6440773175,1770.3700396825,6,9,3042.75,0.185026834,0.1959866143
s128,1.6001585862,0.25788526240000004,1.3538951738,2.55,28.6956521739,0.2333333333,21.8421052632,0.36666666670000003,-0.0712055939,-1.1153479702,2.9148236684,0.3970694576,1.6370374529,-0.7793758401,-5.520247429437237,-2.6944420420293036,3.4460152464,0.3153775672,1.2326479251,0.6666666667000001,0.33333333330000003,7.25,0.1,3,-0.004,-2.25,8.875,0.2900175131,2,-0.0076392294,-1.4827370528000001,0.5305493840000001,0.4510560637,7.4,6.2,3.5978434934,0.41961636010000003,1.5708846447,-0.8225100934,0.0555555556,-0.7396345817000001,-3.6636464326000002,-0.9389161248000001,0.1035391316,1.3205076070000001,0.3367945397,1.0718083519,-1.1652624446,3.6348828618,155.0,9,0.7680843353,0.0012677962000000001,0.8839675903,0.0015923411,0.5833333333,-2.748384152235016,-2.748384152235016,-1.8444397271102142,-1.5106962715,1.8101745535,0.5006669047,1.9318682926,-0.6204179768,380.1666666667,2.5313447861,0.3658313503,0.9325482125000001,30.0,14.0,-8.5778172494,0.6289838072,13,1.8038677548000002,0.4393386792,1.6690428412,-0.8401595934,2.5212353121,0.4244721683,1.5210956428,-1.4576343026,0.4485294118,0.0258807634,3.0904973156,0.3180937741,1.503785533,-1.4717518642,348.0,5.4,5.8,367.0,3.0504298697,0.3476436813,0.2136683017032751,312.6666666667,372.0,2.5940563405,0.34600845410000003,1.3464595062,59.3333333333,-21.2576500693,2.6677799672,0.3688581466,1.9728326783,-1.821200664,-0.6241762703,0.0159814275,1.758162924,0.4101208631,1.4247474632000001,0.045306110100000005,0.058724971300000005,1836.6759259259,1,8,7186.3333333333,0.8630164529000001,0.27840498950000003
s129,1.2190834053,0.2407676971,1.1843698644,1.55,32.2380952381,0.30000000000000004,20.5263157895,0.36666666670000003,-0.7096607095,-0.6244524416,3.6255422742,0.39206207460000003,2.1425952517,-1.0569255033,-6.9393431644213495,-7.982237552312426,4.2919939903,0.2992320822,1.31861077,0.5,0.1666666667,3.75,0.033333333300000004,2,-0.0103333333,-1.25,4.5416666667,0.1070460705,2,-0.006723577200000001,-1.7357723577000002,0.1316481415,0.34871618660000003,6.1,5.8,1.8774145842,0.5470319048,1.6273732512999999,-1.1421485845000001,0.6111111111,-0.9365974276000001,-0.3915964738,0.0,5.3201349372,3.0344819172,0.2671995531,2.9977898257,-1.0170844173,3.9312389163,206.0,9,0.8792638779,0.0013619672,0.8770751953,0.0013185733,0.5555555556,-7.824046010856292,-5.553730190361736,-7.824046010856292,-1.4851559912,1.9091257949,0.41572127940000003,1.4840212761,0.0671671474,308.6666666667,2.8261535622,0.3176078594,1.5457832427,19.0,68.5,,0.5055458483,10,1.665075183,0.4744005261,1.9533527855,-0.36841392230000003,3.035375446,0.4270930257,1.3308668708,-1.0098800146,0.4191176471,0.09406636010000001,2.9686872111,0.3144267085,1.4443436194000001,-1.172705709,366.0,5.9,5.6,347.8333333333,2.8403571493,0.2950087416,0.4208225921423054,281.5,286.6666666667,2.6816793489,0.3551196156,1.2414341204000001,5.1666666667,73.913015873,1.8191593767,0.36964431070000003,1.5852751005,-0.8629826116,-0.6140351621,-0.5153498266000001,1.1125029736,0.37673844710000004,1.4429610046,-0.5650120842,-0.7535014204,1940.1,13,7,3584.75,0.8635762622,0.3395718505
s142,1.2740917436,0.16128744250000002,1.7067947804,2.25,18.0909090909,0.2666666667,18.9583333333,0.2,-0.5539264001,-0.27406948200000003,3.8714620826,0.348548852,2.3152580404,-0.1979147152,-10.019504648382483,-6.507154248007052,3.9867990238,0.2551089767,1.8370107368,0.5,0.5,7.5,0.45833333330000003,3,-0.006666666700000001,-2.5,5.7916666667,0.4375,1,0.0007142857000000001,-0.2916666667,-0.0966466601,0.6313096402,6.9,5.2,1.5810446439999999,0.3377753731,1.6542227248999999,-1.1465940199,0.0277777778,-1.1293499539,-0.9404706203000001,-0.5629734621,4.194188013,2.9011508913,0.0099261539,3.0753050843,-0.5400116798,3.2151644074,212.0,9,0.7684188843,0.0024697789,0.9909179688,0.0022422898,0.5277777778,-1.8444397271102142,-4.625581180301964,-1.8444397271102142,-1.1541207588,1.4042304125,0.0897165433,2.4745506893,-0.0825726678,259.8333333333,3.4561857467,0.2626750259,2.1261421601,33.5,32.0,,0.4560966407,7,1.5170060430999999,0.4514842001,1.793628323,-0.3830999845,5.0224649954,0.3685572776,2.3480213917,-0.707638969,0.3613861386,0.024614505300000002,1.9269896219,0.3089038552,1.628939573,-0.035062169500000004,317.0,6.4,5.1,263.5,3.3695389093,0.3495370788,0.9437796436220902,232.0,235.6666666667,3.2745062069,0.3687015912,1.9241485063,3.6666666667000003,35.1833413926,2.9990827936,0.3557099374,1.9123189775,-1.83398607,-0.8761801651000001,-0.1635189793,1.1001998094,0.1406225568,1.8440668137,-0.2671144747,-0.3012409777,1470.8263888889,4,9,3968.1666666667,0.8598967579000001,0.3567945394
s145,1.1038859128,0.2431540338,1.5130822094,1.9,32.380952381,0.30000000000000004,33.4210526316,0.36666666670000003,-0.4133687983,-1.077502168,2.2713297235,0.3139124956,1.6434832408000002,-0.4074693204,-6.551398205558884,-5.04979546708213,3.2703455263,0.228090379,1.1490202906,0.8333333333,0.1666666667,8.0,0.058333333300000005,2,-0.0053333333000000005,-2.1666666667,15.2916666667,0.09781323880000001,1,-0.0039125296,-2.6052009456,0.0321160231,1.0251965752,7.2,6.9,1.8239879726,0.0349059965,2.5320890794,-0.1155653727,0.2222222222,-4.007950195,0.6163806894,-0.0239686552,3.1161783991,2.2240207387,0.2254203022,1.0165365824,-1.5092602536,2.9468872438,120.0,9,0.8040359497,0.0011578557,0.9466796875000001,0.0013565214,0.4444444444,-2.748384152235016,-3.664674886451777,-3.664674886451777,-0.7257281615000001,1.3996577981,0.4279054291,2.0314605451,-0.2427734934,,,,,,,,0.5746654042,8,1.4955675196,0.670182036,1.8945340970000002,-0.3703523452,2.2871169418,0.131766757,2.8531951015,-0.1647312782,0.43137254900000005,0.0442211301,2.8183089827,0.2538395133,0.9798768534000001,-1.6664447304,267.0,5.6,5.2,309.0,2.8351093442,0.2322193535,0.4316655435572092,,,,,,,,1.442889771,0.3308757121,1.4788372907,-1.2016751513,0.007751325000000001,-0.2527341326,1.2513564818,0.2045636706,2.0190211459,-0.6661865425,-0.7037684272,2264.2166666667,8,8,3378.3333333333,0.7981536578,0.5753656030000001
s149,1.0537250896,0.33522267380000004,1.700595618,2.4,2.0666666667,0.0,2.1034482759,0.033333333300000004,-0.7020815961,-1.2859508143,3.4799607812,0.41333511570000003,1.8628118265,-0.2104710034,-6.822567797612691,-6.341435044729682,3.7732447553,0.2341876349,2.3884485171,0.8333333333,0.1666666667,13.0,0.058333333300000005,1,-0.005,-3.75,9.3333333333,0.0388095238,1,-0.0017809524,-4.6714285714,-0.0120842132,0.700048086,9.5,10.6,2.3414974666,0.3578406214,2.2118066009,-0.9805021982000001,0.6944444444,-1.9148154525,-0.2670192075,0.0,5.3201349372,3.8769030002,0.1161609161,3.587107237,-0.6385135918,3.4121682313,111.0,7,0.8774719238,0.0012237025,0.99453125,0.0017994426,0.6666666667000001,-6.449609932071972,-6.449609932071972,-5.553730190361736,-0.6334305109,1.2982134307,0.3726237414,2.0191810568,-0.7157889886000001,301.8333333333,3.4095495265,0.32687128520000003,2.0805225505,-27.0,52.5,,0.5103874254,10,1.9600365165,0.4954038021,2.3925701593,-0.4137947906,2.9764618091,0.5020950172,2.1687346104,-1.5519849654,0.4938875306,0.0411754757,2.759334643,0.31473407870000003,1.8901679733,-0.23722900130000002,,6.0,6.3,320.8333333333,3.6603171391,0.37954801060000004,0.7892282465642279,289.3333333333,285.6666666667,4.1245162923,0.29801719730000004,2.3402290727,-3.6666666667000003,-39.888825851600004,2.7161254207,0.4052374888,2.5007939682,-0.47193913400000004,-0.5631974029,-0.020885229,2.0235844178,0.3434530789,1.8457983667,0.050999620200000005,-0.4602653632,2201.0648148148,8,8,3865.25,0.8186787320000001,0.1980654319
s161,1.1644779619,0.2049040144,1.4504338679,2.05,27.692307692299998,0.1333333333,15.2173913043,0.2333333333,-0.6114037891,-1.0628376975,3.373551806,0.29233537870000004,1.7882034881000002,-1.3642580746,-8.036620301606721,-5.5749442401902485,4.0169015756,0.2295780359,2.2176906841,1.0,0.0,9.3333333333,0.125,2,-0.0116666667,-4.5833333333,10.1666666667,0.27372185990000003,3,-0.0212127078,-1.7423732379999999,-0.2206835762,1.0034187048,9.0,8.5,2.3281948128,0.4176440252,2.1416685531,-0.17010604140000002,0.47222222220000004,-1.9706312736,0.2665056351,0.4181320954,4.4838707464,2.5516455156999998,0.1842402558,2.102493031,-1.2494826612,3.4664424285,209.0,8,0.8344177246000001,0.0010259156,1.0,0.0016173992000000001,0.4166666667,-4.625581180301964,-4.625581180301964,-3.664674886451777,-0.9966490321,1.4916530832000001,0.3644689226,2.3215892201,-0.47150298770000004,400.3333333333,3.1812235277,0.2926660861,1.630891936,5.0,75.0,8.4523597064,0.48609942800000006,15,1.9080466685,0.5357941222,2.3252360354,-0.41916579460000003,3.0404674876,0.4195432443,1.4446256749,-0.8665637317,0.5452322738000001,0.0884913115,2.6758665037,0.23542140400000003,1.9459191659,-0.43919281060000004,258.5,6.9,5.4,243.8333333333,4.0759553419,0.3447508555,0.4837389951095982,230.1666666667,252.1666666667,2.9680132286000003,0.2955261857,1.6028789908,22.0,10.857978279,1.9601306387,0.3522334394,1.9013479370000002,-0.42233539480000004,0.1031378726,-0.5312721764,1.3836333001,0.32117858250000003,1.6153405308000002,-0.6263476038,-0.2547482809,1962.5470899471,19,5,3346.6666666667,0.17463895940000002,0.17774387060000002
s163,0.7703092808,0.038845596600000004,1.4688776487,1.4,31.8181818182,0.2666666667,31.0,0.33333333330000003,-0.36542202630000004,-1.3746698916,2.9054524535,0.3630944821,1.7871307216,0.1384060547,-12.343015565086535,-9.774148435230646,3.7689369856,0.11222599920000001,3.017341402,0.5,0.5,8.75,-0.0083333333,0,0.0003333333,0.25,7.9583333333,-0.0038585209,0,-0.00015434080000000002,0.040192926000000004,0.2996226365,0.5530397989,7.7,5.5,1.9374705928,0.4413732581,2.2454736853,-0.5725391267000001,1.0,-0.22598938000000002,-5.1805727652,,,1.7059790229,0.3072213205,1.2370312066,-1.2989724053,2.0912506043,225.0,7,0.7493646622,0.0017475993,1.0,0.0020383547000000003,0.6111111111,-6.449609932071972,-6.449609932071972,-7.365900695568905,-0.9350767392,1.5362013195,0.207819408,2.1811652894,-0.5210794946,261.0,2.5158074701,0.29695580400000005,1.3706305008,11.0,64.5,12.7711622326,0.5804353491,12,1.360288188,0.4621878166,1.9328915744000001,-0.4934551648,2.2441287687,0.4575769729,1.647054508,-1.8380823079000002,0.49264705880000004,-0.018924078400000002,2.7947243871,0.22889314530000002,1.7666251839,-0.5967177153000001,320.0,5.9,5.1,298.5,2.215887592,0.3553431819,0.3211268218441841,243.3333333333,282.3333333333,3.2090501349,0.3809834164,1.4684337664,39.0,66.6531791908,2.5667479223000003,0.3191858555,1.7917854239,-0.9008851773000001,-0.1197172242,-0.6195111657,1.716002743,0.35403334950000004,1.4189824823000001,-0.5644827450000001,-0.7224699389,2022.7592592593,18,7,3007.3333333333,0.2082347581,0.2604800138
s165,1.2191583436,0.4071697153,1.2643850536,1.45,43.1818181818,0.2666666667,27.5,0.33333333330000003,-0.5626320995,-1.1227015679,4.163696505,0.4212223251,2.1638791601,-0.4114013124,-5.246414205167172,-4.203337152551348,4.0639748693,0.285870513,2.0590702839,0.5,0.1666666667,9.7083333333,0.1375,2,-0.0071666667,-3.5416666667,4.0,0.045114942500000005,2,-0.0058866995,-1.117816092,0.2260862012,0.9701466607,8.4,7.9,2.659674249,0.4754220344,2.4359588925,-0.4202691387,0.1388888889,-0.8247101482,-1.0827758269,-0.797358023,2.9436955465,1.8971760585,0.2303968208,2.992347967,-1.070541321,3.8243251091,181.0,7,0.7208445072,0.0012282976000000001,0.9286346436,0.0017354671000000001,0.5833333333,-2.748384152235016,-1.8444397271102142,-1.8444397271102142,-1.3345912335,2.0039560015,0.4624599237,1.5957106325,-0.6070623992,439.6666666667,2.9477724586000003,0.3913060493,1.4689947282,28.5,4.5,11.3272656873,0.5820801933,4,1.6556679246,0.5530205970000001,2.1105649519,-0.4626458799,3.7449043996,0.37496741710000003,3.0073524326,-1.8777124227000002,0.4962962963,0.08626504600000001,2.9762036982,0.32792977830000003,1.5594628769,-0.1566636589,336.5,4.9,4.6,403.1666666667,3.2922505538999998,0.3931739537,0.4588190734508439,247.6666666667,297.1666666667,3.8547732339,0.373477192,1.7458539750000002,49.5,0.0857177794,2.0820124191,0.4587937401,1.8418182224000001,-1.4203506908999999,-0.3068803158,-0.0742451217,1.2407377837,0.3424391687,2.1616980674,0.06291741890000001,-0.3547040892,2022.1916666667,11,10,4515.9166666667,0.8495511125,0.3953050295
s168,1.5155920090000001,0.2592072693,2.389148376,3.75,2.0689655172,0.033333333300000004,1.9310344828,0.033333333300000004,-1.044379588,-0.5143137356,2.9502882534,0.337493541,1.3726499369,-2.1091811276,-10.507690225807417,-7.462114904771856,4.9353570218,0.2692876925,1.7103962958,0.8333333333,0.1666666667,25.2083333333,0.0625,1,-0.0025,-3.0416666667,20.625,0.15,2,0.0011428571,-3.7142857143,-0.027281709300000002,0.9257502779000001,7.8,6.0,2.6368561937,0.4521409263,2.174321661,-0.6119502379,0.7777777778,-1.2871697188,-0.017016056,-0.3719338943,3.8121088774,2.9675113236,0.22585046190000002,1.7220196012,0.0,5.965407751,221.0,4,0.6407468796,0.0019502327000000001,0.9989257812000001,0.0024516933,0.9166666667000001,-6.449609932071972,-6.449609932071972,-4.625581180301964,-0.696384494,2.3642518492,0.42215859,1.7054393105,0.0222228296,289.6666666667,3.3484954952,0.15442448920000001,2.5999533713,25.0,10.0,4.3568072522,0.5772580901000001,17,2.4024703688,0.45578140440000003,2.3684565622,-0.2836065155,3.9545792175,0.4080735944,1.7677095801,-1.4685355641,0.5171568627,0.107526748,4.0858622548,0.28086803400000004,1.2691359003,-0.5755203477,313.0,7.0,7.1,284.0,3.2876697207,0.32392832250000003,0.4069716518343897,265.6666666667,283.1666666667,4.2238138336,0.31154782470000003,1.8276189621,17.5,-1.6599442180000001,3.1666683236,0.33193201920000004,1.8231126190000002,-1.3568860042,-1.4225007057,-0.1805750416,2.1106841525,0.33138636250000003,1.850732266,0.0444050399,-0.7285934549,1627.3060606061,3,8,4064.0,0.7977244538,0.21473320240000002
s170,0.9490862049000001,0.1878495356,1.2694636619,1.5,36.4347826087,0.2333333333,25.0,0.36666666670000003,-0.3410142108,-0.47597607140000003,2.4194404187,0.3520726872,1.4886250545,-0.2316126725,-9.173155383350881,-7.594271691752724,1.7417566348,0.2764474778,1.6705627612,0.5,0.33333333330000003,10.4166666667,0.033333333300000004,2,-0.007333333300000001,-3.6666666667000003,13.75,0.2816655695,3,-0.0088150099,-5.7264647795,0.0940127389,0.7900891720000001,9.0,5.5,1.3312629955,0.350523956,1.5798159805,0.4276717848,0.6944444444,-0.659123828,-1.5052216057,-0.8668360642,1.4190507591000001,1.3519183191,0.2543136418,1.4716510956,-0.7108247741,2.7260075208,152.0,6,0.6079681158,0.001130345,0.7794122696,0.0014091396,0.47222222220000004,-7.824046010856292,-5.553730190361736,-5.553730190361736,-2.1422826037,1.024571058,0.4509320355,1.6216171246000002,-0.27378841670000004,451.3333333333,3.624624484,0.3435855405,1.747348321,2.0,-43.0,,0.6778852885000001,6,1.028074353,0.37937546710000003,1.7286254353000001,-0.3082216538,2.9389102075,0.295502519,2.188238474,-1.2748492685000001,0.46019900500000005,0.0065868645,2.0242698056,0.24376258350000002,1.5002229436999999,-0.9021859272,312.0,5.9,4.9,,,,,,,,,,,,1.2241480795,0.3466741857,1.6933035078,-1.4157793693,-0.3302556124,-0.0232854314,1.0781153439,0.3298869251,1.380458655,-0.4499779955,-0.15958385890000001,1730.0128787879,17,9,2358.3333333333,0.7695943491,0.4479569223
s173,2.3898224479,0.1946622543,1.4225468473,4.05,,,,,-0.27929123100000003,-1.100093285,3.0930196972,0.31873232960000003,1.4167349824,-1.3033272768,-8.708832019487865,-7.111907684122715,3.3978810787000002,0.21639952,1.6534600057,1.0,0.0,11.25,0.0666666667,2,-0.0043333333000000005,-3.75,11.0,0.17681429510000002,3,-0.0088620916,-5.8579258934,0.2866756393,0.9416186292000001,7.0,6.8,2.2794908676,0.3336713103,1.6346325573,-0.5023215075,0.5,-1.6489239062,2.0937101896,-0.5629734621,4.194188013,2.8347535225,0.1700085412,1.5730522096000001,-0.5402436899,4.8849203713,307.0,8,0.7028138161,0.001737744,0.9654296875,0.003307944,0.6388888889000001,-6.449609932071972,-5.553730190361736,-4.625581180301964,-1.0488071191,1.7658083654999999,0.3470973805,2.0055661227,-0.2648158083,247.0,2.0119024082,0.2748432999,1.1897007195,24.5,2.5,-2.3893597141000003,0.36496549300000003,13,1.4869911752,0.4419136542,1.6196474821,-0.7407463909,2.9067279309,0.35265565190000003,1.3097532743,-3.3676488385,0.5777777778000001,0.0695017296,3.953239585,0.2670075999,1.6738737357,-0.2565565549,278.0,7.5,7.2,311.0,3.2408447507,0.31098586310000004,0.03540384219864716,223.3333333333,254.5,2.7608125026,0.3128465386,1.0388847746,31.1666666667,48.2684353515,2.6507360461,0.2801801151,1.7898311933,-1.0061502235,-0.17377359420000002,-0.1696826431,1.8042497396,0.30752206660000003,1.6771426727,-0.2737347161,-0.2977106026,1223.7287878788,23,8,2171.9166666667,0.8058212105,0.2838313534
