worker	dospert_rt_survey_2	dospert_rt_survey_3	dospert_rt_survey_4	dospert_rt_survey_5	dospert_rt_survey_6	dospert_rt_survey_7	dospert_rt_survey_8	dospert_rt_survey_9	dospert_rt_survey_10	dospert_rt_survey_11	dospert_rt_survey_12	dospert_rt_survey_13	dospert_rt_survey_14	dospert_rt_survey_15	dospert_rt_survey_16	dospert_rt_survey_17	dospert_rt_survey_18	dospert_rt_survey_19	dospert_rt_survey_20	dospert_rt_survey_21	dospert_rt_survey_22	dospert_rt_survey_23	dospert_rt_survey_24	dospert_rt_survey_25	dospert_rt_survey_26	dospert_rt_survey_27	dospert_rt_survey_28	dospert_rt_survey_29	dospert_rt_survey_30	dospert_rt_survey_31
s002	6.0	6.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	6.0	2.0	1.0	1.0	5.0	1.0	6.0	5.0	6.0	6.0	1.0	1.0	7.0	5.0	1.0	7.0
s005	5.0	3.0	1.0	2.0	4.0	1.0	5.0	1.0	4.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	5.0	5.0	4.0	1.0	1.0	5.0	3.0	5.0	1.0	2.0
s006	1.0	1.0	1.0	1.0	7.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s007	4.0	6.0	5.0	6.0	1.0	3.0	7.0	4.0	1.0	1.0	5.0	6.0	7.0	4.0	7.0	1.0	1.0	6.0	7.0	1.0	6.0	7.0	6.0	5.0	1.0	5.0	6.0	7.0	1.0	6.0
s009	5.0	3.0	1.0	2.0	7.0	1.0	2.0	2.0	4.0	1.0	5.0	2.0	2.0	1.0	6.0	2.0	1.0	2.0	1.0	1.0	6.0	3.0	1.0	1.0	2.0	5.0	7.0	6.0	2.0	4.0
s011	7.0	1.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0	7.0	7.0	1.0	1.0	1.0	7.0	7.0	7.0	1.0	7.0
s012	6.0	5.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	1.0	1.0	2.0	1.0	2.0	3.0	6.0	2.0	2.0	2.0	1.0	6.0	3.0	5.0	1.0	1.0	3.0	5.0	6.0	3.0	7.0
s017	6.0	6.0	1.0	5.0	5.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	6.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	5.0	4.0	1.0	1.0	3.0	2.0	1.0	6.0	4.0	3.0
s020	5.0	5.0	4.0	2.0	4.0	2.0	2.0	3.0	5.0	4.0	2.0	3.0	2.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	4.0	3.0	1.0	2.0	2.0	2.0	2.0	5.0	1.0	1.0
s026	6.0	2.0	1.0	2.0	1.0	2.0	3.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	3.0	3.0	2.0	2.0	1.0	1.0	5.0	3.0	2.0	1.0	1.0	2.0	2.0	5.0	1.0	2.0
