worker	dospert_rt_survey_2	dospert_rt_survey_3	dospert_rt_survey_4	dospert_rt_survey_5	dospert_rt_survey_6	dospert_rt_survey_7	dospert_rt_survey_8	dospert_rt_survey_9	dospert_rt_survey_10	dospert_rt_survey_11	dospert_rt_survey_12	dospert_rt_survey_13	dospert_rt_survey_14	dospert_rt_survey_15	dospert_rt_survey_16	dospert_rt_survey_17	dospert_rt_survey_18	dospert_rt_survey_19	dospert_rt_survey_20	dospert_rt_survey_21	dospert_rt_survey_22	dospert_rt_survey_23	dospert_rt_survey_24	dospert_rt_survey_25	dospert_rt_survey_26	dospert_rt_survey_27	dospert_rt_survey_28	dospert_rt_survey_29	dospert_rt_survey_30	dospert_rt_survey_31
s027	4.0	6.0	3.0	4.0	1.0	1.0	4.0	3.0	1.0	1.0	1.0	2.0	2.0	3.0	2.0	1.0	1.0	3.0	2.0	1.0	4.0	4.0	3.0	1.0	2.0	4.0	7.0	7.0	1.0	1.0
s028	5.0	5.0	2.0	3.0	4.0	2.0	5.0	1.0	4.0	2.0	3.0	3.0	2.0	1.0	4.0	4.0	2.0	3.0	2.0	2.0	5.0	5.0	3.0	2.0	4.0	4.0	3.0	6.0	2.0	1.0
s029	3.0	5.0	1.0	6.0	1.0	5.0	3.0	1.0	1.0	2.0	4.0	5.0	3.0	1.0	1.0	2.0	1.0	3.0	3.0	2.0	2.0	3.0	1.0	2.0	3.0	2.0	4.0	2.0	2.0	5.0
s032	7.0	6.0	1.0	6.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	2.0	1.0	2.0	5.0	1.0	1.0	2.0	5.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0
s034	7.0	3.0	1.0	1.0	5.0	2.0	5.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	7.0	5.0	1.0	1.0	6.0	1.0	7.0	5.0	2.0	6.0	2.0	1.0	2.0	5.0	1.0	3.0
s042	5.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	4.0	3.0	3.0	1.0	1.0	2.0	5.0	5.0	1.0	4.0
s047	5.0	6.0	1.0	5.0	5.0	1.0	5.0	1.0	1.0	1.0	4.0	2.0	6.0	1.0	3.0	1.0	3.0	5.0	6.0	2.0	7.0	6.0	1.0	7.0	6.0	1.0	5.0	6.0	2.0	4.0
s049	5.0	6.0	1.0	4.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0	4.0	3.0	1.0	1.0	3.0	2.0	4.0	3.0	1.0	4.0	4.0	2.0	1.0	1.0	2.0	3.0	3.0	1.0	1.0
s056	5.0	7.0	1.0	7.0	1.0	2.0	3.0	1.0	1.0	1.0	2.0	4.0	4.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	3.0	3.0	3.0	1.0	2.0	3.0	5.0	5.0	1.0	2.0
s060	6.0	2.0	2.0	7.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	3.0	2.0	3.0	1.0	2.0	1.0	2.0	4.0	2.0	3.0	1.0	1.0	1.0	5.0	5.0	1.0	2.0
s062	6.0	1.0	2.0	5.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	3.0	1.0	1.0	5.0	1.0	2.0	1.0	1.0	6.0	3.0	2.0	1.0	3.0
s063	6.0	5.0	1.0	4.0	1.0	4.0	4.0	1.0	2.0	1.0	1.0	5.0	6.0	1.0	5.0	4.0	1.0	5.0	1.0	1.0	5.0	4.0	5.0	1.0	1.0	3.0	6.0	6.0	2.0	5.0
s065	5.0	2.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	5.0	3.0	4.0	2.0	1.0	1.0	4.0	6.0	1.0	1.0
s066	5.0	1.0	1.0	5.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	5.0	5.0	3.0	5.0	1.0	1.0	5.0	5.0	1.0	1.0	1.0	1.0	5.0	5.0	1.0	5.0
s071	6.0	5.0	2.0	5.0	1.0	1.0	4.0	2.0	1.0	1.0	5.0	5.0	5.0	2.0	1.0	2.0	1.0	6.0	1.0	1.0	7.0	5.0	1.0	1.0	2.0	2.0	2.0	6.0	1.0	1.0
s077	7.0	4.0	2.0	4.0	5.0	1.0	7.0	2.0	2.0	1.0	2.0	6.0	4.0	2.0	1.0	2.0	2.0	7.0	2.0	2.0	7.0	5.0	5.0	1.0	7.0	7.0	7.0	7.0	2.0	1.0
s081	6.0	3.0	1.0	1.0	1.0	1.0	4.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	4.0	3.0	1.0	1.0	1.0	1.0	5.0	5.0	1.0	1.0
s082	7.0	2.0	3.0	5.0	1.0	2.0	4.0	3.0	1.0	1.0	1.0	1.0	1.0	5.0	2.0	1.0	1.0	1.0	1.0	1.0	6.0	5.0	3.0	1.0	1.0	4.0	6.0	2.0	1.0	3.0
s083	7.0	7.0	7.0	7.0	1.0	3.0	7.0	2.0	5.0	7.0	1.0	7.0	7.0	7.0	7.0	1.0	1.0	7.0	1.0	1.0	7.0	7.0	1.0	1.0	1.0	7.0	7.0	7.0	1.0	1.0
s084	6.0	6.0	1.0	2.0	2.0	1.0	5.0	1.0	1.0	1.0	1.0	4.0	4.0	1.0	1.0	5.0	5.0	3.0	1.0	1.0	5.0	5.0	5.0	1.0	1.0	1.0	5.0	5.0	1.0	1.0
s085	6.0	4.0	1.0	5.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	4.0	5.0	1.0	1.0	1.0	4.0	4.0	5.0	5.0	5.0	5.0	1.0	6.0	1.0	2.0	6.0	4.0	1.0	1.0
s086	5.0	2.0	1.0	1.0	4.0	2.0	4.0	1.0	1.0	1.0	2.0	1.0	3.0	1.0	4.0	1.0	1.0	2.0	3.0	1.0	2.0	4.0	2.0	1.0	4.0	1.0	5.0	2.0	1.0	2.0
s089	6.0	5.0	1.0	1.0	3.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	5.0	5.0	1.0	1.0	1.0	2.0	1.0	5.0	1.0	4.0
s091	6.0	2.0	2.0	2.0	2.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	6.0	5.0	6.0	1.0	1.0	1.0	5.0	5.0	1.0	1.0
s092	6.0	5.0	1.0	5.0	1.0	2.0	3.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	4.0	2.0	3.0	2.0	3.0	4.0	3.0	5.0	2.0	1.0	2.0	4.0	4.0	1.0	2.0
s093	5.0	7.0	1.0	2.0	4.0	3.0	3.0	1.0	4.0	1.0	5.0	1.0	1.0	1.0	4.0	3.0	1.0	2.0	1.0	1.0	4.0	2.0	1.0	1.0	3.0	4.0	4.0	5.0	1.0	4.0
s094	7.0	7.0	1.0	6.0	2.0	1.0	6.0	1.0	4.0	1.0	1.0	1.0	7.0	1.0	4.0	2.0	1.0	1.0	6.0	2.0	7.0	6.0	3.0	5.0	6.0	2.0	7.0	7.0	1.0	1.0
s096	6.0	4.0	1.0	4.0	2.0	1.0	4.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	4.0	5.0	4.0	1.0	2.0	1.0	5.0	4.0	1.0	1.0
s097	7.0	5.0	2.0	6.0	7.0	3.0	7.0	2.0	6.0	6.0	3.0	2.0	2.0	2.0	6.0	6.0	5.0	4.0	3.0	1.0	5.0	6.0	6.0	2.0	1.0	6.0	7.0	7.0	3.0	6.0
s098	7.0	6.0	2.0	4.0	1.0	1.0	5.0	2.0	1.0	1.0	1.0	4.0	5.0	2.0	1.0	1.0	1.0	4.0	7.0	1.0	6.0	4.0	5.0	7.0	7.0	5.0	5.0	6.0	1.0	2.0
s099	7.0	5.0	1.0	2.0	2.0	1.0	5.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	6.0	6.0	1.0	1.0	1.0	1.0	6.0	5.0	1.0	1.0	1.0	4.0	6.0	6.0	1.0	5.0
s102	2.0	5.0	4.0	3.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	3.0	1.0	1.0	4.0	4.0	3.0	4.0	1.0	1.0	6.0	1.0	3.0	1.0	1.0	5.0	6.0	5.0	3.0	5.0
s103	6.0	7.0	2.0	5.0	2.0	7.0	7.0	3.0	1.0	1.0	5.0	3.0	7.0	2.0	6.0	2.0	6.0	5.0	7.0	6.0	6.0	3.0	2.0	7.0	6.0	5.0	7.0	6.0	5.0	5.0
s105	5.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s106	7.0	1.0	1.0	5.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	6.0	4.0	1.0	1.0	1.0	1.0	7.0	6.0	1.0	1.0
s107	5.0	6.0	1.0	3.0	6.0	5.0	1.0	5.0	1.0	1.0	1.0	3.0	2.0	5.0	2.0	1.0	1.0	3.0	4.0	1.0	6.0	3.0	5.0	1.0	7.0	6.0	4.0	6.0	2.0	2.0
s108	6.0	2.0	2.0	3.0	6.0	2.0	6.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	6.0	6.0	6.0	1.0	1.0	2.0	5.0	7.0	5.0	2.0
s109	7.0	6.0	2.0	5.0	2.0	1.0	3.0	2.0	1.0	1.0	3.0	2.0	6.0	2.0	5.0	2.0	3.0	1.0	6.0	1.0	5.0	3.0	1.0	6.0	5.0	5.0	7.0	3.0	1.0	1.0
s110	7.0	6.0	1.0	4.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	2.0	4.0	1.0	4.0	1.0	1.0	4.0	1.0	1.0	1.0	4.0	7.0	1.0	1.0	1.0	5.0	5.0	3.0	1.0
s111	5.0	5.0	1.0	4.0	3.0	1.0	4.0	1.0	1.0	1.0	1.0	4.0	4.0	1.0	1.0	2.0	1.0	4.0	1.0	1.0	3.0	2.0	5.0	1.0	4.0	3.0	4.0	5.0	1.0	4.0
s112	6.0	5.0	2.0	5.0	5.0	2.0	6.0	2.0	1.0	2.0	3.0	3.0	3.0	2.0	1.0	1.0	2.0	5.0	2.0	2.0	6.0	5.0	6.0	1.0	3.0	3.0	5.0	5.0	2.0	5.0
s114	7.0	5.0	1.0	6.0	2.0	1.0	6.0	1.0	1.0	1.0	5.0	2.0	5.0	1.0	5.0	1.0	1.0	5.0	5.0	1.0	6.0	2.0	6.0	2.0	5.0	6.0	3.0	6.0	1.0	1.0
s123	7.0	7.0	2.0	3.0	1.0	2.0	7.0	2.0	2.0	2.0	2.0	3.0	5.0	2.0	3.0	2.0	7.0	2.0	1.0	7.0	6.0	7.0	7.0	1.0	5.0	6.0	1.0	6.0	2.0	5.0
s128	3.0	1.0	1.0	3.0	5.0	3.0	3.0	1.0	1.0	2.0	1.0	3.0	1.0	1.0	7.0	2.0	3.0	1.0	3.0	1.0	4.0	3.0	7.0	1.0	1.0	1.0	3.0	5.0	1.0	2.0
s129	6.0	7.0	1.0	5.0	1.0	1.0	5.0	1.0	2.0	1.0	1.0	5.0	6.0	1.0	5.0	1.0	1.0	3.0	7.0	1.0	5.0	5.0	1.0	1.0	6.0	3.0	5.0	7.0	3.0	1.0
s131	7.0	7.0	1.0	3.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	5.0	5.0	6.0	1.0	1.0	1.0	5.0	1.0	5.0	1.0	1.0
s135	5.0	6.0	2.0	5.0	3.0	1.0	5.0	5.0	2.0	1.0	1.0	5.0	3.0	2.0	4.0	1.0	1.0	3.0	1.0	1.0	6.0	5.0	1.0	1.0	6.0	5.0	3.0	5.0	7.0	1.0
s140	3.0	5.0	1.0	6.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	2.0	2.0	1.0	5.0	1.0	1.0	5.0	3.0	2.0	1.0	5.0	2.0	2.0	5.0	3.0	2.0
s142	7.0	6.0	2.0	5.0	5.0	1.0	7.0	1.0	5.0	1.0	6.0	2.0	7.0	1.0	5.0	1.0	5.0	2.0	7.0	2.0	7.0	6.0	7.0	6.0	7.0	3.0	2.0	6.0	1.0	5.0
s145	4.0	7.0	1.0	5.0	6.0	4.0	5.0	3.0	1.0	1.0	1.0	5.0	1.0	3.0	1.0	2.0	1.0	4.0	1.0	1.0	5.0	4.0	5.0	1.0	1.0	1.0	1.0	4.0	1.0	2.0
s149	6.0	6.0	2.0	5.0	6.0	5.0	4.0	2.0	4.0	1.0	2.0	2.0	4.0	3.0	5.0	3.0	5.0	3.0	3.0	5.0	4.0	5.0	5.0	2.0	4.0	5.0	6.0	5.0	3.0	3.0
s155	7.0	7.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	4.0	1.0	1.0	1.0	1.0	7.0	7.0	1.0	1.0	1.0	4.0	7.0	7.0	1.0	7.0
s156	7.0	7.0	1.0	6.0	2.0	3.0	5.0	1.0	1.0	1.0	5.0	4.0	6.0	1.0	4.0	1.0	1.0	6.0	7.0	1.0	7.0	6.0	5.0	6.0	7.0	5.0	6.0	5.0	1.0	1.0
s161	6.0	5.0	1.0	3.0	1.0	3.0	5.0	1.0	1.0	2.0	1.0	3.0	2.0	1.0	6.0	2.0	1.0	2.0	1.0	1.0	5.0	3.0	2.0	1.0	1.0	3.0	5.0	5.0	2.0	2.0
s163	6.0	2.0	1.0	6.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	4.0	6.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0
s165	6.0	3.0	1.0	6.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	7.0	5.0	3.0	1.0	2.0	1.0	1.0	6.0	1.0	2.0
s168	6.0	3.0	1.0	4.0	3.0	1.0	5.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	4.0	2.0	1.0	3.0	5.0	2.0	6.0	5.0	2.0	2.0	5.0	1.0	7.0	6.0	2.0	2.0
s170	7.0	7.0	1.0	1.0	1.0	4.0	7.0	2.0	1.0	1.0	5.0	1.0	6.0	2.0	1.0	1.0	1.0	5.0	7.0	4.0	7.0	7.0	4.0	7.0	1.0	4.0	7.0	7.0	1.0	1.0
s173	6.0	2.0	1.0	4.0	1.0	1.0	5.0	2.0	1.0	1.0	4.0	3.0	1.0	1.0	1.0	3.0	1.0	4.0	3.0	1.0	7.0	5.0	5.0	2.0	3.0	2.0	7.0	4.0	6.0	4.0
s179	1.0	7.0	2.0	4.0	1.0	2.0	6.0	1.0	1.0	3.0	5.0	4.0	6.0	2.0	1.0	4.0	1.0	4.0	5.0	1.0	6.0	1.0	1.0	3.0	5.0	2.0	7.0	7.0	5.0	5.0
s180	7.0	7.0	2.0	5.0	4.0	5.0	6.0	3.0	1.0	2.0	7.0	4.0	5.0	3.0	2.0	2.0	7.0	4.0	7.0	7.0	6.0	6.0	4.0	5.0	5.0	6.0	7.0	5.0	2.0	2.0
s182	3.0	2.0	2.0	6.0	6.0	1.0	4.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	4.0	3.0	5.0	2.0	4.0	2.0	5.0	4.0	2.0	5.0
s184	6.0	6.0	1.0	5.0	3.0	3.0	5.0	1.0	2.0	1.0	1.0	2.0	3.0	1.0	5.0	1.0	1.0	4.0	5.0	1.0	5.0	5.0	5.0	4.0	4.0	5.0	6.0	7.0	1.0	1.0
s186	7.0	5.0	4.0	5.0	1.0	1.0	5.0	4.0	1.0	1.0	1.0	1.0	1.0	4.0	2.0	2.0	1.0	4.0	1.0	1.0	4.0	3.0	7.0	1.0	1.0	4.0	2.0	2.0	1.0	1.0
s187	5.0	5.0	3.0	5.0	5.0	3.0	5.0	4.0	5.0	3.0	4.0	5.0	5.0	3.0	3.0	4.0	5.0	5.0	5.0	3.0	5.0	4.0	3.0	5.0	4.0	5.0	3.0	4.0	5.0	4.0
s188	4.0	7.0	1.0	5.0	1.0	1.0	5.0	1.0	3.0	4.0	1.0	1.0	2.0	1.0	5.0	2.0	1.0	2.0	2.0	2.0	7.0	5.0	1.0	2.0	5.0	1.0	7.0	6.0	1.0	5.0
s190	5.0	6.0	1.0	6.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	6.0	5.0	1.0	2.0	4.0	1.0	5.0	5.0	1.0	3.0
s192	6.0	6.0	1.0	7.0	2.0	1.0	3.0	7.0	1.0	2.0	6.0	5.0	2.0	1.0	1.0	3.0	1.0	5.0	5.0	1.0	6.0	3.0	1.0	1.0	3.0	2.0	6.0	6.0	1.0	2.0
s196	7.0	7.0	4.0	2.0	4.0	2.0	6.0	4.0	1.0	1.0	2.0	2.0	3.0	2.0	4.0	2.0	3.0	2.0	2.0	5.0	7.0	6.0	2.0	1.0	2.0	2.0	7.0	7.0	1.0	5.0
s198	5.0	6.0	3.0	5.0	2.0	1.0	3.0	3.0	2.0	2.0	3.0	2.0	5.0	2.0	2.0	2.0	5.0	3.0	5.0	3.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	2.0	2.0
s202	7.0	7.0	2.0	4.0	6.0	7.0	7.0	2.0	7.0	1.0	7.0	7.0	7.0	6.0	7.0	1.0	7.0	6.0	7.0	7.0	4.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	1.0	7.0
s205	6.0	5.0	2.0	2.0	3.0	2.0	4.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	4.0	2.0	3.0	1.0	1.0	2.0	3.0	4.0	1.0	3.0
s206	7.0	4.0	1.0	5.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	4.0	2.0	1.0	4.0	6.0	1.0	6.0	6.0	3.0	5.0	1.0	3.0	6.0	5.0	1.0	1.0
s207	6.0	3.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	4.0	4.0	1.0	1.0
s208	7.0	7.0	1.0	4.0	6.0	2.0	5.0	3.0	4.0	1.0	5.0	2.0	5.0	1.0	1.0	2.0	1.0	1.0	5.0	4.0	5.0	5.0	5.0	4.0	1.0	5.0	5.0	5.0	1.0	2.0
s209	6.0	2.0	1.0	2.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	6.0	6.0	1.0	1.0	1.0	2.0	5.0	5.0	1.0	1.0
s210	7.0	7.0	1.0	4.0	7.0	4.0	7.0	1.0	6.0	5.0	5.0	4.0	7.0	1.0	7.0	5.0	2.0	5.0	7.0	1.0	6.0	7.0	7.0	4.0	7.0	7.0	7.0	7.0	1.0	7.0
s212	7.0	3.0	1.0	1.0	1.0	1.0	7.0	1.0	4.0	2.0	2.0	1.0	6.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	6.0	7.0	2.0	1.0	6.0	3.0	7.0	7.0	2.0	2.0
s216	7.0	7.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0
s218	7.0	5.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	5.0	1.0	1.0
s226	6.0	6.0	1.0	2.0	3.0	1.0	6.0	2.0	1.0	1.0	3.0	1.0	2.0	1.0	6.0	4.0	5.0	1.0	4.0	2.0	7.0	6.0	5.0	1.0	4.0	5.0	7.0	7.0	5.0	1.0
s228	5.0	2.0	2.0	6.0	2.0	5.0	3.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	3.0	3.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	2.0	5.0	3.0	5.0	1.0	3.0
s233	7.0	1.0	1.0	1.0	6.0	1.0	5.0	1.0	6.0	1.0	1.0	1.0	2.0	1.0	6.0	6.0	1.0	1.0	1.0	1.0	5.0	6.0	1.0	1.0	1.0	6.0	7.0	2.0	1.0	1.0
s237	6.0	7.0	1.0	1.0	2.0	2.0	4.0	1.0	2.0	4.0	2.0	1.0	3.0	1.0	7.0	2.0	1.0	1.0	1.0	1.0	6.0	4.0	4.0	1.0	3.0	6.0	6.0	6.0	1.0	6.0
s238	5.0	5.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0
s244	5.0	5.0	1.0	1.0	5.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	4.0	1.0	1.0	1.0	1.0	6.0	5.0	6.0	1.0	1.0	6.0	6.0	4.0	1.0	7.0
s246	4.0	6.0	1.0	1.0	5.0	2.0	5.0	1.0	4.0	2.0	1.0	1.0	5.0	1.0	5.0	4.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	1.0	1.0	1.0	6.0	4.0	1.0	2.0
s249	5.0	3.0	2.0	3.0	5.0	4.0	3.0	2.0	3.0	5.0	2.0	6.0	5.0	2.0	5.0	5.0	6.0	2.0	2.0	7.0	6.0	3.0	3.0	1.0	4.0	6.0	7.0	3.0	5.0	2.0
s252	7.0	7.0	1.0	3.0	7.0	1.0	7.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	6.0	2.0	2.0	1.0	1.0	2.0	7.0	7.0	7.0	1.0	2.0	5.0	6.0	7.0	3.0	5.0
s254	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0
s259	7.0	7.0	1.0	5.0	3.0	3.0	6.0	4.0	1.0	1.0	1.0	4.0	6.0	1.0	1.0	1.0	1.0	6.0	4.0	1.0	7.0	1.0	1.0	4.0	7.0	7.0	7.0	4.0	1.0	1.0
s262	2.0	5.0	2.0	4.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	3.0	2.0	2.0	1.0	3.0	2.0	4.0	2.0	1.0	4.0	2.0	2.0	1.0	2.0	1.0	5.0	5.0	2.0	2.0
s264	5.0	3.0	3.0	5.0	1.0	2.0	2.0	5.0	2.0	1.0	1.0	5.0	7.0	5.0	1.0	1.0	5.0	5.0	2.0	2.0	5.0	5.0	3.0	2.0	2.0	2.0	4.0	5.0	2.0	4.0
s265	7.0	7.0	5.0	5.0	6.0	6.0	5.0	6.0	6.0	1.0	2.0	4.0	1.0	7.0	7.0	2.0	1.0	3.0	5.0	1.0	5.0	6.0	6.0	1.0	1.0	1.0	6.0	6.0	1.0	1.0
s269	6.0	6.0	1.0	1.0	5.0	2.0	5.0	1.0	1.0	2.0	1.0	1.0	5.0	1.0	5.0	4.0	1.0	1.0	7.0	1.0	6.0	5.0	5.0	7.0	5.0	5.0	6.0	5.0	1.0	4.0
s273	5.0	6.0	1.0	6.0	1.0	2.0	4.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	5.0	4.0	2.0	3.0	1.0	1.0	5.0	3.0	2.0	1.0	1.0	1.0	7.0	5.0	1.0	4.0
s275	6.0	4.0	5.0	5.0	1.0	1.0	2.0	5.0	1.0	1.0	1.0	6.0	1.0	4.0	6.0	1.0	2.0	4.0	1.0	3.0	7.0	2.0	2.0	2.0	1.0	5.0	2.0	7.0	1.0	1.0
