worker	eating_survey_2	eating_survey_3	eating_survey_4	eating_survey_5	eating_survey_6	eating_survey_7	eating_survey_8	eating_survey_9	eating_survey_10	eating_survey_11	eating_survey_12	eating_survey_13	eating_survey_14	eating_survey_15	eating_survey_16	eating_survey_17	eating_survey_18	eating_survey_19
s123	2.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	4.0	3.0	2.0	3.0
s128	2.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	4.0	2.0	3.0	4.0	3.0	2.0	3.0
s129	2.0	3.0	4.0	3.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	4.0	1.0	3.0	3.0	2.0	2.0	3.0
s131	2.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	3.0
s135	2.0	3.0	1.0	2.0	3.0	1.0	3.0	3.0	4.0	1.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0
s140	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
s142	4.0	1.0	1.0	3.0	3.0	1.0	4.0	4.0	3.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	3.0	1.0
s145	2.0	3.0	1.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	3.0
s149	3.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0
s155	1.0	3.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	4.0	4.0	1.0	2.0	4.0	4.0	2.0	3.0
s156	2.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	1.0	1.0	1.0
s161	3.0	4.0	2.0	3.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	4.0	3.0	1.0	3.0
s163	1.0	2.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	4.0	1.0	1.0	3.0
s165	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	4.0	1.0	1.0	3.0
s168	3.0	1.0	1.0	2.0	2.0	2.0	3.0	2.0	3.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	2.0	4.0
s170	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	2.0	1.0	2.0
s173	2.0	3.0	1.0	2.0	3.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0
s179	3.0	1.0	3.0	3.0	4.0	4.0	3.0	4.0	1.0	3.0	1.0	1.0	2.0	2.0	3.0	1.0	2.0	3.0
s180	1.0	3.0	1.0	2.0	3.0	2.0	1.0	1.0	2.0	1.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0
s182	3.0	2.0	3.0	4.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	1.0	3.0	2.0
s184	1.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	1.0	2.0	3.0	2.0	1.0	3.0	2.0	3.0	1.0	3.0
s186	3.0	1.0	2.0	1.0	3.0	1.0	2.0	3.0	3.0	1.0	1.0	1.0	3.0	2.0	3.0	1.0	1.0	1.0
s187	3.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0
s188	2.0	1.0	1.0	3.0	2.0	3.0	4.0	3.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0
s190	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	3.0
s192	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	4.0
s196	2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	1.0	2.0	2.0	3.0	2.0	4.0
s198	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0
s202	1.0	4.0	1.0	1.0	2.0	2.0	1.0	3.0	3.0	1.0	4.0	4.0	2.0	2.0	4.0	4.0	2.0	4.0
s205	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0
s206	1.0	1.0	2.0	1.0	3.0	2.0	3.0	1.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0
s207	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	1.0	3.0
s208	3.0	2.0	4.0	4.0	3.0	4.0	3.0	3.0	3.0	4.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	2.0
s209	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	3.0
s210	2.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0
s212	1.0	3.0	1.0	2.0	2.0	1.0	3.0	2.0	1.0	1.0	2.0	3.0	1.0	2.0	2.0	2.0	2.0	3.0
s216	4.0	1.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	1.0	1.0	3.0	3.0	2.0	2.0	3.0	2.0
s218	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	1.0	4.0	1.0	1.0	4.0
s226	3.0	2.0	1.0	2.0	1.0	1.0	2.0	3.0	3.0	1.0	3.0	1.0	3.0	2.0	3.0	2.0	1.0	2.0
s228	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	1.0	2.0
s233	3.0	2.0	1.0	4.0	2.0	4.0	2.0	4.0	3.0	2.0	2.0	3.0	2.0	1.0	3.0	1.0	4.0	1.0
s237	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
s238	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	1.0	2.0	3.0	2.0	1.0	3.0
