worker	future_time_perspective_survey_2	future_time_perspective_survey_3	future_time_perspective_survey_4	future_time_perspective_survey_5	future_time_perspective_survey_6	future_time_perspective_survey_7	future_time_perspective_survey_8	future_time_perspective_survey_9	future_time_perspective_survey_10	future_time_perspective_survey_11
s326	5.0	5.0	5.0	4.0	3.0	5.0	5.0	2.0	5.0	4.0
s327	7.0	7.0	7.0	6.0	2.0	5.0	3.0	4.0	4.0	5.0
s328	6.0	7.0	6.0	6.0	6.0	7.0	6.0	1.0	1.0	2.0
s329	7.0	7.0	7.0	5.0	4.0	7.0	7.0	2.0	2.0	2.0
s332	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	3.0	3.0
s333	7.0	7.0	7.0	7.0	6.0	7.0	7.0	1.0	2.0	2.0
s334	6.0	6.0	6.0	6.0	6.0	6.0	6.0	2.0	2.0	2.0
s336	2.0	3.0	4.0	5.0	4.0	3.0	4.0	5.0	5.0	5.0
s339	7.0	7.0	7.0	7.0	7.0	7.0	7.0	2.0	1.0	1.0
s343	5.0	3.0	4.0	5.0	2.0	1.0	3.0	2.0	5.0	5.0
s346	6.0	6.0	6.0	3.0	3.0	5.0	7.0	3.0	2.0	5.0
s351	6.0	6.0	6.0	4.0	4.0	5.0	5.0	2.0	2.0	2.0
s352	7.0	7.0	7.0	7.0	4.0	6.0	6.0	2.0	2.0	4.0
s357	5.0	5.0	7.0	4.0	4.0	5.0	5.0	1.0	2.0	4.0
s359	4.0	5.0	5.0	2.0	5.0	5.0	5.0	5.0	3.0	4.0
s365	1.0	1.0	1.0	1.0	1.0	1.0	2.0	4.0	7.0	3.0
s368	5.0	5.0	5.0	4.0	3.0	4.0	3.0	6.0	4.0	6.0
s369	7.0	6.0	6.0	7.0	6.0	6.0	5.0	2.0	2.0	4.0
s372	7.0	7.0	7.0	7.0	7.0	7.0	7.0	1.0	1.0	1.0
s373	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	6.0	7.0
s376	4.0	4.0	4.0	3.0	3.0	3.0	3.0	5.0	5.0	5.0
s380	6.0	5.0	5.0	5.0	4.0	5.0	5.0	1.0	1.0	1.0
s383	4.0	4.0	5.0	2.0	2.0	3.0	2.0	6.0	5.0	6.0
s388	6.0	6.0	7.0	7.0	7.0	7.0	7.0	2.0	2.0	2.0
s391	5.0	7.0	5.0	5.0	5.0	3.0	4.0	5.0	2.0	7.0
s396	3.0	3.0	3.0	2.0	2.0	4.0	5.0	3.0	5.0	3.0
s397	4.0	4.0	4.0	3.0	3.0	3.0	4.0	5.0	5.0	5.0
s402	5.0	4.0	5.0	5.0	4.0	3.0	4.0	3.0	2.0	3.0
s403	5.0	6.0	5.0	5.0	2.0	1.0	5.0	7.0	5.0	7.0
s408	5.0	5.0	6.0	3.0	2.0	3.0	3.0	4.0	2.0	3.0
s409	4.0	4.0	4.0	4.0	2.0	2.0	3.0	5.0	5.0	7.0
s411	5.0	5.0	6.0	4.0	4.0	4.0	5.0	2.0	2.0	2.0
s420	2.0	6.0	4.0	3.0	1.0	4.0	3.0	5.0	5.0	6.0
s425	5.0	5.0	5.0	4.0	3.0	3.0	4.0	5.0	4.0	5.0
s427	5.0	5.0	5.0	5.0	4.0	4.0	4.0	2.0	3.0	5.0
s429	7.0	7.0	7.0	7.0	7.0	6.0	7.0	5.0	3.0	4.0
s430	6.0	6.0	6.0	6.0	6.0	6.0	6.0	2.0	2.0	4.0
s434	6.0	6.0	6.0	6.0	6.0	5.0	6.0	2.0	2.0	4.0
s441	7.0	7.0	7.0	7.0	5.0	6.0	7.0	1.0	1.0	2.0
s446	5.0	6.0	6.0	6.0	5.0	5.0	5.0	3.0	3.0	4.0
s449	3.0	3.0	2.0	3.0	2.0	3.0	4.0	3.0	5.0	6.0
