worker	dospert_rp_survey_2	dospert_rp_survey_3	dospert_rp_survey_4	dospert_rp_survey_5	dospert_rp_survey_6	dospert_rp_survey_7	dospert_rp_survey_8	dospert_rp_survey_9	dospert_rp_survey_10	dospert_rp_survey_11	dospert_rp_survey_12	dospert_rp_survey_13	dospert_rp_survey_14	dospert_rp_survey_15	dospert_rp_survey_16	dospert_rp_survey_17	dospert_rp_survey_18	dospert_rp_survey_19	dospert_rp_survey_20	dospert_rp_survey_21	dospert_rp_survey_22	dospert_rp_survey_23	dospert_rp_survey_24	dospert_rp_survey_25	dospert_rp_survey_26	dospert_rp_survey_27	dospert_rp_survey_28	dospert_rp_survey_29	dospert_rp_survey_30	dospert_rp_survey_31
s383	1.0	3.0	7.0	3.0	6.0	5.0	5.0	7.0	7.0	5.0	6.0	6.0	5.0	5.0	6.0	6.0	4.0	6.0	5.0	4.0	4.0	4.0	4.0	7.0	5.0	6.0	3.0	3.0	5.0	3.0
s388	1.0	1.0	3.0	3.0	5.0	6.0	4.0	6.0	7.0	7.0	5.0	4.0	6.0	6.0	6.0	3.0	5.0	6.0	5.0	6.0	2.0	4.0	6.0	6.0	4.0	5.0	4.0	5.0	3.0	3.0
s391	1.0	4.0	7.0	2.0	4.0	6.0	1.0	7.0	7.0	7.0	7.0	5.0	6.0	7.0	7.0	4.0	5.0	5.0	3.0	6.0	3.0	4.0	5.0	5.0	4.0	5.0	2.0	3.0	4.0	1.0
s396	3.0	4.0	5.0	3.0	5.0	6.0	5.0	5.0	6.0	5.0	6.0	6.0	3.0	5.0	3.0	2.0	6.0	6.0	2.0	7.0	3.0	3.0	6.0	3.0	2.0	4.0	1.0	3.0	6.0	1.0
s397	2.0	3.0	4.0	2.0	4.0	3.0	2.0	4.0	5.0	4.0	6.0	5.0	5.0	4.0	5.0	3.0	6.0	5.0	3.0	6.0	3.0	3.0	5.0	4.0	3.0	4.0	2.0	3.0	6.0	1.0
s402	1.0	2.0	7.0	6.0	5.0	6.0	3.0	7.0	5.0	5.0	6.0	4.0	5.0	6.0	5.0	4.0	4.0	6.0	5.0	6.0	3.0	3.0	3.0	6.0	4.0	4.0	2.0	2.0	5.0	5.0
s403	2.0	6.0	7.0	3.0	6.0	7.0	4.0	7.0	3.0	6.0	7.0	2.0	5.0	7.0	7.0	4.0	7.0	3.0	2.0	6.0	3.0	5.0	6.0	5.0	3.0	6.0	3.0	4.0	6.0	2.0
s408	1.0	3.0	7.0	3.0	6.0	7.0	5.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	6.0	7.0	7.0	5.0	7.0	3.0	3.0	4.0	6.0	5.0	6.0	3.0	3.0	7.0	2.0
s409	2.0	4.0	7.0	2.0	6.0	4.0	3.0	6.0	6.0	6.0	7.0	7.0	6.0	6.0	3.0	4.0	4.0	4.0	7.0	7.0	2.0	3.0	4.0	7.0	6.0	6.0	3.0	4.0	6.0	2.0
s411	2.0	6.0	7.0	3.0	5.0	3.0	4.0	7.0	7.0	7.0	7.0	7.0	6.0	6.0	7.0	3.0	5.0	7.0	3.0	6.0	4.0	5.0	5.0	3.0	5.0	6.0	2.0	5.0	7.0	5.0
s420	1.0	2.0	7.0	6.0	5.0	6.0	2.0	7.0	6.0	6.0	6.0	6.0	5.0	6.0	7.0	5.0	6.0	6.0	2.0	6.0	3.0	3.0	5.0	6.0	5.0	6.0	2.0	2.0	5.0	2.0
s425	3.0	3.0	4.0	4.0	5.0	4.0	3.0	4.0	5.0	3.0	7.0	3.0	7.0	4.0	5.0	4.0	7.0	4.0	5.0	7.0	4.0	4.0	6.0	6.0	5.0	5.0	4.0	4.0	7.0	2.0
s427	1.0	2.0	4.0	2.0	3.0	5.0	3.0	4.0	7.0	5.0	5.0	4.0	3.0	4.0	6.0	5.0	4.0	4.0	3.0	5.0	4.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	6.0	2.0
s429	4.0	5.0	7.0	4.0	6.0	4.0	6.0	7.0	6.0	5.0	6.0	6.0	5.0	7.0	6.0	6.0	4.0	6.0	4.0	6.0	6.0	5.0	4.0	4.0	4.0	6.0	5.0	4.0	4.0	4.0
s430	1.0	2.0	7.0	3.0	5.0	7.0	6.0	7.0	7.0	7.0	7.0	5.0	5.0	6.0	7.0	2.0	6.0	7.0	2.0	6.0	2.0	3.0	5.0	6.0	5.0	5.0	5.0	3.0	7.0	5.0
s434	2.0	3.0	6.0	3.0	7.0	5.0	4.0	7.0	7.0	5.0	5.0	6.0	5.0	7.0	4.0	5.0	4.0	5.0	6.0	6.0	3.0	3.0	3.0	6.0	4.0	5.0	2.0	1.0	6.0	3.0
s441	1.0	1.0	5.0	3.0	2.0	4.0	2.0	6.0	5.0	6.0	5.0	5.0	2.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	2.0	5.0	2.0	2.0	1.0	1.0	5.0	1.0
s446	3.0	3.0	6.0	4.0	5.0	4.0	3.0	6.0	5.0	5.0	7.0	6.0	5.0	6.0	3.0	3.0	4.0	4.0	3.0	6.0	4.0	5.0	4.0	2.0	2.0	4.0	3.0	4.0	3.0	2.0
s449	3.0	2.0	6.0	4.0	4.0	5.0	3.0	6.0	6.0	5.0	4.0	4.0	6.0	5.0	4.0	3.0	5.0	4.0	5.0	6.0	3.0	3.0	4.0	5.0	3.0	4.0	2.0	4.0	2.0	2.0
s450	3.0	4.0	7.0	3.0	5.0	6.0	5.0	7.0	7.0	5.0	7.0	7.0	7.0	7.0	7.0	3.0	7.0	5.0	5.0	7.0	6.0	6.0	5.0	5.0	5.0	7.0	5.0	5.0	7.0	3.0
