worker	dospert_rp_survey_2	dospert_rp_survey_3	dospert_rp_survey_4	dospert_rp_survey_5	dospert_rp_survey_6	dospert_rp_survey_7	dospert_rp_survey_8	dospert_rp_survey_9	dospert_rp_survey_10	dospert_rp_survey_11	dospert_rp_survey_12	dospert_rp_survey_13	dospert_rp_survey_14	dospert_rp_survey_15	dospert_rp_survey_16	dospert_rp_survey_17	dospert_rp_survey_18	dospert_rp_survey_19	dospert_rp_survey_20	dospert_rp_survey_21	dospert_rp_survey_22	dospert_rp_survey_23	dospert_rp_survey_24	dospert_rp_survey_25	dospert_rp_survey_26	dospert_rp_survey_27	dospert_rp_survey_28	dospert_rp_survey_29	dospert_rp_survey_30	dospert_rp_survey_31
s451	1.0	2.0	3.0	3.0	5.0	5.0	2.0	4.0	2.0	4.0	5.0	4.0	4.0	3.0	5.0	2.0	4.0	3.0	5.0	6.0	3.0	2.0	5.0	6.0	5.0	2.0	2.0	2.0	6.0	2.0
s453	1.0	1.0	6.0	6.0	3.0	6.0	4.0	6.0	6.0	6.0	3.0	6.0	4.0	6.0	2.0	2.0	1.0	6.0	7.0	2.0	1.0	2.0	1.0	5.0	2.0	3.0	1.0	2.0	6.0	5.0
s456	1.0	5.0	4.0	4.0	6.0	7.0	4.0	4.0	5.0	6.0	4.0	4.0	5.0	4.0	6.0	4.0	6.0	6.0	5.0	6.0	4.0	3.0	3.0	5.0	4.0	6.0	1.0	3.0	7.0	1.0
s459	1.0	3.0	5.0	2.0	2.0	6.0	3.0	5.0	5.0	6.0	7.0	3.0	4.0	3.0	4.0	4.0	4.0	3.0	6.0	7.0	3.0	3.0	5.0	6.0	5.0	4.0	2.0	2.0	4.0	2.0
s461	1.0	2.0	6.0	4.0	4.0	6.0	2.0	7.0	6.0	5.0	5.0	4.0	3.0	6.0	6.0	5.0	4.0	4.0	3.0	4.0	2.0	4.0	4.0	4.0	3.0	5.0	1.0	3.0	7.0	4.0
s462	1.0	4.0	5.0	5.0	2.0	3.0	3.0	6.0	5.0	4.0	6.0	5.0	5.0	6.0	7.0	6.0	5.0	5.0	3.0	7.0	5.0	3.0	3.0	4.0	4.0	5.0	2.0	3.0	7.0	2.0
s467	2.0	1.0	5.0	5.0	6.0	6.0	5.0	5.0	6.0	5.0	6.0	5.0	4.0	5.0	6.0	4.0	6.0	5.0	6.0	5.0	3.0	3.0	5.0	6.0	5.0	5.0	3.0	2.0	6.0	2.0
s468	2.0	4.0	7.0	4.0	7.0	7.0	4.0	7.0	7.0	7.0	4.0	4.0	6.0	7.0	7.0	5.0	6.0	4.0	3.0	7.0	3.0	4.0	4.0	4.0	4.0	2.0	2.0	3.0	4.0	1.0
s469	2.0	2.0	6.0	3.0	2.0	3.0	4.0	5.0	5.0	6.0	7.0	5.0	5.0	6.0	7.0	4.0	3.0	5.0	5.0	5.0	5.0	3.0	4.0	4.0	3.0	4.0	2.0	4.0	2.0	1.0
s471	2.0	3.0	6.0	2.0	6.0	4.0	3.0	6.0	6.0	6.0	4.0	3.0	4.0	6.0	5.0	3.0	3.0	3.0	2.0	5.0	3.0	2.0	3.0	5.0	2.0	4.0	2.0	3.0	4.0	3.0
s473	2.0	3.0	4.0	3.0	4.0	3.0	3.0	4.0	4.0	5.0	6.0	3.0	5.0	3.0	2.0	4.0	6.0	3.0	3.0	6.0	4.0	2.0	3.0	3.0	4.0	6.0	3.0	6.0	5.0	2.0
s475	2.0	5.0	5.0	2.0	4.0	6.0	4.0	5.0	2.0	3.0	4.0	3.0	3.0	2.0	3.0	3.0	3.0	4.0	3.0	5.0	5.0	3.0	2.0	4.0	3.0	4.0	3.0	4.0	3.0	2.0
s477	1.0	3.0	7.0	3.0	6.0	5.0	5.0	6.0	7.0	7.0	6.0	7.0	7.0	6.0	7.0	6.0	6.0	7.0	3.0	6.0	4.0	6.0	5.0	7.0	6.0	5.0	5.0	6.0	7.0	3.0
s481	2.0	3.0	6.0	3.0	4.0	4.0	3.0	6.0	7.0	5.0	5.0	3.0	3.0	6.0	5.0	3.0	5.0	4.0	6.0	7.0	3.0	4.0	4.0	6.0	5.0	5.0	3.0	3.0	4.0	1.0
s483	1.0	2.0	7.0	7.0	7.0	7.0	2.0	7.0	7.0	7.0	4.0	7.0	3.0	7.0	7.0	3.0	4.0	7.0	2.0	4.0	2.0	1.0	4.0	2.0	2.0	4.0	2.0	2.0	4.0	2.0
s484	2.0	5.0	5.0	4.0	6.0	7.0	4.0	5.0	7.0	6.0	7.0	6.0	7.0	5.0	6.0	6.0	7.0	5.0	6.0	7.0	4.0	4.0	6.0	7.0	7.0	6.0	5.0	5.0	7.0	4.0
s488	3.0	4.0	4.0	3.0	4.0	4.0	4.0	6.0	4.0	4.0	4.0	4.0	5.0	6.0	5.0	4.0	5.0	5.0	5.0	7.0	4.0	4.0	4.0	6.0	5.0	4.0	4.0	4.0	6.0	2.0
s489	5.0	7.0	7.0	6.0	7.0	7.0	6.0	7.0	7.0	6.0	7.0	6.0	7.0	7.0	7.0	6.0	7.0	3.0	6.0	7.0	2.0	7.0	7.0	7.0	6.0	7.0	1.0	4.0	7.0	2.0
s490	1.0	1.0	4.0	3.0	5.0	5.0	5.0	4.0	5.0	5.0	7.0	3.0	3.0	4.0	5.0	5.0	7.0	3.0	2.0	4.0	3.0	3.0	5.0	2.0	2.0	4.0	1.0	2.0	2.0	1.0
s491	1.0	2.0	7.0	4.0	7.0	7.0	3.0	7.0	4.0	4.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	5.0	7.0	7.0	4.0	4.0	7.0	7.0	7.0	7.0	4.0	1.0	7.0	1.0
s492	1.0	2.0	6.0	4.0	2.0	6.0	2.0	7.0	6.0	5.0	6.0	4.0	7.0	7.0	3.0	3.0	4.0	5.0	2.0	3.0	2.0	2.0	5.0	7.0	5.0	4.0	2.0	2.0	7.0	1.0
s500	2.0	4.0	2.0	2.0	7.0	5.0	4.0	4.0	6.0	6.0	7.0	3.0	4.0	3.0	5.0	4.0	4.0	4.0	5.0	6.0	4.0	4.0	6.0	4.0	4.0	5.0	3.0	3.0	5.0	2.0
s501	1.0	2.0	6.0	4.0	5.0	6.0	2.0	7.0	5.0	4.0	6.0	6.0	5.0	5.0	6.0	4.0	7.0	5.0	5.0	7.0	2.0	2.0	2.0	6.0	5.0	6.0	2.0	3.0	7.0	2.0
s502	1.0	2.0	7.0	7.0	3.0	2.0	4.0	7.0	7.0	5.0	6.0	7.0	7.0	7.0	6.0	5.0	5.0	5.0	3.0	5.0	3.0	1.0	2.0	3.0	3.0	4.0	3.0	5.0	5.0	1.0
s503	1.0	2.0	3.0	2.0	5.0	6.0	2.0	4.0	7.0	6.0	6.0	5.0	6.0	5.0	7.0	5.0	5.0	5.0	5.0	6.0	3.0	4.0	6.0	6.0	4.0	7.0	5.0	3.0	7.0	4.0
s504	3.0	3.0	7.0	2.0	6.0	7.0	5.0	6.0	7.0	6.0	6.0	5.0	7.0	7.0	5.0	6.0	6.0	6.0	6.0	7.0	4.0	5.0	5.0	7.0	7.0	5.0	4.0	5.0	6.0	3.0
s505	1.0	2.0	3.0	3.0	4.0	3.0	2.0	4.0	6.0	5.0	6.0	4.0	4.0	5.0	6.0	6.0	6.0	5.0	6.0	6.0	5.0	4.0	4.0	6.0	4.0	5.0	5.0	5.0	4.0	3.0
s506	1.0	1.0	6.0	6.0	4.0	5.0	4.0	6.0	7.0	7.0	4.0	6.0	5.0	7.0	5.0	6.0	7.0	6.0	4.0	7.0	3.0	3.0	4.0	7.0	4.0	3.0	4.0	5.0	4.0	2.0
s507	1.0	3.0	5.0	2.0	5.0	5.0	4.0	5.0	6.0	5.0	6.0	3.0	3.0	6.0	6.0	5.0	5.0	5.0	5.0	7.0	2.0	3.0	5.0	5.0	2.0	6.0	2.0	1.0	7.0	2.0
s508	1.0	5.0	7.0	4.0	6.0	6.0	4.0	7.0	6.0	5.0	7.0	6.0	7.0	7.0	6.0	5.0	5.0	6.0	5.0	7.0	6.0	4.0	4.0	6.0	5.0	6.0	2.0	5.0	7.0	1.0
s509	1.0	5.0	7.0	4.0	7.0	7.0	4.0	7.0	7.0	7.0	7.0	3.0	7.0	7.0	7.0	7.0	7.0	6.0	6.0	7.0	3.0	3.0	7.0	7.0	7.0	7.0	5.0	4.0	7.0	1.0
s510	1.0	2.0	7.0	4.0	5.0	4.0	3.0	7.0	7.0	7.0	7.0	6.0	6.0	7.0	5.0	4.0	4.0	5.0	4.0	7.0	3.0	2.0	6.0	5.0	4.0	5.0	4.0	5.0	3.0	1.0
s511	2.0	4.0	7.0	4.0	6.0	4.0	2.0	7.0	6.0	6.0	7.0	5.0	5.0	7.0	3.0	5.0	6.0	4.0	5.0	6.0	4.0	2.0	4.0	5.0	3.0	4.0	3.0	2.0	7.0	4.0
