worker	bis_bas_survey_2	bis_bas_survey_3	bis_bas_survey_4	bis_bas_survey_5	bis_bas_survey_6	bis_bas_survey_7	bis_bas_survey_8	bis_bas_survey_9	bis_bas_survey_10	bis_bas_survey_11	bis_bas_survey_12	bis_bas_survey_13	bis_bas_survey_14	bis_bas_survey_15	bis_bas_survey_16	bis_bas_survey_17	bis_bas_survey_18	bis_bas_survey_19	bis_bas_survey_20	bis_bas_survey_21	bis_bas_survey_22	bis_bas_survey_23	bis_bas_survey_24	bis_bas_survey_25
s083	1.0	2.0	3.0	4.0	3.0	1.0	3.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	2.0	2.0	3.0	2.0	3.0	1.0	2.0	2.0	4.0	3.0
s084	4.0	3.0	3.0	4.0	2.0	3.0	4.0	4.0	4.0	3.0	2.0	3.0	4.0	4.0	2.0	3.0	3.0	4.0	4.0	3.0	2.0	3.0	4.0	4.0
s085	1.0	3.0	3.0	4.0	4.0	3.0	3.0	4.0	3.0	4.0	1.0	2.0	2.0	2.0	1.0	2.0	4.0	4.0	3.0	4.0	3.0	1.0	4.0	3.0
s086	3.0	3.0	2.0	3.0	3.0	2.0	3.0	1.0	2.0	2.0	1.0	2.0	3.0	2.0	2.0	2.0	1.0	3.0	3.0	3.0	1.0	3.0	2.0	2.0
s089	4.0	3.0	3.0	4.0	3.0	4.0	4.0	2.0	3.0	2.0	3.0	3.0	4.0	3.0	1.0	2.0	4.0	3.0	3.0	2.0	2.0	4.0	4.0	4.0
s091	4.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	4.0	3.0	2.0	4.0	4.0	4.0	4.0	2.0	2.0	3.0	3.0	4.0
s092	4.0	4.0	2.0	3.0	3.0	2.0	3.0	4.0	2.0	2.0	3.0	2.0	4.0	3.0	2.0	4.0	2.0	3.0	4.0	2.0	1.0	4.0	4.0	4.0
s093	3.0	2.0	2.0	3.0	2.0	1.0	3.0	4.0	2.0	2.0	3.0	2.0	4.0	3.0	1.0	3.0	3.0	3.0	4.0	3.0	2.0	2.0	3.0	4.0
s094	4.0	2.0	2.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	4.0	3.0	3.0	3.0	2.0	3.0	4.0	4.0
s096	3.0	3.0	2.0	3.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	1.0	3.0	3.0	1.0	1.0	3.0	4.0	3.0
s097	2.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	4.0	1.0	2.0	1.0	4.0	2.0	4.0	3.0	4.0	4.0	4.0	2.0	3.0	3.0	4.0
s098	3.0	1.0	1.0	4.0	4.0	2.0	4.0	4.0	2.0	4.0	4.0	3.0	3.0	3.0	2.0	2.0	4.0	3.0	3.0	3.0	2.0	1.0	4.0	3.0
s099	4.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0
s102	3.0	4.0	2.0	4.0	3.0	3.0	4.0	4.0	2.0	1.0	3.0	1.0	4.0	4.0	2.0	4.0	4.0	3.0	4.0	2.0	1.0	3.0	4.0	4.0
s103	4.0	4.0	3.0	3.0	4.0	2.0	3.0	4.0	2.0	3.0	4.0	2.0	4.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	4.0	4.0
s105	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	2.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0
s106	4.0	3.0	4.0	4.0	1.0	4.0	4.0	4.0	4.0	1.0	2.0	4.0	4.0	4.0	1.0	3.0	3.0	4.0	4.0	1.0	4.0	4.0	4.0	4.0
s107	4.0	3.0	3.0	4.0	3.0	3.0	3.0	2.0	3.0	3.0	1.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	3.0
s108	3.0	4.0	3.0	3.0	3.0	2.0	4.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	2.0	4.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0
s109	3.0	2.0	3.0	4.0	3.0	2.0	3.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0	2.0	1.0	3.0	3.0	2.0	3.0	2.0	4.0	3.0
s110	4.0	4.0	1.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	1.0	2.0	3.0	2.0	1.0	3.0	3.0	3.0	4.0	2.0	1.0	4.0	3.0	4.0
s111	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	1.0	3.0	3.0	3.0	1.0	3.0	4.0	3.0	4.0	2.0	2.0	3.0	4.0	4.0
s112	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	4.0	2.0	3.0	4.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0	2.0	4.0	3.0
s114	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0
s123	4.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	1.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0
s128	3.0	4.0	2.0	3.0	3.0	1.0	3.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	2.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	4.0	4.0
s129	4.0	4.0	2.0	4.0	3.0	4.0	3.0	4.0	2.0	2.0	4.0	2.0	4.0	3.0	1.0	4.0	3.0	4.0	4.0	3.0	1.0	4.0	4.0	4.0
s131	3.0	3.0	2.0	3.0	2.0	2.0	2.0	1.0	2.0	1.0	3.0	2.0	2.0	2.0	1.0	2.0	4.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0
s135	4.0	3.0	4.0	4.0	3.0	4.0	4.0	2.0	3.0	1.0	3.0	4.0	2.0	3.0	2.0	4.0	2.0	3.0	4.0	3.0	3.0	2.0	4.0	2.0
s140	4.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0
s142	4.0	1.0	4.0	4.0	3.0	3.0	4.0	1.0	4.0	3.0	1.0	4.0	1.0	4.0	3.0	4.0	1.0	4.0	2.0	3.0	4.0	1.0	4.0	1.0
s145	4.0	4.0	2.0	3.0	2.0	3.0	4.0	4.0	2.0	3.0	3.0	3.0	4.0	3.0	2.0	4.0	4.0	2.0	4.0	2.0	2.0	4.0	4.0	4.0
s149	2.0	4.0	1.0	4.0	2.0	2.0	3.0	4.0	2.0	3.0	3.0	1.0	3.0	2.0	3.0	4.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0
s155	1.0	3.0	4.0	4.0	4.0	4.0	3.0	2.0	3.0	3.0	1.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	1.0	3.0	2.0	4.0	4.0	1.0
s156	3.0	2.0	3.0	4.0	4.0	2.0	3.0	1.0	4.0	3.0	2.0	3.0	2.0	3.0	2.0	1.0	4.0	3.0	2.0	3.0	3.0	2.0	3.0	1.0
s161	3.0	4.0	3.0	3.0	2.0	2.0	3.0	4.0	3.0	2.0	3.0	3.0	4.0	3.0	2.0	3.0	3.0	3.0	4.0	2.0	2.0	3.0	3.0	4.0
s163	4.0	2.0	1.0	3.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0
s165	4.0	2.0	3.0	4.0	3.0	2.0	3.0	1.0	3.0	3.0	1.0	3.0	1.0	2.0	1.0	1.0	2.0	3.0	1.0	2.0	2.0	2.0	3.0	1.0
s168	1.0	3.0	3.0	4.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	4.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0
s170	2.0	2.0	3.0	4.0	4.0	3.0	3.0	1.0	3.0	3.0	1.0	3.0	2.0	3.0	4.0	1.0	4.0	4.0	2.0	4.0	2.0	1.0	4.0	2.0
s173	2.0	2.0	3.0	4.0	3.0	2.0	4.0	2.0	4.0	3.0	1.0	3.0	3.0	3.0	2.0	1.0	2.0	3.0	3.0	2.0	3.0	2.0	4.0	3.0
s179	2.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	4.0	2.0	3.0	3.0	4.0	4.0	1.0	1.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	3.0
s180	1.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0
s182	2.0	3.0	2.0	3.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0
s184	4.0	3.0	3.0	4.0	3.0	2.0	3.0	4.0	4.0	3.0	1.0	3.0	3.0	3.0	3.0	2.0	4.0	4.0	3.0	2.0	2.0	3.0	4.0	3.0
s186	4.0	4.0	2.0	4.0	3.0	3.0	4.0	2.0	2.0	3.0	2.0	3.0	3.0	3.0	1.0	2.0	3.0	3.0	3.0	2.0	1.0	2.0	4.0	3.0
s187	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	4.0	3.0
s188	2.0	4.0	1.0	4.0	3.0	2.0	1.0	3.0	4.0	1.0	4.0	2.0	1.0	1.0	1.0	3.0	4.0	1.0	2.0	1.0	2.0	4.0	2.0	3.0
s190	3.0	4.0	2.0	3.0	2.0	2.0	4.0	4.0	2.0	2.0	2.0	2.0	3.0	3.0	1.0	4.0	3.0	3.0	4.0	1.0	1.0	4.0	4.0	4.0
s192	4.0	4.0	2.0	4.0	3.0	2.0	4.0	2.0	3.0	3.0	1.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	4.0	3.0
s196	4.0	3.0	4.0	4.0	4.0	2.0	4.0	3.0	4.0	4.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	4.0	3.0	3.0	3.0	2.0	4.0	3.0
s198	3.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0
s202	3.0	1.0	4.0	4.0	4.0	4.0	3.0	1.0	4.0	4.0	2.0	4.0	1.0	3.0	3.0	2.0	4.0	2.0	2.0	4.0	4.0	1.0	3.0	1.0
s205	3.0	2.0	3.0	4.0	2.0	2.0	4.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0
s206	4.0	3.0	4.0	4.0	3.0	2.0	4.0	2.0	4.0	2.0	1.0	4.0	3.0	4.0	1.0	3.0	2.0	4.0	2.0	1.0	3.0	3.0	4.0	1.0
s207	4.0	4.0	3.0	4.0	1.0	4.0	3.0	4.0	2.0	1.0	1.0	2.0	4.0	3.0	1.0	4.0	3.0	4.0	4.0	1.0	1.0	4.0	4.0	4.0
s208	2.0	4.0	2.0	3.0	3.0	2.0	4.0	3.0	2.0	4.0	4.0	3.0	2.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	2.0	4.0	4.0	4.0
s209	3.0	2.0	4.0	4.0	2.0	1.0	3.0	2.0	4.0	1.0	1.0	3.0	2.0	3.0	1.0	1.0	3.0	4.0	2.0	2.0	2.0	2.0	3.0	1.0
s210	3.0	1.0	4.0	4.0	4.0	2.0	4.0	2.0	4.0	4.0	1.0	4.0	2.0	4.0	3.0	1.0	2.0	3.0	2.0	4.0	4.0	1.0	4.0	2.0
s212	2.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0	3.0	2.0	4.0	2.0	4.0	4.0	2.0	4.0	1.0	4.0	4.0	3.0	2.0	3.0	4.0	4.0
s216	3.0	4.0	1.0	3.0	1.0	2.0	2.0	4.0	2.0	1.0	4.0	1.0	4.0	2.0	1.0	4.0	4.0	2.0	4.0	1.0	2.0	4.0	3.0	4.0
s218	4.0	1.0	4.0	4.0	3.0	4.0	4.0	2.0	4.0	2.0	1.0	4.0	2.0	4.0	1.0	2.0	3.0	4.0	3.0	3.0	4.0	2.0	4.0	3.0
s226	4.0	1.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	2.0	3.0	3.0	4.0	3.0	2.0	2.0	4.0	3.0	4.0	3.0	1.0	4.0	3.0
