worker	bis_bas_survey_2	bis_bas_survey_3	bis_bas_survey_4	bis_bas_survey_5	bis_bas_survey_6	bis_bas_survey_7	bis_bas_survey_8	bis_bas_survey_9	bis_bas_survey_10	bis_bas_survey_11	bis_bas_survey_12	bis_bas_survey_13	bis_bas_survey_14	bis_bas_survey_15	bis_bas_survey_16	bis_bas_survey_17	bis_bas_survey_18	bis_bas_survey_19	bis_bas_survey_20	bis_bas_survey_21	bis_bas_survey_22	bis_bas_survey_23	bis_bas_survey_24	bis_bas_survey_25
s284	3.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	4.0
s285	2.0	3.0	2.0	3.0	2.0	3.0	4.0	3.0	2.0	2.0	1.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	2.0	1.0	3.0	3.0	2.0
s286	3.0	3.0	3.0	4.0	1.0	3.0	4.0	3.0	3.0	1.0	3.0	2.0	3.0	4.0	2.0	4.0	3.0	4.0	4.0	2.0	3.0	3.0	4.0	3.0
s290	2.0	2.0	2.0	4.0	3.0	4.0	3.0	3.0	2.0	3.0	3.0	4.0	2.0	3.0	1.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	4.0	3.0
s291	4.0	3.0	3.0	3.0	3.0	4.0	4.0	2.0	3.0	1.0	3.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	3.0	1.0	2.0	3.0	2.0
s293	4.0	4.0	2.0	4.0	3.0	2.0	3.0	4.0	2.0	3.0	3.0	2.0	4.0	3.0	2.0	4.0	3.0	4.0	4.0	2.0	2.0	4.0	3.0	4.0
s294	4.0	4.0	2.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0	4.0	3.0	3.0	4.0	3.0	2.0	4.0	4.0	4.0
s295	3.0	3.0	4.0	4.0	4.0	3.0	4.0	3.0	4.0	3.0	2.0	4.0	3.0	4.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0	2.0	4.0	3.0
s297	4.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0
s301	4.0	3.0	3.0	4.0	3.0	2.0	4.0	3.0	3.0	3.0	1.0	4.0	4.0	3.0	1.0	3.0	4.0	4.0	4.0	3.0	2.0	4.0	4.0	4.0
s303	2.0	2.0	4.0	4.0	3.0	4.0	4.0	2.0	3.0	3.0	1.0	4.0	1.0	3.0	2.0	2.0	2.0	4.0	2.0	3.0	2.0	2.0	3.0	2.0
s305	3.0	4.0	3.0	3.0	1.0	3.0	3.0	1.0	3.0	2.0	1.0	3.0	2.0	3.0	1.0	3.0	1.0	3.0	4.0	2.0	1.0	4.0	4.0	3.0
s307	3.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	2.0	4.0	3.0	4.0	2.0	2.0	3.0	3.0	3.0	4.0	4.0	2.0	4.0	3.0
s309	4.0	3.0	3.0	4.0	4.0	2.0	4.0	3.0	4.0	4.0	2.0	3.0	3.0	4.0	3.0	2.0	4.0	4.0	2.0	4.0	3.0	2.0	4.0	2.0
s313	1.0	2.0	2.0	4.0	3.0	1.0	1.0	4.0	1.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0	4.0	1.0	4.0	1.0	1.0	1.0	3.0	4.0
s314	2.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	2.0	1.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0
s316	3.0	2.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	2.0	1.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0
s326	3.0	2.0	3.0	4.0	3.0	1.0	3.0	1.0	3.0	2.0	4.0	3.0	2.0	3.0	2.0	2.0	4.0	2.0	2.0	2.0	3.0	2.0	3.0	3.0
s327	3.0	3.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0
s328	3.0	2.0	4.0	4.0	3.0	1.0	3.0	1.0	4.0	2.0	1.0	3.0	2.0	2.0	1.0	1.0	3.0	3.0	2.0	3.0	3.0	1.0	3.0	1.0
