worker	five_facet_mindfulness_survey_2	five_facet_mindfulness_survey_3	five_facet_mindfulness_survey_4	five_facet_mindfulness_survey_5	five_facet_mindfulness_survey_6	five_facet_mindfulness_survey_7	five_facet_mindfulness_survey_8	five_facet_mindfulness_survey_9	five_facet_mindfulness_survey_10	five_facet_mindfulness_survey_11	five_facet_mindfulness_survey_12	five_facet_mindfulness_survey_13	five_facet_mindfulness_survey_14	five_facet_mindfulness_survey_15	five_facet_mindfulness_survey_16	five_facet_mindfulness_survey_17	five_facet_mindfulness_survey_18	five_facet_mindfulness_survey_19	five_facet_mindfulness_survey_20	five_facet_mindfulness_survey_21	five_facet_mindfulness_survey_22	five_facet_mindfulness_survey_23	five_facet_mindfulness_survey_24	five_facet_mindfulness_survey_25	five_facet_mindfulness_survey_26	five_facet_mindfulness_survey_27	five_facet_mindfulness_survey_28	five_facet_mindfulness_survey_29	five_facet_mindfulness_survey_30	five_facet_mindfulness_survey_31	five_facet_mindfulness_survey_32	five_facet_mindfulness_survey_33	five_facet_mindfulness_survey_34	five_facet_mindfulness_survey_35	five_facet_mindfulness_survey_36	five_facet_mindfulness_survey_37	five_facet_mindfulness_survey_38	five_facet_mindfulness_survey_39	five_facet_mindfulness_survey_40
s106	4.0	5.0	3.0	4.0	5.0	5.0	5.0	5.0	4.0	3.0	4.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0
s107	2.0	2.0	5.0	3.0	2.0	2.0	2.0	3.0	3.0	5.0	3.0	2.0	2.0	5.0	3.0	2.0	4.0	2.0	4.0	4.0	3.0	2.0	4.0	3.0	5.0	4.0	2.0	3.0	3.0	5.0	3.0	2.0	3.0	3.0	5.0	2.0	2.0	2.0	5.0
s108	3.0	3.0	4.0	3.0	2.0	2.0	3.0	2.0	2.0	4.0	4.0	3.0	2.0	3.0	3.0	3.0	4.0	4.0	2.0	4.0	2.0	5.0	3.0	2.0	4.0	3.0	3.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	5.0	4.0	3.0	2.0	4.0
s109	3.0	2.0	4.0	3.0	3.0	3.0	5.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	2.0	2.0	4.0	3.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	2.0	2.0	3.0	2.0	3.0	4.0	3.0	2.0
s110	5.0	2.0	2.0	2.0	3.0	5.0	3.0	3.0	3.0	2.0	4.0	1.0	3.0	3.0	5.0	1.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	2.0	3.0	4.0	2.0	3.0	3.0	3.0	4.0	2.0	4.0	3.0	3.0	4.0	2.0	3.0	3.0
s111	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	5.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	5.0	4.0	5.0	3.0	4.0	4.0	5.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0
s112	2.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	3.0	5.0	4.0	3.0	3.0	5.0	2.0	4.0	4.0	3.0	4.0	4.0	5.0	3.0	4.0	4.0	5.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	3.0
s114	3.0	3.0	3.0	4.0	4.0	4.0	5.0	4.0	4.0	3.0	3.0	5.0	4.0	3.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	3.0	5.0	4.0	3.0	4.0	4.0	5.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	2.0
s123	3.0	4.0	3.0	3.0	2.0	4.0	4.0	3.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0
s128	1.0	4.0	3.0	4.0	2.0	1.0	4.0	3.0	4.0	3.0	1.0	4.0	2.0	5.0	1.0	4.0	5.0	3.0	3.0	1.0	3.0	5.0	2.0	3.0	5.0	1.0	3.0	3.0	4.0	5.0	1.0	3.0	4.0	2.0	5.0	3.0	3.0	2.0	5.0
s129	2.0	2.0	2.0	4.0	1.0	4.0	2.0	2.0	3.0	2.0	4.0	1.0	3.0	4.0	5.0	2.0	3.0	3.0	4.0	4.0	3.0	2.0	4.0	3.0	2.0	5.0	2.0	5.0	3.0	2.0	5.0	2.0	2.0	4.0	2.0	4.0	1.0	5.0	2.0
s131	3.0	4.0	5.0	3.0	2.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	2.0	5.0	3.0	3.0	4.0	2.0	4.0	4.0	4.0	3.0	5.0	4.0	4.0	3.0	3.0	5.0	4.0	4.0	4.0	4.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0
s135	4.0	5.0	3.0	4.0	4.0	5.0	3.0	4.0	4.0	5.0	4.0	4.0	4.0	3.0	5.0	5.0	3.0	4.0	4.0	5.0	3.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0
s140	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s142	4.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	1.0	3.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	3.0	5.0	5.0	5.0	5.0
s145	3.0	2.0	1.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	1.0	3.0	2.0	4.0	1.0	2.0	3.0	2.0	5.0	2.0	3.0	4.0	2.0	1.0	5.0	2.0	4.0	3.0	1.0	5.0	2.0	2.0	4.0	3.0	3.0	2.0	4.0	2.0
s149	3.0	3.0	2.0	2.0	1.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	4.0	3.0	2.0	1.0	2.0	4.0	2.0	3.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	1.0	2.0
s155	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	5.0	5.0	5.0	2.0	3.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0
s156	3.0	3.0	5.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	5.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	3.0	4.0	4.0	5.0	4.0	2.0	4.0	2.0
s161	2.0	1.0	3.0	3.0	3.0	2.0	1.0	3.0	3.0	2.0	3.0	1.0	3.0	2.0	3.0	1.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	4.0	1.0	4.0	2.0	2.0	5.0	1.0	2.0	3.0	2.0	4.0	2.0	3.0	2.0
s163	2.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	3.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0
