worker	five_facet_mindfulness_survey_2	five_facet_mindfulness_survey_3	five_facet_mindfulness_survey_4	five_facet_mindfulness_survey_5	five_facet_mindfulness_survey_6	five_facet_mindfulness_survey_7	five_facet_mindfulness_survey_8	five_facet_mindfulness_survey_9	five_facet_mindfulness_survey_10	five_facet_mindfulness_survey_11	five_facet_mindfulness_survey_12	five_facet_mindfulness_survey_13	five_facet_mindfulness_survey_14	five_facet_mindfulness_survey_15	five_facet_mindfulness_survey_16	five_facet_mindfulness_survey_17	five_facet_mindfulness_survey_18	five_facet_mindfulness_survey_19	five_facet_mindfulness_survey_20	five_facet_mindfulness_survey_21	five_facet_mindfulness_survey_22	five_facet_mindfulness_survey_23	five_facet_mindfulness_survey_24	five_facet_mindfulness_survey_25	five_facet_mindfulness_survey_26	five_facet_mindfulness_survey_27	five_facet_mindfulness_survey_28	five_facet_mindfulness_survey_29	five_facet_mindfulness_survey_30	five_facet_mindfulness_survey_31	five_facet_mindfulness_survey_32	five_facet_mindfulness_survey_33	five_facet_mindfulness_survey_34	five_facet_mindfulness_survey_35	five_facet_mindfulness_survey_36	five_facet_mindfulness_survey_37	five_facet_mindfulness_survey_38	five_facet_mindfulness_survey_39	five_facet_mindfulness_survey_40
s027	2.0	3.0	3.0	3.0	4.0	2.0	3.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	2.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0	2.0	3.0	4.0	3.0	4.0	3.0	3.0	2.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	2.0
s028	4.0	2.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	2.0	4.0	2.0	3.0	2.0	4.0	2.0	2.0	3.0	3.0	4.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	4.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0
s029	2.0	1.0	5.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	1.0	2.0	2.0	5.0	2.0	4.0	3.0	4.0	3.0	2.0	1.0	3.0	2.0	2.0	5.0	1.0	2.0	2.0	3.0	4.0	2.0	2.0	3.0	2.0	3.0	2.0	1.0	2.0	4.0
s032	2.0	3.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	4.0	3.0
s034	1.0	4.0	4.0	5.0	4.0	2.0	4.0	5.0	4.0	4.0	2.0	5.0	4.0	5.0	2.0	5.0	5.0	4.0	1.0	1.0	4.0	5.0	4.0	4.0	5.0	3.0	4.0	4.0	4.0	5.0	3.0	4.0	4.0	4.0	5.0	3.0	4.0	4.0	5.0
s042	4.0	3.0	3.0	2.0	2.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	4.0	3.0	2.0	4.0	4.0	2.0	5.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	2.0	2.0	5.0	2.0	3.0	3.0	4.0	2.0
s047	2.0	5.0	5.0	4.0	4.0	2.0	4.0	5.0	4.0	4.0	3.0	5.0	5.0	5.0	3.0	5.0	3.0	5.0	1.0	2.0	5.0	5.0	5.0	1.0	5.0	3.0	5.0	5.0	4.0	5.0	4.0	4.0	3.0	5.0	3.0	3.0	5.0	5.0	5.0
s049	2.0	4.0	3.0	3.0	4.0	2.0	3.0	5.0	2.0	3.0	2.0	4.0	4.0	3.0	2.0	3.0	3.0	4.0	4.0	2.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	2.0	3.0	3.0	3.0	4.0	3.0	4.0	4.0	4.0
s056	3.0	4.0	2.0	4.0	5.0	4.0	5.0	4.0	4.0	2.0	2.0	4.0	5.0	3.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	4.0	4.0	2.0	3.0	5.0	4.0	5.0	3.0	3.0	5.0	4.0	3.0	4.0	3.0	4.0	4.0	5.0	3.0
s060	2.0	5.0	3.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0	5.0	3.0	3.0	3.0	3.0	4.0	5.0	3.0	4.0	3.0	4.0	4.0	4.0	3.0
s062	3.0	5.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	2.0	4.0	4.0	4.0	3.0	5.0	4.0	3.0	3.0	3.0	5.0	4.0	4.0	5.0	2.0	2.0	4.0	4.0	5.0	3.0	3.0	4.0	4.0	3.0	5.0	3.0	5.0	5.0	5.0	2.0
s063	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	4.0	3.0	4.0	4.0	3.0	3.0	4.0	2.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	4.0
s065	3.0	4.0	1.0	2.0	2.0	2.0	4.0	1.0	4.0	2.0	4.0	4.0	1.0	4.0	3.0	2.0	2.0	1.0	5.0	3.0	2.0	4.0	1.0	4.0	2.0	4.0	3.0	2.0	1.0	4.0	4.0	3.0	4.0	3.0	3.0	2.0	3.0	1.0	4.0
s066	4.0	4.0	5.0	3.0	5.0	3.0	4.0	5.0	4.0	2.0	3.0	5.0	5.0	5.0	3.0	5.0	3.0	5.0	5.0	3.0	3.0	5.0	5.0	3.0	2.0	3.0	4.0	5.0	3.0	5.0	3.0	4.0	2.0	5.0	3.0	5.0	5.0	5.0	3.0
s071	3.0	4.0	4.0	4.0	5.0	3.0	4.0	5.0	4.0	4.0	3.0	5.0	5.0	5.0	3.0	5.0	4.0	5.0	4.0	3.0	4.0	4.0	5.0	4.0	4.0	3.0	4.0	5.0	4.0	4.0	3.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0
s077	2.0	5.0	5.0	4.0	5.0	2.0	5.0	5.0	4.0	5.0	1.0	5.0	4.0	5.0	1.0	5.0	4.0	5.0	1.0	2.0	1.0	5.0	4.0	2.0	4.0	1.0	2.0	5.0	1.0	5.0	1.0	3.0	4.0	5.0	5.0	2.0	1.0	5.0	5.0
s081	1.0	5.0	3.0	3.0	4.0	1.0	5.0	5.0	4.0	3.0	2.0	5.0	4.0	4.0	2.0	5.0	4.0	5.0	3.0	3.0	4.0	5.0	5.0	1.0	4.0	4.0	5.0	5.0	3.0	5.0	4.0	4.0	1.0	5.0	5.0	4.0	5.0	5.0	5.0
s082	1.0	3.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	1.0	5.0	5.0	5.0	3.0	5.0	5.0	4.0	4.0	3.0	3.0	5.0	5.0	2.0	5.0	3.0	4.0	5.0	2.0	5.0	3.0	2.0	3.0	5.0	5.0	2.0	3.0	5.0	2.0
s083	4.0	3.0	5.0	4.0	5.0	5.0	4.0	5.0	3.0	4.0	5.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0	3.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0
s084	2.0	5.0	4.0	4.0	4.0	2.0	5.0	5.0	3.0	4.0	2.0	5.0	5.0	5.0	3.0	5.0	3.0	5.0	3.0	3.0	3.0	5.0	5.0	3.0	3.0	3.0	5.0	5.0	4.0	5.0	3.0	5.0	3.0	5.0	4.0	3.0	5.0	5.0	5.0
s085	3.0	4.0	5.0	4.0	1.0	4.0	4.0	2.0	2.0	5.0	3.0	5.0	1.0	4.0	5.0	5.0	4.0	1.0	3.0	5.0	3.0	5.0	2.0	3.0	4.0	5.0	5.0	2.0	3.0	4.0	5.0	5.0	3.0	2.0	4.0	4.0	5.0	2.0	4.0
s086	2.0	3.0	3.0	3.0	2.0	4.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	5.0	4.0	4.0	3.0
s089	2.0	4.0	2.0	5.0	3.0	2.0	4.0	4.0	4.0	3.0	2.0	4.0	3.0	3.0	3.0	5.0	2.0	4.0	4.0	3.0	4.0	5.0	2.0	5.0	3.0	4.0	5.0	3.0	5.0	2.0	3.0	5.0	5.0	3.0	3.0	4.0	4.0	3.0	2.0
s091	3.0	3.0	4.0	3.0	1.0	2.0	3.0	2.0	3.0	5.0	4.0	3.0	1.0	4.0	3.0	3.0	5.0	2.0	3.0	4.0	3.0	3.0	2.0	4.0	4.0	4.0	3.0	2.0	3.0	4.0	5.0	3.0	3.0	2.0	4.0	4.0	3.0	1.0	3.0
s092	2.0	1.0	3.0	3.0	4.0	3.0	2.0	4.0	3.0	3.0	1.0	1.0	4.0	4.0	3.0	1.0	3.0	4.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	2.0	4.0	2.0	3.0	2.0	1.0	3.0	4.0	3.0	2.0	1.0	4.0	3.0
s093	3.0	2.0	2.0	3.0	4.0	4.0	2.0	4.0	2.0	2.0	3.0	1.0	5.0	2.0	4.0	1.0	2.0	5.0	4.0	4.0	5.0	1.0	4.0	2.0	3.0	4.0	1.0	5.0	1.0	2.0	4.0	2.0	1.0	5.0	2.0	3.0	1.0	5.0	2.0
s094	3.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0
s096	2.0	3.0	4.0	4.0	1.0	3.0	3.0	2.0	3.0	4.0	2.0	4.0	1.0	5.0	3.0	4.0	4.0	2.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	2.0	3.0	2.0	4.0
s097	4.0	4.0	3.0	3.0	4.0	2.0	4.0	5.0	3.0	2.0	3.0	4.0	3.0	2.0	3.0	4.0	2.0	5.0	3.0	5.0	4.0	4.0	5.0	1.0	2.0	4.0	4.0	5.0	3.0	2.0	4.0	2.0	3.0	3.0	2.0	4.0	3.0	5.0	2.0
s098	3.0	5.0	4.0	5.0	2.0	4.0	5.0	3.0	5.0	4.0	3.0	5.0	3.0	4.0	4.0	5.0	5.0	3.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	4.0
s099	4.0	3.0	5.0	3.0	4.0	4.0	3.0	3.0	3.0	5.0	4.0	3.0	4.0	5.0	4.0	3.0	5.0	4.0	3.0	4.0	3.0	3.0	3.0	4.0	5.0	4.0	3.0	3.0	3.0	5.0	4.0	4.0	3.0	3.0	5.0	4.0	3.0	3.0	5.0
s102	3.0	3.0	1.0	2.0	3.0	4.0	2.0	4.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	4.0	2.0	3.0	2.0	4.0	4.0	5.0	4.0	2.0	3.0	4.0	3.0	4.0	3.0	2.0	5.0	3.0	2.0	3.0	2.0	3.0	3.0	4.0	2.0
s103	3.0	3.0	2.0	3.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	3.0	2.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	2.0	3.0	4.0	3.0	3.0	3.0	3.0	2.0
s105	5.0	3.0	4.0	5.0	4.0	5.0	2.0	4.0	4.0	4.0	5.0	4.0	4.0	3.0	5.0	4.0	2.0	4.0	3.0	5.0	3.0	2.0	3.0	1.0	3.0	5.0	3.0	5.0	1.0	3.0	5.0	2.0	1.0	5.0	2.0	5.0	2.0	5.0	2.0
