index,Sensation Seeking,Mindfulness,Impulsivity,Emotional Control,Reward Sensitivity,Goal-Directedness,Risk Perception,Eating Control,Ethical Risk-Taking,Social Risk-Taking,Financial Risk-Taking,Agreeableness
s130,-2.2422872517581838,-0.7405248403323575,-0.9069984112323627,-1.487017594243457,-1.732930601312165,-0.24424491609113183,-0.33680558931600946,0.698862506340998,-0.3610231191698841,-1.2105889033501644,-0.5286944163372607,0.09013420609978501
s251,0.12124659683682641,-0.154421257724816,0.7383547753543072,-0.5532603121092017,0.4821991085877839,0.5025240991463465,-0.22394747076670132,-0.00353451224677942,-1.5617679723705378,-0.667070159178062,0.16149350606838106,1.6026602936745504
s358,1.4388137267678003,0.09714656667758424,-0.2117970052905292,-0.31920449296403736,-0.28106731828691883,-0.2028923439255142,-1.1778232846117986,-0.3307683487795327,-0.3675834665248706,0.07618578218530571,0.28231768230515164,0.4873390074725101
s445,0.33694059684253547,0.5064950090083422,-0.3518059975943657,-0.5712808534726213,0.17440716506564102,-0.22501292777456836,0.3232237651832184,-0.8826915474608384,-0.4755864751768952,0.8825162159009657,-1.0938246268532212,-1.7992272169428924
s465,1.8030796709501975,-0.6393770301409686,-0.7273892340952518,-0.5893392451671949,-2.5976140763625613,-1.5660683997810394,-0.2122883750394214,-0.467909292514812,-0.1584663148150036,1.4578429231668877,0.5653779035592849,-0.04643730258797693
s483,-0.9674793036104583,0.05869985944333845,-0.7008614208422319,-0.6122361432570637,1.0890772281299161,-0.15196314855594983,-0.3093696076456506,0.4890415702103528,0.6017922121456553,1.3548458758104527,0.7425321029556794,-0.6425270947519865
s491,-0.8057672283752743,0.9729080532799509,-1.3824228402035277,-0.34430376416798836,-1.2740047534679104,1.7644256054609477,0.6838342992992549,1.3010068278959357,-1.8553898585551019,0.029796745248030724,-0.4710714751791019,-0.6935410621025386
s495,-0.10372484539227221,0.8473030713866587,-0.1480526835088069,0.4644136056003822,-1.257524284728808,0.722167272137009,0.8022127368555045,-1.2481921028680474,-0.4263746024031772,0.9319514943705166,-0.6968184598062654,-0.6032247960917517
s497,0.04897649081850106,-0.04508611527956937,0.49399836308397865,0.7101777402385347,-0.1831246269440961,0.3378694482754242,-0.27206218549314654,-0.42974040261917656,-0.7234308242976379,0.16751637257822172,-0.37529480772583645,-0.4357324819245985
s499,-0.0989603637172403,-2.3761795944709148,0.6318358253184005,-0.135121746548776,-0.11171271383761695,-0.6175233482139054,0.184999085312431,1.0643732880208971,2.345354187618912,-1.2495798411601358,2.2192267544937945,-0.6617699745861635
s512,-0.966381744929092,-0.8644226789136155,0.32727983023475504,0.5258065461509792,0.0372337656031072,0.9165594487547993,-0.5249623496323896,1.1661848054093322,-0.08846920594020335,-0.1715202060286712,0.700083488173805,-0.18195551057800458
s526,-2.1263420840481118,0.38308195568947084,-0.051473212847691296,0.09043937743188535,-0.605372841615835,0.1746701069451292,0.886362471703746,-1.5519376347953284,-1.2229047958923234,1.5757450572879603,-1.7657303573986685,1.4063432139213823
s541,-1.3532868786374164,-1.6352222881582696,0.7504183837080844,0.6606270249576001,-0.1556059334168795,-2.35444950273866,0.4097869927176327,0.5064015263276388,1.055551239842817,-0.6316561179924176,-1.7340331334809984,0.5730205790543893
s546,0.586290088646144,-0.6129225367639476,0.8977834285681611,-0.6245547241732116,-0.20123107700105694,-0.2751149508654865,-1.1787052654542431,-1.2183243889828894,0.6285597206479534,0.3485235375053875,0.15766327537725278,0.16301336143674575
s548,-0.11106973297036903,-0.6462216835975413,1.3703530748384085,0.056649889303884086,-1.590119587309058,0.05713391249385332,-1.3009510791243215,0.454293577432082,1.110013629874325,-1.1919272635618243,1.5232973848160165,-1.1961052940542367
s549,-0.6960427082039715,0.1539215983691609,-0.7369046384527711,1.5783716562108991,-1.3536900483781182,-0.19545314709917927,-0.8361645320259167,-0.31766007858539225,-0.7786283143903805,-1.637674086981869,-1.211646522177675,-0.6087667026377361
s553,-1.0627639845525312,-0.3794226565433406,1.4038554915518004,0.25894086553881457,-0.7293496084952129,-1.2054673928567703,-2.3159466920635166,-2.0880102216723238,1.6801076939234165,1.9858164276969577,-0.843701973823282,-0.9026007904385928
s554,-1.0719733006442331,-1.0951723970963811,1.387138168109445,-0.6520234822097173,-1.1850262030618466,-1.180794157863383,0.4436554560551307,1.2209504441210368,-0.22311142969962483,0.1757371510667114,-0.915266432168279,0.20379306651848178
s555,1.0710838845691433,1.3265158992153805,0.18983112808949146,2.083547731237458,-0.8551376591143868,-1.3380066111783964,-0.03437554944880943,-0.21405504200758063,-1.4171260440547957,1.441002957921739,0.18801115611279512,2.082922722884725
s556,0.6947770070981738,0.30239689144615833,-1.25749016457558,1.8705145519243707,2.3049500333578425,-0.06698135014505037,-0.09201680903500699,0.018221343082350478,0.4910898622455663,-0.8538545336199298,0.6865307776049406,-0.1235286931952299
s561,-0.371744802875943,-0.5018906751761861,1.5719208345410214,0.4157932729518768,-1.0966649246735891,-0.3838186916533258,-1.5963635301788717,0.3737613831392517,1.5584719530135833,-1.0717810768209772,1.8216386827721136,-0.4517136775460712
s570,1.063177050348893,-0.588822683104471,0.25359875192304226,-0.2988450035947402,-1.815994953261589,0.4571425329237113,0.0463770916497653,-0.07816335296658472,-0.48908158401236307,-0.14867202698493245,0.19756061621421458,0.7814643800272513
s572,-0.25951138185236877,-0.24322462657855695,-0.6813552056977329,-0.4382833082461295,1.2366704182035075,0.17469879037711183,0.49261541672372305,0.5256919725282725,-0.20436771915095306,-0.20849533736232018,-0.7689596573067932,0.11136299465833716
s573,-0.7239166449972637,0.8491675013006397,0.39878642523823143,0.20041265888794885,-0.3189375804395805,0.4060917503363988,0.14917445406181254,-0.9041471786276789,-0.52809081023474,0.7438060248656321,2.1332477298173513,0.3715508085588231
s574,1.8573805967172647,-1.7073906125309828,0.5281080531988109,-0.7900554532573718,-0.48369343953743754,-1.9058951987664323,1.3508548011109731,1.2913590224487763,-0.06242900997554417,0.48538439456727245,-1.1236285744693764,0.7395528857425121
s581,-0.05374867436268207,0.2166451302315944,-1.6440284899476818,0.24624624100512343,0.8683631942714879,1.332556072639049,1.0771322630528848,0.6161595355612993,-0.820574536661218,-0.6478390880900171,-0.42481814483752234,-0.13328860962784533
s583,1.4953586311929394,-0.008272301809189704,0.20105030112914807,0.8649272068550612,-0.08529009353005272,-0.6034273213399646,0.5077506962948161,-0.24500617590020538,0.07250838919454487,-0.09425754474426126,-0.8963909438521984,0.6310313363319975
s584,-0.013771101941000844,-0.584017812022417,0.4445319159619537,-0.02091236299414176,1.5429741155702785,-0.1257721291035255,-0.5441111223796471,0.3849310366081767,0.6717592250403862,0.6009773158968764,0.2425178085086369,-0.4578968784477529
s585,-0.3318535056319098,-1.2408834403601567,1.647867956323179,-0.49009654923465157,1.840468247989153,-0.23619033872586415,-0.33278088069050077,1.9994509508605336,0.8728281216959161,-0.8411212456638764,0.14589123123605574,-1.845926154300022
s586,0.5240534962695456,-0.5816507028097042,0.699247075618567,-0.6998405997302407,-0.7428261216028909,-0.8898472599583152,-1.7468881485164944,0.8190155479632276,0.12138341249559922,-0.5541508412674307,2.098580989899283,-1.666049771681678
s587,-0.026100322910690105,-0.121066306879603,0.7821310747785168,0.766002662057067,1.3368055397190102,-0.6953689057903667,0.20038567288409823,0.447683086148924,-1.4608123571705944,-0.20316775887725214,-1.3428173597894293,1.3438391512318106
s589,0.8241907728766545,0.6018756085840417,-0.2225541233982449,1.3657931907877185,0.2839727285956115,1.629653496474135,-0.6213872951776864,0.007794647901537932,-0.7737764525121046,-0.31896338215834813,1.2282723278104581,1.2952537033073281
s593,-0.6332597420934887,1.1632994003290695,-0.4814609998792814,-0.22479264532516308,1.1265084370185976,1.556616553937451,-0.09614640826038746,-0.3333250492744466,-0.6190702954181883,0.4749276222984982,-0.9839490750569532,0.980869110513654
s594,1.2225654590145236,0.320113020024137,0.855238032164334,-0.14181596742057898,0.37887689231486915,-1.248308037880248,-0.9213579314279048,0.936615589671676,0.2510172969749324,-0.21992698870824381,-0.24129381246395687,-0.8646540359162864
s595,-1.5429851406438317,0.42784117507809066,-1.0797845896019076,-0.37650794848893143,-1.2367213621235071,-0.20032946760445317,0.1793462704353086,-0.7792413409737995,-0.45068050270505766,0.5316886258820614,-0.6762789773026918,0.1756863172124382
s596,0.418031707214039,-0.18321547975210145,-0.2837907099996866,1.1884615344696303,-0.10001944468525178,0.12906425052435522,0.4359357434882444,-1.8227706189606123,-1.5487519848384428,0.3141238317841752,0.32831697342288757,1.9900551221327838
s597,-0.03020018890297443,-0.3584646769933133,-0.2415916104919577,-0.5814508569599927,0.5301819256759781,-0.7666613992072542,-0.1302941023730859,0.8153033891808344,0.23408072570267435,1.756157649564963,-0.8436325724161869,0.3620730547418072
s598,-0.232259805162939,-1.4461574674610673,-1.4591705575631384,-1.8113386681021357,0.389634627599211,0.14484680547798165,0.405983580392157,-0.7072334721434554,0.3688885975760903,-0.21654103676646216,-1.1430151594056273,-0.6337926475021022
s601,-0.4148003734044983,0.9884595671991118,1.0381936411954318,-0.7070435721812945,0.6752766588772949,-0.29364406547719946,-1.2026043415097394,0.3053809164069399,-0.7439632109027188,-0.1474877391779936,-1.1938036636116982,0.4835002745671838
