,adaptive_n_back.hddm_drift,adaptive_n_back.hddm_drift_load,adaptive_n_back.hddm_non_decision,adaptive_n_back.hddm_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_coef_of_variation,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_coef_of_variation,attention_network_task.alerting_hddm_drift,attention_network_task.conflict_hddm_drift,attention_network_task.hddm_drift,attention_network_task.hddm_non_decision,attention_network_task.hddm_thresh,attention_network_task.orienting_hddm_drift,bickel_titrator.hyp_discount_rate_large.logTr,bickel_titrator.hyp_discount_rate_medium.logTr,bickel_titrator.hyp_discount_rate_small.logTr,choice_reaction_time.hddm_drift,choice_reaction_time.hddm_non_decision,choice_reaction_time.hddm_thresh,cognitive_reflection_survey.correct_proportion,cognitive_reflection_survey.intuitive_proportion,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.hddm_drift,directed_forgetting.hddm_non_decision,directed_forgetting.hddm_thresh,directed_forgetting.proactive_interference_hddm_drift,discount_titrate.percent_patient,dot_pattern_expectancy.AY-BY_hddm_drift,dot_pattern_expectancy.BX-BY_hddm_drift,dot_pattern_expectancy.bias,dot_pattern_expectancy.dprime,dot_pattern_expectancy.hddm_drift,dot_pattern_expectancy.hddm_non_decision,dot_pattern_expectancy.hddm_thresh,go_nogo.bias,go_nogo.dprime,hierarchical_rule.score,holt_laury_survey.beta,holt_laury_survey.risk_aversion,holt_laury_survey.safe_choices,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.hyp_discount_rate_large.logTr,kirby.hyp_discount_rate_medium.logTr,kirby.hyp_discount_rate_small.logTr,kirby.percent_patient,local_global_letter.conflict_hddm_drift,local_global_letter.global_bias_hddm_drift,local_global_letter.hddm_drift,local_global_letter.hddm_non_decision,local_global_letter.hddm_thresh,local_global_letter.switch_cost_hddm_drift,motor_selective_stop_signal.SSRT.logTr,motor_selective_stop_signal.hddm_drift,motor_selective_stop_signal.hddm_non_decision,motor_selective_stop_signal.hddm_thresh.logTr,motor_selective_stop_signal.proactive_control_hddm_drift,motor_selective_stop_signal.reactive_control_hddm_drift,probabilistic_selection.positive_learning_bias,psychological_refractory_period_two_choices.PRP_slope,ravens.score,recent_probes.hddm_drift,recent_probes.hddm_non_decision,recent_probes.hddm_thresh,recent_probes.proactive_interference_hddm_drift,shape_matching.hddm_drift,shape_matching.hddm_non_decision,shape_matching.hddm_thresh,shape_matching.stimulus_interference_hddm_drift,shift_task.acc,shift_task.learning_rate,shift_task.learning_to_learn,shift_task.model_beta,shift_task.model_decay,shift_task.model_learning_rate,simon.hddm_drift,simon.hddm_non_decision,simon.hddm_thresh,simon.simon_hddm_drift,simple_reaction_time.avg_rt,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.SSRT,stim_selective_stop_signal.hddm_drift,stim_selective_stop_signal.hddm_non_decision,stim_selective_stop_signal.hddm_thresh.logTr,stim_selective_stop_signal.reactive_control_hddm_drift,stop_signal.SSRT_high,stop_signal.SSRT_low,stop_signal.hddm_drift,stop_signal.hddm_non_decision,stop_signal.hddm_thresh.logTr,stop_signal.proactive_SSRT_speeding,stop_signal.proactive_slowing_hddm_drift,stop_signal.proactive_slowing_hddm_thresh,stroop.hddm_drift,stroop.hddm_non_decision,stroop.hddm_thresh,stroop.stroop_hddm_drift,threebytwo.cue_switch_cost_hddm_drift,threebytwo.hddm_drift,threebytwo.hddm_non_decision,threebytwo.hddm_thresh,threebytwo.task_switch_cost_hddm_drift,tower_of_london.avg_move_time,tower_of_london.num_extra_moves,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,two_stage_decision.model_based,two_stage_decision.model_free.logTr,writing_task.neutral_probability,writing_task.positive_probability
s445,1.7940239695,-0.3516259082,0.0879563183,2.0552621586,1.45,16.4736842105,,0.6000000000000001,3.286335345,-0.5048726841,-0.9147195686,4.5093309961,0.38706393180000004,2.8621589096,-0.9681217609,,,-2.0244504048667906,3.0436589511,0.2480090866,1.5341924912,0.1666666667,0.6666666667000001,25.7083333333,-0.0291666667,1.0,0.0015,-1.9583333333000001,29.125,0.0053191489,1.0,-0.0004822695,-0.8705673759,0.2424895171,0.7190171022,8.0,5.3,-0.1794101826,0.3410616931,2.012634553,,,-2.1145354005,-0.9956716494000001,-0.4149355918,2.7647143158,2.1761171189,0.2909392226,1.5853349808,-1.0456253022,2.5979448106,202.0,59.8991114415,0.8568707964000001,6.0,0.6774802208,0.0019599057,0.7409576416,0.0019904289,0.47222222220000004,,,-1.8444397271102142,0.0740740741,-1.8000781931,-0.3457378783,0.9764035219,0.46240397710000003,1.9531857813000002,-0.45832334140000003,,,,,,,-0.9122885088,0.3046848277,6.0,1.4044941103,0.508309003,2.2512355982,-0.4263064682,1.3697209103999999,0.3510882745,1.9324323453,-0.7469592862000001,0.46287128710000003,0.0333126329,0.0013458865,5.4147457454,0.7483138975,0.2271152243,2.1895551533,0.2610068286,1.8549157366,-0.5019297114,339.5,7.7,6.2,246.6666666667,1.8681101858,0.3376066371,0.3865600950877273,-0.4650115336,194.4166666667,270.1666666667,1.9360319886,0.3321730808,0.3642889742212988,75.75,0.3400545936,0.34163311420000003,2.4093969177,0.31759309999999996,2.2656661354,-0.6592258705,-0.1156721197,1.33839407,0.0403854701,2.1615708172,-0.326059704,1626.7663690476,18.0,6.0,3190.5833333333,,,0.8644119559000001,0.3401182626
s465,1.7122998863999999,-0.3625247706,0.2516869771,1.8303954574999999,1.7000000000000002,4.0,5.2235729425,9.48,2.5350871122000003,-0.6706331422,-1.0393423006,3.3463724173,0.38700341390000004,2.0546049935,-0.4628335765,-7.5014849083665,-7.565944859015665,-5.107567874781435,2.4330658498,,1.7333020486000001,1.0,0.0,3.25,0.0083333333,1.0,0.001,-1.8333333333000001,1.0,6.938893904000001e-18,0.0,-3.523657061e-19,-5.551115123e-17,0.3717286308,0.0997416601,7.4,6.7,0.5410525861000001,0.4351345299,2.0022205006,-0.4008124558,,0.5383736063,0.26978691450000003,-0.3237822041,1.6251172304,1.0817398038,0.1393394407,1.9565925032,-1.5451691339,2.8750694831,108.0,31.0929504774,0.4744199864,8.0,0.5,,0.9,0.0008953358,0.5833333333,-7.365900695568905,-6.449609932071972,-5.553730190361736,0.7037037037,-0.8157557595,-0.1711037057,0.8029825597,,2.6896523353,-0.22552376600000001,,,,,,,-11.8528628461,0.6258888567,12.0,0.9205921561,0.3443845781,2.4224679048,-0.1409570536,1.7402737382,0.44871061090000003,1.3000396384,-1.2763857444,0.2966751918,0.0061438421000000005,0.0005507724000000001,9.1918490917,0.600795245,0.04525391,1.8147562072,0.1549409673,,-0.0209860099,406.5,5.6,5.7,219.0,2.0070354133,0.306908287,0.39456244016661685,-0.7349837808,340.1666666667,358.5,3.3528298142,0.3653379532,0.4177870294666011,18.3333333333,-0.4314142526,0.054888121000000005,1.7161452441,0.4620384839,1.6417918618,-1.2420195806,-0.0138989803,1.0304519039,0.0568479093,2.3370348305,-0.26621820830000004,2135.45,8.0,10.0,3293.4166666667,,,0.2043036885,0.31426651650000004
s471,,,,,,47.8947368421,21.3122154249,29.6315789474,12.356781882,,,,,,,-7.217306480474779,-9.13410088739568,,3.3922149153,0.386323334,1.491654021,0.33333333330000003,0.5,,,,,,,,,,,-0.3711784363,0.18360076220000002,7.7,6.1,,,,,,,,,,,,,,,0.0,59.8991114415,0.8568707964000001,6.0,0.683067894,0.0022055213,0.6369407654,0.0016856563,0.5,,-2.067339257049917,-1.8444397271102142,0.14814814810000002,-1.0104084916,-0.0107106162,1.6158473596,0.45761947340000003,1.7832955235,-0.4168710125,,,,,,,,,8.0,,,,,2.4575615313,0.4043418245,1.5919507099999999,-1.0613107115,,,,,,,,,,,,8.1,5.6,,,,,,,,,,,,,,2.8506439856,0.3142494007,2.9249503836,-0.4360311323,,,,,,1545.4060606061,10.0,9.0,1791.4166666667,,,0.8687082814,0.3739587471
s483,2.5202332592,-0.4973551819,0.079453204,2.3551437001,2.45,42.4285714286,11.4402412946,27.9333333333,6.0292935699,-0.6202311794,-0.9981934102000001,3.4321892324,0.3260710196,2.2179583647,-1.1125036813,-10.407135663054696,-7.3121719369063305,-4.155638350005149,3.3470323104,0.2368073591,1.387592334,0.6666666667000001,0.1666666667,10.0416666667,0.0791666667,2.0,-0.0061666667,-2.125,23.25,,0.0,-0.0026571835,-0.4521438732,0.051263016800000005,0.5634642747,8.3,8.0,2.2637239653,0.3108485946,1.827644261,0.0207893888,0.2222222222,-2.920350882,-0.6007611822000001,0.1932209246,4.933693088,3.7458681913,0.0060455555,2.8537488823,-0.7514882369,3.186218941,131.0,7.6113128603,0.3752535483,7.0,0.7862487793,0.0020450179,0.8912780762,0.0025709881,0.5555555556,-4.625581180301964,-4.625581180301964,-3.664674886451777,0.40740740740000003,-0.7837772167,,2.0678176501,0.2312433854,1.7947631441,-0.3220257694,5.5803585591098575,3.1284879019,0.2701374067,0.25018957509292616,-2.2877094954,-0.4809085108,-5.2752876478,0.4194714929,14.0,1.9039763962,0.3480117856,2.1927184912,-0.5631672225000001,1.8887417844,0.36420317820000003,1.7094521537,-0.8288640077,0.4701492537,0.0923469187,-0.0002402204,6.2634303475,0.6822569672000001,0.2743099842,2.8344730686,0.22772329430000002,1.5115600956000002,-0.6198665167,321.5,6.1,6.4,248.5,2.9807475296,0.3990749732,0.5724466935843537,-1.0319742535,217.1666666667,237.8333333333,3.2960219084,0.14408339180000002,1.1242005879463308,20.6666666667,1.139564058,0.8688330065000001,,0.4368503951,1.9726976762000001,-1.0562941133,-0.14604249,1.6630019364000002,0.2906973983,1.7372632044,-0.3249517576,2022.9027777778,1.0,11.0,3868.9166666667,0.31475338350000004,,0.8742947699,0.4780169366
s491,2.7091526216,-0.5406397889,0.0494592129,2.420495651,2.65,38.125,7.5,23.0,6.49175301,-0.7991306890000001,-0.9065491929,3.2584815457,0.3558073633,1.5624750414,-1.4162554995,-11.187478064848095,-9.02836137384875,-7.486162270874812,3.8388002054,0.285685289,1.1508216081,1.0,0.0,4.0,0.1166666667,2.0,-0.0033333333,-1.5833333333000001,3.9583333333,0.0060555088000000005,2.0,-0.0043195963,-2.2005887299999998,,,8.4,8.6,2.6142325512999998,0.44135596260000004,1.9771153251,-0.2859639408,0.6944444444,-1.9808146262,0.25853867140000003,0.0,5.3201349372,5.3641742813,0.1071105755,,-1.2083775268,3.5486526974,276.0,0.0331595576,,3.0,0.7500106812,0.0012887751,0.9785156250000001,0.0016021113000000001,0.5833333333,-6.449609932071972,-5.553730190361736,-4.625581180301964,0.5555555556,-1.3158207639000001,-0.1583789183,1.7366297634,0.3820601985,1.5515940697000001,-0.3811757704,5.6371677255743355,3.4011108104,0.31940095550000003,0.19966464646452514,-1.2915864459,-0.3866480651,7.1236586174,0.352396168,17.0,2.3110206774,0.5499890282000001,2.4360852561,-0.4774252426,3.8674643389,0.4110064993,2.1361208848,-1.8154283349,0.4829268293,0.07611359890000001,0.0016490166,8.0298099431,0.43714758140000004,0.19819392430000002,3.9185283864000002,0.3127735949,1.3913457519,-0.6102419211,287.5,6.2,7.0,276.3333333333,2.6522487223,0.31784946610000003,0.4630868517091148,-0.8573963097,270.5,258.0,2.9300544536,0.2983249683,0.286039575091209,-12.5,-0.5016715917,0.1453008118,3.5842428399,0.35126433430000004,2.7819403141,-1.1516949434,-0.0639277111,1.4815309866000002,0.3241113344,1.6265410468,-0.371700305,2640.6145833333,-9.0,8.0,7542.5454545455,1.2562461621,,0.2791206546,0.3446379128
s495,1.96475972,-0.3719582255,0.0414405158,2.4519712292999998,1.9,33.0869565217,11.2084101682,23.6842105263,5.9540148134,-0.4098298235,-1.0672404131,4.7030927026,0.3315001267,2.5052856929000002,-1.4913410181,-8.696055538182067,-5.301275838513714,-4.403266230394839,,0.26960468130000004,1.3528912273,1.0,0.0,4.75,,3.0,-0.013000000000000001,-3.75,5.2083333333,0.32701236710000003,3.0,-0.0149659362,-2.8689520503,0.4569416633,0.6053664397,7.6,7.5,2.5060040411999998,0.42610739140000004,1.717585152,-0.3223001618,,-2.7410291318,1.5411117839,0.0,5.3201349372,4.0676057442,0.2136894302,1.9164480782000002,-0.7017421781000001,4.5619233948,222.0,1.2928725743,0.0438060331,4.0,0.7937549591,0.0010600744,1.0,0.0011003898,0.5277777778,,,-1.8444397271102142,0.037037037,-1.0730512576,-0.49462559800000006,1.9727364707000001,0.42820079990000004,1.9955487834,-0.4702553425,,,,,,,-4.3047351316,0.3985719217,17.0,1.6486477059,0.4441145482,2.2922867048,-0.5702839915,3.9998275118,0.36794021800000004,1.7102919736,-2.516446181,0.4925742574,0.0579236123,-0.0012748207,5.341469543,0.4392636635,0.234868606,3.9783153131,0.278800875,1.4447142080000002,-0.7432920807000001,313.5,7.8,8.0,248.6666666667,4.3027181446,0.3370547352,0.6616051624597316,-1.2622968583,255.1666666667,255.3333333333,3.6195358094,0.2841188868,0.4681969524376039,0.1666666667,0.5107752555,0.7708492477000001,3.0737587921,0.3002676244,2.0980716762,-0.980031207,-0.08576110940000001,2.8718957983,0.3597489782,1.56917504,-0.3336901103,1740.0520833333,8.0,7.0,4746.0833333333,0.1184411102,-2.1090498988692064,0.8245568127,0.40948353460000003
s497,,-0.0193039115,0.0049220901,1.620246209,1.05,19.307692307700002,19.6260423535,6.724137931,5.1678715688,-0.626888821,-1.0115650288,3.1647238112,0.3591031051,2.0153575463,-0.8087482907,-8.727946322012498,-6.672122918508521,-3.1173483286023806,2.9360155974,,1.5771014804,0.33333333330000003,0.5,10.5416666667,-0.0625,0.0,0.0005,0.45833333330000003,13.8333333333,0.0620486986,1.0,-1.51134e-05,-2.2210327456,0.1970198675,0.34602649010000003,7.6,8.4,1.0296773072,,2.7872116846,-0.2241901825,0.33333333330000003,-2.4627023745,-0.5636110211,0.0131079765,3.0420251358,1.9890420325,0.2178953136,1.6718693686,-0.9630841912,3.0580660263,30.0,0.0331595576,,3.0,0.760799408,0.0016254392,0.7976013184,0.0020278296,0.7777777778,-5.553730190361736,-5.553730190361736,-4.625581180301964,0.5185185185,-0.7365458311,0.0176723683,1.394045599,0.4099743121,2.5676125973,-0.2606298419,5.647799839905382,2.583077695,0.3263426433,0.5827267928686242,-0.7697187966,-0.3428858137,-2.8358628762,0.594661057,5.0,1.5126612833,0.7091625354000001,2.2461267830000002,-0.3689311782,1.166249849,,2.634210061,-0.5169286527,0.4456233422,0.053241294800000005,-0.0035501511,5.9962078860000005,0.6668487379,0.2468937586,2.1203095906,0.2244100134,1.9143385708,-0.5542821222000001,419.0,5.0,5.3,283.3333333333,2.2913403904000003,0.3520457643,0.6617535848147905,-0.8252900077,,,,,,,,,2.3423287788,0.4228533014,2.4054317005,-1.1340920767,-0.0238379383,1.6746689273,0.0737968568,2.7344052235,-0.2291516168,3278.5277777778,-10.0,6.0,6806.6666666667,,,0.8792745055000001,0.3699136021
s499,1.2011216021,-0.1916907813,0.0290320209,1.5535825701000001,1.8,41.0,,25.5,,-0.4471804514,-1.0247868727,2.6249430019,0.2917541192,1.7499189943,-1.1999733064,,-5.254313916628217,,2.7498134882,0.2711834812,1.4899776217,0.8333333333,0.0,13.3333333333,0.25,0.0,-0.006,-2.5,28.7916666667,0.0322055138,1.0,0.0026516291,-1.3295739348,0.1542440217,0.583507321,8.0,8.0,0.896900083,0.0673409241,2.0888957165,-0.5186400818,0.5277777778,-1.2137257595,-0.9314690097,-0.1240203742,1.9312832155000001,1.4874570198,0.0066610173000000005,1.8157463525000002,-1.4013457528,3.1627162453,105.0,2.3916188301,0.3492235958,5.0,0.6103472471,0.0010174601,0.6976275444000001,0.001251848,0.6944444444,,,,0.0,-1.3870782982,-0.2512710626,1.1383546021,0.38605576140000003,1.2749967754,-0.4275877236,5.763099051812516,2.070462588,0.34859181040000004,0.2998723502249409,-0.1454368982,0.0121862506,,0.44512291070000004,11.0,1.2460524755,0.6583274885,2.3188754218,-0.5406699128,0.9734656416,0.27731735,1.4906521914,-1.4633026443000001,0.4962593516,0.0261315522,-0.0019111858,3.7298571883,0.5215975656,0.1455177251,2.515173979,0.3107351351,1.2256034984,-0.7347079918,312.5,6.5,5.6,,,,,,317.4166666667,311.0,1.8728986932,0.2549921303,0.5430122698112124,-6.4166666667,0.4195352466,0.25476707120000003,1.7627944125,0.3236813129,1.8700170764,-1.2478895635,-0.07005675880000001,1.0366870704,0.0279131911,1.9381777487,-0.34489572290000003,2158.1083333333,3.0,9.0,2917.6666666667,,,0.1998967574,0.3080438594
s512,2.1044564405,-0.5446072914,0.0567415371,2.2619849438,1.9,34.84,11.1716904122,26.5,10.2726002448,-0.6143470969,-1.014825134,2.9852065964000003,0.3580650449,1.3618205172,-1.4740626414,-11.179816019054204,-12.342992630095766,-9.084560066564935,4.1293951492,0.2893778849,1.1914287025,0.33333333330000003,0.1666666667,16.125,-0.0125,1.0,0.0018333333,-1.5416666666999999,17.9583333333,0.0205673759,0.0,-0.0015106383,-0.28900709220000004,0.3920607829,0.5223256070000001,8.4,5.6,0.48776589140000004,0.3840262325,1.4862975773,,0.30555555560000003,-3.067385993,-1.0470928048,-0.14226252420000002,3.3527661372,2.8162024321,0.0479013602,2.3412563689,-0.8903224109000001,3.6777149035,116.0,1.2928725743,0.0438060331,4.0,0.637353611,0.0018890042,0.6723927975,0.0018424126,0.5277777778,-7.365900695568905,-6.449609932071972,-7.365900695568905,0.7037037037,-0.9207125122,0.0915726008,1.241552092,0.4404238648,1.7452375202,-0.38134637450000003,,,,,,,,0.21903511620000002,4.0,1.4851224998,0.4367644531,1.5750745338,-0.4585811335,1.6918168927,,2.051674899,-0.6095470795,0.3618090452,0.0266536151,0.0010613237,1.0,0.0,0.1,3.1497544901,0.3102857318,1.0527445947,-0.45191612410000004,333.5,6.0,5.2,307.0,2.0301983799,0.31372240630000003,0.2642231227194906,-1.0637512681,277.5,338.0,3.2841911953,0.3078445801,0.45870879337626247,60.5,0.2546805533,0.30308076840000003,2.8501730035,0.3261613394,1.6476132472,-0.7079687797,-0.0950944492,1.5562875475,0.3785319526,1.3751248453,-0.29967519070000004,1762.9151515152,10.0,8.0,2695.5,,,0.23845704310000002,0.2239972745
s513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2306949807,-0.0897683398,,,0.49291830670000003,,2.0692858107,-0.8534692425,,,,,,,,,,,,0.41665473610000003,0.1563041456,5.0,0.5644721031000001,0.0012371303,0.5161180258,0.0011798547,,,,,,-0.6629729358,-0.4367104423,0.12380836190000001,,1.2199069772,-0.3208560884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s519,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2083775268,3.5486526974,161.0,,,,,,,,0.7777777778,-8.511264302067358,-8.511264302067358,-8.511264302067358,1.0,-0.7670993634000001,0.0659503483,1.7410383957,0.4695988446,2.0884699414,-0.45131306670000004,,,,,,,,0.4971392545,,1.9987131243,0.494235482,2.4812511345,-0.4223804614,,,,,0.4640198511,0.033498042900000004,0.0002619437,9.5667437502,0.6965061119,0.20364317910000002,,,,,,5.5,5.5,,,,,,,,,,,,,,,,,,-0.0828984209,2.417139471,0.3304780681,1.8718173723,-0.2549877083,,,,,,,0.5843955225,0.3824624446
s524,2.043960416,-0.20644523150000002,0.09071801360000001,2.5059889423,2.95,,,,,,,,,,,-12.343038500603331,-12.345288736909097,-12.342121489993449,4.3488840275000005,0.2123782038,1.5512252937,,,7.0416666667,0.0791666667,2.0,-0.0055000000000000005,-1.875,,,,,,,,,,,,,,,-1.4815156378,-1.2915857319000001,-0.4190199759,2.5212824189000003,1.8638004287,0.0094775189,2.2690327183,,,218.0,7.6113128603,0.3752535483,7.0,0.8311676025,0.001359254,0.9344818115,0.0017310636000000001,,-8.511264302067358,-8.511264302067358,-7.365900695568905,0.8148148148000001,-0.5494246803,0.0823371246,1.5664372038,0.268708221,2.2754801869,-0.4718514889,,,,,,,,0.3576571162,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2611.3791666667,17.0,6.0,3246.25,-0.49109174590000004,,,
s525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,7.6113128603,0.3752535483,7.0,0.7804939270000001,0.001193112,0.8704833984,0.0010513789,,-4.625581180301964,-2.748384152235016,-1.8444397271102142,0.2592592593,,,,,,,5.797070409079657,2.7709832537,0.2612215465,0.5414274154970825,-0.7902108953,-0.18849665440000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032.6944444444,2.0,9.0,2631.0,,,,
s526,2.3604578184,-0.8958801805000001,0.0580626951,2.8669213343,1.55,38.0,10.1825444034,23.0555555556,8.7680719071,-0.33435650850000004,-0.9461174817,3.3119338314,0.3801670163,2.4022172117,-1.2339984974,-11.187478064848095,-7.625095566905964,-7.171316609647562,3.852781233,0.26032708860000003,1.5710903233,0.5,0.5,9.5416666667,0.1375,2.0,-0.0085,-4.375,7.5416666667,0.0647058824,1.0,-0.0048333333,-1.0661764706,0.5233091429,0.6694903823,7.7,6.6,2.5455910233,0.4706169471,,-0.30204467960000003,0.6111111111,-3.0477074938,-0.6692853832,0.342201409,4.6357321192,3.5476852341000003,0.23999402220000002,2.0707162123,-1.1652624446,3.6348828618,187.0,7.6113128603,0.3752535483,7.0,0.9634521484,0.0007946167000000001,0.9921875,0.0007006981000000001,0.5833333333,-7.365900695568905,-6.449609932071972,-6.449609932071972,0.7037037037,-0.7580322753000001,0.2122384467,1.7550564203999999,0.369340535,2.2563299157,-0.6139301038,5.457455587886334,,0.1812417249,,-1.9845014303,-0.2504407931,,0.5901456505,14.0,1.3503935486,0.58887133,2.4682799965,-0.4767720633,1.8096129061,0.4383680904,1.596254271,-1.1671100749,0.488372093,0.058169564300000004,-0.0002387086,5.1063593616,0.7063248444,0.2664223296,3.0671037029,0.2472682804,2.0195364345,-0.42324890470000004,289.5,5.3,4.9,239.0,3.1939894046,0.3064854084,1.0625337843564742,-0.7647060282,238.5,276.1666666667,4.629919205,0.2792230251,1.0834511623870162,37.6666666667,-0.9004199498000001,0.0739412963,3.9113954736,0.37032240720000004,2.5085101109,-1.1733515743,-0.0749349082,2.2205448231,0.1304110124,2.991822534,-0.2952609648,2818.0476190476,5.0,5.0,5608.8333333333,0.2657346208,-1.3359327652486386,0.14603367820000002,0.8527215385
s541,1.6291893692000001,-0.1555638547,0.2075714002,2.8005694049,3.25,28.8260869565,7.6434890529,13.9130434783,3.5791446855,-0.17805945280000002,-0.8310855912,3.0377290017,0.3585806379,2.6123507357999998,-0.6595928555,-7.6294188133218785,-5.589304869253587,-7.557895270299842,2.6672883364,0.3220469955,1.8219441514999999,0.8333333333,0.1666666667,3.2083333333,0.0958333333,3.0,-0.006500000000000001,-0.7916666667000001,7.2916666667,0.1687055477,3.0,-0.008212152,-1.6958951433,-0.0636580621,0.8820932382000001,8.3,7.8,1.7453201472000002,0.539462077,2.7152940423,-0.0870863474,0.1944444444,-2.4588428359,0.32792724830000003,0.0,5.3201349372,3.8906986268,0.1453298225,3.4430202532,-0.7539398563,2.6397773563999998,182.0,7.6113128603,0.3752535483,7.0,0.7228126526,0.0007161371000000001,0.9234664917000001,0.0009942838,0.7222222222,-4.625581180301964,-4.625581180301964,-3.664674886451777,0.40740740740000003,-1.2585953861,0.0713880114,1.9187334711,0.3636963413,1.9916349282999999,-0.4549880737,5.619192406355703,3.2415269464,0.3071861187,0.604546484817541,-1.1939802369,-0.459222844,8.8437932529,0.5385294125,16.0,,,,,1.9249665851,0.525885461,1.4442826247,-0.31984358420000003,0.5667506297,0.050030909400000004,-0.0014304604,11.9546157826,0.5943888846000001,0.16077924,2.6479478522,0.3498769997,1.4835818159,-0.36961976100000005,302.0,6.6,6.9,234.0,2.5966744583,,,-0.2330858201,,,,,,,,,1.8427770886000001,0.3674308677,1.9017198217,-0.873008438,-0.1706559433,2.0485618382,0.3775484296,2.2657752345,-0.3711112971,2101.4566666667,2.0,9.0,4402.4166666667,-1.0545602065,,0.5626039922,0.1838705044
s546,1.9092721373,-0.3438651351,0.0504437906,2.0161142208,2.4,48.8,12.4291677326,33.1176470588,2.8914173199,-0.6707243819,-1.020036942,3.8977991936,0.3651833788,2.6314212048,-0.9114252801,-8.00708042167031,-6.599644819180491,-4.456615491664954,4.048773486,0.2854226295,1.2247107542,0.8333333333,0.1666666667,3.4166666667,0.0166666667,1.0,-0.005,-0.4166666667,5.4583333333,0.13902522150000002,2.0,-0.0069597819,-0.2811860941,0.1417553004,0.9928858209,8.5,6.3,1.9403941196,0.5640274884,2.0474702514,-0.6459442529,0.33333333330000003,-3.6845928693000003,0.4308894694,0.3346735035,4.6507879302,2.5395492203,0.0292303301,2.3177878011,-0.4564488425,4.0713367236,100.0,7.6113128603,0.3752535483,7.0,0.7384960175,0.0013895493,1.0,0.0016886521000000002,0.5555555556,-2.748384152235016,-5.553730190361736,-5.553730190361736,0.48148148150000003,-0.6721321346,-0.5882346503,1.9339313872,0.43529759760000003,2.1773428395,-0.41640524100000004,6.1413203026524315,2.5953562605,0.31392178330000003,0.36930573464250216,-0.5305175160000001,-0.2658260598,-0.7923903576,0.6556181247,17.0,1.8148738623,0.49499854120000003,2.2485220898,-0.47974180850000003,1.9648294628,0.2964443385,2.0619400213,-0.2693614668,0.2864321608,-0.012395119100000001,0.0011000515,,0.7562674254,0.016122234200000002,3.1095286975,0.2583342462,1.6360352232,-0.5021159358,315.0,5.6,6.3,322.1666666667,3.3560498144,0.33134022090000004,0.9821219287712877,-1.018101354,203.0,250.0,2.859538388,0.2857400715,0.7692125625650095,47.0,-0.8075615811,0.4392435979,2.2425958339,0.3483645644,2.0544496744,-0.8321194788,0.0075913237,1.137689199,0.0265287272,2.3400074424,-0.2416446919,2170.0966666667,10.0,6.0,6040.0833333333,0.0011349439000000001,,0.1168813711,0.2070585655
