,subj_idx,response,rt
adaptive_n_back_2_396,2,1.0,0.425
adaptive_n_back_2_398,2,1.0,0.44
adaptive_n_back_2_450,2,1.0,0.528
adaptive_n_back_2_452,2,1.0,0.401
adaptive_n_back_2_454,2,1.0,0.413
adaptive_n_back_2_456,2,0.0,0.372
adaptive_n_back_2_458,2,1.0,0.431
adaptive_n_back_2_460,2,0.0,0.583
adaptive_n_back_2_462,2,0.0,0.269
adaptive_n_back_2_464,2,1.0,0.678
adaptive_n_back_2_466,2,1.0,0.397
adaptive_n_back_2_468,2,1.0,0.353
adaptive_n_back_2_470,2,1.0,0.426
adaptive_n_back_2_472,2,0.0,0.54
adaptive_n_back_2_474,2,1.0,0.449
adaptive_n_back_2_476,2,0.0,0.512
adaptive_n_back_2_478,2,1.0,0.334
adaptive_n_back_2_480,2,1.0,0.501
adaptive_n_back_2_482,2,1.0,0.409
adaptive_n_back_2_484,2,1.0,0.37
adaptive_n_back_2_486,2,1.0,0.379
adaptive_n_back_2_488,2,1.0,0.361
adaptive_n_back_2_490,2,1.0,0.483
adaptive_n_back_2_492,2,1.0,0.487
adaptive_n_back_2_496,2,1.0,0.453
adaptive_n_back_2_498,2,1.0,0.418
adaptive_n_back_2_500,2,1.0,0.571
adaptive_n_back_2_502,2,1.0,0.523
adaptive_n_back_2_504,2,1.0,0.422
adaptive_n_back_2_506,2,1.0,0.429
adaptive_n_back_2_508,2,1.0,0.409
adaptive_n_back_2_510,2,1.0,0.403
adaptive_n_back_2_512,2,1.0,0.426
adaptive_n_back_2_514,2,1.0,0.354
adaptive_n_back_2_516,2,0.0,0.467
adaptive_n_back_2_518,2,1.0,0.438
adaptive_n_back_2_520,2,1.0,0.407
adaptive_n_back_2_522,2,1.0,0.331
adaptive_n_back_2_524,2,1.0,0.432
adaptive_n_back_2_526,2,1.0,0.392
adaptive_n_back_2_528,2,1.0,0.443
adaptive_n_back_2_530,2,1.0,0.436
adaptive_n_back_2_532,2,1.0,0.511
adaptive_n_back_2_534,2,1.0,0.412
adaptive_n_back_2_536,2,1.0,0.525
adaptive_n_back_2_538,2,0.0,0.398
adaptive_n_back_2_638,2,1.0,0.55
adaptive_n_back_2_640,2,1.0,0.537
adaptive_n_back_2_642,2,1.0,0.427
adaptive_n_back_2_644,2,1.0,0.491
adaptive_n_back_2_646,2,0.0,0.604
adaptive_n_back_2_648,2,1.0,0.431
adaptive_n_back_2_650,2,1.0,0.557
adaptive_n_back_2_652,2,1.0,0.596
adaptive_n_back_2_654,2,1.0,0.523
adaptive_n_back_2_656,2,1.0,0.436
adaptive_n_back_2_658,2,1.0,0.462
adaptive_n_back_2_660,2,1.0,0.528
adaptive_n_back_2_662,2,1.0,0.525
adaptive_n_back_2_664,2,1.0,0.449
adaptive_n_back_2_666,2,1.0,0.519
adaptive_n_back_2_668,2,1.0,0.65
adaptive_n_back_2_670,2,1.0,0.603
adaptive_n_back_2_672,2,1.0,0.498
adaptive_n_back_2_674,2,1.0,0.47
adaptive_n_back_2_676,2,1.0,0.466
adaptive_n_back_2_678,2,1.0,0.521
adaptive_n_back_2_680,2,0.0,0.383
