Variable Name,Short Name
columbia_card_task_hot.information_use,CCTHINFO
columbia_card_task_hot.loss_sensitivity,CCTHLOSS
columbia_card_task_hot.probability_sensitivity,CCTHPROB
cognitive_reflection_survey.correct_proportion,CGRSCRP
cognitive_reflection_survey.intuitive_proportion,CGRSINTP
choice_reaction_time.acc,CRTAC
choice_reaction_time.avg_rt,CRTAVRT
choice_reaction_time.avg_rt_error,CRTAVRTE
choice_reaction_time.std_rt,CRTDRT
choice_reaction_time.std_rt_error,CRTDRTE
choice_reaction_time.missed_percent,CRTMSPRC
choice_reaction_time.post_error_slowing,CRTPES
choice_reaction_time.EZ_drift,CRTZD
choice_reaction_time.EZ_non_decision,CRTZN
choice_reaction_time.EZ_thresh,CRTZT
dietary_decision.health_sensitivity,DDTHEALT
dietary_decision.taste_sensitivity,DDTTASTE
demographics_survey.age,DEMAGE
demographics_survey.arrest_count,DEMARST
demographics_survey.BMI,DEMBMI
demographics_survey.caffeine_intake,DEMCAFF
demographics_survey.car_debt,DEMCARDT
demographics_survey.credit_card_debt,DEMCCDT
demographics_survey.divoce_count,DEMDIVR
demographics_survey.education,DEMEDUC
demographics_survey.education_debt,DEMEDUDT
demographics_survey.gambling_problem?,DEMGAMB
demographics_survey.height(inches),DEMHEIG
demographics_survey.hispanic?,DEMHISP
demographics_survey.home_status,DEMHOME
demographics_survey.household_income(dollars),DEMINCOM
demographics_survey.children_count,DEMKIDS
demographics_survey.mortage_debt,DEMMORDT
demographics_survey.mturk_motivation,DEMMTMV
demographics_survey.other_sources_of_debt,DEMOTDT
demographics_survey.other_motivation,DEMOTMV
demographics_survey.percent_retirement_in_stock,DEMPRIS
demographics_survey.race,DEMRACE
demographics_survey.relationship_count,DEMRELCT
demographics_survey.longest_relationship(months),DEMRELLG
demographics_survey.relationship_status,DEMRELST
demographics_survey.retirement_account?,DEMRETAC
demographics_survey.sex,DEMSEX
demographics_survey.traffic_accident_count,DEMTRACC
demographics_survey.traffic_ticket_count,DEMTRTX
demographics_survey.weight(pounds),DEMWEIG
digit_span.forward_span,DGSFORWD
digit_span.reverse_span,DGSREVRS
dickman_survey.dysfunctional,DIIDYSF
dickman_survey.functional,DIIFUNC
dot_pattern_expectancy.acc,DPEAC
dot_pattern_expectancy.avg_rt,DPEAVRT
dot_pattern_expectancy.avg_rt_error,DPEAVRTE
dot_pattern_expectancy.EZ_drift_AX,DPEAXZD
dot_pattern_expectancy.EZ_non_decision_AX,DPEAXZN
dot_pattern_expectancy.EZ_thresh_AX,DPEAXZT
dot_pattern_expectancy.AY-BY_acc,DPEAYBAC
dot_pattern_expectancy.AY-BY_rt,DPEAYBRT
dot_pattern_expectancy.AY-BY_EZ_drift,DPEAYBZD
dot_pattern_expectancy.AY-BY_EZ_non_decision,DPEAYBZN
dot_pattern_expectancy.AY-BY_EZ_thresh,DPEAYBZT
dot_pattern_expectancy.EZ_drift_AY,DPEAYZD
dot_pattern_expectancy.EZ_non_decision_AY,DPEAYZN
dot_pattern_expectancy.EZ_thresh_AY,DPEAYZT
dot_pattern_expectancy.BX-BY_acc,DPEBXBAC
dot_pattern_expectancy.BX-BY_rt,DPEBXBRT
dot_pattern_expectancy.BX-BY_EZ_drift,DPEBXBZD
dot_pattern_expectancy.BX-BY_EZ_thresh,DPEBXBZT
dot_pattern_expectancy.BX-BY_EZ_non_decision,DPEBXBZN
dot_pattern_expectancy.EZ_drift_BX,DPEBXZD
dot_pattern_expectancy.EZ_non_decision_BX,DPEBXZN
dot_pattern_expectancy.EZ_thresh_BX,DPEBXZT
dot_pattern_expectancy.EZ_drift_BY,DPEBYZD
dot_pattern_expectancy.EZ_non_decision_BY,DPEBYZN
dot_pattern_expectancy.EZ_thresh_BY,DPEBYZT
dot_pattern_expectancy.dprime,DPEDPRIM
dot_pattern_expectancy.std_rt,DPEDRT
dot_pattern_expectancy.std_rt_error,DPEDRTE
dot_pattern_expectancy.missed_percent,DPEMSPRC
dot_pattern_expectancy.post_error_slowing,DPEPES
dospert_eb_survey.ethical,DPTEEB
dospert_rp_survey.ethical,DPTERP
dospert_rt_survey.ethical,DPTERT
dospert_eb_survey.financial,DPTFEB
dospert_rp_survey.financial,DPTFRP
dospert_rt_survey.financial,DPTFRT
dospert_eb_survey.health/safety,DPTHEB
dospert_rp_survey.health/safety,DPTHRP
dospert_rt_survey.health/safety,DPTHRT
dospert_eb_survey.recreational,DPTREB
dospert_rp_survey.recreational,DPTRRP
dospert_rt_survey.recreational,DPTRRT
dospert_eb_survey.social,DPTSEB
dospert_rp_survey.social,DPTSRP
dospert_rt_survey.social,DPTSRT
directed_forgetting.acc,DRFAC
directed_forgetting.avg_rt,DRFAVRT
directed_forgetting.avg_rt_error,DRFAVRTE
directed_forgetting.std_rt,DRFDRT
directed_forgetting.std_rt_error,DRFDRTE
directed_forgetting.missed_percent,DRFMSPRC
directed_forgetting.post_error_slowing,DRFPES
directed_forgetting.proactive_interference_acc,DRFPINAC
directed_forgetting.proactive_interference_rt,DRFPINRT
directed_forgetting.proactive_interference_EZ_drift,DRFPINZD
directed_forgetting.proactive_interference_EZ_thresh,DRFPINZT
directed_forgetting.proactive_interference_EZ_non_decision,DRFPINZN
directed_forgetting.EZ_drift_con,DRFCTLZD
directed_forgetting.EZ_non_decision_con,DRFCTLZN
directed_forgetting.EZ_thresh_con,DRFCTLZT
directed_forgetting.EZ_drift_neg,DRFNGZD
directed_forgetting.EZ_drift_pos,DRFPSZD
directed_forgetting.EZ_non_decision_neg,DRFNGZN
directed_forgetting.EZ_non_decision_pos,DRFPSZN
directed_forgetting.EZ_thresh_neg,DRFNGZT
directed_forgetting.EZ_thresh_pos,DRFPSZT
discount_titrate.hyp_discount_rate_glm,DSTGLM
