,NBZD,NBZN,NBZT,NBMEANLD,ARTKCLCK,angling_risk_task_always_sunny.keep_coef_of_variation,ARTKSCOR,ARTRCLCK,angling_risk_task_always_sunny.release_coef_of_variation,ARTRSCOR,ANTZD,ANTZN,ANTZT,ANTALTZD,ANTALTZN,ANTALTZT,ANTCONZD,ANTCONZN,ANTCONZT,ANTORTZD,ANTORTZN,ANTORTZT,BITIHDL,BITIHDM,BITIHDS,BISATTII,BISMOTII,BISNPLII,BBASDRIV,BBASFUNS,BBASRWRD,BBASBIS,BSCSSCON,CRTZD,CRTZN,CRTZT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DIIDYSF,DIIFUNC,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFZD,DRFZN,DRFZT,DRFPINZD,DRFPINZN,DRFPINZT,DSTPCTP,DPTEEB,DPTFEB,DPTHEB,DPTREB,DPTSEB,DPTERP,DPTFRP,DPTHRP,DPTRRP,DPTSRP,DPTERT,DPTFRT,DPTHRT,DPTRRT,DPTSRT,DPEAYBZD,DPEAYBZN,DPEAYBZT,DPEBXBZD,DPEBXBZN,DPEBXBZT,DPEZD,DPEZN,DPEZT,DPBIAS,DPEDPRIM,TFEQCGRS,TFEQEEAT,TFEQUEAT,ERQREAP,ERQSUPP,FFMQAWAR,FFMQDESC,FFMQNJUD,FFMQNREA,FFMQOBSV,FTPSFTP,GNGBIAS,GNGDRPIM,GRTSGRIT,HIRSCOR,HLTBETA,HLTPROBW,HLTRSKAV,HLTSFCH,IMVIMPLS,IMVVNTUR,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRL,KRBHDRM,KRBHDRS,KRBPCTP,KRBPCTPL,KRBPCTPM,KRBPCTPS,LCATACTL,LOGZTD,LOGZN,LOGZT,LOGCONZD,LOGCONZN,LOGCONZT,local_global_letter.global_bias_EZ_drift,local_global_letter.global_bias_EZ_non_decision,local_global_letter.global_bias_EZ_thresh,LOGSWCZD,LOGSWCZN,LOGSWCZT,MAASMIND,MOSZD,MOSZN,MOSZT,MOSSSRT,MPQCOTR,PRSPLB,PRSRVS,PRPSLOPE,RPMSCOR,REPZD,REPZN,REPZT,REPPINZD,REPPINZN,REPPINZT,SOCSCOM,SOCSELSE,SOCSLBSE,SOCSOPT,SSRQCOTR,SSSBORED,SSSDISIN,SSSEXPSK,SSSTHRIL,SMZD,SMZN,SMZT,SMSIZD,SMSIZN,SMSIZT,SHFTAC,SHFTLR,SHFTLTL,SHFTBETA,SHFTMDCY,SHFTMLR,SIMZD,SIMZN,SIMZT,SIMSIMZD,SIMSIMZN,SIMSIMZT,SRTAVRT,SPSFORWD,SPSREVRS,STSZD,STSZN,STSZT,STSSSRT,SSZD,SSZN,SSZT,SSSSRTHI,SSSSRTLO,SSPASS,STRZD,STRZN,STRZT,STRSTRZD,STRSTRZN,STRSTRZT,TIPIAGRE,TIPICONS,TIPIEMST,TIPIEXTR,TIPIOPEN,TWILLELR,32ZD,32ZN,32ZT,32CSCZD1,32CSCZD9,32CSCZN1,32CSCZN9,32CSCZT1,32CSCZT9,32TSCZD1,32TSCZD9,32TSCZN1,32TSCZN9,32TSCZT1,32TSCZT9,ZTPIFUTR,ZTPIPNEG,ZTPIPPOS,ZTPIPRFA,ZTPIPRHE,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,TSTPRSV,UPPLPERS,UPPLPREM,UPPNEGUR,UPPPOSUR,UPPSENSE,WRTNEUPR,WRTPOSPR
06acef2f-9e16-4a16-ac87-9e032feaa6dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08c9d27c-e51e-46e7-82f8-c3287d96b48a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s061,1.3016304534999998,0.45936771950000005,1.3888425902000001,2.4,,,,,,,,,,,,,,,,,,,,,,4.0,4.2857142857,4.6,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,2.021315984,0.5451953549,1.7518088968,-0.0263320715,0.14719381750000002,0.0202735379,,3.3333333332999997,2.3333333333,2.8333333332999997,2.6666666667000003,3.5,,,,,,,,,,,1.1974224124,0.4251740219,-0.7366964053,-0.060629964,-0.0304984336,0.0415608968,2.5197683655,0.2895053367,1.2710479609,-0.23315151239999998,3.5345441135000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8881900806999999,0.4882189315,0.9990014685999999,-3.6428743302999997,0.07442794800000001,-0.30413039989999996,1.9827053856,0.026467889900000003,0.35073444579999996,-2.2112470579,0.07927871160000001,-0.19210886170000002,3.4666666667,,,,,,,,,12.0,,,,,,,0.6666666667000001,0.5833333333,0.4166666667,,,,,,,,,,,,,,,,,,,2.8128796525,0.3655619431,0.8682728510000001,-1.1045652039,0.0938877455,-0.35396796840000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4535.0,-8.0,7.0,5085.0,,,,,,,,,,
s130,1.1868753228,0.4919356209,1.0825272682,1.9,,,,,,,3.4856635331,0.4418100849,1.1045666241,-0.18366858170000003,0.0298269885,0.045570787300000005,-0.07867337640000001,0.0396089165,0.023104157099999998,0.6130006589,0.15117491160000002,-0.3872531589,0.00025335799999999997,0.0032947693,0.0117138672,4.2,3.4285714286,3.8333333332999997,2.75,1.75,3.2,3.8571428571,39.0,3.7135415239,0.2436028156,1.5350423677,0.8333333333,0.1666666667,4.1666666667,0.025,2.0,-0.0046666667000000005,-2.25,12.375,-0.0372,1.0,-0.003624,-1.7819999999999998,1.0,1.0,,,5.0,4.3,2.1471829702000003,1.0006447571,1.6491185768,-0.1778858342,-0.06232710800000001,0.1223813789,0.7222222222,2.1666666667,2.5,1.5,2.5,4.0,4.3333333333,5.0,4.6666666667,4.1666666667,3.3333333332999997,2.1666666667,1.8333333333,1.8333333333,1.1666666667,3.5,1.0679814601,0.1827497255,-0.17492782489999997,0.7825935141,-0.0259666877,0.0303021765,4.1171668619999995,0.2645892969,1.1765826475,0.0,5.320134937200001,61.111111111099994,66.6666666667,44.4444444444,4.8333333333,4.5,2.875,2.625,2.125,2.5714285714000003,2.75,40.0,-0.8893284576999999,4.1867508355,22.0,196.0,10.925098710999999,0.9214174355,0.2565783653,8.0,1.1052631579,1.1333333333,0.6022460938,0.0004141259,1.0,0.0015774063,0.6666666667000001,0.0015811388,0.0015811388,0.0015811388,0.6666666667000001,0.6666666667000001,0.6666666667000001,0.6666666667000001,2.0,1.9644322216999999,0.7759506187999999,1.7480812861,-0.17798315059999997,0.22335581420000003,-0.1246888047,-0.3379644645,0.1634811207,-0.6546697029999999,-0.45984919729999996,0.3859862504,-0.5321579516,3.1333333333,2.6550324869,0.4212503454,1.6884925416999998,569.0,41.0,4.5937759497,4.0629697216,0.46144958090000004,15.0,1.5823744642,0.6362860187,1.7811196541,-0.6028486837,0.202786802,0.2071903808,0.5833333333,0.1666666667,0.33333333330000003,0.5,101.5,0.1,0.0,0.22222222219999999,0.0,2.7818364289999997,0.5490223403,1.6267689827,-0.16742032869999998,0.1550959616,-0.1550639756,0.5514705882000001,0.11084250890000001,-0.0053249809999999995,6.509715984,0.4190288270000001,0.2581343747,3.7422778316,0.2358359185,1.4144606742,1.4499430244999998,0.1405929905,-0.4579663035,305.5,6.0,5.3,4.2805100826,0.4935571587,1.0433121363,363.8333333333,3.4191858162,0.3149330144,1.7616613769999998,304.5,296.3333333333,-8.1666666667,2.9546953251,0.4311277983,1.3030607823,-1.4586164238,-0.044099459699999996,0.1221429806,5.0,4.5,2.0,1.0,4.0,44.0,2.3630107911000002,0.4416470618,1.5503787202000001,0.6898764556,0.7219852915999999,0.0885024485,0.0603368216,-0.27844544309999997,-0.1433215951,-1.2899168716,-1.0522271873,0.030413438799999998,-0.08031784060000001,0.1475222406,0.1891134753,3.7692307692,3.4,2.7777777778,2.4444444444,2.2666666667,2866.7958333333004,-8.0,7.0,6982.5454545455,0.8965235323999999,-0.017820156400000002,-0.10109890310000001,2.2,1.6363636363999998,2.75,1.2857142857,1.75,0.8066187305,0.409298362
s172,,,,,,,,,,,3.2859957926999996,0.4008391369,1.1673361399,-0.17493025420000002,-0.0340056834,0.5231058219,-0.4732850225,0.0864846848,-0.2440747567,-1.1342343322,0.0750867467,0.0707482537,0.0083281077,0.2198232422,0.0215087891,3.2,4.0357142857,3.2666666667000004,,,,,,3.5869762964,0.3123800667,1.0028815256,,,,,,,,,,,,,,,0.1880678065,0.6523494082,,,2.8856724468,0.3951284207,1.4722721724,-0.5554201925,0.0401426913,-0.039678862599999996,,,,,,,,,,,,,,,,,-0.856813468,0.181439202,-0.4098922107,0.7952210806000001,-0.063919958,-0.026617119100000003,2.8827288532999997,0.3160295441,1.0449340638,0.3298219498,4.6604910377,33.3333333333,11.1111111111,18.5185185185,4.8333333333,2.0,4.25,4.625,4.125,2.8571428571,4.375,51.0,-0.9437793146,3.5708010963,31.0,131.0,10.925098710999999,0.9214174355,0.2565783653,8.0,1.2631578947,1.8,,,,,0.6944444444,,,,,,,,3.0,,,,,,,,,,,,,4.8666666667000005,,,,,41.0,,,,,,,,,,,,,,,121.0,,,,,,,,,,,,,,,,,2.3553261696,0.35754704020000005,0.8070893898999999,-1.2341468598999998,0.07256485389999999,-0.3466329549,,6.2,6.4,,,,,,,,,,,,,,,,,,,,,,25.0,2.815359786,0.387912748,0.8697073169,0.6788886004000001,1.0650214758,-0.0247034431,0.0167690472,0.100046526,0.052301025800000005,-0.2326394046,-0.1892968672,0.030792000200000006,0.0019245185999999998,-0.0134790547,-0.1309304564,3.3846153846,1.9,3.7777777778,2.3333333333,3.6,1745.4027777777999,2.0,10.0,1900.0833333332998,-0.484851425,-0.1064169401,-0.6037340917,,,,,,0.8684241622000001,0.2504469146
s192,3.0098173868,0.32010856660000003,0.9648974362,2.7,,,,,,,2.8539367414999997,0.3957243479,0.9488823497,0.3512105712,0.0675907892,-0.0985735275,-2.6796123872,0.0111064555,-0.1184908262,-1.7453869218,0.0584516979,0.0208775684,9.515959999999999e-05,0.0004177914,0.0008754883,4.0,3.7142857143,4.2,2.25,2.75,2.8,3.2857142857,,3.5283760066000003,0.2591166117,0.8152151331,1.0,0.0,6.708333333300001,0.1625,3.0,-0.0051666667,-3.125,,,,,,1.0833333333,1.2727272726999999,0.1513643633,0.8605018272,,,,,,,,,0.3888888889,2.1666666667,2.8333333332999997,1.3333333333,4.0,3.6666666667,5.3333333333,3.6666666667,5.666666666699999,4.5,3.0,,,,,,,,,,,,,,,,,55.5555555556,77.7777777778,40.740740740700005,3.8333333332999997,4.75,3.0,1.875,2.25,2.4285714286,2.75,50.0,,,,,2.3916188301,-2.7538603758,0.3492235958,5.0,1.0,1.6,,,,,0.7222222222,,,,,,,,6.0,1.7752729043000002,0.40397189549999996,1.4259366316,-0.794943367,0.3136719552,-0.7603432924,-0.5426589277,0.1180027747,-0.4494090278,0.27478580210000003,0.0894611423,0.16181266900000002,3.0666666667,,,,,42.0,,,,,,,,,,,0.5833333333,0.5,0.4166666667,0.75,99.0,0.1,0.30000000000000004,0.5555555556,0.7000000000000001,,,,,,,,,,,,,3.7558206217000003,0.2861499493,0.9255230853,-0.3029750854,0.02671091,-0.1140295585,,7.4,6.7,,,,,,,,,,,2.0001913609999997,0.31498210460000003,1.2655922402,-1.1006289612,0.048474460999999996,0.1558534654,,,,,,38.0,,,,,,,,,,,,,,,,4.0769230769,3.6,3.4444444444,2.3333333333,2.9333333333,1826.825,5.0,10.0,4033.75,,,,,,,,,,
s234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.920605725,0.41312698729999997,0.9598177574,488.8333333333,,,,0.17434010449999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s251,1.0028481457,0.3374554741,1.1346014914,1.35,26.3636363636,7.8954203395,550.0,21.6666666667,6.2042528658,480.0,3.0457528676999996,0.4479306865,1.1673133756999998,-0.5003162058,0.0218802627,0.1360848496,-0.6101200357000001,0.022919916600000003,-0.1565870428,0.7126716669000001,0.2054592677,-0.7631684393000001,2.26777e-05,0.0027131041999999997,0.14846972660000002,4.0,4.6428571429000005,4.7666666667,3.0,3.5,4.0,3.4285714286,43.0,3.3062556251,0.35040619,1.0184620343000002,0.8333333333,0.0,4.5,7.285838599000001e-17,2.0,-2.1033522150000003e-17,-1.5,3.1666666667000003,0.044181213600000005,1.0,-0.0008528677999999999,-0.27514546970000003,1.0,1.0,-0.0470699433,0.4117202268,7.8,7.8,2.8436627352999997,0.6595378866,1.7452296887,-1.3435800632,-0.0683907571,0.6320082714,0.1388888889,1.1666666667,1.5,1.3333333333,2.6666666667000003,3.0,6.333333333300001,3.0,5.1666666667,4.3333333333,3.1666666667000003,1.6666666666999999,2.0,2.8333333332999997,3.5,5.1666666667,0.4868263860000001,0.3061664502,-0.2832202814,0.282594518,0.055649204,0.1488266097,2.5191934883,0.32314717460000003,1.2713380127,0.4847229195,4.3506890982,27.7777777778,44.4444444444,40.740740740700005,5.666666666699999,4.0,3.0,3.5,3.125,3.0,3.5,46.0,-1.1195720593,3.7262636324,26.0,157.0,59.8991114415,-8.5507035957,0.8568707964000001,6.0,1.2105263158,1.6,0.6792004107999999,0.0010228949,1.0,0.0021486854999999997,0.6944444444,0.06403124240000001,0.06403124240000001,0.06403124240000001,0.22222222219999999,0.22222222219999999,0.22222222219999999,0.22222222219999999,4.0,1.9411670581,0.5623614497,1.4946789778,-1.2787530272,0.1443677034,0.0036760626,-0.6241552332,-0.057333514800000006,-0.0872258586,-0.1172376252,0.15587615429999999,-0.1081553884,3.8666666667,2.7864831166000004,0.4535399092,0.944949979,314.6666666667,46.0,0.5660375674,4.3686233713,0.5444027915999999,10.0,2.124864171,0.80239685,1.3193127444,0.1956757051,0.1206601019,-0.3715248634,0.6666666667000001,0.75,,0.9166666667,113.0,0.1,0.2,0.5555555556,0.9,3.154526403,0.5871582455000001,1.5642519043,-1.5436514341999998,0.0119234956,0.4137861112,0.3965087282,0.06786964969999999,-0.0020688289000000003,26.365392144899996,0.5744258964,0.0937626645,2.729633494,0.42336388799999997,1.0080237215,-0.3266077477,0.041494572599999995,-0.1466627761,339.0,3.5,5.1,3.6883833853,0.4703997014,0.9639312647,355.1666666667,3.0766631417,0.4810266025,0.9562078889,304.8333333333,277.6666666667,-27.1666666667,3.1074193757999997,0.5518557479,1.4654851312000001,-0.40550112909999997,0.0853558626,-0.0503916008,6.5,4.5,4.0,4.5,5.5,44.0,2.5746859007,0.5504005149,1.1815571933,0.31606923140000004,0.6303648564000001,-0.0182038655,-0.023827336,0.3256121072,0.1262904047,-0.4986590741,-0.3361095096,0.0416572169,0.0204060508,-0.0881728424,-0.118839471,3.4615384614999996,2.8,3.7777777778,2.3333333333,3.5333333333,2853.7583333333,5.0,6.0,3682.75,0.6334710296,0.3978407468,2.2570656679,2.2,2.0909090909,2.5,2.1428571429,2.6666666667000003,0.1349080446,0.1822075693
s358,2.6586728915,0.32379947610000004,1.0963226128,2.6,19.434782608699997,8.6435792615,423.0,28.0,4.8218253805,454.0,4.0583048702,0.511988829,1.0503596978,0.1116207432,0.0291425881,-0.0289634701,-0.9337927476,0.043472404400000005,-0.130300608,-0.2522123086,0.0092221822,0.0616184036,0.0002446334,0.0012486458,0.0198671875,3.9333333333,4.1071428570999995,4.9333333333,3.0,3.5,3.2,3.0,46.0,3.0498818342000003,0.3004695965,1.2760560932,0.5,0.33333333330000003,4.7083333333,0.0375,2.0,-0.0035,-1.0416666667,5.791666666699999,0.0379039497,2.0,-0.0070125673000000005,-2.3460502693,1.0833333333,1.0909090909,0.016048144400000002,0.7191574723999999,6.5,4.8,1.4021530328,0.4836290224,1.2896515066,-0.3064472519,0.20059922370000002,-0.0002346954,0.75,2.1666666667,3.0,2.0,4.5,4.6666666667,4.0,4.3333333333,4.1666666667,3.3333333332999997,1.8333333333,2.1666666667,2.5,3.0,5.666666666699999,5.3333333333,1.2112891609999998,0.1027942265,-0.2644695113,0.011181876399999999,-0.0396410629,0.3328429764,2.9118788131,0.4063747724,1.6581437784,0.1932209246,4.933693088,33.3333333333,11.1111111111,44.4444444444,3.0,2.75,3.25,2.75,3.5,2.5714285714000003,3.25,43.0,-0.8308046694000001,3.7967503866,24.0,110.0,59.8991114415,-8.5507035957,0.8568707964000001,6.0,1.1052631579,1.8,0.7619184970999999,0.0012825116,1.0,0.0016162291,0.5277777778,0.0015650846,0.009797959,0.0256124969,0.4814814815,0.6666666667000001,0.44444444439999997,0.33333333330000003,3.0,1.6186326705,0.5303557614000001,1.4814326415999999,-1.3817448291,0.2259283636,-0.4498769598,0.33158730070000003,-0.0444312693,0.241502856,-0.1576569236,0.222588635,-0.2061950354,3.8,2.4743837644999997,0.361373876,0.9135756906999999,275.6666666667,38.0,2.5307066547,8.521936843999999,0.4900558617,11.0,1.4747606264,0.4601187889,1.3993411187,-1.8634261856,-0.16336082710000002,0.7986330448000001,0.5833333333,0.4166666667,0.6666666667000001,0.5833333333,108.0,0.2,0.8,,1.0,2.5557190657,0.4372530886,1.6567182838999999,-1.3096164221,0.0757199605,0.0836385238,0.3980099502,0.0159606815,0.005898894799999999,43.552447067399996,0.6874046028,0.0222945617,1.9830651421,0.26029619260000003,1.2316020203,-0.2336661282,-0.025618770699999998,0.1426154019,345.5,6.0,5.4,4.0677926373,0.3627633830000001,0.8277943667000001,286.6666666667,2.8550597569,0.3780657631,1.0646002397,250.6666666667,295.8333333333,45.1666666667,2.8641059491000003,0.4462283392,1.5825530109000001,-0.4601733291,0.1015831191,-0.028522796800000003,6.5,5.5,3.5,1.0,4.0,27.0,1.600760877,0.42073531560000005,1.3678620019999999,-0.059408551,-0.015516118899999999,-0.0038507071,-0.025653640099999996,0.1154114247,0.0301750735,-0.9956342656999999,-0.3450973988,0.0624707253,0.1401349317,-0.0201651407,-0.2903613369,3.6923076923,2.4,3.5555555556,2.6666666667000003,3.4666666667,2728.1583333332997,-6.0,10.0,5790.083333333299,0.1062155898,-0.0488879571,-0.27735552609999997,1.7000000000000002,1.8181818182,2.0,1.6428571428999998,3.5,0.8959030026000001,0.4431999285
s373,1.7271041963999998,0.3846394030000001,1.5953851119999998,2.45,21.428571428599998,14.3046963835,555.0,13.3913043478,8.5106304138,292.0,3.1735847145,0.35922592560000005,1.7833090101,-1.6326127214,-0.053786396900000005,0.6924565442,-0.05863227090000001,0.016664968500000002,0.032870162,-0.4089815717,-0.0033396063000000003,0.16389153539999998,,,,,,,3.25,3.0,3.0,3.4285714286,33.0,3.0073081426,0.31500073440000004,1.6616894701,0.33333333330000003,0.6666666667000001,,,,,,4.5,0.0029262345,1.0,-0.0032599065,-1.8100995733,,,-0.21026201519999999,1.1042743627,9.7,9.1,,,,,,,,1.3333333333,2.8333333332999997,1.6666666666999999,3.1666666667000003,3.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,4.8333333333,2.25,,,,,,,,,23.0,228.0,9.043780995399999,0.5979101855,0.7676050061,8.0,,,,,,,,0.25,0.158113883,0.25,0.037037037,0.0,0.11111111109999999,0.0,6.0,,,,,,,,,,,,,3.4,,,,,,,,,8.0,,,,,,,,,,,105.0,0.5,0.6000000000000001,0.7777777778,0.5,2.5866535865,0.5119060558,1.4773407066,-0.6775424391,0.1286402146,-0.18534350489999998,,,,,,,,,,,,,,,,,,,,,,,,,,2.9914920489999997,0.505013825,1.5222761141,-0.2005016678,0.1331370355,-0.1409662689,,,,,,,,,,,,,,,,,,,,,,3.5384615385000004,2.6,3.8888888889,1.7777777778,3.4,,,,,-0.7399755666000001,-0.1348398534,-0.764985503,,,,,,0.8722340719,0.4027759495
