,NBHD,NBHN,NBHT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTRCLCK,ARTRLPC,ANTALTHD,ANTCONHD,ANTZHD,ANTZHN,ANTZHT,ANTORTHD,BITIHDLL,BITIHDML,BITIHDSL,CRTHD,CRTHN,CRTHT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFHD,DRFHN,DRFHT,DRFPINHD,DSTPCTP,DPEAYBHD,DPEBXBHD,DPBIAS,DPEDPRIM,DPEHD,DPEHN,DPEHT,GNGBIAS,GNGDRPIM,HIRSCOR,HLTSFCH,ISTDECPC,ISTDECMV,ISTFXDPC,ISTFXDMV,KTTSCOR,KRBHDRLL,KRBHDRML,KRBHDRSL,LOGCONHD,LOGHD,LOGHN,LOGHT,LOGSWCHD,MOSSSRT,MOSHD,MOSHN,MOSHT,MOSREC,MOSSPC,PRSPLB,PRPSLOPE,RPMSCOR,REPHD,REPHN,REPHT,REPPINHD,SMHD,SMHN,SMHT,SMSIHD,SHFTAC,SHFTLR,SIMHD,SIMHN,SIMHT,SIMSIMHD,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,STSHD,STSHN,STSHTL,SSSSRTHI,SSHD,SSHN,SSHT,STRHD,STRHN,STRHT,STRSTRHD,32CSCHD1,32CSCHD9,32HD,32HN,32HT,32TSCHD1,32TSCHD9,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTMODBA,TSTMODFR,TSTPRSV,WRTNEUPR,WRTPOSPR
s228,1.0837722087000001,0.1109836997,1.910433923,2.3,38.65,0.33333333330000003,20.7142857143,0.30000000000000004,-0.1440235708,-1.5313764209,2.5423145887,0.36538369049999997,1.4778252173,-1.1926108311,-8.312533417463236,-5.677294654902703,-4.1792133482000615,3.2591897952999997,0.25182562940000003,1.5036615215,0.8333333333,0.1666666667,10.25,0.25833333329999997,3.0,-0.009000000000000001,-1.6666666666999999,9.0833333333,0.3141051567,2.0,-0.0012295248,-2.2648129424000003,-0.08627816529999999,0.8103757513000001,8.0,7.2,1.846666235,0.4471704728,1.6009786818,-0.8815570077,0.5833333333,-3.0753133672,0.11945107529999999,-0.3719338943,3.8121088774,2.3622282833000003,0.1109879956,1.7070587383000002,-1.4375347416,3.0903382679000004,217.0,7.0,0.6816086768999999,0.0010317555,0.7780120850000001,0.0017704798000000002,0.7222222222,-6.449609932071973,-6.449609932071973,-4.625581180301964,-2.0262013388,1.6261028634,0.363865604,1.3542867859999999,-0.6540260767,420.3333333333,2.5355369768,0.3351650926,1.2401512670000001,26.0,44.0,-9.8297921872,0.455163537,13.0,2.3058013673,0.5095623783000001,1.9120176109,-0.6686091693,2.7120984168,0.4700727922,1.2265027802,-1.5559499121,0.5632754342,0.0434706301,2.4213463444,0.3276569541,1.1100897131999998,-0.9710069766,330.0,6.0,5.1,333.3333333333,2.9948885007999997,0.3744677892,0.05045434084942553,263.5,2.6659214331000003,0.34300694119999997,1.2516341961,1.7987176887,0.38195608119999996,1.6231676312,-2.0684362942,-0.6047356911999999,-0.198814817,0.9053082344,0.0232303761,2.1090164804,-0.1455391624,-0.6747450207,1847.36,9.0,8.0,2270.25,0.3916400604,-0.3244584236,0.39377528409999996,0.8569180750000001,0.1895440625
s233,0.49217678119999997,0.0098957417,2.0164843952,1.4,38.869565217399995,0.23333333329999997,25.15,0.33333333330000003,-0.5010937501,-1.7738748806,2.8072380541000004,0.411489347,1.6061414437000001,0.26946609109999997,-8.234565998367643,-7.064235653775879,-4.618837378019609,4.5587009109,0.29192825180000004,1.4600851621000002,0.5,0.33333333330000003,9.7916666667,0.0041666667,2.0,-0.0178333333,-3.875,13.125,0.1661016949,1.0,-0.0035421687000000007,-3.220645293,-0.22097902100000005,0.5230769231,8.4,6.2,2.3405089741,0.4048775346,2.0311175889,0.0838121808,0.4166666667,0.1513380282,2.19548345,-0.3697525375,3.8077461637,2.3868382564,0.1794996875,2.3328828726,-1.2083775268,3.5486526974,210.0,7.0,0.7727680206,0.0007756982000000001,0.8542480469,0.0012128666,0.5833333333,-5.553730190361736,-5.553730190361736,-5.553730190361736,-0.3986911478,0.6586230464,0.6194288706000001,1.8402699608,-0.3658732701,479.1666666667,2.6554248709,0.3070089915,1.3737155311000002,47.5,64.5,0.8108356098,0.5572900235,13.0,1.2746070636,0.4795337009,2.0556223512000003,-1.2114940291,2.0981414812,0.4420316783,1.8136237426,-0.8683942232999999,0.3909774436,0.0410391739,2.6724080853,0.30901817309999996,1.4853841800999998,-1.3714724175000002,348.5,4.9,4.2,434.0,2.8683166007,0.3466609576,0.7494335116573667,256.6666666667,2.7129404545,0.31365124720000004,1.7732768425999998,1.8771362381999999,0.394343674,1.9871694897,-1.5325617538,-0.25046103410000004,-0.6303348229,1.4312638087,0.1246794533,2.5034580097,-0.1901330247,0.2057240268,2682.4666666667003,7.0,4.0,6183.416666666701,-0.1843072845,0.7466012728,-0.0888552334,0.19640047239999997,0.1771131816
s237,1.3690109144999998,0.2220681918,1.3406677023,2.2,45.285714285699996,0.30000000000000004,17.8571428571,0.30000000000000004,-0.2319773509,-0.46332034479999995,2.4670377801,0.3480520543,1.4952192485,-0.34159698050000004,-7.368275630013658,-3.458356944796882,-2.7241855373181134,3.2186550243000003,0.2623040765,1.0473472640000001,0.5,0.0,9.625,0.1541666667,3.0,-0.0045000000000000005,-2.375,12.375,0.20369774920000003,1.0,0.0002036442,0.0045016077,0.1580012138,1.3648204921,7.5,7.7,2.7349649055,0.33200557420000004,1.5880345856,-0.936129821,0.055555555599999994,-2.5121164093,0.7075424185,-0.1448413667,3.3579238220999996,2.1454021629,0.21712142969999998,1.1617216259,-0.9699599015000001,2.749275612,175.0,3.0,0.6201343536,0.0015002931,0.8934570312000001,0.002010747,0.5277777778,-1.8444397271102144,-1.8444397271102144,-2.7483841522350163,-1.2913824449,1.7130561205,0.36794823229999996,1.4909316022,-0.4538250782,364.0,2.5117108012,0.2980151655,1.6373670694,47.5,119.5,-6.9868187855,0.3936674914,9.0,1.4745660578,0.4142484939,1.4331402153,-0.5611174715999999,2.1121383358,0.4021269986,1.3265314642000001,-1.7544443469000002,0.48536585369999996,0.054726393899999996,3.1683186292000003,0.2713261879,1.2702021104,-1.4347471346,333.5,6.4,5.3,234.1666666667,2.7859848949,0.3945771275,0.4995123501361428,258.3333333333,2.4438133294999997,0.2877064493,1.3028848175,3.0968522194,0.4161854977,1.7900709373,-1.539165888,-0.0054458475,-0.7328855499,1.2679789915000002,0.0687300953,2.0351782415,-0.45790440549999994,-0.6625374904,1918.8958333332998,0.0,8.0,5279.2916666667,-0.2413894156,-0.3681148157,-0.8540252890000001,0.8559064772,0.5889799385
s238,1.5378784249000002,0.2890029496,1.2652990571,2.3,49.2727272727,0.2666666667,24.1578947368,0.3666666667,-0.2340102197,-0.9369925712,2.693564171,0.4407991114,1.6671004116,-0.4265730362,-5.857032050599539,-4.423896945152017,-6.061015588628561,4.3319086455,0.3173965616,1.8235189199,0.0,0.8333333333,1.625,0.0375,2.0,0.0001666667,-0.9583333333,6.666666666699999,0.0686352254,1.0,-0.0015759599,-2.9626460768,0.4713576475,-0.0567936932,7.3,5.7,2.2545814099,0.4720122768,1.7319390001,-0.009806676,0.5277777778,-5.503401372100001,-2.7536773094,0.1161892903,2.7697933114,1.3110653759,0.0391631692,1.7520477977000002,-0.7717910818000001,3.4406522452,212.0,8.0,0.6627759933,0.001089941,0.9633224487,0.0013113884,0.5277777778,-1.8444397271102144,-2.067339257049917,-1.8444397271102144,-0.3917843952,1.0967692823000001,0.43782410307499997,2.8652738795999997,-0.20723052649999998,350.02000000000714,2.61262536863,0.33171225453599995,1.4587378690920003,20.06,68.82,3.5855754938,0.6288319792,4.0,1.8137563885,0.5762508864,1.8849810356999999,-0.07884840500000001,2.8052924259000003,0.4269079015520002,1.9878439131120005,-0.934659047,0.49118387909999994,0.0443704483,2.575000129,0.34530123100000004,1.3870589341,-0.2103074395,406.5,4.6,4.0,332.03833333332994,3.154613240399001,0.340673216558,0.5555234271099354,368.8333333333,2.3676145023,0.3072451986,1.3346958883,2.2841764155,0.46200334369999996,1.9425590222,-0.8632235142,-0.7293824256,0.1559099998,1.4276410902,0.1830916623,2.2090765538999997,0.0620944903,0.0913648858,2602.4037037037,10.0,5.0,4280.5833333333,-0.4032933228,0.467279345,-0.6219583981,0.8103906163,0.4772554192
s244,0.6909450423000001,0.0617098689,1.6078391081,1.55,12.8,0.1666666667,4.8965517241,0.033333333300000004,-0.161804222,-1.4021382927,2.5764450975,0.4015465278,1.6629396972,-1.2208181796,-6.852401653905202,-5.836397030561129,-3.0724277238824804,3.9364809428,0.29663559920000004,1.4160709505000002,0.33333333330000003,0.5,2.9166666667000003,0.008333333299999999,0.0,-0.0003333333,0.0833333333,3.6666666667,0.04,2.0,-0.0044,-2.1142857143,0.5505107832,0.24744608399999998,7.7,7.0,2.4791812694999997,0.4911975555,2.3765547415,-0.4338432415,0.4166666667,-1.7445059749,0.8189797042,0.1910395678,4.9380558016,3.9783806864999995,0.182220366,2.7610055283999997,-1.0705413209999999,3.8243251091,159.0,9.0,0.6640334487,0.0006344755000000001,0.6184956789,0.0007189592,0.5277777778,-4.153828487380416,-7.365900695568905,-5.553730190361736,-0.9810790195,0.6210773864,0.3488362933,1.6415665418,-0.3414638619,410.8333333333,2.4272924354,0.41851949340000005,1.3543411527000002,-1.5,-4.5,-17.2030284015,0.6213461987000001,6.0,1.3185162642000001,0.4717296253,2.1777983606,-0.5803862147000001,1.9241231975,0.3002582538,2.4865823747999998,-1.4448430428999999,0.4103896104,0.0438647544,3.5387515724000003,0.3270851255,1.6020382116999998,-2.2250888237,354.0,5.1,4.6,402.6666666667,3.4151298356,0.3744875658,0.4435537229876437,298.0,4.2862488341,0.3626761802,2.1271135905,2.3761558911000003,0.34573736590000004,2.5505130758,-0.8404701828000001,-0.3326616603,-0.0873541689,2.0762923371,0.37989571479999995,1.6788946709,-0.14790340770000002,-0.319372571,3736.8229166666997,0.0,8.0,3830.8333333333003,0.48609199979999995,-0.3651078651,0.148706985,0.7931470495,0.21927084510000003
s246,1.10240071,0.1306131251,1.8744244738,2.15,18.1481481481,0.1,9.1304347826,0.23333333329999997,-0.129848129,-0.6387936725000001,3.5645432307,0.300305413,2.4117057774,-0.3804020055,-7.775619007859992,-4.136120686779687,-1.3566710887235816,4.4572936314,0.2375517732,1.7048320166000002,0.33333333330000003,0.33333333330000003,14.0,0.15,1.0,0.001,-2.5,8.75,0.19217638690000002,2.0,-0.0043072546,-2.5078236131,0.1002288358,1.0565551406,9.2,5.3,2.1160566186,0.4210885836,1.8137797691,0.3723267662,0.0,0.2524994486,4.114322611,0.0,5.320134937200001,3.638892745,0.0801267693,2.1964300122,-1.2890129855,3.38738178,206.0,9.0,0.6718950271999999,0.0012660045,0.8695106506,0.0018534339,0.6388888889000001,-3.6646748864517766,-2.7483841522350163,-2.7483841522350163,-0.9473788299,1.5525142766,0.3420090703,1.8625223274,-0.6398385405,285.3333333333,2.6050385466,0.286884697874,1.612359060816999,14.0,218.0,3.4829477796400004,0.4588583835,11.0,1.9325249224,0.3698427843,2.2365884143,0.017298506300000002,2.3229253818,0.3817911825,1.6902862202000002,-0.9896457245999999,0.4900990099,0.07271023800000001,2.7578470123,0.2733217859,1.1760448036,-1.7366867485,335.0,6.0,5.7,281.8333333333,2.4550484837999997,0.32784365460000003,0.6463790011683078,283.1666666667,2.6361402234,0.31747505800000003,1.4668799344,3.4867066166000003,0.3970710801,2.4619904007,-0.7763246925,-0.4891528434,-0.41206560700000006,1.6103113225,0.2997502282,1.4084170591999998,-0.7015291584000001,-0.3217581149,1911.9964726631,26.0,4.0,2954.9166666666997,-0.23139798900000005,-0.1127791389,-0.5425109346,0.811333595,0.1154456363
s249,0.7449887972,0.08134447510000001,1.6600482728,1.6,32.6086956522,0.23333333329999997,27.809523809499996,0.30000000000000004,-0.5145411675,-0.5777488008,3.0528883939,0.4829981448,1.7770096603999999,-0.9926383845,-9.019217659229161,-5.545411839948034,-3.1520891616031954,2.4590459884,0.2920511134,1.6577665487000002,0.1666666667,0.5,0.9166666667,0.033333333300000004,0.0,0.0003333333,-0.33333333330000003,9.4782608696,0.0779343926,0.0,0.0013213737,-0.7813941568,-0.145257655,0.0851381628,6.9,7.7,1.3031295274909995,0.4317301554790002,1.9655918192690005,-0.5297470232860002,0.22222222219999999,-5.1114308416,-4.3772825492,-0.5982013422,2.1739555066,1.5670978333,0.2339352395,1.4840415487,-0.834575315,2.478506439,139.0,2.0,0.7016532170700003,0.001278765156,0.7991683683400004,0.0016039002480000006,0.5255555555610001,-3.6869826661541367,-3.6646748864517766,-2.7483841522350163,-1.0050880584,0.9477482117,0.5402902347999999,1.7126023321000001,-0.34595436560000004,341.9683333333412,2.4871342034710007,0.31949176635199994,1.433292445704,25.245,60.35,0.7827690902500001,0.7598480068000001,3.0,1.2901188639,0.5090413718,1.8665393984,-0.5946077968,2.7276955102,0.5063302986,1.7017370769,-1.9208126856999999,0.3776595745,0.019833788999999998,1.3835635166,0.2145858327,1.9534410262,0.313200913,391.5,6.5,4.9,326.049999999999,2.5587438879150013,0.328230437434,0.4850488664523283,291.665,2.2736698512169995,0.3311937359189999,1.7056739022570002,1.8120007573,0.46251430039999997,1.4805304766999998,-1.3011520856999998,-0.1029839412,0.3814492328,0.8458354508,0.1379192645,2.1022335121,0.2169120215,-0.2029432062,2797.0458333333004,14.0,4.0,3806.1666666666997,-0.3358305846350001,0.007067793839000006,-0.3522775781580002,0.2074943959,0.4948898421
s252,1.4201590293000002,0.1063020642,1.553243545,2.05,34.6666666667,0.4,29.4285714286,0.30000000000000004,-0.4974348085,-1.1678453861,3.5089703352,0.28822589660000003,1.9627963347,-0.21975639170000003,-7.569369490745442,-4.7135871233030775,-5.572805608307394,5.1640826268,0.25461582,1.41109428,0.6666666667000001,0.1666666667,18.5,2.6367796829999996e-16,1.0,-1.214306433e-17,-3.5,20.25,0.034751773,1.0,-0.0036099290999999996,-4.170212766000001,0.286849711,0.8956647399000001,9.0,7.8,3.1129014437,0.35172673660000003,2.1652247617,-0.5206545184,0.11111111109999999,-2.8521829306,-2.4203377361,-0.5794907613,4.1611534147,2.9438760667,0.026137644600000003,2.2727561268,-1.2083775268,3.5486526974,214.0,6.0,0.8268922806000001,0.0016332462000000002,1.0,0.001892705,0.6944444444,-3.6646748864517766,-3.6646748864517766,-2.7483841522350163,-0.9848632756,2.2424258967,0.3683614998,1.4318280666999998,-0.1852901616,289.6666666667,2.4387333907,0.2455797675,1.0557404665,5.5,20.5,-5.513871406,0.24812425719999998,13.0,2.2322478261,0.3681445381,2.0651264799,-0.4827974421,3.6988296607,0.3669914738,1.4079049302000002,-1.9285437636000002,0.4816625917,-0.0067340867,4.3614400973,0.2514763587,0.9495748778,-2.1887553793,264.5,5.9,5.7,339.6666666667,2.5765747789,0.2701489659,0.10129694024731227,222.6666666667,3.7568165006,0.31841808190000004,1.3187489351000001,2.1512326846,0.3442737135,1.0586647251,-1.2842721068,-0.3030099029,-1.0380217889,1.9757604227,0.0911417198,2.177098458,-1.2331545706,0.5407225153999999,1422.7333333333,6.0,11.0,3613.25,0.013028611200000002,-0.2888845208,0.040622707800000005,0.8536111961,0.1572729901
s254,0.9378070654,0.35519414380000003,1.4064467679,1.1,24.8846153846,0.1333333333,11.333333333299999,0.2,-0.0047442466,-1.1922380616920003,0.7414744175,0.3755292886,1.2678513340000002,-0.8162842665000001,-6.262802357678231,-5.752970681033922,-4.886104237631537,4.9208837416,0.3056268679,1.8224925656,0.1666666667,0.6666666667000001,5.416666666699999,0.0166666667,2.0,-0.0056666667000000006,-1.5833333333,9.125,0.160418483,3.0,-0.0105893636,-3.2545771577999996,-0.0586076074,0.29190480879999997,8.6,8.1,2.0468152608000003,0.4259220010000001,2.5891870213,-0.2886944148,0.5277777778,-0.9407521783,1.1974734187,0.1910395678,4.9380558016,3.1641158533,0.1971797837,2.4174679121,-0.8893284576999999,4.1867508355,234.0,5.0,0.7095755576999999,0.0011151963,0.7676273346,0.0011829923,0.5555555556,-5.553730190361736,-5.553730190361736,-5.553730190361736,-1.9544519462,0.9274337151,0.4413446828,1.5930365270000002,-0.004350219099999999,311.94333333332884,3.044103777325,0.3106514482469998,1.6870963473670004,16.12,96.14,19.1029564037,0.5271617541,10.0,1.6306839872,0.5225807194000001,2.2281685174,-0.9021865665,3.2404280656,0.40316519079999996,2.3813147154,-1.1298265325,0.539408867,0.0763745859,4.3887307557,0.2299942082,1.5235163665150002,-1.3355107864,345.0,7.1,5.7,228.5,4.4216339317,0.34384288909999994,1.0186745722466877,225.3333333333,3.8461096963,0.3591377899,2.1922986551,3.6946494899,0.3069794223,2.5531554359,-1.5321686334,-0.6766446131999999,-0.5956142881000001,1.4929127415,0.3793683513,1.9499439828999998,-0.5939629718,0.1828367216,3319.90625,-1.0,8.0,4981.0833333333,0.0902530972,0.2190278382,-0.054978368099999994,0.8247236918999999,0.4561153035
s259,0.9927060817759998,0.14755318647899995,1.5960693122119998,1.7885000000000004,24.875,0.2,22.55,0.33333333330000003,-0.10602843699999999,-0.6616258171,2.3117248406,0.36304199859999997,1.9436466599,-0.4305595657,-8.257467860000581,-6.254067541443553,-4.001278439168188,1.1464117462,0.2855515937,1.6109824990000001,0.6666666667000001,0.0,12.75,0.225,0.0,-0.001,-1.6666666666999999,19.5833333333,-0.0466193656,0.0,-0.006349749599999999,-0.1168614357,-0.1405635552,0.7884228734000001,9.3,7.0,1.3917279834,0.4362056921,1.7557375676,-0.9219253289,0.027777777799999997,-2.3092218011,-1.371848335,-0.20355320579999997,2.0903488788,1.3764067787999998,0.28558124220000003,1.4807366984,-0.9227923031,2.0608533909999998,145.64,7.0,0.7388153076,0.0026442531,0.7172607422,0.0028095753999999996,0.6388888889000001,-3.7672115849598367,-3.696972405957661,-3.63945136074722,-0.9796803461,1.3918786948,0.4125528406,1.4188599712999999,-0.4259185502,361.1666666667,2.0135391178999997,0.2945151198,1.2489516155,6.5,49.0,2.0121132882409998,0.4440222517,7.0,1.1535675042,0.45886161159999994,1.7987847225,0.041575285499999996,1.3907197141,0.4938911279,1.7443618603000002,-1.0570919284,0.2823218997,0.0048699454,1.3762361881,0.31739702340000003,1.2337653681,-0.9454352194,460.0,6.4,7.6,450.3333333333,1.5230858656,0.3708979863,0.0917177075051931,306.3333333333,1.7886846014,0.38186841299999996,1.1410292623,1.4312985762,0.33299079670000004,1.5164478196000002,-1.3595469818,-0.5207823319,-0.2843725342,1.2279975665,0.3247144853,1.4557454519,-0.7383296677000001,-0.1093907135,2088.4986111110998,6.0,8.0,4248.3333333333,-0.2545218352930001,-0.02208750761800001,-0.2719372324640001,0.1675391866,0.3841961797
