,adaptive_n_back.hddm_drift,adaptive_n_back.hddm_non_decision,adaptive_n_back.hddm_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.keep_score,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_loss_percent,angling_risk_task_always_sunny.release_score,attention_network_task.alerting_hddm_drift,attention_network_task.conflict_hddm_drift,attention_network_task.hddm_drift,attention_network_task.hddm_non_decision,attention_network_task.hddm_thresh,attention_network_task.orienting_hddm_drift,bickel_titrator.auc_large,bickel_titrator.auc_medium,bickel_titrator.auc_small,bickel_titrator.hyp_discount_rate_large,bickel_titrator.hyp_discount_rate_medium,bickel_titrator.hyp_discount_rate_small,choice_reaction_time.hddm_drift,choice_reaction_time.hddm_non_decision,choice_reaction_time.hddm_thresh,cognitive_reflection_survey.correct_proportion,cognitive_reflection_survey.intuitive_proportion,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.prop_healthy_choice,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.hddm_drift,directed_forgetting.hddm_non_decision,directed_forgetting.hddm_thresh,directed_forgetting.proactive_interference_hddm_drift,discount_titrate.percent_patient,dot_pattern_expectancy.AX_errors,dot_pattern_expectancy.AY-BY_hddm_drift,dot_pattern_expectancy.AY_errors,dot_pattern_expectancy.BX-BY_hddm_drift,dot_pattern_expectancy.BX_errors,dot_pattern_expectancy.BY_errors,dot_pattern_expectancy.bias,dot_pattern_expectancy.dprime,dot_pattern_expectancy.hddm_drift,dot_pattern_expectancy.hddm_non_decision,dot_pattern_expectancy.hddm_thresh,go_nogo.bias,go_nogo.commission_errors,go_nogo.dprime,go_nogo.omission_errors,hierarchical_rule.score,holt_laury_survey.beta,holt_laury_survey.prob_weighting,holt_laury_survey.risk_aversion,holt_laury_survey.safe_choices,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.exp_discount_rate,kirby.exp_discount_rate_large,kirby.exp_discount_rate_medium,kirby.exp_discount_rate_small,kirby.hyp_discount_rate_large,kirby.hyp_discount_rate_medium,kirby.hyp_discount_rate_small,local_global_letter.conflict_hddm_drift,local_global_letter.global_congruent_errors,local_global_letter.global_error_cost,local_global_letter.global_incongruent_errors,local_global_letter.hddm_drift,local_global_letter.hddm_non_decision,local_global_letter.hddm_thresh,local_global_letter.local_congruent_errors,local_global_letter.local_error_cost,local_global_letter.local_incongruent_errors,local_global_letter.switch_cost_hddm_drift,motor_selective_stop_signal.SSRT,motor_selective_stop_signal.hddm_drift,motor_selective_stop_signal.hddm_non_decision,motor_selective_stop_signal.hddm_thresh,motor_selective_stop_signal.reactive_control,motor_selective_stop_signal.selective_proactive_control,probabilistic_selection.positive_learning_bias,probabilistic_selection.value_sensitivity,psychological_refractory_period_two_choices.PRP_slope,ravens.score,recent_probes.hddm_drift,recent_probes.hddm_non_decision,recent_probes.hddm_thresh,recent_probes.proactive_interference_hddm_drift,shape_matching.hddm_drift,shape_matching.hddm_non_decision,shape_matching.hddm_thresh,shape_matching.negative_priming,shape_matching.positive_priming,shape_matching.prime_trials,shape_matching.stimulus_interference_hddm_drift,shift_task.acc,shift_task.conceptual_responses,shift_task.fail_to_maintain_set,shift_task.learning_rate,shift_task.learning_to_learn,shift_task.model_beta,shift_task.model_decay,shift_task.model_fit,shift_task.model_learning_rate,shift_task.nonperseverative_errors,shift_task.perseverative_errors,shift_task.perseverative_responses,shift_task.total_errors,simon.hddm_drift,simon.hddm_non_decision,simon.hddm_thresh,simon.simon_hddm_drift,simple_reaction_time.avg_rt,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.SSRT,stim_selective_stop_signal.hddm_drift,stim_selective_stop_signal.hddm_non_decision,stim_selective_stop_signal.hddm_thresh,stop_signal.SSRT_high,stop_signal.SSRT_low,stop_signal.commission_errors,stop_signal.hddm_drift,stop_signal.hddm_non_decision,stop_signal.hddm_thresh,stop_signal.inhibition_slope,stop_signal.omission_errors,stop_signal.proactive_SSRT_speeding,stop_signal.proactive_slowing,stop_signal.total_errors,stroop.congruent_errors,stroop.errors,stroop.hddm_drift,stroop.hddm_non_decision,stroop.hddm_thresh,stroop.incongruent_errors,stroop.stroop_hddm_drift,threebytwo.cue_switch_cost_hddm_drift_100.0,threebytwo.cue_switch_cost_hddm_drift_900.0,threebytwo.hddm_drift,threebytwo.hddm_non_decision,threebytwo.hddm_thresh,threebytwo.task_switch_cost_hddm_drift_100.0,threebytwo.task_switch_cost_hddm_drift_900.0,tower_of_london.avg_move_time,tower_of_london.num_extra_moves,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance,writing_task.neutral_probability,writing_task.positive_probability
s136,1.2864233052,0.2636840429,1.8055314096,2.5,30.35,0.33333333330000003,582,14.9166666667,0.2,343,-1.1421734574,-2.4505069428,3.5172447011,0.4374566587,1.5014636184999999,-0.5509197681,0.8030907534,0.3536558219,0.0894049658,0.0002106268,0.0023900146,0.059765625,5.3012086749,0.2329568532,2.1883424603,0.8333333333,0.1666666667,8.2083333333,0.1125,3,-0.0031666667,-2.625,7.875,-0.0125484991,1.0,-0.00047457630000000004,-2.2228915663,-0.1429983275,0.0,0.5659115098,9.5,7.0,1.9488572562000002,0.439033806,1.9621089168,-0.3345364849,0.1388888889,1.0,-1.6438077969,0.0,-0.8892993116000001,1.0,0.0,-0.3719338943,3.8121088774,2.1529283339,0.22835504350000002,2.1652237133,-0.9575666758,0.1428571429,4.0502743994,0.0,208.0,10.925098711,0.9214174355,0.2565783653,8,0.5,,0.9817138672000001,0.0028358508000000003,0.47222222220000004,0.9904938162,0.9954988699,0.9904938162,0.9904938162,0.0038729833,0.009797959,0.009797959,-1.1720132177,0.0,69.0,0.2,2.1440268386,0.39374677690000004,1.6230581516,0.0,,0.0,-0.1080191422,222.6666666667,5.2131983389,0.3382872837,2.4753095565,-13.0,37.5,4.1928621467,-2.4503732103,0.38109156600000005,10,1.9683662241,0.5032830542,2.0424853917,0.0523327597,3.2984619368,0.47094452000000003,2.1292204148,16.5,-30.5,0.0714285714,-1.2038003915,0.4630541872,116.0,10.0,0.0574102783,0.0033851018,9.4102812464,0.7932282266,-202.6862425981,0.2124319096,107.0,111.0,191.0,218.0,3.3397844385,0.2758057497,1.5276106706,-0.9196578605,311.0,6.4,5.2,222.0,4.3573402384,0.31329314880000003,3.8234056478,253.5,293.8333333333,0.5277777778,4.2911734235,0.3471335193,2.9796363313,0.0093376042,0.0047619048,40.3333333333,18.4031696314,0.16166666670000002,0.0,0.0,3.3338450574,0.4088794646,2.0902028902,0.0,-1.2294370651,-0.4756562825,0.0263180763,1.8432141908,0.3541873909,1.5623989162,-0.1950697372,-0.3067472079,1909.3962962963,16,5,3353.25,0.2719109502,0.3956791297,0.9855042491,0.520328338,0.6968329830000001
s138,1.2274445772,0.040005943200000005,1.5991744951,2.0,41.0,0.6000000000000001,463,26.9565217391,0.2333333333,600,-0.1770470733,-1.1807333997,3.5759032252000003,0.3361891023,1.9705429754,-0.7523992459000001,0.4462619863,0.042494863,0.032880137000000004,0.0005035549,0.015614074700000001,0.0993105469,3.7573273808,0.12800719130000002,1.9972140658000002,0.5,0.33333333330000003,6.5,0.0083333333,1,0.002,-2.0833333333,13.0416666667,-0.0446969697,2.0,-0.0082020202,-4.1338383838,0.6942808051,0.3265306122,0.5547373589,7.8,8.1,1.9761498344000001,0.4272524647,1.9394181242,-0.5797793052,0.0,2.0,-1.7228130984,3.0,-0.7374533467000001,2.0,0.0,-0.4664265226,3.067994093,1.767362199,0.014799878300000001,2.1409682048,-0.7514882369,0.2,3.186218941,0.009523809500000001,245.0,10.925098711,0.9214174355,0.2565783653,8,0.6326984048000001,0.0012997372,0.8658203125,0.0019340559000000002,0.6666666667000001,0.9538658187000001,0.9538658187000001,0.9538658187000001,0.9538658187000001,0.06403124240000001,0.06403124240000001,0.06403124240000001,-1.4649079586,0.0,-233.0,0.0434782609,1.4474294814,0.4533964789,1.591205729,0.0,-282.0,0.5294117647000001,-0.39985409980000003,,,,,,,-46.8356517729,64.0571509611,0.5222429907,7,1.3743205685,0.4067045194,2.0035960249,0.6979333283,2.4061946463,0.4158232295,1.9938225585,-42.0,-35.0,0.075,-1.9387223424000002,0.4882506527,87.0,6.0,0.026011025700000003,0.001424897,5.9632110745,0.9317925998000001,-280.3566071484,0.1562995423,117.0,79.0,160.0,196.0,4.2923461165,0.18701537610000002,2.0845462823,-0.4417469019,264.0,6.7,6.7,230.1666666667,2.6614126141,0.302878076,1.7706841662000001,233.8333333333,308.8333333333,0.5222222222,2.9744920076,0.0259559016,3.0744900017,0.0109708199,0.038095238100000005,75.0,10.0455002514,0.1833333333,1.0,2.0,2.6663766674,0.3034714617,1.7044762816999999,1.0,-1.0516199072,-0.8394598701,-1.0142841285,1.0786296787,0.0321660329,2.2992621429,0.1080480311,-0.4624555866,2357.2966666667,7,8,3587.6666666667,0.1000028886,0.561111643,1.4478126154,0.2273973775,0.5226862652
s139,0.9351214706000001,0.2352509283,1.6705172126,2.0,24.2608695652,0.2333333333,529,28.5,0.2,651,-1.0282114289,0.1146493244,2.7283374846,0.4355260487,1.2027288335,-0.7222186356,0.3571678082,0.0806506849,0.034156678100000004,0.0008036131,0.012241272000000001,0.8795712891,3.9885687032,0.28849646500000004,2.0287411714,0.5,0.1666666667,19.4583333333,-0.08750000000000001,0,0.0025,-0.9583333333,24.05,-0.1630829016,0.0,0.0012625216,-2.8082901554,0.3527919288,0.24489795920000001,0.5770135683000001,7.5,6.8,2.1621474578,0.3973726151,1.6700147789000002,-1.2198368782,0.0,3.0,-4.1298250244,3.0,-2.4013579098,0.0,0.0,0.4181320954,4.4838707464,2.1246992148,0.0247066384,2.4574321514,-1.0170844173,0.1714285714,3.9312389163,0.0,188.0,59.8991114415,-8.5507035957,0.8568707964000001,6,0.6027200699,0.0014261697000000002,0.7124673843,0.0014353592,0.75,0.866,0.8834645520000001,0.8834645520000001,0.866,0.158113883,0.25,0.25,-0.38594502900000005,0.0769230769,-264.0,0.1333333333,1.5677400521,0.5025924703,1.8901902429000002,0.0833333333,-230.0,0.0,-0.7709647545,303.6666666667,2.9672854237,0.3462579791,1.8806452498000001,-33.0,160.0,3.6181301832,-0.22653874540000002,0.4481008381,12,1.5448202416,0.5223427903,1.8510244902,-0.6045393892,2.2368754992,0.3740147808,1.7039445222,-5.0,25.5,0.11428571430000001,-0.5994188113000001,0.4592592593,76.0,7.0,0.0018442917,0.0011199905000000001,1.0,0.0,-426.6644442599,0.1,128.0,91.0,133.0,219.0,3.8218924162,0.284455239,1.5709883918,-1.1874596291,360.0,5.7,6.4,345.3333333333,4.0242078752,0.3583937555,2.4144010817,265.6666666667,318.6666666667,0.5222222222,2.8458201874,0.3881646472,1.7379841644,0.0037149539000000003,0.0476190476,53.0,88.5360698734,0.19,0.0,2.0,2.6770114365,0.36182807770000003,1.7046351233,2.0,-0.8247127498,-0.22223676480000001,-0.9163183170000001,1.7382260677999999,0.33696219040000003,1.7980722002,-0.40087995120000003,-0.0385033674,2136.3125,5,7,3031.5,-0.4768436482,0.3982688916,0.3432850109,0.2212176385,0.3411084757
s140,0.8516272188,0.2011285214,1.4135535371999999,1.6,21.8518518519,0.1,550,24.0,0.1666666667,575,0.2561942694,-1.2723184812000001,3.4817466859,0.3683261639,1.6105306585,-1.4317880754,0.6943921233,0.1049023973,0.0410941781,0.0005415142000000001,0.0063910522,0.0314169922,3.6533704221,0.278616089,1.575551242,0.1666666667,0.5,7.9166666667,-0.0416666667,2,-0.0183333333,-1.6666666667,6.375,-0.029170879700000003,2.0,-0.0106309403,-2.8159757331,0.2701149425,0.4693877551,0.6048214831000001,6.0,5.0,1.7161580493000002,0.43516924900000004,2.302145027,-0.19616232990000002,0.1388888889,0.0,0.253069323,0.0,1.4497996624,0.0,0.0,0.0,5.3201349372,3.8161390705000002,0.0974782414,4.6287682184,-0.8075379761,0.0857142857,4.3503317988,0.0,166.0,7.6113128603,0.7339492028,0.3752535483,7,0.7277178288,0.0014794007,1.0,0.0023555868,0.3888888889,0.9904938162,0.9979994990000001,0.9904938162,0.9784630806000001,0.0015811388,0.009797959,0.0256124969,-1.0982311133,0.0,80.0,0.2380952381,1.3714208186999999,0.3830105995,2.0828355873,0.0,-601.0,0.1428571429,-0.3810288378,324.8333333333,3.0311487438,0.3242240101,1.4080919916,33.5,54.0,4.63996475,-4.2366130235,0.4440443933,6,1.190677447,0.6466895902,1.6958125577,-0.7425804545,2.7124320467,0.4103340669,2.265144739,8.0,-28.0,0.11428571430000001,-1.0051349474,0.5049019608,104.0,10.0,0.010056301200000001,0.0050487084,8.1843105292,0.6466764979,-241.5303599288,0.21863181080000002,108.0,94.0,160.0,202.0,3.4442753378,0.3520303484,1.7279198751,-0.345086694,291.5,6.4,6.1,334.8333333333,2.7640858662000003,0.33710746480000003,1.4279095579,233.1666666667,258.8333333333,0.5222222222,2.5168174606,0.3421599402,1.2380343579,0.0115867127,0.0714285714,25.6666666667,58.3048128342,0.2066666667,0.0,1.0,2.4680287716000002,0.3082426243,1.9510356545,1.0,-1.2565736067,-0.8317862161,-0.6532795447,1.2113923373,0.3137909089,1.8224123553,-0.6313098773,-0.2236933198,1434.947979798,38,6,2556.25,0.0468485827,-0.3875349443,-0.2617969082,0.1401508039,0.1936424316
s141,1.2697706318,0.3593382738,1.2644914492,2.15,30.9130434783,0.2333333333,661,18.7307692308,0.1333333333,471,-0.1768532714,-1.3527691087,2.6539741343000003,0.4792731844,1.3655659635,-0.3026324079,0.2577328767,0.18988184930000002,0.1297534247,0.0015636193000000001,0.0014716568,0.0025556641,2.9076553853,0.3013367148,1.5405127407,0.0,0.6666666667000001,15.0,0.1666666667,1,0.0023333333,-4.0833333333,10.875,0.5020685579,1.0,-0.010082742300000001,-2.9373522459,0.0646597716,0.375,0.40841686060000004,5.3,4.5,1.3810263662,0.4336038861,1.4393841876,-0.44107835780000004,0.33333333330000003,1.0,-3.0257546808,8.0,-0.9310929944,2.0,0.0,-0.5616381195,3.4239749998,1.730011463,0.1013564445,1.9386452241,-1.3646783862,0.4,3.2360509786,0.0,224.0,2.3916188301,-2.7538603758,0.3492235958,5,0.6601791382000001,0.0015843698,0.5621326447,0.0014798177,0.5,0.9784630806000001,0.9140590093000001,0.9784630806000001,0.9784630806000001,0.0636371852,0.0256124969,0.0256124969,-1.5234175305000002,0.0,-4.5,0.25,1.6700874295,0.5003048529,1.4273876897,0.0,-373.5,0.1,-0.098229461,308.6666666667,3.0330343255,0.3790405147,1.4230102808,-11.5,58.0,6.9929118509,-6.3999111756,0.6468484617,7,1.1237748776,0.46336116800000005,1.3477288170000001,-0.6116911298000001,2.3161888621,0.4437756443,1.3296483913000001,1.0,4.5,0.10394265230000001,-2.3535167931,0.4345679012,44.0,5.0,-0.0187015069,0.0021028929,1.1585272754,0.6450776341000001,-428.758984882,0.3957814095,144.0,85.0,140.0,229.0,2.2393510791,0.27912289760000003,1.4529211095,-0.8531677771,422.5,4.7,4.3,376.5,2.256030441,0.3830847636,1.2106147237,317.8333333333,362.0,0.5444444444000001,1.7815019546,0.36931162170000004,1.1915516025,0.011902863900000001,0.15476190480000002,44.1666666667,-8.1748270009,0.2716666667,0.0,5.0,2.0572695919,0.3735536975,1.6898422319000002,5.0,-1.4122477507,-0.6712291876,-1.3558772619,1.0162087294,0.4687531696,1.6742681704,-0.3121101439,0.3895338701,2311.5416666667,13,7,2865.5833333333,-0.42863740440000003,-0.009746813200000001,-0.9473834132000001,0.8416111363000001,0.4135887241
s142,0.9386269700000001,0.0243366658,2.0194464931,2.25,23.0833333333,0.2,534,13.0,0.2666666667,271,0.06314778700000001,-0.2346617467,3.8623331074,0.36510313850000004,2.0957960466,0.2675091704,0.9062585616000001,0.0362174658,0.0663150685,0.0001618935,0.0484897461,0.0303544922,3.7641241409,0.285385031,1.4959742526,0.33333333330000003,0.6666666667000001,4.7916666667,0.0458333333,2,-0.0101666667,-1.125,7.3333333333,0.035950582,2.0,-0.022658362300000002,-1.4745762712000001,-0.3134343747,0.0204081633,0.7277996259,6.6,5.7,1.9993769860000001,0.3337143202,1.9958173966000001,-0.9504870479,0.0833333333,2.0,-0.5668850364,0.0,-0.13325355760000002,0.0,0.0,0.3298219498,4.6604910377,3.1953621697,0.20970751810000002,2.4151496711,-0.8893284577,0.11428571430000001,4.1867508355,0.0,109.0,10.925098711,0.9214174355,0.2565783653,8,0.7695135117,0.0021706898000000002,0.8,0.0025718289000000003,0.4444444444,0.9012813101,0.9538658187000001,0.8834645520000001,0.9012813101,0.06403124240000001,0.158113883,0.158113883,-1.7596060001,0.0,110.0,0.7142857143,1.5201831248,0.3692335371,1.3099794597,0.0,-242.0,0.1111111111,-0.6124923910000001,281.8333333333,3.0946996845,0.3375691175,1.5516834147,33.0,34.5,,,0.5690094626000001,9,1.7650904060000001,0.4362154581,1.9182189403,-0.20227174750000002,3.5040315484,0.4184745013,1.6621761912,-10.5,-12.0,0.1357142857,-1.4359514098,0.42260442260000003,88.0,12.0,0.0376028861,0.0039020232,7.1109150072,0.48246636670000004,-299.3371122171,0.1378992689,113.0,122.0,166.0,235.0,3.2206504573,0.3081575126,1.5264324194999999,-0.6066493002000001,282.0,6.0,5.6,275.0,4.3063599541,0.3898105637,1.4145088821,268.1666666667,346.5,0.5,2.2978638447,0.1319623446,2.3979554793,0.0018083409000000002,0.054761904800000004,78.3333333333,-7.6883363707,0.18833333330000002,0.0,2.0,2.9482893558,0.33548777080000003,1.8625632377999999,2.0,-1.6450895518,,,,,,,,1923.7097402597,3,9,2994.8333333333,-0.404631332,-0.2267664945,-0.7483987872000001,0.6321433967,0.4058560122
s143,0.9694807833,0.0365867644,1.7391419030000002,1.85,27.6153846154,0.1333333333,697,11.48,0.1666666667,275,0.23186113800000002,-0.8254993212,3.1171718238,0.42611851580000004,1.5953514595,-0.5812216925,0.5891566781,0.045943493200000005,0.0350342466,0.0009815609000000001,0.0099942017,0.037909179700000004,2.8842120617,0.2530954896,1.7899192213,0.33333333330000003,0.1666666667,7.5833333333,-0.1166666667,1,0.0013333333,-0.25,4.7916666667,0.0125,0.0,0.0008333333,-0.5416666667,0.1145077843,0.0888888889,0.0488317702,7.6,5.6,1.1468516253,0.2469254525,2.1949655285,-0.6681517948,0.0,5.0,-2.900345934,1.0,-2.1071277081,1.0,0.0,-0.0526756179,3.0358188213,1.5009745620000001,0.0029199261000000002,1.971063521,-0.6483051312,0.3428571429,2.1059660714,0.044444444400000005,146.0,10.925098711,0.9214174355,0.2565783653,8,0.6085213661000001,0.0010396826,0.5,,0.33333333330000003,0.9012813101,0.9538658187000001,0.8834645520000001,0.9012813101,0.1265219767,0.25,0.158113883,-1.0228807645,0.0,-210.5,0.3571428571,1.5605721103999999,0.5262389266,1.8506617459,0.0555555556,-2.0,0.0,-0.215632871,,,,,,,-4.8164890554,4.171253211,0.3591007457,5,1.2685799152000001,0.5953890525000001,2.2981527302,-0.4253056236,,,,,,,,0.3916256158,76.0,10.0,0.0529614277,-0.0023190976,3.0580501129,0.5477313616,-358.125179949,0.2962595963,168.0,79.0,128.0,247.0,2.4392875059,0.330780809,1.379295768,-0.2014514614,458.5,6.4,5.4,,,,,,,,,,,,,,,,1.0,12.0,1.3519922327,0.3717871019,1.671088518,11.0,-1.3154119645,-0.7929241323,0.0040086331,0.7867330204,0.1549555286,1.9229410975,-0.5082588224,-0.6963782215000001,1533.4111111111,28,7,3002.8333333333,,,,0.7670331417,0.19647790950000002
s144,2.3350230704,0.2398171647,1.2189729516,2.65,42.1111111111,0.4,747,34.5789473684,0.36666666670000003,626,-0.6937987681000001,-1.1650440632,2.9986078022,0.3127779641,1.5491359433,-1.9826997868,0.8762517123,0.11061986300000001,0.0981917808,3.48868e-05,0.0139606934,0.0285898438,5.2455711906,0.2610439757,1.0285988584,0.33333333330000003,0.5,7.7916666667,0.2791666667,2,-0.0058333333,-3.0416666667,7.6666666667,0.420677473,3.0,-0.012084788,-1.7487531172000002,-0.18561343300000002,0.3125,1.1205524824,8.2,9.2,2.4454080978,0.4072019284,1.749152642,-0.6580091996,0.1388888889,1.0,-1.0294375215,1.0,0.47085092650000004,2.0,0.0,-0.5638194763000001,3.4283377134,2.6431319901,0.0051329217,2.0523676322,-1.0170844173,0.1714285714,3.9312389163,0.0,155.0,7.6113128603,0.7339492028,0.3752535483,7,0.9891357422,0.0012042834000000001,1.0,0.0015411662000000001,0.6666666667000001,0.9538658187000001,0.9538658187000001,0.9538658187000001,0.9012813101,0.06403124240000001,0.06403124240000001,0.158113883,-1.3480071199,0.0,-71.0,0.058823529400000005,2.4173552145,0.4078240315,1.7158022071999999,0.0,54.0,0.0,0.021496865400000002,287.8333333333,2.591893688,0.23766644550000002,1.3659748072,22.0,129.0,5.049372354,3.5130616337,0.3339921484,13,2.2820058805,0.4962025091,1.6482945809,-0.250489253,3.327815208,0.3961576579,1.4436156465,4.5,16.0,0.0714285714,-3.0234632619,0.6148148148,165.0,18.0,0.07300713760000001,0.0020997212,6.4616548384,0.5655495948,-209.137500954,0.2942062744,77.0,79.0,169.0,156.0,2.747198021,0.2639917518,0.9246242986000001,-1.574849601,256.5,6.1,7.3,189.8333333333,3.8265415197,0.2356219052,2.2204697252,191.8333333333,239.5,0.5444444444000001,2.6234026603,0.2331259387,1.2223612544,0.0051057171000000005,0.080952381,47.6666666667,46.7058485768,0.22,1.0,1.0,3.3198361050000003,0.3275439646,1.9365381932,0.0,-0.23649079250000002,0.1260885899,0.1821576701,1.9114739838,0.3008184404,1.3690056046999999,-0.3795651168,0.5652894396,1663.9740740741,17,6,3696.3333333333,0.1036063435,0.0672210644,-0.0260290726,0.1999718272,0.1496463545
s145,0.9291879744,0.0948442612,1.6007618277,1.75,30.192307692299998,0.1333333333,760,22.6666666667,0.4,390,0.13616198000000002,-1.6335363561,1.0254166973,0.0329264092,2.0102425319,-0.1969406361,0.2214229452,0.0474871575,0.0356464041,0.0031390551,0.0205181885,0.4559423828,1.9254011859,0.18037967200000002,1.3267983506,0.33333333330000003,0.33333333330000003,6.2083333333,0.0125,2,-0.0041666667,-1.9583333333000001,21.2916666667,-0.1552380952,3.0,-0.0097428571,-2.5642857143,-0.4054906247,0.0204081633,0.6374337846,6.1,5.5,1.5344659716,0.493907346,1.8084011582000001,-0.5532820381,0.0555555556,3.0,-1.7527892587,5.0,0.5438873821,1.0,0.0,-0.1369984129,3.3422379144,2.0572666856,0.23972451320000002,1.3284920411,-0.9149312012,0.4285714286,2.189887142,0.022222222200000002,118.0,7.6113128603,0.7339492028,0.3752535483,7,0.7779518127,0.0010220871000000001,0.854989624,0.0014857978000000001,0.6666666667000001,0.9538658187000001,0.9538658187000001,0.9538658187000001,0.9784630806000001,0.06403124240000001,0.06403124240000001,0.0256124969,-0.7455894226,0.2307692308,-123.0,0.5,0.9485062136,0.3177877754,1.4340348553,0.0833333333,-44.0,0.2173913043,-0.7532159374,,,,,,,1.2419181292,-1.3412774059,0.4278465461,10,1.7477066131,0.5624452608,2.1997607329,0.057102054400000005,2.3675066830000002,0.4514922811,1.7870008617000002,23.5,118.0,0.082437276,-1.4698927974,0.4630541872,89.0,12.0,-0.0048586110000000005,0.0022687814000000002,4.8722423432,0.5183253564,-342.3192754182,0.1693665834,135.0,83.0,119.0,218.0,1.3415553113,0.2483272823,1.015149156,-2.2200323058,271.0,4.4,5.0,388.6666666667,2.8342952061,0.3005383216,1.6542102004,252.8333333333,269.1666666667,0.55,1.9976134044,0.2409003398,1.5053717022000002,0.0057764998,0.11428571430000001,16.3333333333,53.2887971698,0.245,1.0,11.0,1.5804780254000002,0.3075471741,1.7303912595000002,10.0,-1.1281407463,-0.1958572111,-0.4755325215,0.7029449879,0.0187000155,2.1585045107,-0.4844116028,-0.5187395408000001,3116.4851851852,1,6,4876.0,-0.516453648,-0.28303008,-0.8977799740000001,0.7632798057,0.3830170567
s146,,,,,31.4782608696,0.2333333333,670,12.0,0.1,313,0.0995792809,-1.564378949,2.2514621577,0.3885190698,1.4269750419,-1.6693381963,0.0322089041,0.0490702055,0.0322089041,0.1658138666,0.0149622803,0.3353525391,3.2611842221,0.0215792136,3.0180633307,0.1666666667,0.33333333330000003,11.0,2.2204460489999999e-16,1,-1.3877787810000002e-17,6.661338148e-16,11.0,3.1918911959999997e-16,0.0,9.540979118e-18,0.0,0.1084352078,0.27083333330000003,0.9895476773,8.2,4.1,1.6115828711,0.4653494374,1.7175110489,0.037749483800000004,0.1388888889,1.0,-2.0692859173,1.0,-0.9935436908,2.0,1.0,-0.5616381195,3.4239749998,2.2836871822,0.2587115854,1.802614496,-0.9909828097000001,0.4,2.4886598257,0.0126984127,155.0,2.3916188301,-2.7538603758,0.3492235958,5,0.7206207275000001,0.0009500228000000001,0.9162353516,0.000919691,0.5833333333,0.9979994990000001,0.9979994990000001,0.9979994990000001,0.9720073019000001,0.0015811388,0.0015811388,0.0250474647,-0.8861572256,0.0,-228.0,0.2666666667,1.2422746521,0.31701856300000003,2.0462070883,0.0,-391.5,0.1428571429,-0.1397080362,244.1666666667,2.931763938,0.290517429,1.7183123625,28.5,103.5,,,0.7740262062000001,10,1.0451416248,0.550620317,2.0442698158,-0.37870153900000003,2.8132655404999998,0.4246158753,2.0493875573,17.5,-25.0,0.1010830325,-2.3481103446000002,0.4734177215,84.0,11.0,0.033397654,0.0006488999000000001,3.5945109924,0.4769843138,-319.3698274951,0.3144222736,112.0,96.0,150.0,208.0,2.743974067,0.2969360575,1.0602703061,-2.1736444693,311.5,4.0,5.4,257.0,3.2259509318,0.3314551298,1.6039774975,268.1666666667,267.6666666667,0.5277777778,2.7203068526000003,0.2748796643,1.8536422957,0.0074548662,0.05,-0.5,21.7763157895,0.1933333333,0.0,0.0,3.1469139766,0.3399762984,3.1006946799,0.0,-0.5418828905,-0.0766479458,-0.46524161410000003,0.9256564255,0.066075753,2.0291207281,-1.0467877808,-0.6380870121000001,6042.4722222222,-4,6,4705.25,0.5928957136,0.051629381,2.0885115777,0.8617189196,0.3161240564
